playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goals,offsides,awayGoals,aerialDuels,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,touches,substituteOff,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulPassesOwnHalf,throughBalls,substituteOn,successfulLaunches,tacklesWon,interceptions,unsuccessfulLaunches,foulAttemptedTackle,unsuccessfulLongPasses,savesMadeFromOutsideBox,goalKicks,cleanSheets,penaltiesFaced,penaltiesConceded,punches,savesMade,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,throwInsToOwnPlayer,savesMadeFromInsideBox,successfulCrossesOpenPlay,overruns,goalAssists,unsuccessfulCrossesOpenPlay,oboxBlocked,successfulCrossesAndCorners,unsuccessfulCrossesAndCorners,shotsBlockedOutsideBox,expectedGoalsFreekick,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,penaltiesTaken,oboxTarget,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,penaltyGoals,throwInsToOppositionPlayer,handballsConceded,foulWonPenalty
219168,Alexander Isak,Forward,Liverpool,14,Sweden,2026-27,9.0,0.0597,0.0,2.0,5.0,2.3701,1.0,7.0,6.0,3.0,6.0,3.0,6.0,36.0,3.0,2.0,2.0,5.0,2.0,244.0,2.0,1.0,9.0,1.0,2.0,5.0,27.0,14.0,1.0,3.4576,2.0,1.0,4.0,2.0,8.0,7.0,2.0,1.0,18.0,1.0,1.0,7.0,2.0,3.0,1.0,1.0,2.0,4.0,27.0,3.0,7.0,2.0,13.0,4.0,0.0,35.0,2.0,1.0,19.0,2.0,1.0,8.0,1.0,3.0,14.0,71.0,1.0,3.0,2.2888,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243016,Alexis Mac Allister,Midfielder,Liverpool,14,Argentina,2026-27,15.0,0.4199,0.0,,1.0,0.0387,8.0,2.0,9.0,3.0,,2.0,13.0,113.0,,,,8.0,1.0,188.0,1.0,7.0,13.0,,3.0,12.0,92.0,1.0,1.0,2.3284,1.0,3.0,2.0,,8.0,38.0,3.0,0.0,28.0,2.0,,31.0,11.0,3.0,,4.0,,1.0,63.0,2.0,2.0,,20.0,1.0,0.0,109.0,1.0,,22.0,1.0,1.0,30.0,4.0,8.0,14.0,147.0,2.0,37.0,0.0795,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116535,Alisson Becker,Goalkeeper,Liverpool,14,Brazil,2026-27,1.0,0.0065,0.0,,,,,,,3.0,,3.0,13.0,83.0,,,,,,270.0,,,,1.0,,,58.0,,1.0,3.5963,,6.0,4.0,,1.0,16.0,,0.0,1.0,,,44.0,24.0,3.0,,,,,9.0,3.0,,,1.0,,0.0,64.0,,,14.0,,,23.0,1.0,12.0,,117.0,,61.0,,1.0,3.0,,,2.0,,,5.0,1.0,13.0,5.0,11.0,1.0,1.0,1.0,3.0,9.0,1.0,25.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
482616,Bradley Barcola,Forward,Liverpool,14,France,2026-27,1.0,0.0684,0.0,,,,,,2.0,1.0,,,2.0,7.0,,,,,,26.0,,,1.0,,2.0,1.0,5.0,1.0,,0.1388,1.0,,,,1.0,6.0,,0.0,2.0,2.0,,,,1.0,,,,1.0,2.0,,1.0,,2.0,,0.0,7.0,,,3.0,1.0,,,,,1.0,13.0,,3.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243298,Cody Gakpo,Forward,Liverpool,14,Netherlands,2026-27,16.0,1.1984,0.0,4.0,1.0,0.3849,6.0,3.0,13.0,3.0,2.0,3.0,14.0,88.0,1.0,4.0,1.0,3.0,,251.0,,2.0,16.0,1.0,1.0,15.0,73.0,18.0,1.0,3.5963,5.0,2.0,4.0,3.0,14.0,32.0,5.0,0.0,32.0,,0.0,16.0,12.0,3.0,1.0,,,3.0,64.0,3.0,7.0,3.0,29.0,1.0,0.0,88.0,2.0,2.0,40.0,4.0,,25.0,4.0,1.0,15.0,156.0,1.0,11.0,0.3625,0.0,2.0,2.0,,,6.0,5.0,,1.0,1.0,,,1.0,,,,,,,,,2.0,,1.0,4.0,3.0,7.0,1.0,1.0,7.0,1.0,,,,,,,,,,,,,
424876,Dominik Szoboszlai,Midfielder,Liverpool,14,Hungary,2026-27,15.0,0.4784,0.0,3.0,4.0,2.2518,4.0,6.0,18.0,3.0,3.0,3.0,24.0,202.0,1.0,1.0,1.0,9.0,,270.0,,7.0,10.0,1.0,9.0,8.0,171.0,1.0,1.0,3.5963,7.0,2.0,4.0,,8.0,50.0,2.0,0.0,25.0,6.0,0.0,35.0,17.0,3.0,1.0,1.0,,2.0,109.0,3.0,3.0,,16.0,2.0,0.0,194.0,2.0,1.0,50.0,2.0,3.0,71.0,4.0,7.0,46.0,284.0,,76.0,1.1699,0.0,7.0,,,,3.0,3.0,3.0,1.0,6.0,,,1.0,,,,,,,,,9.0,,2.0,2.0,,5.0,3.0,7.0,17.0,3.0,0.1124,12.0,3.0,4.0,1.0,3.0,3.0,3.0,7.0,1.0,,,
494595,Florian Wirtz,Midfielder,Liverpool,14,Germany,2026-27,17.0,0.2884,0.0,4.0,3.0,0.67,4.0,3.0,21.0,3.0,15.0,3.0,24.0,135.0,,,,4.0,2.0,242.0,2.0,1.0,14.0,1.0,7.0,11.0,107.0,12.0,1.0,3.0496,3.0,,4.0,4.0,16.0,28.0,2.0,0.0,31.0,3.0,,38.0,15.0,3.0,,2.0,,5.0,77.0,3.0,9.0,4.0,27.0,3.0,0.0,130.0,,3.0,53.0,5.0,,26.0,6.0,4.0,43.0,190.0,2.0,34.0,0.6604,1.0,,2.0,,,2.0,,,3.0,3.0,,,,,,,,,,,,,,,,1.0,3.0,,,3.0,,,,1.0,,,1.0,,,,,,,
449027,Giorgi Mamardashvili,Goalkeeper,Liverpool,14,Georgia,2026-27,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491501,James McConnell,Midfielder,Liverpool,14,England,2026-27,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216094,Jeremie Frimpong,Defender,Liverpool,14,Netherlands,2026-27,7.0,0.1149,0.0,1.0,,,3.0,,8.0,2.0,,2.0,10.0,84.0,,1.0,,,,161.0,,,5.0,1.0,7.0,5.0,72.0,6.0,1.0,2.8334,4.0,5.0,4.0,,7.0,5.0,1.0,0.0,12.0,1.0,,24.0,6.0,2.0,,2.0,,2.0,50.0,3.0,2.0,,12.0,,0.0,84.0,,2.0,28.0,1.0,,41.0,2.0,2.0,14.0,130.0,1.0,25.0,0.0098,1.0,5.0,,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,,,,,10.0,,1.0,1.0,,8.0,1.0,1.0,8.0,1.0,,,,,,,,,,,1.0,,
