playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,awayGoals,homeGoals,leftFootGoals,blocks,throwInsToOppositionPlayer,penaltyGoalsConceded,successfulLaunches,lastPlayerTackle,handballsConceded,foulWonPenalty,unsuccessfulLayoffs,rightFootGoals,headedGoals,penaltiesTaken,penaltyGoals,ownGoalScored,penaltiesConceded,redCards2ndYellow,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,clearancesOffTheLine,otherGoals
9562,Albert Riera,Midfielder,Liverpool,14,Spain,2009-10,63.0,11.0,0.0,6.0,4.0,12.0,15.0,5.0,50.0,12.0,3.0,15.0,9.0,58.0,20.0,276.0,1.0,3.0,14.0,38.0,1.0,13.0,650.0,28.0,40.0,1.0,30.0,211.0,2.0,25.0,11.0,9.0,6.0,35.0,5.0,0.0,103.0,37.0,12.0,5.0,12.0,161.0,5.0,34.0,28.0,65.0,10.0,0.0,269.0,11.0,7.0,125.0,7.0,13.0,2.0,5.0,10.0,7.0,7.0,442.0,2.0,7.0,1.0,3.0,70.0,0.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18372,Alberto Aquilani,Midfielder,Liverpool,14,Italy,2009-10,58.0,,0.0,8.0,7.0,28.0,19.0,8.0,87.0,18.0,6.0,44.0,9.0,107.0,7.0,561.0,,9.0,2.0,21.0,1.0,3.0,815.0,13.0,63.0,,55.0,418.0,1.0,27.0,7.0,3.0,5.0,45.0,22.0,0.0,121.0,63.0,18.0,10.0,9.0,301.0,5.0,9.0,28.0,100.0,8.0,0.0,548.0,12.0,5.0,146.0,18.0,5.0,2.0,9.0,15.0,1.0,36.0,739.0,,7.0,2.0,2.0,156.0,0.0,20.0,17.0,1.0,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40831,Damien Plessis,Midfielder,Liverpool,14,France,2009-10,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21094,Daniel Agger,Defender,Liverpool,14,Denmark,2009-10,48.0,,0.0,6.0,2.0,42.0,22.0,,121.0,23.0,,1.0,23.0,217.0,7.0,1014.0,,,1.0,62.0,11.0,,1979.0,22.0,124.0,1.0,84.0,686.0,,32.0,5.0,134.0,15.0,26.0,30.0,0.0,172.0,75.0,23.0,14.0,7.0,293.0,14.0,7.0,9.0,110.0,40.0,0.0,974.0,20.0,,311.0,28.0,12.0,2.0,13.0,49.0,,111.0,1421.0,45.0,2.0,,67.0,504.0,0.0,96.0,57.0,,,,,3.0,13.0,1.0,16.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75880,Daniel Ayala,Defender,Liverpool,14,Spain,2009-10,9.0,,0.0,,,7.0,,,15.0,5.0,,,2.0,20.0,,108.0,,3.0,,8.0,2.0,,234.0,3.0,15.0,,10.0,79.0,,1.0,,23.0,1.0,6.0,2.0,0.0,24.0,10.0,5.0,,,16.0,1.0,,,16.0,5.0,0.0,107.0,,,26.0,7.0,1.0,,5.0,2.0,,9.0,147.0,,,,5.0,72.0,0.0,5.0,9.0,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43016,Daniel Pacheco,Forward,Liverpool,14,Spain,2009-10,7.0,,0.0,2.0,1.0,2.0,1.0,,7.0,4.0,,3.0,,7.0,4.0,32.0,1.0,4.0,,,,,40.0,,4.0,,4.0,23.0,,3.0,1.0,,,7.0,1.0,0.0,11.0,2.0,4.0,1.0,2.0,20.0,,4.0,5.0,11.0,,0.0,32.0,,,16.0,1.0,1.0,,,,,2.0,51.0,,,,,5.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38328,David N'Gog,Forward,Liverpool,14,France,2009-10,101.0,2.0,0.0,8.0,14.0,12.0,32.0,2.0,89.0,24.0,,36.0,10.0,90.0,15.0,303.0,10.0,14.0,,43.0,,2.0,1013.0,29.0,61.0,1.0,47.0,212.0,,94.0,14.0,9.0,6.0,72.0,22.0,0.0,162.0,36.0,24.0,4.0,25.0,172.0,5.0,15.0,57.0,119.0,14.0,0.0,301.0,18.0,14.0,167.0,8.0,13.0,,14.0,10.0,,1.0,563.0,2.0,7.0,2.0,,43.0,1.0,1.0,12.0,5.0,0.0,5.0,1.0,,1.0,,,,1.0,2.0,9.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
51917,Diego Cavalieri,Goalkeeper,Liverpool,14,Brazil,2009-10,,,0.0,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4719,Dirk Kuyt,Midfielder,Liverpool,14,Netherlands,2009-10,265.0,15.0,0.0,22.0,31.0,48.0,57.0,13.0,373.0,37.0,3.0,164.0,35.0,403.0,64.0,1558.0,13.0,2.0,,160.0,9.0,15.0,3016.0,96.0,164.0,2.0,100.0,1121.0,,164.0,56.0,28.0,33.0,169.0,32.0,6.0,429.0,137.0,37.0,19.0,36.0,833.0,31.0,64.0,106.0,269.0,64.0,0.0,1553.0,26.0,35.0,597.0,29.0,20.0,,40.0,48.0,,34.0,2120.0,8.0,13.0,2.0,11.0,337.0,3.0,30.0,59.0,9.0,2.0,7.0,3.0,1.0,4.0,3.0,3.0,,2.0,,18.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
40615,Emiliano Insúa,Defender,Liverpool,14,Argentina,2009-10,120.0,23.0,0.0,6.0,2.0,80.0,14.0,,178.0,31.0,4.0,10.0,30.0,229.0,75.0,1276.0,,1.0,2.0,50.0,13.0,23.0,2722.0,22.0,154.0,2.0,126.0,1004.0,,21.0,30.0,81.0,28.0,98.0,19.0,0.0,274.0,148.0,31.0,18.0,14.0,572.0,26.0,77.0,35.0,224.0,28.0,0.0,1256.0,12.0,15.0,429.0,62.0,27.0,,29.0,72.0,1.0,43.0,2109.0,281.0,2.0,,61.0,498.0,1.0,51.0,64.0,,,,,6.0,47.0,3.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14402,Fernando Torres,Forward,Liverpool,14,Spain,2009-10,184.0,4.0,0.0,17.0,32.0,11.0,63.0,8.0,113.0,22.0,3.0,57.0,20.0,116.0,24.0,379.0,21.0,2.0,1.0,76.0,2.0,4.0,1715.0,39.0,128.0,1.0,91.0,256.0,,150.0,18.0,11.0,23.0,145.0,49.0,16.0,312.0,30.0,22.0,1.0,66.0,217.0,22.0,24.0,113.0,236.0,37.0,0.0,377.0,31.0,23.0,262.0,10.0,31.0,1.0,31.0,2.0,,7.0,799.0,7.0,10.0,3.0,1.0,50.0,5.0,3.0,12.0,18.0,6.0,12.0,2.0,2.0,2.0,3.0,,,,,9.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
3665,Fábio Aurélio,Defender,Liverpool,14,Brazil,2009-10,34.0,7.0,0.0,2.0,3.0,16.0,9.0,2.0,65.0,14.0,1.0,12.0,8.0,92.0,26.0,315.0,1.0,6.0,29.0,9.0,1.0,15.0,655.0,7.0,26.0,,24.0,197.0,4.0,3.0,10.0,15.0,6.0,27.0,4.0,0.0,60.0,39.0,14.0,3.0,3.0,161.0,6.0,59.0,12.0,51.0,2.0,0.0,298.0,6.0,6.0,179.0,13.0,4.0,3.0,8.0,13.0,21.0,26.0,523.0,36.0,4.0,,13.0,77.0,1.0,27.0,19.0,,,,,2.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9047,Glen Johnson,Defender,Liverpool,14,England,2009-10,134.0,28.0,0.0,8.0,8.0,75.0,20.0,9.0,168.0,25.0,3.0,7.0,24.0,209.0,80.0,1134.0,,1.0,1.0,30.0,9.0,28.0,2141.0,8.0,180.0,2.0,158.0,863.0,,61.0,31.0,65.0,22.0,126.0,31.0,0.0,314.0,109.0,25.0,13.0,53.0,539.0,20.0,81.0,83.0,284.0,22.0,0.0,1114.0,12.0,29.0,427.0,62.0,52.0,,25.0,61.0,1.0,62.0,1984.0,243.0,4.0,,36.0,414.0,1.0,41.0,48.0,3.0,1.0,2.0,2.0,2.0,33.0,2.0,6.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
83427,Jack Robinson,Defender,Liverpool,14,England,2009-10,,,0.0,,,,,,,1.0,,,,,1.0,2.0,,1.0,,,,,2.0,,,,,2.0,,1.0,1.0,,,,,0.0,,,1.0,,,2.0,,1.0,,,,0.0,2.0,,,1.0,,,,,,,,3.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,Jamie Carragher,Defender,Liverpool,14,England,2009-10,79.0,9.0,1.0,2.0,,83.0,3.0,2.0,230.0,37.0,,3.0,37.0,392.0,26.0,1753.0,1.0,,,49.0,17.0,9.0,3254.0,27.0,129.0,1.0,107.0,1169.0,,9.0,9.0,251.0,31.0,52.0,22.0,0.0,208.0,120.0,37.0,24.0,6.0,509.0,30.0,26.0,11.0,159.0,22.0,1.0,1712.0,3.0,9.0,564.0,59.0,2.0,,28.0,70.0,,192.0,2424.0,105.0,2.0,,141.0,861.0,7.0,162.0,76.0,,,,,23.0,25.0,3.0,42.0,3.0,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
32644,Javier Mascherano,Defender,Liverpool,14,Argentina,2009-10,213.0,4.0,2.0,6.0,5.0,178.0,21.0,4.0,270.0,34.0,,36.0,31.0,360.0,31.0,2115.0,,3.0,4.0,57.0,12.0,4.0,2755.0,38.0,276.0,2.0,257.0,1511.0,,1.0,28.0,35.0,31.0,175.0,63.0,0.0,489.0,243.0,34.0,34.0,17.0,950.0,29.0,33.0,60.0,432.0,19.0,1.0,2072.0,16.0,14.0,492.0,144.0,16.0,,67.0,99.0,2.0,244.0,2767.0,55.0,2.0,,36.0,809.0,9.0,90.0,96.0,,,,,9.0,8.0,3.0,6.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
55548,Jay Spearing,Midfielder,Liverpool,14,England,2009-10,2.0,,0.0,,,,2.0,,3.0,3.0,,3.0,1.0,6.0,1.0,54.0,,2.0,,,,,76.0,,2.0,,2.0,43.0,,,1.0,,1.0,2.0,2.0,0.0,4.0,3.0,3.0,,,19.0,1.0,1.0,2.0,4.0,,0.0,54.0,2.0,1.0,9.0,,,,,1.0,,5.0,63.0,,1.0,,1.0,29.0,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43191,Lucas Leiva,Midfielder,Liverpool,14,Brazil,2009-10,180.0,2.0,0.0,14.0,5.0,148.0,22.0,9.0,264.0,35.0,2.0,38.0,32.0,300.0,8.0,1832.0,3.0,3.0,21.0,121.0,13.0,7.0,2844.0,57.0,281.0,2.0,217.0,1399.0,3.0,41.0,32.0,68.0,32.0,123.0,56.0,0.0,461.0,183.0,35.0,46.0,6.0,872.0,30.0,22.0,39.0,340.0,64.0,0.0,1793.0,17.0,12.0,407.0,102.0,13.0,,64.0,83.0,11.0,133.0,2394.0,4.0,7.0,,17.0,667.0,9.0,36.0,84.0,,,,,5.0,1.0,2.0,4.0,,3.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
58786,Martin Kelly,Defender,Liverpool,14,England,2009-10,2.0,,0.0,,1.0,3.0,1.0,,1.0,1.0,,,,1.0,,12.0,,1.0,,,,,19.0,,3.0,,3.0,11.0,,,,2.0,1.0,2.0,,0.0,5.0,2.0,1.0,2.0,,5.0,1.0,,,5.0,,0.0,12.0,,1.0,2.0,1.0,,,1.0,,,,18.0,,,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26793,Martin Skrtel,Defender,Liverpool,14,Slovakia,2009-10,39.0,1.0,0.0,3.0,3.0,40.0,10.0,2.0,95.0,19.0,,,16.0,130.0,4.0,682.0,,3.0,,31.0,5.0,1.0,1410.0,10.0,77.0,2.0,56.0,482.0,,15.0,2.0,122.0,18.0,29.0,14.0,0.0,116.0,62.0,19.0,6.0,1.0,181.0,16.0,4.0,1.0,85.0,21.0,0.0,664.0,7.0,2.0,185.0,34.0,2.0,,19.0,32.0,,70.0,939.0,4.0,2.0,,33.0,372.0,5.0,35.0,37.0,1.0,0.0,1.0,1.0,6.0,,2.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13308,Maxi Rodríguez,Midfielder,Liverpool,14,Argentina,2009-10,75.0,3.0,0.0,14.0,8.0,26.0,13.0,9.0,94.0,17.0,3.0,56.0,14.0,109.0,20.0,616.0,2.0,3.0,3.0,31.0,5.0,4.0,1207.0,20.0,65.0,,54.0,483.0,1.0,45.0,21.0,14.0,9.0,55.0,25.0,0.0,140.0,71.0,17.0,10.0,12.0,363.0,9.0,21.0,34.0,109.0,11.0,0.0,612.0,5.0,18.0,170.0,16.0,3.0,1.0,16.0,57.0,1.0,24.0,860.0,2.0,4.0,1.0,16.0,148.0,1.0,15.0,22.0,1.0,1.0,0.0,,1.0,,1.0,1.0,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
