playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesConceded,successfulLaunches,throwInsToOppositionPlayer,cornersTakenInclShortCorners,penaltiesTaken,unsuccessfulCornersIntoBox,penaltyGoals,successfulCornersIntoBox,clearancesOffTheLine,ownGoalScored,lastPlayerTackle,redCards2ndYellow,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals
89088,Andre Wisdom,Defender,Liverpool,14,England,2010-11,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40142,Andy Carroll,Forward,Liverpool,14,England,2010-11,0.0,0.0,5.0,224.0,2.0,18.0,33.0,5.0,14.0,73.0,9.0,289.0,26.0,3.0,104.0,1.0,23.0,303.0,26.0,775.0,13.0,9.0,4.0,3.0,267.0,4.0,2.0,2070.0,19.0,109.0,221.0,2.0,63.0,457.0,171.0,6.0,28.0,43.0,34.0,115.0,192.0,37.0,4.0,445.0,9.0,253.0,51.0,26.0,2.0,5.0,5.0,19.0,340.0,32.0,6.0,26.0,64.0,178.0,158.0,774.0,40.0,14.0,463.0,9.0,12.0,4.0,1.0,150.0,53.0,11.0,15.0,180.0,1184.0,2.0,5.0,2.0,5.0,134.0,4.0,14.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9631,Brad Jones,Goalkeeper,Liverpool,14,Australia,2010-11,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9602,Christian Poulsen,Midfielder,Liverpool,14,Denmark,2010-11,0.0,0.0,1.0,49.0,1.0,2.0,1.0,,32.0,1.0,3.0,65.0,12.0,,16.0,,9.0,76.0,3.0,477.0,,,,3.0,26.0,3.0,1.0,744.0,,13.0,53.0,,40.0,370.0,4.0,2.0,10.0,7.0,9.0,36.0,122.0,7.0,0.0,102.0,,183.0,45.0,12.0,,10.0,,,203.0,9.0,,3.0,5.0,76.0,13.0,473.0,,2.0,93.0,22.0,1.0,4.0,,119.0,16.0,21.0,31.0,53.0,575.0,,5.0,,7.0,199.0,1.0,11.0,24.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
94147,Conor Coady,Defender,Liverpool,14,England,2010-11,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21094,Daniel Agger,Defender,Liverpool,14,Denmark,2010-11,0.0,0.0,0.0,34.0,3.0,,1.0,,26.0,5.0,,78.0,16.0,,2.0,,12.0,112.0,5.0,465.0,,1.0,,4.0,35.0,6.0,3.0,1090.0,,10.0,66.0,,41.0,331.0,5.0,1.0,3.0,83.0,10.0,24.0,161.0,9.0,0.0,100.0,,236.0,50.0,16.0,,8.0,,3.0,117.0,10.0,,5.0,6.0,65.0,25.0,446.0,4.0,2.0,146.0,18.0,6.0,6.0,,30.0,10.0,20.0,22.0,38.0,699.0,28.0,3.0,,27.0,239.0,,34.0,42.0,,7.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
43016,Daniel Pacheco,Forward,Liverpool,14,Spain,2010-11,0.0,0.0,0.0,1.0,,,,,,,,,1.0,,,,,,,4.0,,,,1.0,,,,4.0,,,,,,4.0,,,,,,1.0,1.0,,0.0,1.0,,1.0,,1.0,,,,1.0,2.0,,,,1.0,1.0,,4.0,,,1.0,,,,,,,,,2.0,6.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60490,Danny Wilson,Defender,Liverpool,14,Scotland,2010-11,0.0,0.0,1.0,13.0,,,,,10.0,,,24.0,2.0,,,,1.0,33.0,3.0,92.0,,,,1.0,11.0,,,155.0,,7.0,16.0,1.0,12.0,55.0,,2.0,,13.0,5.0,6.0,25.0,1.0,0.0,29.0,,58.0,13.0,2.0,,4.0,,,36.0,4.0,,3.0,1.0,18.0,4.0,92.0,,,43.0,6.0,1.0,,,2.0,2.0,,4.0,7.0,145.0,15.0,,,3.0,23.0,,9.0,12.0,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
38328,David N'Gog,Forward,Liverpool,14,France,2010-11,0.0,0.0,1.0,135.0,1.0,8.0,13.0,,17.0,25.0,3.0,89.0,25.0,1.0,35.0,,9.0,94.0,15.0,359.0,2.0,6.0,,16.0,55.0,1.0,1.0,1057.0,7.0,39.0,68.0,,52.0,259.0,,,16.0,5.0,16.0,96.0,,26.0,,203.0,,,43.0,25.0,1.0,3.0,,22.0,196.0,16.0,1.0,15.0,,148.0,16.0,,12.0,10.0,,14.0,9.0,1.0,,,25.0,9.0,6.0,,604.0,2.0,7.0,,1.0,70.0,3.0,5.0,12.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
4719,Dirk Kuyt,Midfielder,Liverpool,14,Netherlands,2010-11,0.0,0.0,3.0,281.0,14.0,14.0,31.0,8.0,75.0,50.0,16.0,335.0,33.0,7.0,110.0,,32.0,366.0,67.0,1386.0,13.0,19.0,4.0,1.0,131.0,9.0,14.0,2821.0,11.0,83.0,188.0,4.0,140.0,979.0,127.0,6.0,49.0,26.0,34.0,198.0,229.0,36.0,6.0,469.0,9.0,434.0,154.0,33.0,11.0,30.0,1.0,42.0,672.0,30.0,1.0,68.0,126.0,338.0,48.0,1384.0,19.0,27.0,644.0,45.0,29.0,3.0,,416.0,42.0,53.0,41.0,307.0,2032.0,27.0,7.0,,20.0,362.0,2.0,31.0,60.0,,4.0,4.0,2.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,
