playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,shotsOnTargetIncGoals,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goalKicks,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,expectedGoalsOnTarget,throughBalls,setPiecesGoals,goals,offsides,awayGoals,oboxBlocked,shotsBlockedInBox,rightFootGoals,leftFootGoals,freekickTotal,attemptsFromSetPieces,hitWoodwork,handballsConceded,expectedGoalsFreekick,overruns,goalAssists,successfulLayoffs,shotsOnTargetOutsideBox,unsuccessfulLayoffs,penaltiesConceded,homeGoals,penaltiesTaken,oboxTarget,iboxBlocked,cornersWon,penaltyGoals,shotsBlockedOutsideBox,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,headedGoals,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,clearancesOffTheLine,secondGoalAssists,foulWonPenalty
578153,Abdukodir Khusanov,Defender,Man City,43,Uzbekistan,2025-26,36.0,1.0,0.5682,0.0,1.0,27.0,7.0,51.0,21.0,15.0,89.0,2.0,1080.0,3.0,6.0,30.0,5.0,1.0,1.0,1429.0,1.0,15.0,55.0,1.0,22.0,40.0,950.0,8.0,10.0,1.0,18.957,6.0,12.0,56.0,13.0,21.0,241.0,6.0,0.0,91.0,9.0,303.0,75.0,21.0,7.0,2.0,2.0,433.0,12.0,2.0,4.0,61.0,15.0,0.0,3.0,1064.0,6.0,116.0,20.0,7.0,9.0,469.0,14.0,33.0,41.0,67.0,1304.0,25.0,3.0,22.0,559.0,5.0,0.6793,2.0,38.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437730,Antoine Semenyo,Forward,Man City,43,Ghana,2025-26,271.0,8.0,1.8433,0.0,41.0,45.0,69.0,161.0,37.0,37.0,187.0,41.0,936.0,,,120.0,10.0,8.0,13.0,3200.0,13.0,61.0,184.0,8.0,88.0,125.0,723.0,176.0,38.0,3.0,32.8167,35.0,5.0,29.0,52.0,210.0,193.0,21.0,2.0,455.0,57.0,211.0,143.0,37.0,13.0,,74.0,556.0,44.0,41.0,137.0,335.0,59.0,0.0,,935.0,28.0,520.0,32.0,59.0,7.0,219.0,56.0,13.0,26.0,313.0,1702.0,33.0,10.0,14.0,201.0,34.0,6.6373,7.0,26.0,32.0,14.0,7.8786,5.0,1.0,17.0,19.0,7.0,1.0,6.0,11.0,6.0,1.0,2.0,3.0,3.0,0.2065,11.0,4.0,57.0,4.0,7.0,1.0,10.0,2.0,4.0,6.0,26.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
165809,Bernardo Silva,Midfielder,Man City,43,Portugal,2025-26,145.0,6.0,4.0797,0.0,7.0,54.0,17.0,165.0,38.0,34.0,216.0,28.0,2205.0,5.0,4.0,25.0,5.0,19.0,5.0,2886.0,5.0,21.0,101.0,7.0,48.0,97.0,1920.0,94.0,2.0,1.0,34.201,43.0,3.0,34.0,30.0,124.0,552.0,22.0,0.0,246.0,17.0,477.0,146.0,38.0,26.0,,28.0,1140.0,23.0,53.0,62.0,221.0,4.0,0.0,5.0,2075.0,10.0,369.0,28.0,21.0,6.0,740.0,37.0,22.0,69.0,436.0,2661.0,25.0,20.0,33.0,868.0,23.0,2.5639,10.0,51.0,55.0,13.0,1.8875,11.0,,2.0,5.0,2.0,5.0,8.0,,2.0,,,1.0,2.0,,,4.0,36.0,,1.0,,0.0,,,8.0,15.0,,5.0,47.0,10.0,20.0,,,,,,,,,,,,,,,,,,
516234,Charlie Gray,Midfielder,Man City,43,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223094,Erling Haaland,Forward,Man City,43,Norway,2025-26,111.0,1.0,2.805,0.0,59.0,15.0,102.0,122.0,35.0,34.0,132.0,2.0,384.0,,1.0,118.0,8.0,1.0,30.0,2958.0,30.0,45.0,130.0,7.0,14.0,57.0,248.0,213.0,,1.0,38.0991,17.0,1.0,42.0,32.0,66.0,96.0,25.0,10.0,241.0,3.0,75.0,41.0,35.0,6.0,,15.0,161.0,25.0,2.0,38.0,123.0,73.0,0.0,,369.0,43.0,225.0,9.0,17.0,1.0,125.0,24.0,5.0,4.0,88.0,778.0,1.0,8.0,4.0,92.0,2.0,25.392,2.0,10.0,27.0,24.0,23.0321,6.0,,27.0,5.0,12.0,4.0,20.0,3.0,21.0,,,6.0,,,2.0,8.0,33.0,2.0,10.0,,15.0,4.0,2.0,20.0,23.0,3.0,4.0,,,,3.0,,,,,,,,,,,,,,,,,
595480,Floyd Samba,Midfielder,Man City,43,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204936,Gianluigi Donnarumma,Goalkeeper,Man City,43,Italy,2025-26,2.0,,0.1484,0.0,,,,6.0,34.0,34.0,173.0,,879.0,105.0,,17.0,15.0,,,3060.0,,1.0,22.0,7.0,2.0,6.0,578.0,1.0,,,34.7727,1.0,35.0,43.0,29.0,1.0,181.0,4.0,0.0,24.0,,431.0,235.0,34.0,,,,56.0,22.0,,,7.0,16.0,0.0,193.0,706.0,,179.0,,2.0,,267.0,,1.0,128.0,,1160.0,,,89.0,650.0,,,8.0,167.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14.0,19.0,1.0,1.0,1.0,27.0,78.0,7.0,6.0,3.0,30.0,25.0,56.0,,,
432720,James Trafford,Goalkeeper,Man City,43,England,2025-26,,,0.001,0.0,,2.0,,3.0,4.0,4.0,31.0,,118.0,15.0,,1.0,1.0,,,360.0,,,5.0,,1.0,4.0,74.0,,,1.0,8.5347,,7.0,6.0,6.0,,23.0,1.0,0.0,5.0,,60.0,35.0,4.0,1.0,,,3.0,6.0,,,4.0,1.0,0.0,22.0,96.0,,31.0,1.0,1.0,,35.0,,,13.0,,158.0,,,18.0,84.0,,,0.0,28.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,1.0,,1.0,14.0,1.0,,,6.0,5.0,10.0,,,
97299,John Stones,Defender,Man City,43,England,2025-26,6.0,,0.0876,0.0,,1.0,,14.0,9.0,5.0,20.0,4.0,302.0,1.0,4.0,13.0,,,,439.0,,2.0,14.0,1.0,5.0,3.0,275.0,2.0,,1.0,10.0816,1.0,,21.0,10.0,4.0,65.0,,0.0,20.0,3.0,102.0,19.0,9.0,,,,119.0,9.0,4.0,1.0,7.0,11.0,0.0,1.0,297.0,,28.0,1.0,2.0,6.0,110.0,,3.0,7.0,25.0,351.0,,3.0,4.0,163.0,,,0.0,6.0,8.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
477424,Josko Gvardiol,Defender,Man City,43,Croatia,2025-26,48.0,1.0,0.7146,0.0,6.0,18.0,13.0,71.0,18.0,16.0,111.0,1.0,1047.0,23.0,2.0,53.0,5.0,1.0,4.0,1374.0,4.0,24.0,56.0,3.0,20.0,27.0,898.0,32.0,1.0,,15.1987,2.0,7.0,61.0,13.0,24.0,417.0,7.0,0.0,104.0,8.0,366.0,50.0,18.0,5.0,1.0,4.0,495.0,10.0,1.0,8.0,51.0,29.0,0.0,23.0,1010.0,7.0,135.0,13.0,2.0,10.0,191.0,16.0,15.0,38.0,73.0,1249.0,14.0,4.0,20.0,442.0,7.0,2.3961,2.0,40.0,41.0,4.0,2.5209,3.0,,2.0,,0.0,3.0,1.0,1.0,,,,1.0,1.0,,2.0,2.0,1.0,,,1.0,2.0,,,1.0,2.0,,3.0,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,
