playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,goalKicks,substituteOn,aerialDuels,cleanSheets,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,gkUnsuccessfulDistribution,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,awayGoals,oboxBlocked,goalsConcededOutsideBox,leftFootGoals,unsuccessfulCornersIntoBox,handballsConceded,secondGoalAssists,successfulCrossesOpenPlay,overruns,goalAssists,successfulLayoffs,foulWonPenalty,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,unsuccessfulLayoffs,throwInsToOppositionPlayer,homeGoals,oboxTarget,shotsBlockedOutsideBox,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried,savesMadeFromInsideBox,rightFootGoals,hitWoodwork,penaltiesTaken,headedGoals,penaltyGoals,setPiecesGoals,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,ownGoalScored,lastPlayerTackle,clearancesOffTheLine
434043,Alex Robertson,Midfielder,Man City,43,Australia,2022-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146941,Aymeric Laporte,Defender,Man City,43,Spain,2022-23,0.0,0.0,0.0,29.0,0.4489,14.0,3.0,1.0,0.0733,11.0,7.0,1.0,43.0,12.0,8.0,11.0,65.0,6.0,947.0,1.0,6.0,1.0,43.0,3.0,1.0,993.0,1.0,19.0,44.0,11.0,20.0,856.0,13.0,1.0,12.7261,5.0,1.0,30.0,10.0,3.0,10.0,416.0,7.0,0.0,73.0,6.0,304.0,55.0,12.0,3.0,1.0,458.0,10.0,6.0,1.0,3.0,30.0,24.0,5.0,920.0,6.0,1.0,76.0,8.0,2.0,4.0,1.0,161.0,5.0,3.0,26.0,66.0,1051.0,10.0,1.0,7.0,424.0,2.0,0.4561,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244932,Ben Knight,Midfielder,Man City,43,England,2022-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165809,Bernardo Silva,Midfielder,Man City,43,Portugal,2022-23,0.0,0.0,5.0,132.0,3.9693,52.0,10.0,10.0,1.9577,44.0,15.0,3.0,112.0,34.0,23.0,24.0,155.0,59.0,1418.0,2.0,1.0,10.0,17.0,3.0,4.0,2203.0,4.0,13.0,91.0,44.0,87.0,1204.0,96.0,3.0,22.3323,26.0,4.0,6.0,24.0,8.0,119.0,376.0,15.0,0.0,223.0,17.0,256.0,122.0,34.0,21.0,29.0,751.0,19.0,62.0,60.0,8.0,206.0,4.0,1.0,1396.0,5.0,17.0,317.0,23.0,28.0,6.0,,396.0,31.0,16.0,59.0,390.0,1844.0,41.0,8.0,23.0,525.0,23.0,2.1557,43.0,28.0,4.0,2.0,2.0,5.0,4.0,2.0,2.0,1.0,13.0,1.0,5.0,9.0,1.0,7.0,2.0,13.0,1.0,7.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
244851,Cole Palmer,Midfielder,Man City,43,England,2022-23,0.0,0.0,1.0,21.0,0.5116,3.0,6.0,4.0,0.6317,5.0,5.0,,18.0,14.0,,2.0,21.0,5.0,185.0,1.0,,12.0,4.0,1.0,4.0,358.0,4.0,3.0,28.0,2.0,27.0,160.0,36.0,1.0,7.9374,4.0,,2.0,4.0,5.0,18.0,49.0,6.0,0.0,49.0,1.0,26.0,20.0,14.0,4.0,7.0,123.0,4.0,5.0,15.0,5.0,45.0,1.0,,184.0,1.0,3.0,55.0,1.0,16.0,1.0,,30.0,1.0,1.0,4.0,80.0,274.0,1.0,,,43.0,1.0,1.5055,3.0,5.0,,,1.0,,,,,,2.0,1.0,1.0,3.0,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
121160,Ederson,Goalkeeper,Man City,43,Brazil,2022-23,0.0,0.0,3.0,3.0,0.2303,,,,,3.0,,1.0,10.0,35.0,,35.0,173.0,,1109.0,,152.0,,10.0,11.0,,3150.0,,1.0,15.0,1.0,6.0,754.0,,3.0,25.4125,,10.0,22.0,32.0,,2.0,323.0,4.0,0.0,18.0,,486.0,215.0,35.0,2.0,,50.0,28.0,,,,8.0,9.0,270.0,890.0,,,178.0,1.0,,,29.0,300.0,1.0,1.0,182.0,,1358.0,,,56.0,886.0,1.0,,163.0,63.0,,,,4.0,,,,,,,1.0,,,,,,,,,,,12.0,14.0,3.0,3.0,1.0,12.0,46.0,3.0,7.0,1.0,5.0,32.0,,,,,,,,,,,,,
223094,Erling Haaland,Forward,Man City,43,Norway,2022-23,0.0,0.0,5.0,129.0,3.1304,66.0,16.0,60.0,25.3423,3.0,107.0,4.0,120.0,35.0,28.0,33.0,121.0,12.0,480.0,8.0,,2.0,100.0,6.0,21.0,2776.0,21.0,50.0,88.0,29.0,38.0,357.0,227.0,2.0,20.8687,22.0,,14.0,26.0,15.0,79.0,98.0,24.0,10.0,217.0,8.0,78.0,37.0,35.0,1.0,18.0,225.0,21.0,12.0,44.0,15.0,117.0,50.0,,437.0,47.0,24.0,238.0,2.0,11.0,4.0,,144.0,31.0,3.0,2.0,160.0,830.0,1.0,12.0,,134.0,6.0,28.5005,1.0,23.0,36.0,14.0,1.0,5.0,23.0,,,1.0,,3.0,8.0,25.0,1.0,1.0,3.0,,8.0,1.0,22.0,3.0,1.0,,,,,,,,,,,,,6.0,5.0,7.0,7.0,7.0,,,,,,,,
59859,Ilkay Gündogan,Midfielder,Man City,43,Germany,2022-23,0.0,0.0,0.0,103.0,4.3914,61.0,13.0,20.0,6.3829,30.0,41.0,18.0,161.0,31.0,32.0,27.0,181.0,12.0,1540.0,6.0,,4.0,32.0,6.0,7.0,2357.0,7.0,12.0,91.0,42.0,71.0,1299.0,91.0,2.0,17.343,33.0,,12.0,20.0,8.0,91.0,518.0,25.0,4.0,194.0,15.0,339.0,155.0,31.0,12.0,19.0,861.0,16.0,20.0,46.0,8.0,162.0,20.0,,1503.0,21.0,18.0,281.0,18.0,17.0,3.0,,356.0,23.0,20.0,60.0,327.0,1874.0,5.0,10.0,6.0,508.0,17.0,7.5791,20.0,34.0,8.0,3.0,5.0,4.0,2.0,7.0,,2.0,4.0,3.0,4.0,32.0,2.0,21.0,5.0,10.0,2.0,,5.0,5.0,5.0,,,,,,,,,,,,,6.0,3.0,1.0,,,1.0,6.0,5.0,5.0,0.4224,,,
114283,Jack Grealish,Midfielder,Man City,43,England,2022-23,0.0,0.0,4.0,109.0,6.7206,42.0,12.0,16.0,4.1541,25.0,29.0,6.0,115.0,28.0,20.0,23.0,123.0,31.0,989.0,3.0,,5.0,31.0,6.0,10.0,2063.0,10.0,17.0,165.0,49.0,151.0,844.0,146.0,2.0,11.5401,43.0,,7.0,16.0,8.0,92.0,410.0,78.0,3.0,274.0,14.0,168.0,110.0,28.0,9.0,28.0,624.0,14.0,41.0,57.0,8.0,243.0,14.0,,973.0,13.0,23.0,267.0,16.0,48.0,3.0,,58.0,27.0,7.0,22.0,353.0,1430.0,24.0,12.0,1.0,254.0,15.0,4.6554,8.0,21.0,5.0,4.0,4.0,2.0,1.0,9.0,2.0,,7.0,4.0,7.0,16.0,1.0,24.0,1.0,12.0,,1.0,1.0,1.0,4.0,,,,,,,,,,,,,3.0,2.0,,1.0,,,4.0,,,,,,
97299,John Stones,Defender,Man City,43,England,2022-23,0.0,0.0,2.0,34.0,0.9746,16.0,2.0,3.0,0.7342,23.0,9.0,1.0,83.0,23.0,10.0,21.0,102.0,6.0,1511.0,1.0,3.0,2.0,49.0,5.0,1.0,1848.0,1.0,16.0,70.0,17.0,37.0,1345.0,27.0,1.0,14.3187,6.0,3.0,38.0,17.0,2.0,18.0,312.0,8.0,1.0,104.0,7.0,397.0,90.0,23.0,10.0,1.0,645.0,15.0,6.0,5.0,2.0,55.0,33.0,3.0,1490.0,6.0,2.0,124.0,13.0,6.0,10.0,,622.0,10.0,9.0,64.0,180.0,1711.0,44.0,5.0,7.0,764.0,4.0,1.0458,19.0,40.0,2.0,0.0,,2.0,1.0,,,,,1.0,2.0,6.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,
447880,Josh Wilson-Esbrand,Defender,Man City,43,England,2022-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
