playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,punches,ownGoalScored,savesMade,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,leftFootGoals,secondGoalAssists,unsuccessfulLayoffs,headedGoals,clearancesOffTheLine,penaltiesConceded,penaltiesFaced,goalkeeperSmother,penaltiesTaken,setPiecesGoals,penaltyGoals
42593,Aleksandar Kolarov,Defender,Man City,43,Serbia,2013-14,73.0,11.0,13.0,1.835,51.0,3.0,30.0,1020.0,1.0,2.0,1.0,9.0,9.0,7.0,7.0,15.0,5.0,107.0,4.0,1.0,18.7473,28.0,8.0,2.0,36.0,1.0,140.0,30.0,1.0,16.0,81.0,30.0,6.0,1005.0,29.0,362.0,41.0,6.0,35.0,13.0,4.0,50.0,195.0,1686.0,170.0,1.0,344.0,3.0,46.0,43.0,22.0,3.9088,0.0,0.2978,6.0,42.0,146.0,7.0,4.0,1.0,21.0,192.0,75.0,10.0,53.0,8.0,5.0,26.0,1970.0,145.0,46.0,778.0,56.0,26.0,61.0,21.0,58.0,446.0,218.0,18.0,0.0,344.0,5.0,10.0,2.0,510.0,16.0,2.0,165.0,38.0,0.0,32.0,22.0,3.0,31.0,1.0,9.0,28.0,4.0,1.9489,2.0,,,,,,,,,,,,,,,,,,,,,,,,
56827,Costel Pantilimon,Goalkeeper,Man City,43,Romania,2013-14,,,,,1.0,,7.0,173.0,,,,,,,,,1.0,1.0,,,6.0343,,18.0,,,0.0,51.0,7.0,,,,,,88.0,,75.0,,,21.0,,,49.0,,245.0,,,68.0,,71.0,15.0,,0.0049,0.0,,,,2.0,,,,7.0,73.0,,,2.0,3.0,,,630.0,3.0,,51.0,,,7.0,7.0,,21.0,3.0,,,131.0,,1.0,,32.0,6.0,,1.0,2.0,0.0,,,,,,,37.0,,,1.0,8.0,13.0,51.0,6.0,5.0,1.0,17.0,2.0,2.0,58.0,26.0,7.0,4.0,,,,,,,,,,,
20664,David Silva,Midfielder,Man City,43,Spain,2013-14,126.0,22.0,14.0,6.6083,32.0,33.0,27.0,1869.0,7.0,2.0,4.0,6.0,1.0,5.0,5.0,9.0,2.0,101.0,18.0,1.0,23.0853,77.0,1.0,16.0,41.0,3.0,121.0,27.0,1.0,15.0,70.0,68.0,2.0,1834.0,17.0,392.0,26.0,2.0,396.0,23.0,30.0,52.0,390.0,2328.0,10.0,3.0,456.0,2.0,16.0,26.0,8.0,8.1141,0.0,0.1633,,31.0,205.0,9.0,117.0,1.0,26.0,221.0,36.0,58.0,18.0,5.0,2.0,32.0,2173.0,110.0,61.0,1596.0,142.0,,9.0,21.0,117.0,549.0,236.0,32.0,3.0,534.0,2.0,6.0,,1224.0,19.0,16.0,218.0,9.0,0.0,26.0,29.0,,15.0,14.0,6.0,3.0,12.0,7.5427,5.0,,,,,,,,,,,,,,5.0,2.0,5.0,1.0,,,,,,,
80235,Dedryck Boyata,Defender,Man City,43,Belgium,2013-14,3.0,1.0,,,1.0,,1.0,48.0,,,,,,,,2.0,,1.0,,,0.8088,2.0,,1.0,,0.0,5.0,1.0,,,2.0,,,48.0,,4.0,1.0,,24.0,2.0,,2.0,6.0,56.0,3.0,,13.0,,,,,0.0649,0.0,,,,2.0,,,,1.0,2.0,2.0,,2.0,,,,55.0,1.0,,44.0,2.0,,1.0,,1.0,5.0,4.0,,,13.0,,,,33.0,,1.0,2.0,,0.0,2.0,,,,1.0,,,,0.0975,0.0,,,,,,,,,,,,,,,,,,,,,,,,
42544,Edin Dzeko,Forward,Man City,43,Bosnia & Herzegovina,2013-14,187.0,20.0,38.0,15.73,15.0,8.0,31.0,714.0,16.0,8.0,10.0,7.0,8.0,16.0,16.0,98.0,5.0,49.0,,1.0,23.1651,19.0,,13.0,26.0,6.0,37.0,31.0,7.0,18.0,17.0,56.0,,688.0,45.0,302.0,12.0,,146.0,28.0,,31.0,214.0,1047.0,2.0,2.0,144.0,3.0,5.0,16.0,,2.2195,0.0,,4.0,83.0,183.0,1.0,99.0,2.0,23.0,188.0,17.0,1.0,184.0,4.0,6.0,,1991.0,135.0,33.0,495.0,161.0,,16.0,22.0,89.0,193.0,322.0,13.0,6.0,161.0,6.0,3.0,,382.0,17.0,13.0,138.0,86.0,0.0,18.0,12.0,3.0,5.0,13.0,7.0,1.0,6.0,14.0179,4.0,,,,,,,,,,,,,,5.0,2.0,14.0,4.0,,,,,,,
27789,Fernandinho,Midfielder,Man City,43,Brazil,2013-14,171.0,6.0,11.0,3.3739,97.0,12.0,33.0,1681.0,5.0,,1.0,4.0,4.0,2.0,2.0,16.0,5.0,153.0,,1.0,29.1246,38.0,3.0,2.0,23.0,0.0,185.0,33.0,5.0,14.0,9.0,41.0,,1655.0,17.0,277.0,71.0,,449.0,52.0,,88.0,209.0,2116.0,6.0,1.0,602.0,2.0,21.0,52.0,3.0,4.2282,0.0,,1.0,28.0,175.0,3.0,57.0,,29.0,196.0,9.0,,57.0,9.0,4.0,3.0,2608.0,194.0,49.0,1397.0,40.0,,46.0,30.0,155.0,449.0,365.0,32.0,4.0,574.0,4.0,26.0,,886.0,25.0,2.0,308.0,41.0,0.0,12.0,35.0,2.0,58.0,5.0,4.0,4.0,26.0,3.4604,8.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
1632,Gareth Barry,Midfielder,Man City,43,England,2013-14,159.0,5.0,5.0,1.9769,86.0,3.0,32.0,2155.0,3.0,1.0,0.0,2.0,,,,43.0,7.0,135.0,2.0,3.0,34.6956,38.0,5.0,3.0,40.0,1.0,215.0,32.0,1.0,5.0,15.0,29.0,,2103.0,7.0,359.0,67.0,,489.0,50.0,,227.0,193.0,2604.0,10.0,,760.0,1.0,57.0,56.0,3.0,1.7813,0.0,,1.0,12.0,228.0,4.0,42.0,,32.0,285.0,15.0,2.0,89.0,13.0,2.0,5.0,2849.0,181.0,59.0,1643.0,38.0,3.0,79.0,29.0,116.0,666.0,340.0,30.0,3.0,807.0,2.0,19.0,1.0,1115.0,22.0,3.0,251.0,46.0,0.0,6.0,14.0,18.0,51.0,1.0,2.0,10.0,26.0,1.4344,10.0,,,,,,,,,,,,,,1.0,,3.0,1.0,1.0,1.0,,,,,
17336,Gaël Clichy,Defender,Man City,43,France,2013-14,50.0,1.0,,,57.0,,20.0,1040.0,,,,,2.0,,,17.0,2.0,77.0,,,20.9555,13.0,3.0,1.0,10.0,0.0,113.0,20.0,,2.0,31.0,9.0,,1035.0,,219.0,44.0,,60.0,8.0,,51.0,125.0,1465.0,113.0,,359.0,,25.0,31.0,7.0,1.0447,0.0,,1.0,,122.0,,6.0,,18.0,147.0,31.0,,39.0,8.0,,7.0,1660.0,99.0,39.0,842.0,5.0,15.0,64.0,20.0,33.0,444.0,149.0,26.0,,411.0,,13.0,,541.0,18.0,1.0,110.0,22.0,0.0,7.0,11.0,3.0,40.0,,,21.0,3.0,0.0942,1.0,,,,,,,,,,,,,,,,,,,,,,,,
49384,Jack Rodwell,Midfielder,Man City,43,England,2013-14,7.0,2.0,,,2.0,,5.0,49.0,,,,,4.0,,,2.0,1.0,2.0,,,1.0487,1.0,,2.0,,0.0,4.0,5.0,,,,1.0,,48.0,2.0,11.0,2.0,,15.0,2.0,,2.0,8.0,63.0,,,19.0,,,1.0,,0.0732,0.0,,,2.0,8.0,,2.0,,1.0,8.0,,,6.0,1.0,,,109.0,6.0,2.0,39.0,4.0,,2.0,2.0,5.0,15.0,13.0,1.0,,11.0,,,,22.0,1.0,2.0,7.0,4.0,0.0,,,,1.0,,,,1.0,0.234,0.0,,,,,,,,,,,,,,,,,,,,,,,,
15157,James Milner,Midfielder,Man City,43,England,2013-14,114.0,14.0,6.0,1.7818,31.0,3.0,31.0,750.0,1.0,3.0,1.0,9.0,19.0,4.0,4.0,29.0,5.0,68.0,8.0,,15.3785,26.0,1.0,5.0,20.0,0.0,81.0,31.0,1.0,23.0,76.0,48.0,,737.0,5.0,276.0,28.0,,200.0,22.0,7.0,30.0,172.0,1106.0,25.0,1.0,161.0,1.0,20.0,13.0,11.0,2.8269,0.0,,8.0,11.0,100.0,4.0,28.0,1.0,12.0,120.0,69.0,23.0,45.0,4.0,1.0,18.0,1358.0,84.0,37.0,600.0,64.0,,11.0,19.0,85.0,167.0,198.0,24.0,0.0,211.0,1.0,3.0,,487.0,14.0,5.0,153.0,16.0,0.0,33.0,18.0,1.0,10.0,3.0,9.0,13.0,7.0,1.2637,3.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
