playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goals,substituteOn,aerialDuels,cleanSheets,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,goalAssists,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,throwInsToOppositionPlayer,penaltyGoalsConceded,oboxTarget,unsuccessfulCrossesAndCorners,cornersWon,hitWoodwork,shotsBlockedOutsideBox,throughBalls,successfulLayoffs,cornersTakenInclShortCorners,unsuccessfulLayoffs,penaltiesConceded,successfulCornersIntoBox,leftFootGoals,unsuccessfulCornersIntoBox,secondGoalAssists,savesMadeFromOutsideBox,savesMadeCaught,punches,savesMade,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,expectedGoalsFreekick,setPiecesGoals,rightFootGoals,freekickTotal,attemptsFromSetPieces,catches,penaltiesFaced,goalkeeperSmother,ownGoalScored,redCards2ndYellow,clearancesOffTheLine,penaltiesTaken,penaltyGoals,winningGoal,foulWonPenalty
146941,Aymeric Laporte,Defender,Man City,43,Spain,2019-20,28.0,0.4847,0.0,1.0,2.0,1.0685,13.0,3.0,48.0,15.0,14.0,86.0,1148.0,1.0,1.0,38.0,3.0,1.0,1104.0,1.0,13.0,48.0,4.0,6.0,23.0,1003.0,8.0,9.6903,3.0,3.0,26.0,5.0,1.0,15.0,501.0,9.0,76.0,1.0,414.0,70.0,15.0,7.0,1.0,458.0,1.0,1.0,1.0,38.0,25.0,0.0,1139.0,1.0,89.0,6.0,2.0,5.0,175.0,9.0,20.0,59.0,58.0,1247.0,5.0,8.0,17.0,604.0,2.0,1.0,0.5205,1.0,38.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102826,Benjamin Mendy,Defender,Man City,43,France,2019-20,74.0,1.4387,0.0,7.0,1.0,0.0842,18.0,3.0,97.0,19.0,18.0,128.0,1103.0,,1.0,34.0,5.0,,1496.0,,19.0,53.0,4.0,28.0,38.0,943.0,12.0,10.6695,18.0,8.0,17.0,13.0,2.0,55.0,613.0,1.0,127.0,8.0,217.0,83.0,19.0,3.0,8.0,640.0,9.0,,2.0,93.0,15.0,0.0,1088.0,2.0,241.0,15.0,19.0,2.0,38.0,12.0,16.0,32.0,235.0,1477.0,110.0,6.0,24.0,357.0,4.0,,0.356,3.0,31.0,38.0,22.0,2.0,64.0,1.0,5.0,1.0,22.0,5.0,1.0,1.0,64.0,14.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165809,Bernardo Silva,Midfielder,Man City,43,Portugal,2019-20,112.0,6.0924,0.0,23.0,15.0,5.2717,36.0,29.0,113.0,34.0,23.0,134.0,1374.0,6.0,11.0,38.0,8.0,8.0,2029.0,8.0,24.0,110.0,8.0,45.0,96.0,1201.0,153.0,20.7015,44.0,1.0,12.0,24.0,16.0,88.0,347.0,20.0,222.0,24.0,251.0,129.0,34.0,18.0,15.0,919.0,16.0,1.0,16.0,184.0,14.0,0.0,1340.0,14.0,254.0,18.0,40.0,1.0,387.0,23.0,24.0,39.0,389.0,1797.0,27.0,10.0,13.0,338.0,15.0,1.0,5.9803,5.0,21.0,25.0,16.0,7.0,53.0,2.0,7.0,1.0,17.0,,1.0,1.0,55.0,21.0,2.0,7.0,1.0,14.0,22.0,1.0,1.0,1.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
33148,Claudio Bravo,Goalkeeper,Man City,43,Chile,2019-20,,0.0007,0.0,,,,,,2.0,4.0,3.0,28.0,119.0,,1.0,1.0,1.0,,346.0,,,2.0,2.0,,1.0,69.0,,4.4725,,3.0,3.0,7.0,,,18.0,,2.0,,63.0,25.0,4.0,,,8.0,5.0,,,1.0,1.0,0.0,81.0,,29.0,,1.0,,38.0,,,22.0,,149.0,,,10.0,83.0,,,,0.0,26.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,2.0,8.0,1.0,37.0,8.0,4.0,3.0,,,,,,,,,,,,,,,
244851,Cole Palmer,Midfielder,Man City,43,England,2019-20,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20664,David Silva,Midfielder,Man City,43,Spain,2019-20,85.0,5.4543,0.0,15.0,18.0,5.0098,26.0,32.0,148.0,27.0,22.0,159.0,1483.0,6.0,5.0,27.0,4.0,9.0,1832.0,9.0,20.0,86.0,2.0,36.0,79.0,1294.0,185.0,19.6923,39.0,1.0,5.0,15.0,13.0,65.0,436.0,20.0,171.0,15.0,367.0,86.0,27.0,12.0,11.0,940.0,13.0,,13.0,144.0,7.0,0.0,1430.0,14.0,259.0,14.0,33.0,3.0,336.0,20.0,13.0,30.0,344.0,1790.0,5.0,12.0,4.0,387.0,14.0,1.0,6.3723,0.0,11.0,17.0,3.0,10.0,26.0,3.0,2.0,3.0,3.0,,3.0,3.0,30.0,19.0,1.0,2.0,12.0,33.0,9.0,1.0,,,5.0,2.0,1.0,,,,,,,,,,0.3984,2.0,1.0,5.0,5.0,,,,,,,,,,
121160,Ederson,Goalkeeper,Man City,43,Brazil,2019-20,6.0,0.2075,1.0,,,,2.0,,6.0,35.0,35.0,126.0,899.0,,,14.0,16.0,,3072.0,,1.0,16.0,7.0,,3.0,649.0,,30.3807,1.0,10.0,24.0,28.0,,5.0,271.0,2.0,22.0,,375.0,248.0,35.0,,,41.0,21.0,,,8.0,13.0,1.0,699.0,,134.0,2.0,,,253.0,2.0,3.0,124.0,,1205.0,1.0,,48.0,732.0,2.0,,,3.0,120.0,30.0,,,,,,,,,3.0,,,,,,2.0,,,,,,,,,18.0,3.0,8.0,68.0,2.0,288.0,29.0,19.0,50.0,,,,,,12.0,3.0,3.0,,,,,,,
432656,Eric García,Defender,Man City,43,Spain,2019-20,34.0,0.1033,0.0,,1.0,0.0344,6.0,2.0,33.0,13.0,8.0,50.0,728.0,,5.0,31.0,3.0,1.0,790.0,1.0,20.0,25.0,2.0,7.0,14.0,652.0,3.0,6.065,2.0,4.0,31.0,7.0,,14.0,226.0,2.0,59.0,2.0,216.0,38.0,13.0,5.0,2.0,275.0,5.0,,,28.0,11.0,0.0,722.0,1.0,54.0,1.0,6.0,,247.0,9.0,18.0,26.0,39.0,812.0,1.0,2.0,15.0,404.0,3.0,,0.5426,1.0,17.0,29.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27789,Fernandinho,Midfielder,Man City,43,Brazil,2019-20,96.0,1.0216,2.0,4.0,2.0,0.1434,50.0,13.0,139.0,30.0,26.0,226.0,2222.0,,4.0,123.0,6.0,2.0,2399.0,2.0,49.0,154.0,7.0,22.0,80.0,1863.0,23.0,22.7559,7.0,8.0,80.0,26.0,3.0,47.0,641.0,17.0,250.0,12.0,796.0,148.0,30.0,15.0,,891.0,19.0,,3.0,127.0,74.0,1.0,2182.0,11.0,256.0,35.0,13.0,16.0,703.0,26.0,25.0,133.0,82.0,2543.0,12.0,3.0,41.0,1105.0,15.0,2.0,1.0481,7.0,87.0,87.0,,1.0,4.0,1.0,1.0,,,,1.0,,4.0,5.0,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,
205651,Gabriel Jesus,Forward,Man City,43,Brazil,2019-20,161.0,2.2621,0.0,20.0,48.0,17.1811,17.0,81.0,76.0,34.0,21.0,82.0,609.0,14.0,13.0,112.0,6.0,28.0,2027.0,28.0,71.0,131.0,3.0,41.0,90.0,508.0,191.0,17.1133,25.0,,6.0,14.0,19.0,90.0,190.0,29.0,292.0,25.0,71.0,85.0,34.0,7.0,15.0,394.0,11.0,2.0,19.0,180.0,41.0,0.0,594.0,33.0,186.0,10.0,44.0,1.0,145.0,27.0,11.0,19.0,203.0,991.0,4.0,9.0,4.0,135.0,14.0,2.0,18.4872,3.0,6.0,14.0,2.0,7.0,4.0,19.0,1.0,6.0,2.0,,3.0,6.0,4.0,28.0,3.0,1.0,1.0,36.0,1.0,4.0,,,5.0,,,,,,,,,,,,,,7.0,,,,,,,,,1.0,,,
