playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,totalTackles,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,awayGoals,oboxBlocked,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,goalAssists,successfulLayoffs,substituteOn,iboxTarget,shotsOnTargetInBox,unsuccessfulDribbles,timesTackled,shotsOffTargetIncWoodwork,foulWonPenalty,goals,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,successfulCornersIntoBox,oboxTarget,rightFootGoals,leftFootGoals,hitWoodwork,catches,savesMadeCaught,savesMade,goalkeeperSmother,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeFromInsideBox,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,offsides,unsuccessfulCornersIntoBox,secondGoalAssists,penaltiesSaved,savesMadeFromOutsideBox,penaltiesFaced,savesFromPenalty,punches,drops,savesMadeParried,clearancesOffTheLine,penaltiesTaken,headedGoals,penaltyGoals,setPiecesGoals,ownGoalScored,redCards2ndYellow,penaltiesConceded
146941,Aymeric Laporte,Defender,Man City,43,Spain,2017-18,23.0,1.0,0.3168,0.0,3.0,8.0,1.0,40.0,9.0,9.0,61.0,1.0,811.0,0.0,2.0,33.0,4.0,1.0,807.0,9.0,39.0,2.0,4.0,15.0,708.0,1.0,2.0,3.4005,2.0,3.0,26.0,5.0,1.0,14.0,314.0,4.0,0.0,62.0,1.0,0.0,315.0,90.0,9.0,1.0,363.0,3.0,1.0,1.0,29.0,24.0,0.0,799.0,2.0,66.0,7.0,3.0,1.0,149.0,10.0,11.0,42.0,33.0,889.0,11.0,1.0,2.0,11.0,388.0,5.0,1.0,0.088,1.0,21.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102826,Benjamin Mendy,Defender,Man City,43,France,2017-18,23.0,8.0,0.5746,0.0,1.0,5.0,,24.0,7.0,4.0,27.0,31.0,188.0,0.0,,9.0,2.0,8.0,361.0,4.0,14.0,1.0,15.0,9.0,159.0,7.0,4.0,3.1197,8.0,,8.0,1.0,1.0,19.0,97.0,1.0,0.0,37.0,5.0,0.0,49.0,21.0,7.0,1.0,116.0,,31.0,1.0,28.0,5.0,0.0,184.0,12.0,78.0,4.0,3.0,,5.0,6.0,8.0,2.0,37.0,325.0,40.0,1.0,,1.0,53.0,3.0,,0.1304,2.0,3.0,4.0,1.0,0.0333,4.0,1.0,2.0,3.0,1.0,1.0,5.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165809,Bernardo Silva,Midfielder,Man City,43,Portugal,2017-18,84.0,8.0,2.6378,0.0,1.0,27.0,2.0,104.0,35.0,15.0,122.0,41.0,935.0,2.0,,19.0,6.0,9.0,1520.0,14.0,88.0,2.0,38.0,83.0,792.0,102.0,,11.2809,27.0,,10.0,10.0,1.0,70.0,113.0,27.0,3.0,172.0,16.0,4.0,170.0,73.0,35.0,9.0,628.0,8.0,41.0,1.0,153.0,5.0,0.0,920.0,14.0,235.0,18.0,29.0,1.0,325.0,9.0,10.0,21.0,327.0,1237.0,14.0,6.0,,8.0,194.0,7.0,1.0,3.7837,0.0,18.0,19.0,14.0,4.8151,24.0,4.0,30.0,20.0,6.0,6.0,12.0,38.0,10.0,1.0,6.0,10.0,2.0,5.0,2.0,2.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216183,Brahim Díaz,Midfielder,Man City,43,Morocco,2017-18,5.0,,0.0339,0.0,1.0,1.0,,3.0,5.0,,3.0,1.0,28.0,0.0,,3.0,,,50.0,3.0,6.0,,3.0,6.0,24.0,10.0,,0.8521,,1.0,,1.0,1.0,2.0,7.0,4.0,0.0,11.0,3.0,0.0,3.0,8.0,5.0,1.0,20.0,1.0,1.0,1.0,8.0,,0.0,28.0,,14.0,,1.0,,2.0,1.0,1.0,1.0,16.0,55.0,,,,,5.0,,1.0,0.4847,0.0,,1.0,1.0,0.9426,2.0,,1.0,5.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33148,Claudio Bravo,Goalkeeper,Man City,43,Chile,2017-18,1.0,,0.0004,0.0,,,,1.0,3.0,2.0,5.0,,55.0,0.0,,1.0,1.0,,225.0,,3.0,,,2.0,40.0,,,1.5573,,2.0,,1.0,,1.0,15.0,1.0,0.0,4.0,,0.0,29.0,21.0,3.0,,1.0,1.0,,,3.0,1.0,0.0,40.0,,7.0,,,,11.0,,,10.0,,81.0,,,,2.0,49.0,,,,0.0,4.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,2.0,2.0,4.0,3.0,1.0,22.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
100180,Danilo,Defender,Man City,43,Brazil,2017-18,42.0,3.0,0.7633,0.0,2.0,43.0,2.0,75.0,23.0,13.0,112.0,21.0,1111.0,1.0,1.0,22.0,7.0,3.0,1341.0,6.0,77.0,2.0,26.0,61.0,966.0,30.0,12.0,13.3918,4.0,3.0,28.0,11.0,1.0,36.0,308.0,10.0,0.0,119.0,9.0,2.0,289.0,65.0,23.0,14.0,585.0,9.0,21.0,1.0,97.0,16.0,0.0,1102.0,5.0,172.0,29.0,8.0,6.0,338.0,12.0,19.0,33.0,176.0,1446.0,104.0,2.0,1.0,18.0,417.0,6.0,1.0,1.1192,2.0,37.0,25.0,7.0,2.2882,17.0,2.0,3.0,10.0,2.0,2.0,5.0,9.0,10.0,,3.0,,2.0,,,2.0,2.0,1.0,1.0,,,,,,,,,0.0666,1.0,1.0,,,,,,,,,,,,,,,,,,
20664,David Silva,Midfielder,Man City,43,Spain,2017-18,107.0,8.0,8.1091,0.0,12.0,32.0,18.0,240.0,29.0,28.0,269.0,33.0,2429.0,6.0,4.0,28.0,10.0,16.0,2435.0,11.0,120.0,2.0,66.0,103.0,2116.0,143.0,,18.2701,50.0,,6.0,18.0,8.0,96.0,694.0,36.0,5.0,227.0,23.0,3.0,654.0,135.0,29.0,11.0,1544.0,16.0,58.0,8.0,199.0,17.0,0.0,2388.0,29.0,410.0,21.0,38.0,5.0,595.0,21.0,18.0,44.0,486.0,2832.0,7.0,8.0,4.0,6.0,632.0,16.0,,7.2175,5.0,29.0,41.0,20.0,8.0315,42.0,11.0,127.0,1.0,8.0,8.0,11.0,40.0,22.0,,9.0,48.0,3.0,5.0,9.0,3.0,,9.0,1.0,,,,,,,,,0.1772,2.0,2.0,4.0,19.0,2.0,,,,,,,,,,,,,,,
121160,Ederson,Goalkeeper,Man City,43,Brazil,2017-18,1.0,,0.0227,0.0,,1.0,,3.0,36.0,36.0,136.0,,928.0,0.0,,12.0,16.0,,3195.0,,20.0,6.0,1.0,8.0,645.0,,,24.3684,1.0,14.0,29.0,26.0,,1.0,255.0,6.0,0.0,21.0,1.0,0.0,473.0,286.0,36.0,,44.0,20.0,,,9.0,12.0,0.0,688.0,,147.0,1.0,1.0,,200.0,,,147.0,,1236.0,,1.0,,63.0,748.0,,,,1.0,133.0,39.0,,,,,,,,,,1.0,,,,,,,,,,,,15.0,5.0,58.0,15.0,1.0,278.0,49.0,37.0,,,,,,,2.0,19.0,2.0,2.0,14.0,4.0,20.0,,,,,,,,
41823,Fabian Delph,Midfielder,Man City,43,England,2017-18,77.0,3.0,1.358,0.0,4.0,46.0,,84.0,22.0,21.0,113.0,10.0,1614.0,0.0,4.0,52.0,3.0,3.0,1746.0,31.0,114.0,3.0,31.0,93.0,1449.0,3.0,14.0,12.6582,9.0,3.0,35.0,17.0,,46.0,812.0,18.0,0.0,191.0,16.0,1.0,392.0,149.0,22.0,12.0,898.0,14.0,10.0,,139.0,21.0,0.0,1594.0,3.0,172.0,34.0,30.0,,124.0,15.0,30.0,52.0,286.0,2043.0,158.0,6.0,4.0,14.0,606.0,12.0,,0.2533,2.0,29.0,41.0,3.0,1.008,6.0,2.0,2.0,1.0,,,2.0,12.0,3.0,,1.0,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27789,Fernandinho,Midfielder,Man City,43,Brazil,2017-18,175.0,,5.0261,0.0,11.0,62.0,18.0,229.0,34.0,33.0,296.0,9.0,2975.0,2.0,10.0,170.0,13.0,,2885.0,76.0,204.0,6.0,61.0,110.0,2574.0,42.0,,22.2355,18.0,7.0,65.0,24.0,1.0,99.0,811.0,27.0,1.0,379.0,32.0,3.0,872.0,207.0,34.0,27.0,1600.0,18.0,9.0,1.0,209.0,94.0,0.0,2917.0,9.0,376.0,35.0,22.0,6.0,945.0,41.0,47.0,105.0,347.0,3410.0,7.0,5.0,10.0,23.0,1079.0,27.0,1.0,2.1081,7.0,67.0,90.0,19.0,3.5628,36.0,3.0,70.0,1.0,6.0,6.0,3.0,23.0,17.0,,5.0,1.0,8.0,1.0,,8.0,3.0,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,
