playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,groundDuelsLost,winningGoal,duels,recoveries,appearances,totalShots,unsuccessfulShortPasses,gamesPlayed,unsuccessfulDribbles,successfulPassesOppositionHalf,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,timesTackled,groundDuels,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,substituteOn,totalLossesOfPossession,blocks,totalFoulsConceded,interceptions,successfulLongPasses,timePlayed,touches,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,totalTouchesInOppositionBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,throughBalls,goalAssists,successfulLayoffs,foulWonPenalty,starts,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,totalFoulsWon,homeGoals,tacklesLost,leftFootGoals,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,aerialDuelsWon,cornersWon,tacklesWon,successfulDribbles,attemptsFromSetPieces,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLayoffs,handballsConceded,setPiecesGoals,penaltiesTaken,rightFootGoals,headedGoals,penaltyGoals,redCards2ndYellow,throwInsToOppositionPlayer,ownGoalScored,clearancesOffTheLine,penaltiesConceded,lastPlayerTackle,punches,catches,savesMade,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,goalkeeperSmother,forwardPasses,drops,crossesNotClaimed,savesMadeParried,penaltiesSaved,savesFromPenalty
80506,Abdisalam Abdulkadir Ibrahim,Midfielder,Man City,43,Norway,2009-10,5.0,0.0,5.0,0.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,6.0,2.0,5.0,0.0,6.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,14.0,12.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19959,Adam Johnson,Midfielder,Man City,43,England,2009-10,67.0,0.0,62.0,0.0,129.0,78.0,16.0,11.0,60.0,16.0,31.0,256.0,83.0,424.0,48.0,123.0,0.0,415.0,6.0,2.0,231.0,2.0,10.0,24.0,24.0,1178.0,767.0,12.0,106.0,317.0,40.0,1.0,23.0,16.0,6.0,6.0,5.0,16.0,10.0,5.0,7.0,2.0,14.0,50.0,1.0,4.0,1.0,49.0,6.0,3.0,21.0,5.0,62.0,1.0,61.0,12.0,1.0,28.0,2.0,5.0,8.0,17.0,0.0,5.0,1.0,7.0,92.0,1.0,20.0,11.0,28.0,2.0,33.0,12.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77796,Alex Nimely,Forward,Man City,43,England,2009-10,,0.0,,0.0,,1.0,1.0,1.0,,1.0,,3.0,,4.0,,,0.0,4.0,1.0,1.0,,,,,,7.0,5.0,,1.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11991,Benjani,Forward,Man City,43,Zimbabwe,2009-10,30.0,0.0,11.0,0.0,39.0,4.0,10.0,3.0,17.0,10.0,,32.0,18.0,61.0,7.0,15.0,0.0,61.0,2.0,8.0,26.0,1.0,5.0,2.0,1.0,246.0,91.0,1.0,11.0,42.0,6.0,0.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,8.0,,2.0,,,4.0,,,24.0,,,19.0,9.0,1.0,4.0,,1.0,1.0,,,4.0,3.0,,,,3.0,,5.0,2.0,1.0,,,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20312,Carlos Tevez,Forward,Man City,43,Argentina,2009-10,226.0,0.0,203.0,14.0,368.0,132.0,35.0,101.0,187.0,35.0,59.0,736.0,205.0,1118.0,152.0,341.0,0.0,1104.0,45.0,3.0,421.0,1.0,43.0,17.0,80.0,2868.0,1736.0,4.0,184.0,833.0,171.0,6.0,18.0,23.0,7.0,25.0,56.0,30.0,48.0,7.0,90.0,,32.0,38.0,23.0,16.0,8.0,8.0,27.0,5.0,7.0,23.0,142.0,4.0,138.0,,4.0,46.0,,2.0,38.0,63.0,15.0,10.0,5.0,34.0,47.0,4.0,49.0,20.0,45.0,11.0,6.0,3.0,11.0,4.0,8.0,8.0,1.0,5.0,17.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
1231,Craig Bellamy,Forward,Man City,43,Wales,2009-10,115.0,1.0,106.0,2.0,198.0,122.0,32.0,43.0,151.0,32.0,30.0,530.0,176.0,916.0,69.0,187.0,0.0,899.0,18.0,6.0,386.0,3.0,29.0,43.0,25.0,2378.0,1434.0,8.0,243.0,715.0,92.0,3.0,25.0,31.0,10.0,16.0,25.0,35.0,15.0,8.0,74.0,1.0,26.0,76.0,10.0,22.0,6.0,71.0,11.0,5.0,33.0,9.0,83.0,5.0,81.0,19.0,5.0,42.0,4.0,12.0,37.0,23.0,4.0,7.0,3.0,32.0,132.0,2.0,39.0,28.0,23.0,4.0,44.0,11.0,6.0,1.0,5.0,1.0,,,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
77637,David Ball,Forward,Man City,43,England,2009-10,,0.0,,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80235,Dedryck Boyata,Defender,Man City,43,Belgium,2009-10,8.0,0.0,6.0,0.0,15.0,7.0,3.0,,9.0,3.0,1.0,7.0,11.0,39.0,3.0,12.0,0.0,39.0,,2.0,18.0,,3.0,2.0,2.0,124.0,64.0,5.0,21.0,26.0,,1.0,2.0,5.0,,,,4.0,,,,,1.0,,,,,,3.0,,,2.0,7.0,2.0,6.0,,,,1.0,10.0,2.0,1.0,,,,,,1.0,,4.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17500,Emmanuel Adebayor,Forward,Man City,43,Togo,2009-10,258.0,0.0,168.0,12.0,381.0,74.0,26.0,46.0,174.0,26.0,35.0,519.0,178.0,817.0,118.0,243.0,0.0,817.0,22.0,1.0,339.0,1.0,40.0,5.0,28.0,2212.0,1244.0,2.0,123.0,611.0,121.0,1.0,4.0,21.0,3.0,10.0,24.0,15.0,16.0,3.0,107.0,1.0,25.0,20.0,14.0,46.0,6.0,,138.0,7.0,3.0,90.0,123.0,5.0,75.0,,1.0,34.0,1.0,31.0,26.0,30.0,8.0,3.0,1.0,21.0,21.0,48.0,20.0,12.0,30.0,,,13.0,5.0,,21.0,3.0,,,10.0,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
1632,Gareth Barry,Midfielder,Man City,43,England,2009-10,187.0,0.0,127.0,0.0,423.0,247.0,34.0,20.0,316.0,34.0,7.0,835.0,399.0,1772.0,54.0,312.0,0.0,1719.0,12.0,,601.0,8.0,64.0,82.0,140.0,2996.0,2458.0,33.0,565.0,1233.0,67.0,4.0,83.0,88.0,4.0,11.0,8.0,113.0,20.0,7.0,78.0,1.0,34.0,36.0,2.0,4.0,2.0,53.0,111.0,10.0,27.0,60.0,236.0,6.0,185.0,18.0,4.0,45.0,6.0,90.0,40.0,56.0,0.0,22.0,2.0,34.0,80.0,51.0,15.0,91.0,16.0,1.0,32.0,27.0,3.0,1.0,3.0,10.0,,,,,,,6.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
