playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,totalTackles,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goalKicks,oboxBlocked,aerialDuels,cleanSheets,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,successfulCornersIntoBox,throwInsToOppositionPlayer,penaltyGoalsConceded,shotsBlockedInBox,homeGoals,rightFootGoals,leftFootGoals,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,unsuccessfulCornersIntoBox,clearancesOffTheLine,handballsConceded,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,drops,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,freekickTotal,attemptsFromSetPieces,hitWoodwork,expectedGoalsFreekick,shotsOnTargetOutsideBox,penaltiesTaken,oboxTarget,headedGoals,penaltyGoals,foulWonPenalty,setPiecesGoals,secondGoalAssists,redCards2ndYellow
578153,Abdukodir Khusanov,Defender,Man City,43,Uzbekistan,2024-25,11.0,0.0859,0.0,1.0,5.0,17.0,6.0,6.0,34.0,1.0,391.0,1.0,1.0,11.0,2.0,504.0,4.0,14.0,1.0,4.0,7.0,352.0,1.0,6.3379,1.0,2.0,1.0,28.0,6.0,7.0,43.0,3.0,0.0,25.0,1.0,138.0,27.0,6.0,1.0,1.0,2.0,133.0,5.0,1.0,3.0,14.0,7.0,0.0,1.0,384.0,40.0,4.0,4.0,173.0,3.0,3.0,5.0,37.0,450.0,3.0,1.0,1.0,12.0,224.0,2.0,0.0192,1.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165809,Bernardo Silva,Midfielder,Man City,43,Portugal,2024-25,126.0,4.5439,0.0,11.0,56.0,146.0,33.0,29.0,185.0,41.0,1678.0,,2.0,16.0,9.0,2667.0,11.0,121.0,4.0,64.0,116.0,1447.0,148.0,38.4394,,49.0,5.0,30.0,36.0,115.0,360.0,32.0,2.0,247.0,29.0,305.0,107.0,33.0,19.0,,26.0,926.0,32.0,48.0,60.0,231.0,5.0,0.0,,1603.0,322.0,37.0,7.0,596.0,27.0,23.0,46.0,417.0,2163.0,42.0,2.0,2.0,29.0,579.0,22.0,3.8971,7.0,39.0,38.0,10.0,12.0,1.0,4.7944,21.0,4.0,4.0,27.0,4.0,3.0,0.0,4.0,16.0,12.0,8.0,8.0,1.0,1.0,2.0,4.0,9.0,4.0,1.0,3.0,9.0,9.0,22.0,28.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
575204,Claudio Echeverri,Midfielder,Man City,43,Argentina,2024-25,1.0,0.0067,0.0,,1.0,,1.0,,,,3.0,,,,,5.0,,1.0,,,1.0,3.0,,0.7649,,,,,,1.0,1.0,,0.0,2.0,,1.0,1.0,1.0,1.0,,,3.0,,,1.0,2.0,,0.0,,3.0,1.0,,,1.0,,,,,5.0,,,,,,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487837,Divin Mubama,Forward,Man City,43,England,2024-25,2.0,0.0006,0.0,1.0,,1.0,1.0,,1.0,,3.0,,,1.0,,27.0,1.0,,,1.0,,2.0,1.0,,,,,,,1.0,,,0.0,2.0,,,1.0,1.0,,,,2.0,,,1.0,1.0,,0.0,,3.0,2.0,,,1.0,,,,2.0,5.0,,,,,,,0.0366,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121160,Ederson,Goalkeeper,Man City,43,Brazil,2024-25,4.0,0.1862,0.0,,,11.0,26.0,26.0,112.0,,815.0,77.0,,5.0,10.0,2321.0,1.0,5.0,2.0,1.0,1.0,564.0,,30.4092,,,33.0,16.0,26.0,3.0,250.0,,0.0,9.0,,377.0,164.0,26.0,,,,60.0,24.0,,,4.0,4.0,0.0,175.0,706.0,113.0,,,188.0,1.0,1.0,139.0,,1017.0,,1.0,,71.0,643.0,1.0,,4.0,101.0,32.0,,,,,,1.0,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,12.0,11.0,2.0,2.0,1.0,5.0,54.0,7.0,1.0,10.0,10.0,42.0,,,,,,,,,,,,,
223094,Erling Haaland,Forward,Man City,43,Norway,2024-25,125.0,2.0175,0.0,16.0,11.0,121.0,31.0,31.0,122.0,2.0,375.0,,4.0,108.0,6.0,2741.0,51.0,94.0,5.0,21.0,37.0,251.0,204.0,40.6967,,26.0,,22.0,38.0,74.0,67.0,13.0,7.0,219.0,11.0,62.0,34.0,31.0,5.0,,20.0,173.0,33.0,2.0,47.0,111.0,57.0,0.0,,369.0,218.0,6.0,1.0,130.0,24.0,5.0,2.0,116.0,696.0,1.0,6.0,4.0,1.0,81.0,5.0,22.0106,2.0,1.0,24.0,1.0,60.0,,23.5729,92.0,1.0,3.0,25.0,22.0,4.0,11.0,,,1.0,37.0,37.0,17.0,,,3.0,12.0,11.0,2.0,16.0,12.0,32.0,18.0,13.0,,,1.0,,,,,,,,,,,,,1.0,1.0,4.0,0.0587,1.0,4.0,1.0,4.0,3.0,,,,
59859,Ilkay Gündogan,Midfielder,Man City,43,Germany,2024-25,81.0,4.437,0.0,8.0,25.0,102.0,33.0,25.0,125.0,15.0,1634.0,,6.0,25.0,3.0,2227.0,11.0,83.0,2.0,36.0,69.0,1457.0,72.0,32.5761,,38.0,1.0,22.0,28.0,70.0,564.0,27.0,1.0,164.0,15.0,285.0,116.0,33.0,12.0,,16.0,945.0,26.0,48.0,41.0,139.0,14.0,0.0,,1572.0,249.0,13.0,,407.0,15.0,13.0,52.0,378.0,1963.0,4.0,13.0,6.0,10.0,576.0,8.0,3.2338,1.0,23.0,32.0,2.0,7.0,1.0,1.3294,19.0,7.0,6.0,102.0,1.0,1.0,1.0,8.0,46.0,12.0,2.0,2.0,2.0,8.0,,3.0,2.0,0.0,1.0,,2.0,12.0,8.0,17.0,28.0,,,,,,,,,,,,,,,2.0,2.0,2.0,0.208,4.0,,4.0,,,1.0,,,
114283,Jack Grealish,Midfielder,Man City,43,England,2024-25,39.0,1.6873,0.0,6.0,9.0,35.0,20.0,7.0,37.0,13.0,412.0,,1.0,8.0,1.0,715.0,7.0,48.0,,21.0,47.0,365.0,75.0,11.2481,,23.0,,5.0,10.0,32.0,174.0,25.0,1.0,87.0,10.0,70.0,26.0,20.0,4.0,,9.0,300.0,10.0,17.0,25.0,79.0,1.0,0.0,,402.0,90.0,5.0,2.0,44.0,5.0,2.0,10.0,124.0,570.0,4.0,5.0,1.0,1.0,78.0,2.0,1.128,3.0,2.0,4.0,3.0,5.0,1.0,1.5697,9.0,,1.0,5.0,1.0,,0.0,13.0,9.0,3.0,2.0,2.0,,1.0,,2.0,5.0,1.0,1.0,,5.0,4.0,19.0,13.0,4.0,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,
516250,Jacob Wright,Midfielder,Man City,43,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554194,Jahmai Simpson-Pusey,Defender,Man City,43,England,2024-25,4.0,0.0152,0.0,,1.0,4.0,2.0,1.0,8.0,,114.0,1.0,,4.0,,95.0,3.0,3.0,,,2.0,105.0,1.0,1.553,,,,2.0,2.0,1.0,33.0,1.0,0.0,7.0,,25.0,3.0,2.0,1.0,,,35.0,2.0,,,3.0,1.0,0.0,1.0,110.0,9.0,,1.0,51.0,,,1.0,5.0,125.0,1.0,,,2.0,71.0,,,1.0,4.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
