playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,groundDuelsLost,rightsidePasses,winningGoal,duels,forwardPasses,appearances,unsuccessfulShortPasses,gamesPlayed,unsuccessfulDribbles,successfulPassesOppositionHalf,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,timesTackled,groundDuels,straightRedCards,openPlayPasses,substituteOn,totalLossesOfPossession,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,timePlayed,touches,successfulPassesOwnHalf,successfulShortPasses,yellowCards,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,foulWonPenalty,starts,unsuccessfulCrossesOpenPlay,goals,offsides,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,aerialDuelsLost,duelsWon,groundDuelsWon,successfulCornersIntoBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,totalFoulsWon,recoveries,tacklesLost,leftFootGoals,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,interceptions,unsuccessfulCornersIntoBox,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,unsuccessfulLongPasses,overruns,awayGoals,goalsConcededOutsideBox,totalTouchesInOppositionBox,penaltyGoalsConceded,homeGoals,aerialDuelsWon,penaltiesTaken,rightFootGoals,headedGoals,secondGoalAssists,unsuccessfulLayoffs,handballsConceded,penaltyGoals,redCards2ndYellow,lastPlayerTackle,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,penaltiesConceded,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,clearancesOffTheLine,otherGoals,setPiecesGoals
93666,Abdul Razak,Midfielder,Man City,43,Cote d’Ivoire,2011-12,2.0,0.0,2.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,12.0,1.0,2.0,0.0,12.0,1.0,2.0,3.0,1.0,2.0,2.0,10.0,14.0,6.0,9.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19959,Adam Johnson,Midfielder,Man City,43,England,2011-12,58.0,0.0,56.0,,,94.0,,26.0,59.0,26.0,25.0,381.0,70.0,567.0,,92.0,0.0,,16.0,,,8.0,25.0,,1137.0,816.0,131.0,472.0,1.0,6.0,7.0,10.0,14.0,13.0,25.0,17.0,2.0,26.0,1.0,10.0,27.0,6.0,4.0,35.0,2.0,3.0,15.0,2.0,36.0,36.0,8.0,2.0,36.0,1.0,3.0,7.0,9.0,60.0,5.0,6.0,7.0,44.0,11.0,17.0,8.0,14.0,1.0,1.0,14.0,17.0,8.0,6.0,3.0,6.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42593,Aleksandar Kolarov,Defender,Man City,43,Serbia,2011-12,38.0,0.0,29.0,208.0,2.0,87.0,164.0,12.0,49.0,12.0,8.0,232.0,80.0,445.0,10.0,65.0,0.0,438.0,3.0,178.0,12.0,13.0,15.0,61.0,821.0,743.0,149.0,350.0,1.0,21.0,12.0,9.0,5.0,17.0,16.0,,4.0,2.0,,9.0,52.0,2.0,2.0,14.0,22.0,4.0,16.0,9.0,49.0,36.0,4.0,9.0,10.0,4.0,28.0,9.0,14.0,37.0,4.0,2.0,7.0,67.0,11.0,16.0,13.0,5.0,,8.0,9.0,9.0,63.0,1.0,,33.0,31.0,2.0,0.0,2.0,21.0,1.0,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20312,Carlos Tevez,Forward,Man City,43,Argentina,2011-12,52.0,0.0,50.0,107.0,0.0,91.0,102.0,13.0,49.0,13.0,11.0,289.0,53.0,401.0,37.0,87.0,0.0,395.0,6.0,123.0,102.0,8.0,13.0,90.0,601.0,558.0,59.0,335.0,1.0,3.0,,10.0,15.0,11.0,23.0,17.0,3.0,32.0,,7.0,7.0,4.0,4.0,6.0,4.0,,,2.0,39.0,37.0,,,29.0,,1.0,4.0,13.0,24.0,5.0,,3.0,10.0,8.0,9.0,6.0,13.0,1.0,2.0,4.0,3.0,1.0,7.0,,,4.0,4.0,3.0,1.0,62.0,,1.0,2.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
56827,Costel Pantilimon,Goalkeeper,Man City,43,Romania,2011-12,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7459,David Pizarro,Midfielder,Man City,43,Chile,2011-12,9.0,0.0,9.0,44.0,0.0,15.0,44.0,5.0,7.0,5.0,,71.0,11.0,137.0,5.0,15.0,0.0,132.0,4.0,21.0,28.0,3.0,18.0,21.0,164.0,166.0,57.0,108.0,0.0,2.0,,1.0,,2.0,,5.0,1.0,10.0,,1.0,1.0,,,5.0,,,2.0,,6.0,6.0,3.0,,4.0,,1.0,1.0,4.0,17.0,1.0,,,3.0,,,1.0,,,,4.0,2.0,,1.0,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20664,David Silva,Midfielder,Man City,43,Spain,2011-12,148.0,0.0,138.0,508.0,2.0,273.0,571.0,36.0,242.0,36.0,34.0,1355.0,261.0,2020.0,90.0,259.0,0.0,1992.0,3.0,506.0,568.0,25.0,56.0,373.0,2817.0,2640.0,440.0,1703.0,0.0,18.0,11.0,32.0,30.0,47.0,55.0,77.0,15.0,157.0,1.0,33.0,47.0,6.0,7.0,69.0,14.0,7.0,36.0,10.0,125.0,121.0,21.0,,89.0,,11.0,25.0,36.0,148.0,14.0,5.0,21.0,95.0,25.0,29.0,33.0,38.0,1.0,2.0,37.0,37.0,27.0,18.0,2.0,3.0,19.0,2.0,3.0,4.0,182.0,1.0,3.0,4.0,,1.0,,1.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
80235,Dedryck Boyata,Defender,Man City,43,Belgium,2011-12,37.0,0.0,33.0,25.0,0.0,90.0,262.0,14.0,65.0,14.0,4.0,191.0,100.0,446.0,15.0,79.0,0.0,438.0,1.0,186.0,117.0,11.0,17.0,42.0,1123.0,775.0,157.0,329.0,3.0,21.0,2.0,2.0,2.0,32.0,5.0,4.0,,14.0,1.0,13.0,12.0,1.0,,,11.0,,2.0,4.0,53.0,46.0,,46.0,5.0,7.0,42.0,34.0,6.0,68.0,7.0,,28.0,12.0,3.0,2.0,25.0,8.0,7.0,,34.0,,87.0,2.0,,20.0,35.0,,0.0,6.0,13.0,1.0,1.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
42544,Edin Dzeko,Forward,Man City,43,Bosnia & Herzegovina,2011-12,124.0,0.0,76.0,153.0,8.0,220.0,132.0,30.0,152.0,30.0,16.0,274.0,159.0,510.0,56.0,137.0,0.0,509.0,14.0,298.0,113.0,23.0,18.0,112.0,1497.0,877.0,81.0,333.0,1.0,23.0,4.0,21.0,36.0,14.0,71.0,19.0,3.0,67.0,1.0,16.0,17.0,14.0,9.0,,83.0,4.0,4.0,48.0,96.0,61.0,,1.0,30.0,,19.0,17.0,25.0,52.0,5.0,5.0,13.0,17.0,35.0,21.0,9.0,22.0,2.0,,15.0,,,6.0,1.0,3.0,7.0,5.0,9.0,4.0,136.0,,5.0,35.0,,5.0,4.0,,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
17500,Emmanuel Adebayor,Forward,Man City,43,Togo,2011-12,257.0,0.0,192.0,356.0,8.0,397.0,190.0,33.0,206.0,33.0,35.0,708.0,217.0,1131.0,140.0,268.0,0.0,1125.0,1.0,505.0,205.0,52.0,34.0,380.0,2840.0,1704.0,210.0,880.0,3.0,20.0,4.0,10.0,48.0,26.0,90.0,9.0,11.0,122.0,1.0,32.0,15.0,17.0,52.0,1.0,129.0,11.0,4.0,65.0,140.0,76.0,,,50.0,,26.0,26.0,23.0,86.0,9.0,1.0,20.0,15.0,42.0,24.0,17.0,27.0,2.0,,22.0,,16.0,7.0,,2.0,11.0,14.0,8.0,6.0,233.0,,9.0,64.0,4.0,14.0,2.0,,23.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
