playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throughBalls,foulWonPenalty,cleanSheets,penaltiesConceded,throwInsToOppositionPlayer,penaltyGoalsConceded,handballsConceded,catches,savesMadeFromOutsideBox,goalKicks,penaltiesFaced,punches,savesMade,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,lastPlayerTackle,clearancesOffTheLine,rightFootGoals,headedGoals,penaltiesSaved,savesMadeCaught,savesFromPenalty,goalkeeperSmother,setPiecesGoals,successfulCornersIntoBox,ownGoalScored,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,expectedGoalsFreekick,cornersTakenInclShortCorners,penaltiesTaken,penaltyGoals
155511,Adam Armstrong,Forward,Southampton,20,England,2022-23,95.0,2.0,0.7704,33.0,0.0,4.0,12.0,4.0,2.8635,14.0,21.0,60.0,30.0,1.0,3.0,15.0,14.0,70.0,12.0,285.0,2.0,2.0,0.0,3.0,16.0,26.0,3.0,2.0,7.0,1334.0,7.0,1.0,21.0,43.0,3.0,33.0,38.0,206.0,47.0,18.3398,10.0,1.0,5.0,24.0,1.0,74.0,84.0,9.0,1.0,138.0,12.0,2.0,57.0,54.0,30.0,3.0,5.0,2.0,25.0,135.0,21.0,12.0,48.0,1.0,112.0,5.0,0.0,253.0,9.0,11.0,157.0,9.0,15.0,3.0,33.0,17.0,5.0,9.0,111.0,498.0,3.0,14.0,1.0,3.0,6.0,82.0,9.0,2.0704,2.0,10.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200439,Ché Adams,Forward,Southampton,20,Scotland,2022-23,185.0,2.0,2.2082,60.0,0.0,11.0,15.0,,3.6005,17.0,36.0,147.0,28.0,3.0,23.0,30.0,23.0,156.0,10.0,481.0,5.0,14.0,4.0,1.0,5.0,164.0,1.0,2.0,9.0,1998.0,9.0,5.0,103.0,125.0,2.0,26.0,64.0,303.0,108.0,28.0824,21.0,,22.0,41.0,10.0,82.0,150.0,27.0,2.0,310.0,9.0,1.0,119.0,53.0,28.0,1.0,4.0,,13.0,245.0,39.0,10.0,41.0,10.0,146.0,61.0,0.0,478.0,21.0,9.0,275.0,13.0,20.0,4.0,106.0,38.0,4.0,22.0,106.0,797.0,3.0,10.0,2.0,1.0,6.0,82.0,11.0,6.5991,1.0,9.0,22.0,6.0,,1.0,,1.0,1.0,4.0,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,
494543,Dom Ballard,Forward,Southampton,20,England,2022-23,6.0,,0.0011,2.0,0.0,,,,,,,2.0,2.0,,,1.0,,2.0,,6.0,,,,,2.0,5.0,,,,24.0,,,4.0,1.0,,,,4.0,,1.0093,,,,,,2.0,,,0.0,7.0,,,1.0,2.0,2.0,,,,1.0,3.0,,,2.0,,2.0,1.0,0.0,5.0,,,7.0,,,,1.0,,1.0,,4.0,13.0,1.0,,,,,1.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504783,Kamaldeen Sulemana,Forward,Southampton,20,Ghana,2022-23,81.0,2.0,1.0341,38.0,0.0,5.0,7.0,6.0,1.8522,15.0,19.0,49.0,18.0,1.0,7.0,17.0,10.0,58.0,16.0,244.0,2.0,2.0,0.0,1.0,8.0,19.0,2.0,2.0,3.0,968.0,3.0,,14.0,68.0,2.0,28.0,63.0,176.0,49.0,13.4325,13.0,,4.0,20.0,4.0,67.0,71.0,12.0,0.0,149.0,16.0,2.0,49.0,39.0,18.0,2.0,6.0,,31.0,145.0,18.0,16.0,48.0,4.0,130.0,5.0,0.0,239.0,12.0,9.0,165.0,9.0,36.0,,44.0,9.0,6.0,10.0,80.0,501.0,1.0,8.0,,1.0,4.0,43.0,6.0,1.6951,1.0,9.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,
81205,Mislav Orsic,Forward,Southampton,20,Croatia,2022-23,,,0.0002,1.0,0.0,,,,,1.0,,,1.0,,,,,1.0,,2.0,,1.0,,,1.0,,,,,6.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,0.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,0.0,2.0,,,1.0,1.0,,,,,,,1.0,4.0,1.0,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431131,Moussa Djenepo,Forward,Southampton,20,Mali,2022-23,58.0,4.0,0.4348,11.0,0.0,,2.0,,0.1734,19.0,3.0,33.0,16.0,2.0,,6.0,7.0,47.0,8.0,207.0,,1.0,,,9.0,13.0,,4.0,2.0,704.0,2.0,,10.0,62.0,2.0,28.0,59.0,154.0,19.0,9.7405,7.0,3.0,7.0,14.0,,48.0,73.0,19.0,0.0,120.0,17.0,,68.0,56.0,16.0,,8.0,,16.0,89.0,12.0,8.0,23.0,,107.0,3.0,0.0,204.0,1.0,6.0,103.0,11.0,21.0,2.0,8.0,11.0,11.0,6.0,58.0,398.0,15.0,5.0,,,12.0,75.0,6.0,0.1668,1.0,14.0,17.0,,,,,9.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147611,Paul Onuachu,Forward,Southampton,20,Nigeria,2022-23,59.0,,0.0688,9.0,0.0,2.0,5.0,,0.5768,3.0,9.0,35.0,11.0,,6.0,8.0,4.0,36.0,,91.0,,6.0,,,7.0,68.0,2.0,,3.0,405.0,3.0,2.0,31.0,55.0,2.0,7.0,18.0,51.0,25.0,4.653,4.0,,4.0,7.0,2.0,28.0,37.0,6.0,0.0,114.0,3.0,,22.0,14.0,11.0,2.0,1.0,,4.0,37.0,5.0,,13.0,2.0,46.0,37.0,0.0,90.0,4.0,2.0,71.0,2.0,9.0,1.0,17.0,14.0,,4.0,15.0,172.0,,4.0,1.0,,,18.0,5.0,1.2796,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499724,Sam Amo-Ameyaw,Forward,Southampton,20,England,2022-23,3.0,,0.003,,0.0,,,,,,,1.0,1.0,,,,,1.0,,6.0,,,,,1.0,1.0,,,,3.0,,,1.0,3.0,,,3.0,5.0,,0.9262,1.0,,,,,2.0,1.0,,0.0,6.0,,,,1.0,1.0,,,,1.0,4.0,,,1.0,,5.0,,0.0,6.0,,,2.0,,3.0,,2.0,,,,3.0,11.0,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476888,Sékou Mara,Forward,Southampton,20,France,2022-23,100.0,,0.3266,27.0,0.0,2.0,5.0,3.0,0.9823,14.0,15.0,33.0,22.0,2.0,6.0,11.0,4.0,35.0,1.0,103.0,1.0,3.0,0.0,,18.0,65.0,1.0,,3.0,541.0,3.0,,40.0,58.0,1.0,15.0,33.0,67.0,26.0,5.526,4.0,,5.0,10.0,2.0,60.0,19.0,6.0,0.0,158.0,11.0,1.0,25.0,25.0,22.0,1.0,4.0,,16.0,44.0,9.0,1.0,34.0,2.0,93.0,25.0,0.0,101.0,10.0,4.0,104.0,10.0,13.0,,27.0,20.0,1.0,1.0,32.0,261.0,,4.0,,,,24.0,8.0,1.0137,1.0,2.0,5.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
20467,Theo Walcott,Forward,Southampton,20,England,2022-23,56.0,4.0,1.7057,21.0,0.0,5.0,8.0,1.0,0.4768,13.0,15.0,56.0,20.0,2.0,12.0,13.0,13.0,65.0,17.0,240.0,2.0,15.0,1.0,1.0,7.0,17.0,2.0,4.0,4.0,1134.0,4.0,1.0,8.0,44.0,,10.0,35.0,173.0,45.0,18.6447,13.0,,7.0,30.0,4.0,48.0,28.0,10.0,0.0,100.0,7.0,1.0,70.0,53.0,20.0,2.0,7.0,1.0,10.0,110.0,30.0,17.0,22.0,4.0,83.0,9.0,0.0,235.0,7.0,9.0,130.0,6.0,12.0,1.0,63.0,7.0,9.0,2.0,79.0,416.0,1.0,11.0,1.0,1.0,4.0,69.0,4.0,2.2216,1.0,9.0,18.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,
