playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,expectedGoalsFreekick,foulWonPenalty,offsides,unsuccessfulLayoffs,shotsBlockedInBox,freekickTotal,iboxBlocked,attemptsFromSetPieces,throwInsToOppositionPlayer,goals,awayGoals,homeGoals,headedGoals,penaltiesConceded,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,leftFootGoals,rightFootGoals,hitWoodwork,redCards2ndYellow,drops,penaltiesTaken,penaltyGoals
59044,Adam Clayton,Midfielder,Middlesbrough,25,England,2016-17,156.0,6.0,1.4052,0.0,3.0,2.0,0.4025,79.0,8.0,2.0,122.0,34.0,2.0,12.0,32.0,183.0,10.0,1450.0,3.0,2.0,6.0,37.0,10.0,1.0,8.0,1.0,2806.0,1.0,17.0,158.0,6.0,39.0,138.0,1154.0,2.0,6.0,4.0,47.6183,18.0,6.0,40.0,45.0,139.0,406.0,42.0,0.0,314.0,27.0,422.0,215.0,34.0,1.0,23.0,7.0,652.0,39.0,15.0,32.0,277.0,20.0,0.0,1412.0,6.0,2.0,258.0,56.0,19.0,21.0,435.0,52.0,66.0,3.0,2.0,113.0,187.0,1889.0,3.0,4.0,3.0,22.0,623.0,32.0,2.0,0.3938,10.0,61.0,53.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80179,Adam Forshaw,Midfielder,Middlesbrough,25,England,2016-17,169.0,5.0,2.0003,0.0,9.0,6.0,1.0817,62.0,19.0,8.0,117.0,34.0,1.0,70.0,30.0,158.0,21.0,1353.0,6.0,4.0,24.0,58.0,8.0,4.0,10.0,2.0,2700.0,2.0,41.0,133.0,5.0,53.0,116.0,1096.0,4.0,30.0,4.0,38.7815,27.0,1.0,22.0,36.0,128.0,417.0,32.0,0.0,302.0,31.0,289.0,176.0,34.0,4.0,19.0,10.0,634.0,31.0,41.0,44.0,244.0,17.0,0.0,1334.0,13.0,12.0,282.0,43.0,22.0,4.0,342.0,33.0,36.0,16.0,,99.0,305.0,1769.0,7.0,9.0,6.0,11.0,571.0,20.0,,1.6488,4.0,41.0,40.0,1.0,0.0677,1.0,1.0,3.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
159533,Adama Traoré,Forward,Middlesbrough,25,Spain,2016-17,146.0,16.0,1.8497,0.0,3.0,2.0,1.2591,30.0,8.0,6.0,99.0,27.0,1.0,17.0,16.0,111.0,63.0,369.0,2.0,11.0,,38.0,3.0,,16.0,2.0,1535.0,2.0,23.0,223.0,1.0,25.0,208.0,246.0,,44.0,2.0,26.6375,17.0,3.0,5.0,22.0,123.0,53.0,42.0,0.0,369.0,11.0,107.0,97.0,27.0,,3.0,44.0,191.0,21.0,63.0,94.0,331.0,15.0,0.0,366.0,6.0,15.0,343.0,27.0,136.0,2.0,119.0,20.0,6.0,,,12.0,90.0,882.0,3.0,7.0,2.0,7.0,83.0,7.0,1.0,1.0898,1.0,12.0,25.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
44302,Adlène Guédioura,Midfielder,Middlesbrough,25,Algeria,2016-17,72.0,4.0,0.7075,0.0,5.0,4.0,0.4311,25.0,14.0,3.0,69.0,17.0,1.0,23.0,9.0,105.0,11.0,418.0,5.0,8.0,13.0,30.0,,2.0,9.0,1.0,857.0,1.0,11.0,73.0,2.0,14.0,54.0,282.0,4.0,6.0,1.0,16.6725,7.0,3.0,10.0,20.0,61.0,130.0,9.0,0.0,145.0,8.0,125.0,67.0,17.0,2.0,3.0,5.0,200.0,18.0,24.0,29.0,115.0,19.0,0.0,406.0,10.0,4.0,183.0,22.0,20.0,1.0,100.0,22.0,12.0,8.0,,31.0,63.0,637.0,7.0,5.0,5.0,13.0,122.0,13.0,2.0,0.5194,2.0,36.0,20.0,,0.154,,1.0,1.0,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
15633,Alex Baptiste,Defender,Middlesbrough,25,England,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20399,Antonio Barragán,Defender,Middlesbrough,25,Spain,2016-17,86.0,17.0,1.5117,0.0,1.0,,,72.0,2.0,1.0,127.0,26.0,,5.0,26.0,206.0,54.0,1027.0,,,,43.0,7.0,,17.0,,2196.0,,22.0,129.0,6.0,34.0,108.0,759.0,,17.0,2.0,32.5078,9.0,11.0,70.0,32.0,64.0,83.0,20.0,0.0,215.0,16.0,426.0,131.0,26.0,,19.0,7.0,374.0,26.0,54.0,15.0,172.0,21.0,0.0,999.0,2.0,12.0,355.0,53.0,16.0,13.0,367.0,27.0,59.0,,,62.0,151.0,1665.0,172.0,3.0,,42.0,464.0,13.0,,0.093,5.0,79.0,62.0,,,,1.0,,1.0,,1.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,
83312,Ben Gibson,Defender,Middlesbrough,25,England,2016-17,100.0,,1.0906,0.0,4.0,6.0,2.1012,31.0,11.0,,113.0,38.0,1.0,3.0,38.0,259.0,,1682.0,1.0,,,128.0,11.0,2.0,,3.0,3420.0,3.0,67.0,122.0,7.0,23.0,61.0,1275.0,,21.0,4.0,54.7159,2.0,33.0,234.0,53.0,33.0,561.0,15.0,0.0,222.0,10.0,671.0,135.0,38.0,2.0,9.0,1.0,441.0,46.0,,9.0,94.0,61.0,0.0,1640.0,5.0,1.0,283.0,22.0,17.0,31.0,302.0,19.0,57.0,,1.0,148.0,148.0,2150.0,6.0,,1.0,92.0,982.0,7.0,,1.2574,4.0,146.0,91.0,,,,1.0,,3.0,,3.0,,,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
55317,Bernardo Espinosa,Defender,Middlesbrough,25,Colombia,2016-17,63.0,,0.1716,0.0,,1.0,0.0736,22.0,2.0,,43.0,11.0,,,10.0,78.0,,526.0,,1.0,,62.0,3.0,,,1.0,975.0,1.0,35.0,55.0,2.0,12.0,28.0,406.0,,2.0,1.0,17.5517,,10.0,68.0,13.0,28.0,103.0,7.0,0.0,118.0,8.0,209.0,41.0,11.0,,6.0,,132.0,11.0,,,56.0,27.0,0.0,513.0,1.0,,78.0,16.0,,6.0,186.0,17.0,18.0,,,42.0,28.0,670.0,,1.0,,21.0,316.0,9.0,,0.0592,2.0,35.0,32.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
41705,Brad Guzan,Goalkeeper,Middlesbrough,25,United States,2016-17,1.0,,0.0182,0.0,,,,,,,,10.0,,,10.0,163.0,,297.0,,,,,3.0,,,,900.0,,,2.0,2.0,,2.0,24.0,,,1.0,15.679,,45.0,6.0,17.0,1.0,11.0,1.0,0.0,3.0,,271.0,106.0,10.0,,,,92.0,15.0,,,3.0,,0.0,113.0,,,165.0,,,,15.0,1.0,1.0,,,110.0,,398.0,,,,86.0,42.0,1.0,,,0.0,163.0,21.0,,,,,,,,,,,,,,,1.0,9.0,19.0,97.0,5.0,2.0,3.0,37.0,5.0,1.0,92.0,45.0,11.0,18.0,,,,,,,
101184,Calum Chambers,Defender,Middlesbrough,25,England,2016-17,105.0,4.0,0.0052,0.0,1.0,3.0,0.588,49.0,7.0,,122.0,25.0,1.0,,25.0,242.0,17.0,1116.0,,,,121.0,7.0,,4.0,,2250.0,,50.0,140.0,4.0,32.0,69.0,787.0,,10.0,4.0,2.4386,5.0,23.0,175.0,37.0,55.0,204.0,12.0,0.0,245.0,12.0,484.0,130.0,25.0,,12.0,3.0,281.0,33.0,17.0,16.0,124.0,71.0,0.0,1081.0,4.0,2.0,297.0,37.0,10.0,26.0,330.0,23.0,52.0,,,87.0,98.0,1616.0,62.0,,,85.0,597.0,10.0,2.0,0.1434,4.0,120.0,89.0,,,,1.0,1.0,,,,,9.0,2.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,
