playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuels,penaltiesFaced,timePlayed,duelsWon,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,fiftyFifty,totalTackles,successfulFiftyFifty,savesMadeCaught,cleanSheets,goalsConcededOutsideBox,penaltiesConceded,savesFromPenalty,keyPassesAttemptAssists,goalkeeperSmother,tacklesLost,lastPlayerTackle,cornersWon,totalFoulsConceded,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,shotsBlockedInBox,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,hitWoodwork,handballsConceded,successfulCrossesOpenPlay,overruns,totalShots,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,homeGoals,oboxTarget,iboxBlocked,successfulDribbles,blocks,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,goalAssists,headedGoals,ownGoalScored,leftFootGoals,successfulLayoffs,secondGoalAssists,foulWonPenalty,setPiecesGoals,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals
240143,Ibrahima Diallo,Midfielder,Southampton,France,2022-23,48.0,0.1323,0.0,,,62.0,18.0,11.0,81.0,398.0,,24.0,,815.0,55.0,40.0,305.0,,,11.4331,1.0,11.0,19.0,39.0,94.0,,7.0,0.0,103.0,113.0,82.0,18.0,,,154.0,18.0,79.0,15.0,0.0,,391.0,115.0,,,113.0,6.0,12.0,522.0,9.0,163.0,,4.0,19.0,29.0,,18.0,25.0,8.0,,,1.0,,,4.0,,10.0,,,18.0,2.0,,,,,,,2.0,7.0,,,9.0,,,5.0,4.0,15.0,4.0,15.0,,78.0,,,,,,4.0,4.0,,,,19.0,4.0,,10.0,,,,8.0,1.0,7.0,2.0,8.0,0.1963,,,,,4.0,,,,,,,,,,,
514356,Roméo Lavia,Midfielder,Chelsea U21,Belgium,2022-23,113.0,0.6079,0.0,,,111.0,29.0,26.0,135.0,991.0,,18.0,,2230.0,145.0,137.0,809.0,,2.0,32.2721,1.0,23.0,50.0,103.0,311.0,,48.0,0.0,258.0,282.0,187.0,29.0,,,451.0,47.0,240.0,8.0,0.0,,984.0,209.0,,,244.0,33.0,47.0,1388.0,6.0,407.0,,9.0,24.0,48.0,,69.0,60.0,33.0,,2.0,3.0,,,16.0,,25.0,,1.0,28.0,6.0,3.0,0.4785,5.0,1.0,,0.0,6.0,3.0,,,10.0,,1.0,13.0,1.0,44.0,3.0,35.0,,154.0,1.0,,1.0,,3.0,6.0,1.0,4.0,2.0,2.0,58.0,2.0,,36.0,1.0,2.0,,30.0,11.0,12.0,6.0,16.0,0.3845,,,,,9.0,1.0,1.0,,2.0,,,,,,,
494541,Kamari Doyle,Midfielder,Reading,England,2022-23,3.0,0.0002,0.0,,,,1.0,,,5.0,,1.0,,6.0,,,5.0,,,0.0831,,,,2.0,,,,0.0,3.0,,,1.0,,,1.0,,2.0,,0.0,,5.0,2.0,,,1.0,,,7.0,,4.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155511,Adam Armstrong,Forward,Wolverhampton Wanderers,England,2022-23,95.0,0.7704,0.0,,,60.0,30.0,14.0,70.0,285.0,,26.0,,1334.0,43.0,38.0,206.0,,,18.3398,1.0,5.0,24.0,74.0,84.0,,9.0,1.0,138.0,57.0,54.0,30.0,,,135.0,21.0,112.0,5.0,0.0,,253.0,157.0,,,33.0,5.0,9.0,498.0,6.0,82.0,,2.0,10.0,12.0,,33.0,14.0,15.0,,,3.0,,,10.0,,5.0,,11.0,17.0,4.0,12.0,2.8635,,2.0,2.0,0.0,3.0,16.0,7.0,7.0,21.0,1.0,,25.0,12.0,48.0,9.0,9.0,,111.0,3.0,1.0,,2.0,4.0,21.0,12.0,,3.0,2.0,33.0,47.0,,12.0,2.0,3.0,1.0,15.0,3.0,14.0,3.0,9.0,2.0704,1.0,,,2.0,3.0,,,,,,,,,1.0,,
200439,Ché Adams,Forward,Southampton,Scotland,2022-23,185.0,2.2082,0.0,,,147.0,28.0,23.0,156.0,481.0,,164.0,,1998.0,125.0,64.0,303.0,,1.0,28.0824,,22.0,41.0,82.0,150.0,,27.0,2.0,310.0,119.0,53.0,28.0,,,245.0,39.0,146.0,61.0,0.0,,478.0,275.0,,,106.0,4.0,22.0,797.0,6.0,82.0,,1.0,9.0,22.0,,60.0,17.0,30.0,,1.0,2.0,,,21.0,,4.0,,9.0,38.0,11.0,15.0,3.6005,6.0,5.0,14.0,4.0,1.0,5.0,9.0,9.0,103.0,10.0,3.0,13.0,10.0,41.0,21.0,13.0,,106.0,3.0,2.0,4.0,2.0,,36.0,10.0,,1.0,2.0,26.0,108.0,1.0,9.0,1.0,1.0,10.0,20.0,4.0,10.0,1.0,11.0,6.5991,3.0,2.0,,,23.0,,,,,,,,,5.0,,
81205,Mislav Orsic,Forward,Pafos,Croatia,2022-23,,0.0002,0.0,,,,1.0,,1.0,2.0,,,,6.0,1.0,1.0,1.0,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,0.0,,2.0,1.0,,,,,,4.0,,,,0.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147611,Paul Onuachu,Forward,Trabzonspor,Nigeria,2022-23,59.0,0.0688,0.0,,,35.0,11.0,4.0,36.0,91.0,,68.0,,405.0,55.0,18.0,51.0,,,4.653,,4.0,7.0,28.0,37.0,,6.0,0.0,114.0,22.0,14.0,11.0,,,37.0,5.0,46.0,37.0,0.0,,90.0,71.0,,,17.0,,4.0,172.0,,18.0,,0.0,1.0,5.0,,9.0,3.0,8.0,,,2.0,,,4.0,,1.0,,2.0,14.0,2.0,5.0,0.5768,,,6.0,,,7.0,3.0,3.0,31.0,2.0,,4.0,,13.0,4.0,2.0,,15.0,,1.0,,,,9.0,,,2.0,,7.0,25.0,,3.0,,2.0,2.0,9.0,1.0,4.0,,5.0,1.2796,,,,,6.0,,,,,,,,,2.0,,
476888,Sékou Mara,Forward,Strasbourg,France,2022-23,100.0,0.3266,0.0,,,33.0,22.0,4.0,35.0,103.0,,65.0,,541.0,58.0,33.0,67.0,,1.0,5.526,,5.0,10.0,60.0,19.0,,6.0,0.0,158.0,25.0,25.0,22.0,,,44.0,9.0,93.0,25.0,0.0,,101.0,104.0,,,27.0,1.0,1.0,261.0,,24.0,,1.0,2.0,5.0,,27.0,14.0,11.0,,,1.0,,,4.0,,4.0,,4.0,20.0,2.0,5.0,0.9823,1.0,1.0,3.0,0.0,,18.0,3.0,3.0,40.0,2.0,1.0,16.0,1.0,34.0,10.0,10.0,,32.0,,,,,3.0,15.0,1.0,,1.0,,15.0,26.0,,11.0,1.0,1.0,2.0,13.0,,4.0,,8.0,1.0137,2.0,,,,6.0,,,,,,,,,,,
490503,Samuel Edozie,Midfielder,Southampton,England,2022-23,46.0,0.425,0.0,,,38.0,17.0,5.0,43.0,152.0,,18.0,,559.0,58.0,52.0,107.0,,,4.5068,1.0,6.0,9.0,34.0,45.0,,22.0,0.0,104.0,39.0,30.0,17.0,,,81.0,7.0,86.0,6.0,0.0,,152.0,111.0,,,30.0,6.0,2.0,320.0,5.0,30.0,,0.0,5.0,16.0,,16.0,17.0,6.0,,,2.0,,,8.0,,7.0,,8.0,1.0,4.0,3.0,0.528,1.0,,1.0,,1.0,12.0,1.0,1.0,12.0,3.0,,16.0,9.0,29.0,1.0,10.0,,38.0,,,1.0,2.0,5.0,4.0,9.0,,2.0,2.0,19.0,35.0,,7.0,,2.0,3.0,13.0,,5.0,1.0,,0.869,,,,,3.0,,1.0,,,,,,,,,
20467,Theo Walcott,Forward,Southampton,England,2022-23,56.0,1.7057,0.0,,,56.0,20.0,13.0,65.0,240.0,,17.0,,1134.0,44.0,35.0,173.0,,2.0,18.6447,,7.0,30.0,48.0,28.0,,10.0,0.0,100.0,70.0,53.0,20.0,,,110.0,30.0,83.0,9.0,0.0,,235.0,130.0,,,63.0,9.0,2.0,416.0,4.0,69.0,,1.0,9.0,18.0,,21.0,13.0,13.0,,,,,,13.0,,7.0,,9.0,7.0,5.0,8.0,0.4768,1.0,2.0,15.0,1.0,1.0,7.0,4.0,4.0,8.0,4.0,1.0,10.0,17.0,22.0,7.0,6.0,,79.0,1.0,1.0,,4.0,1.0,15.0,17.0,,2.0,4.0,10.0,45.0,,7.0,1.0,2.0,4.0,12.0,1.0,11.0,1.0,4.0,2.2216,2.0,,1.0,1.0,12.0,,,,,,,,,1.0,,
494543,Dom Ballard,Forward,Southampton U21,England,2022-23,6.0,0.0011,0.0,,,2.0,2.0,,2.0,6.0,,5.0,,24.0,1.0,,4.0,,,1.0093,,,,2.0,,,,0.0,7.0,1.0,2.0,2.0,,,3.0,,2.0,1.0,0.0,,5.0,7.0,,,1.0,1.0,,13.0,,1.0,,0.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,4.0,,,1.0,,2.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499724,Sam Amo-Ameyaw,Forward,Strasbourg,England,2022-23,3.0,0.003,0.0,,,1.0,1.0,,1.0,6.0,,1.0,,3.0,3.0,3.0,5.0,,,0.9262,,,,2.0,1.0,,,0.0,6.0,,1.0,1.0,,,4.0,,5.0,,0.0,,6.0,2.0,,,2.0,,,11.0,,1.0,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
