playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,shotsBlockedInBox,totalFoulsWon,winningGoal,recoveries,appearances,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,otherGoals,timesTackled,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,successfulCrossesOpenPlay,expectedAssists,totalRedCards,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,successfulLaunches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,clearancesOffTheLine,expectedGoalsFreekick,lastPlayerTackle,headedGoals,freekickTotal,attemptsFromSetPieces,ownGoalScored,penaltiesConceded,setPiecesGoals,penaltiesTaken,penaltyGoals
39155,Adam Lallana,Midfielder,Southampton,20,England,2013-14,262.0,20.0,29.0,8.7874,57.0,9.0,38.0,1478.0,9.0,16.0,3.0,10.0,1.0,10.0,10.0,41.0,9.0,199.0,11.0,2.0,38.5746,65.0,10.0,76.0,3.0,198.0,38.0,4.0,4.0,56.0,121.0,1.0,149.0,1434.0,21.0,604.0,47.0,382.0,33.0,15.0,56.0,379.0,2303.0,12.0,3.0,376.0,4.0,20.0,42.0,1.0,25.0,4.8155,0.0,6.0,50.0,207.0,6.0,143.0,1.0,37.0,227.0,101.0,31.0,59.0,4.0,10.0,36.0,3100.0,10.0,217.0,57.0,1195.0,176.0,1.0,21.0,41.0,221.0,382.0,479.0,28.0,6.0,335.0,10.0,10.0,911.0,32.0,10.0,420.0,18.0,0.0,37.0,69.0,2.0,37.0,19.0,10.0,10.0,12.0,7.6711,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18726,Artur Boruc,Goalkeeper,Southampton,20,Poland,2013-14,1.0,,,,,,29.0,909.0,,,,,,,,,7.0,3.0,,2.0,29.4668,2.0,,2.0,0.0,265.0,29.0,,,,,,1.0,522.0,,390.0,,132.0,,,233.0,,1209.0,,,392.0,,363.0,83.0,,,0.0651,0.0,,,16.0,1.0,,,29.0,379.0,,,4.0,14.0,,,2578.0,,7.0,,297.0,,,18.0,26.0,1.0,100.0,8.0,,,677.0,,,138.0,19.0,,4.0,4.0,0.0,,3.0,,,1.0,,246.0,,,0.0,34.0,29.0,198.0,18.0,2.0,10.0,90.0,67.0,6.0,2.0,1.0,267.0,87.0,13.0,38.0,,,,,,,,,,,
101184,Calum Chambers,Defender,Southampton,20,England,2013-14,107.0,,1.0,0.3227,45.0,,22.0,861.0,,,,,4.0,,,32.0,5.0,72.0,,2.0,26.3683,12.0,,11.0,0.0,93.0,22.0,,,27.0,69.0,,43.0,853.0,4.0,353.0,38.0,328.0,21.0,,25.0,178.0,1481.0,186.0,,329.0,1.0,19.0,65.0,1.0,18.0,1.2424,0.0,7.0,5.0,158.0,,7.0,,18.0,177.0,69.0,,73.0,4.0,1.0,18.0,1641.0,,113.0,44.0,659.0,12.0,30.0,71.0,29.0,75.0,18.0,220.0,24.0,,337.0,1.0,7.0,373.0,24.0,,147.0,41.0,0.0,12.0,17.0,5.0,37.0,3.0,,28.0,3.0,0.2844,0.0,,,,,,,7.0,,,,,,,,,1.0,,,,,,,,,,
101135,Cody Cropper,Goalkeeper,Southampton,20,United States,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18421,Daniel Fox,Defender,Southampton,20,Scotland,2013-14,10.0,1.0,,,4.0,,3.0,116.0,,,,1.0,,,,4.0,1.0,5.0,,,3.979,1.0,,1.0,0.0,19.0,3.0,,,2.0,5.0,,2.0,113.0,,47.0,3.0,3.0,3.0,,5.0,20.0,187.0,28.0,,50.0,,15.0,8.0,,1.0,0.0463,0.0,,,16.0,1.0,,,3.0,31.0,4.0,,9.0,1.0,,1.0,258.0,,10.0,2.0,80.0,1.0,5.0,10.0,4.0,6.0,41.0,20.0,1.0,,52.0,,1.0,36.0,3.0,,11.0,5.0,0.0,1.0,,1.0,3.0,1.0,1.0,9.0,2.0,0.0409,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
38454,Dejan Lovren,Defender,Southampton,20,Croatia,2013-14,111.0,6.0,4.0,0.4411,61.0,,31.0,1625.0,2.0,1.0,2.0,1.0,,1.0,1.0,65.0,8.0,87.0,,2.0,35.5658,1.0,5.0,22.0,1.0,159.0,31.0,1.0,,,3.0,,9.0,1583.0,12.0,321.0,48.0,294.0,26.0,,186.0,108.0,2155.0,8.0,,985.0,,99.0,106.0,,,0.2116,0.0,1.0,16.0,192.0,1.0,2.0,,31.0,291.0,3.0,,166.0,12.0,1.0,,2788.0,1.0,188.0,33.0,1148.0,34.0,,239.0,37.0,46.0,539.0,299.0,14.0,0.0,684.0,1.0,13.0,349.0,29.0,5.0,133.0,101.0,0.0,2.0,7.0,9.0,85.0,1.0,1.0,77.0,7.0,1.5561,7.0,,,,,,,22.0,,,,,,,,,,0.1204,3.0,1.0,2.0,2.0,,,,,
49596,Emmanuel Mayuka,Forward,Southampton,20,Zambia,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
78091,Gastón Ramírez,Midfielder,Southampton,20,Uruguay,2013-14,77.0,7.0,5.0,0.3771,18.0,6.0,18.0,324.0,1.0,2.0,1.0,6.0,15.0,1.0,1.0,8.0,4.0,46.0,3.0,1.0,8.9646,11.0,1.0,13.0,0.0,42.0,18.0,,1.0,15.0,18.0,,39.0,317.0,9.0,140.0,13.0,101.0,16.0,8.0,13.0,57.0,499.0,,1.0,75.0,,10.0,7.0,,1.0,1.5463,0.0,3.0,14.0,51.0,3.0,24.0,,3.0,61.0,6.0,12.0,12.0,,3.0,8.0,511.0,1.0,50.0,10.0,250.0,14.0,,7.0,10.0,69.0,52.0,127.0,3.0,0.0,114.0,3.0,5.0,196.0,6.0,1.0,115.0,4.0,0.0,5.0,16.0,,3.0,3.0,6.0,2.0,6.0,0.8981,2.0,,,,,,,,,,,,,,,,,0.1597,,,2.0,2.0,,,,,
17291,Guly do Prado,Midfielder,Southampton,20,Brazil,2013-14,11.0,,3.0,0.71,3.0,,9.0,43.0,,,,,9.0,3.0,3.0,1.0,,5.0,,,2.0693,1.0,,,0.0,6.0,9.0,,,2.0,3.0,,4.0,43.0,,17.0,3.0,5.0,5.0,,,12.0,69.0,1.0,,9.0,,1.0,3.0,,,0.0399,0.0,1.0,3.0,6.0,,3.0,,,7.0,3.0,,3.0,,,,76.0,1.0,7.0,,36.0,5.0,,4.0,2.0,10.0,19.0,18.0,,,7.0,,,27.0,2.0,,15.0,2.0,0.0,,2.0,,2.0,,,,3.0,1.4873,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
153366,Harrison Reed,Midfielder,Southampton,20,England,2013-14,5.0,,,,,,4.0,18.0,,,,,4.0,,,1.0,,1.0,,,,,,1.0,0.0,,4.0,,,2.0,,,3.0,18.0,,4.0,,4.0,,,,5.0,25.0,,,8.0,,,,,,0.007,0.0,1.0,,,,1.0,,,,,,1.0,,,,10.0,,1.0,,18.0,,,,,4.0,5.0,6.0,,,4.0,,,10.0,,,5.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
