playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,groundDuelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,goals,offsides,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,totalTouchesInOppositionBox,shotsBlockedInBox,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,blocks,interceptions,backwardPasses,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,throwInsToOppositionPlayer,leftFootGoals,throwInsToOwnPlayer,penaltiesTaken,otherGoals,penaltyGoals,penaltiesConceded,headedGoals,setPiecesGoals,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,expectedGoalsFreekick,cornersTakenInclShortCorners,ownGoalScored,redCards2ndYellow
58376,Alex McCarthy,Goalkeeper,Southampton,20,England,2019-20,2.0,1.0,0.0517,0.0,22.0,1.0,21.0,6.0,28.0,28.0,361.0,745.0,0.0,5.0,18.0,7.0,2.0,2520.0,2.0,23.0,3.0,2.0,7.0,183.0,1.0,14.0,1.0,38.6159,1.0,87.0,25.0,35.0,80.0,79.0,3.0,0.0,25.0,1.0,0.0,2.0,601.0,212.0,28.0,3.0,1.0,158.0,32.0,7.0,16.0,0.0,157.0,379.0,367.0,1.0,2.0,97.0,26.0,64.0,1.0,201.0,967.0,162.0,226.0,58.0,0.0,355.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449781,Alexandre Jankewitz,Midfielder,Southampton,20,Switzerland,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107265,Angus Gunn,Goalkeeper,Southampton,20,Scotland,2019-20,2.0,,0.0183,0.0,3.0,1.0,10.0,,10.0,10.0,144.0,231.0,0.0,2.0,2.0,2.0,2.0,900.0,,5.0,2.0,,3.0,44.0,,2.0,2.0,17.6177,,12.0,3.0,25.0,18.0,30.0,2.0,0.0,7.0,,0.0,1.0,191.0,68.0,10.0,1.0,,29.0,23.0,5.0,2.0,0.0,50.0,98.0,144.0,1.0,,54.0,11.0,22.0,,43.0,299.0,70.0,58.0,20.0,0.0,144.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200439,Ché Adams,Forward,Southampton,20,Scotland,2019-20,121.0,,0.6077,0.0,,6.0,,82.0,30.0,12.0,87.0,248.0,1.0,,117.0,,,1105.0,76.0,81.0,,18.0,40.0,155.0,,,,21.3089,11.0,1.0,9.0,17.0,57.0,,16.0,2.0,202.0,8.0,3.0,,63.0,51.0,30.0,,,128.0,17.0,85.0,41.0,0.0,,248.0,170.0,4.0,18.0,,,61.0,17.0,6.0,467.0,2.0,34.0,,0.0,5.0,9.0,45.0,1.0,14.0,10.0,2.3651,22.0,4.0,2.0,16.0,1.0,12.0,4.0,10.0,4.0,18.0,1.0,1.0,5.0,5.0,2.0,65.0,10.0,1.0,4.0,2.0,7.0,12.0,28.0,10.0,12.0,12.0,1.0,2.0,67.0,12.0,1.0,4.0,7.0,2.0,5.2927,,,,,,,,,,,,,,,,,,
58822,Cédric Soares,Defender,Southampton,20,Portugal,2019-20,73.0,,0.0725,0.0,,53.0,,93.0,21.0,19.0,174.0,593.0,0.0,,49.0,3.0,,1559.0,29.0,83.0,1.0,37.0,63.0,390.0,,,1.0,2.3644,11.0,10.0,45.0,20.0,46.0,,4.0,0.0,156.0,17.0,1.0,,258.0,69.0,21.0,,,237.0,19.0,107.0,20.0,0.0,,582.0,295.0,32.0,6.0,,,182.0,16.0,29.0,1128.0,53.0,197.0,,1.0,81.0,53.0,44.0,15.0,3.0,5.0,0.3207,7.0,1.0,1.0,1.0,,57.0,1.0,,,2.0,,15.0,,,,19.0,,,,21.0,,57.0,10.0,,2.0,4.0,4.0,22.0,107.0,7.0,,,10.0,,0.02,28.0,1.0,175.0,,,,,,,,,,,,,,,
200088,Dan Nlundulu,Forward,Southampton,20,England,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84939,Danny Ings,Forward,Southampton,20,England,2019-20,299.0,,2.2624,0.0,,42.0,,205.0,38.0,32.0,240.0,643.0,12.0,,159.0,1.0,,2812.0,114.0,160.0,4.0,85.0,115.0,385.0,,,2.0,41.6528,33.0,1.0,24.0,44.0,150.0,,25.0,5.0,459.0,58.0,10.0,,234.0,121.0,38.0,,,328.0,40.0,300.0,45.0,0.0,,640.0,450.0,25.0,48.0,,,141.0,36.0,18.0,1230.0,16.0,82.0,,3.0,35.0,33.0,185.0,7.0,27.0,38.0,17.1246,66.0,1.0,2.0,17.0,2.0,22.0,22.0,12.0,4.0,6.0,1.0,7.0,15.0,15.0,2.0,185.0,23.0,1.0,13.0,17.0,49.0,22.0,99.0,23.0,28.0,26.0,4.0,9.0,118.0,17.0,6.0,4.0,18.0,4.0,16.3032,,8.0,,2.0,1.0,1.0,,,,,,,,,,,,
40383,Fraser Forster,Goalkeeper,Southampton,20,England,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198044,Harry Lewis,Goalkeeper,Southampton,20,England,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88900,Jack Stephens,Defender,Southampton,20,England,2019-20,109.0,,0.9747,1.0,,44.0,,160.0,28.0,27.0,352.0,1276.0,1.0,,116.0,7.0,,2453.0,66.0,113.0,4.0,32.0,63.0,824.0,,,2.0,40.5591,5.0,31.0,114.0,38.0,177.0,,13.0,1.0,222.0,16.0,0.0,,609.0,140.0,28.0,,,303.0,34.0,106.0,50.0,1.0,,1236.0,391.0,27.0,7.0,,,407.0,14.0,100.0,1629.0,110.0,621.0,,4.0,192.0,114.0,43.0,,,2.0,0.1037,6.0,2.0,3.0,,,5.0,1.0,,,1.0,,,1.0,1.0,,21.0,,,,17.0,4.0,5.0,8.0,,4.0,,22.0,31.0,83.0,1.0,1.0,,8.0,1.0,0.9944,3.0,,9.0,,,,1.0,1.0,,,,,,,,,,
