playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,fiftyFifty,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,savesMadeFromOutsideBox,savesMadeCaught,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,overruns,hitWoodwork,handballsConceded,successfulCrossesOpenPlay,successfulCrossesAndCorners,throwInsToOppositionPlayer,headedGoals,penaltiesFaced,setPiecesGoals,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,clearancesOffTheLine,expectedGoalsFreekick,cornersTakenInclShortCorners,penaltiesTaken,penaltyGoals,penaltiesConceded,ownGoalScored,redCards2ndYellow
155511,Adam Armstrong,Forward,Southampton,20,England,2021-22,81.0,1.4308,39.0,0.0,16.0,14.0,3.1124,10.0,31.0,4.0,70.0,23.0,2.0,9.0,1.0,21.0,17.0,76.0,18.0,303.0,2.0,2.0,1.0,7.0,6.0,36.0,2.0,4.0,8.0,1414.0,8.0,2.0,23.0,45.0,2.0,18.0,32.0,218.0,79.0,1.0,25.3379,11.0,1.0,6.0,31.0,9.0,58.0,87.0,6.0,1.0,126.0,12.0,1.0,58.0,36.0,23.0,4.0,1.0,6.0,1.0,26.0,141.0,29.0,18.0,39.0,9.0,90.0,13.0,0.0,265.0,17.0,21.0,179.0,4.0,16.0,1.0,62.0,13.0,3.0,9.0,96.0,531.0,2.0,7.0,7.0,2.0,86.0,4.0,4.5542,1.0,6.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58376,Alex McCarthy,Goalkeeper,Southampton,20,England,2021-22,,0.0149,,0.0,,,,,,,2.0,17.0,,,,,17.0,187.0,,430.0,,,0.0,,,6.0,5.0,,,1530.0,,,,6.0,1.0,2.0,,162.0,,,21.7088,1.0,21.0,12.0,27.0,,,59.0,,0.0,6.0,,0.0,293.0,122.0,17.0,,,,,,59.0,26.0,,,,,6.0,0.0,245.0,,,190.0,,,,78.0,,,81.0,,588.0,,,,84.0,184.0,,,1.0,185.0,36.0,21.0,17.0,1.0,8.0,44.0,1.0,1.0,1.0,137.0,66.0,13.0,27.0,,,,,,,,,,,,,,,,,,,,,
440323,Armando Broja,Forward,Southampton,20,Albania,2021-22,288.0,,66.0,0.0,9.0,21.0,,12.0,36.0,1.0,147.0,32.0,,16.0,1.0,31.0,21.0,153.0,8.0,396.0,6.0,13.0,2.0,,11.0,255.0,,,,1978.0,,1.0,167.0,159.0,4.0,29.0,71.0,243.0,112.0,1.0,,10.0,,11.0,37.0,,121.0,91.0,26.0,0.0,447.0,16.0,4.0,121.0,81.0,32.0,,6.0,7.0,,37.0,198.0,33.0,8.0,87.0,,192.0,88.0,0.0,394.0,15.0,25.0,319.0,5.0,33.0,1.0,78.0,29.0,3.0,,106.0,774.0,,16.0,,5.0,45.0,12.0,,2.0,6.0,19.0,,,,,,,,,,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,
200439,Ché Adams,Forward,Southampton,20,Scotland,2021-22,181.0,1.6672,68.0,0.0,10.0,24.0,7.7027,13.0,39.0,4.0,147.0,30.0,3.0,20.0,,29.0,23.0,158.0,7.0,461.0,7.0,7.0,4.0,1.0,7.0,154.0,2.0,1.0,16.0,2041.0,16.0,3.0,93.0,134.0,1.0,38.0,73.0,292.0,100.0,,34.7508,23.0,,16.0,40.0,9.0,88.0,126.0,40.0,3.0,315.0,16.0,3.0,126.0,70.0,30.0,1.0,5.0,7.0,,15.0,222.0,39.0,7.0,49.0,9.0,161.0,61.0,0.0,460.0,15.0,13.0,280.0,6.0,20.0,2.0,96.0,29.0,8.0,11.0,113.0,803.0,,10.0,1.0,4.0,82.0,9.0,7.118,0.0,11.0,23.0,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
248853,Dynel Simeu,Defender,Southampton,20,England,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40383,Fraser Forster,Goalkeeper,Southampton,20,England,2021-22,1.0,0.0226,2.0,0.0,,,,1.0,,,4.0,19.0,,,,2.0,19.0,240.0,,530.0,,,0.0,,,7.0,3.0,,,1710.0,,,,11.0,4.0,1.0,4.0,169.0,,2.0,33.6628,,40.0,35.0,35.0,,1.0,59.0,3.0,0.0,12.0,,0.0,358.0,136.0,19.0,,,1.0,,,91.0,31.0,,,,5.0,7.0,0.0,285.0,,,243.0,,,,113.0,,,121.0,,733.0,,,,104.0,199.0,,,1.0,236.0,32.0,16.0,14.0,,12.0,68.0,2.0,3.0,,146.0,65.0,20.0,54.0,,,,,,,,2.0,,,,,,,,,,,,,
198044,Harry Lewis,Goalkeeper,Southampton,20,England,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240143,Ibrahima Diallo,Midfielder,Southampton,20,France,2021-22,52.0,0.329,22.0,0.0,1.0,4.0,0.2166,22.0,7.0,,76.0,23.0,2.0,2.0,,15.0,10.0,86.0,4.0,444.0,,,0.0,,13.0,23.0,1.0,3.0,1.0,1018.0,1.0,,12.0,64.0,2.0,18.0,53.0,341.0,10.0,2.0,19.1624,14.0,1.0,10.0,21.0,1.0,40.0,134.0,15.0,0.0,116.0,7.0,0.0,132.0,77.0,23.0,3.0,,11.0,,5.0,236.0,19.0,4.0,18.0,1.0,93.0,11.0,0.0,439.0,3.0,4.0,129.0,11.0,16.0,,121.0,8.0,9.0,17.0,57.0,594.0,,3.0,,6.0,125.0,5.0,0.4348,1.0,10.0,23.0,,,,,,,,,,,,,,1.0,,3.0,3.0,,,,,,,,,,,,,,,,
88900,Jack Stephens,Defender,Southampton,20,England,2021-22,30.0,0.1757,21.0,0.0,,,,19.0,,,45.0,11.0,,,,11.0,9.0,105.0,,464.0,,,0.0,,2.0,25.0,1.0,,,811.0,,,12.0,36.0,,11.0,23.0,331.0,3.0,,15.0946,4.0,4.0,41.0,19.0,,18.0,76.0,2.0,0.0,66.0,5.0,0.0,193.0,68.0,11.0,,,7.0,,,115.0,19.0,,1.0,,41.0,13.0,0.0,451.0,,1.0,116.0,12.0,2.0,7.0,165.0,8.0,19.0,28.0,30.0,582.0,2.0,1.0,,26.0,244.0,4.0,,3.0,60.0,32.0,,,,,,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,
101178,James Ward-Prowse,Midfielder,Southampton,20,England,2021-22,140.0,6.2749,89.0,1.0,16.0,24.0,7.9529,41.0,39.0,5.0,176.0,36.0,5.0,10.0,,50.0,36.0,250.0,37.0,1827.0,10.0,,9.0,15.0,,62.0,6.0,13.0,1.0,3217.0,1.0,,35.0,95.0,4.0,53.0,68.0,1511.0,23.0,2.0,55.6374,66.0,6.0,39.0,63.0,1.0,105.0,454.0,15.0,0.0,235.0,28.0,1.0,558.0,259.0,36.0,13.0,10.0,17.0,,8.0,987.0,59.0,225.0,33.0,1.0,173.0,27.0,1.0,1752.0,15.0,30.0,534.0,24.0,12.0,15.0,542.0,22.0,40.0,66.0,273.0,2509.0,3.0,1.0,15.0,36.0,667.0,12.0,5.3513,3.0,74.0,70.0,,,,,,,,,,,,,,,,13.0,77.0,,,,4.0,48.0,23.0,23.0,152.0,1.0,1.0215,212.0,4.0,4.0,,,
