playerId,playerName,position,team_name,team_id,nationality,season,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,backwardPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,putthroughBlockedDistribution,savesFromPenalty,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,groundDuelsWon,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,groundDuelsLost,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,expectedGoalsFreekick,foulWonPenalty,goals,substituteOn,rightFootGoals,redCards2ndYellow,headedGoals,freekickTotal,attemptsFromSetPieces,hitWoodwork,leftFootGoals,handballsConceded,penaltiesConceded,cornersTakenInclShortCorners,unsuccessfulLayoffs,successfulCornersIntoBox,unsuccessfulCornersIntoBox,clearancesOffTheLine,penaltiesTaken,penaltyGoals,secondGoalAssists,setPiecesGoals
153373,Sam McQueen,Defender,Southampton U21,12945,England,2017-18,0.0376,0.0,,,7.0,1.0,17.0,63.0,,1.0,1.0,,142.0,6.0,1.0,45.0,,,0.8229,1.0,3.0,2.0,23.0,,,11.0,,26.0,10.0,7.0,,,27.0,1.0,,0.0,,62.0,29.0,,,2.0,3.0,1.0,12.0,100.0,4.0,19.0,,0.0,7.0,5.0,,4.0,,5.0,,,,,4.0,1.0,,10.0,,,4.0,1.0,,,,,,1.0,6.0,3.0,2.0,3.0,,4.0,1.0,,,,4.0,,10.0,1.0,1.0,4.0,2.0,1.0,,8.0,,,,0.0363,,,,6.0,,,,,,,,,,,,,,,,,,
17339,Steven Davis,Midfielder,Rangers,67,Northern Ireland,2017-18,1.8538,0.0,,,23.0,17.0,171.0,1044.0,,40.0,4.0,,1521.0,61.0,6.0,828.0,,1.0,19.0059,1.0,23.0,21.0,325.0,,8.0,136.0,,288.0,137.0,23.0,,,529.0,15.0,14.0,0.0,,1020.0,245.0,,,267.0,15.0,45.0,164.0,1279.0,6.0,356.0,,0.0,33.0,33.0,,43.0,,75.0,4.0,4.0,4.0,1.7727,30.0,9.0,7.0,138.0,,31.0,13.0,3.0,3.0,1.0,12.0,,,26.0,47.0,17.0,,18.0,1.0,49.0,16.0,1.0,9.0,6.0,30.0,1.0,96.0,5.0,8.0,21.0,9.0,6.0,8.0,1.0,6.0,3.0,3.0,0.9205,,1.0,3.0,6.0,1.0,,1.0,,,,1.0,,,27.0,3.0,8.0,15.0,2.0,,,,
62399,Dusan Tadic,Forward,Fenerbahçe,253,Serbia,2017-18,4.7011,0.0,,,36.0,34.0,280.0,1111.0,,50.0,2.0,,2810.0,159.0,6.0,798.0,,1.0,37.0101,3.0,18.0,43.0,195.0,,52.0,348.0,,357.0,140.0,36.0,,,650.0,37.0,8.0,0.0,,1081.0,546.0,,,298.0,19.0,33.0,261.0,1744.0,17.0,209.0,,4.0,36.0,22.0,,99.0,,189.0,17.0,10.0,16.0,4.8195,46.0,30.0,14.0,244.0,3.0,91.0,72.0,10.0,5.0,1.0,28.0,9.0,9.0,42.0,151.0,115.0,3.0,56.0,5.0,147.0,36.0,1.0,17.0,9.0,93.0,5.0,298.0,14.0,34.0,29.0,55.0,2.0,46.0,13.0,23.0,5.0,32.0,5.8471,0.0467,,6.0,2.0,,,,1.0,1.0,,6.0,,,31.0,11.0,11.0,17.0,,1.0,1.0,1.0,
78056,Oriol Romeu,Midfielder,Southampton U21,12945,Spain,2017-18,1.4251,0.0,,,34.0,34.0,321.0,1843.0,,179.0,7.0,,2901.0,241.0,12.0,1433.0,,1.0,40.9386,7.0,72.0,47.0,495.0,,37.0,455.0,,630.0,255.0,34.0,,,797.0,35.0,97.0,0.0,,1824.0,371.0,,,548.0,69.0,89.0,170.0,2329.0,39.0,726.0,,11.0,76.0,98.0,,67.0,,214.0,1.0,7.0,4.0,1.0807,93.0,20.0,2.0,245.0,,21.0,5.0,3.0,5.0,2.0,1.0,1.0,1.0,82.0,144.0,32.0,1.0,22.0,2.0,132.0,40.0,2.0,29.0,2.0,5.0,2.0,276.0,16.0,3.0,64.0,15.0,19.0,53.0,1.0,6.0,5.0,31.0,2.6327,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,
101178,James Ward-Prowse,Midfielder,Burnley,90,England,2017-18,3.0749,0.0,,,30.0,20.0,158.0,747.0,,71.0,1.0,,1714.0,61.0,6.0,571.0,,1.0,21.9573,1.0,18.0,29.0,129.0,,12.0,163.0,,213.0,98.0,30.0,,,400.0,23.0,21.0,0.0,,722.0,322.0,,,226.0,8.0,18.0,179.0,1120.0,17.0,225.0,,3.0,34.0,31.0,,52.0,,102.0,6.0,7.0,14.0,3.1411,23.0,21.0,,124.0,3.0,45.0,37.0,,4.0,6.0,36.0,5.0,5.0,50.0,40.0,26.0,2.0,33.0,3.0,52.0,28.0,6.0,7.0,1.0,123.0,3.0,92.0,7.0,16.0,16.0,5.0,1.0,18.0,6.0,10.0,4.0,12.0,2.1851,0.5214,,3.0,10.0,3.0,,,6.0,6.0,1.0,,1.0,,93.0,1.0,25.0,64.0,,,,1.0,1.0
151086,Mario Lemina,Midfielder,Galatasaray,208,Gabon,2017-18,0.6683,0.0,,,25.0,20.0,118.0,971.0,,38.0,3.0,,1721.0,151.0,6.0,812.0,,,29.4147,1.0,33.0,31.0,334.0,,16.0,247.0,,216.0,139.0,25.0,,,439.0,25.0,25.0,0.0,,967.0,198.0,,,282.0,36.0,41.0,139.0,1330.0,7.0,415.0,,2.0,34.0,34.0,,17.0,,96.0,1.0,5.0,5.0,0.9342,55.0,18.0,6.0,84.0,1.0,13.0,9.0,2.0,3.0,3.0,1.0,1.0,1.0,13.0,126.0,16.0,,7.0,2.0,83.0,12.0,3.0,15.0,7.0,9.0,2.0,209.0,13.0,4.0,40.0,55.0,6.0,28.0,3.0,8.0,3.0,15.0,0.8344,,,1.0,5.0,1.0,,,,,1.0,,,,,,,,1.0,,,,
128198,Sofiane Boufal,Forward,Union Saint-Gilloise,3235,Morocco,2017-18,1.833,0.0,,,26.0,11.0,114.0,532.0,,19.0,,,1213.0,132.0,8.0,405.0,,,17.0473,1.0,6.0,24.0,140.0,,28.0,269.0,,176.0,81.0,26.0,,,302.0,16.0,6.0,0.0,,524.0,285.0,,,91.0,6.0,13.0,125.0,932.0,5.0,124.0,,1.0,19.0,11.0,,37.0,,137.0,4.0,14.0,6.0,1.5652,37.0,16.0,6.0,95.0,2.0,40.0,25.0,2.0,6.0,1.0,8.0,3.0,3.0,13.0,126.0,62.0,1.0,19.0,8.0,124.0,19.0,1.0,13.0,35.0,32.0,8.0,250.0,10.0,13.0,24.0,61.0,1.0,27.0,5.0,8.0,6.0,16.0,1.6587,,,2.0,15.0,1.0,,,,,,1.0,1.0,,11.0,,4.0,6.0,,,,,
83283,Nathan Redmond,Forward,Blackburn Rovers U21,12936,England,2017-18,3.0845,0.0,,,31.0,22.0,186.0,799.0,,19.0,3.0,,1947.0,109.0,11.0,572.0,,,29.0492,,14.0,31.0,259.0,,18.0,229.0,,191.0,126.0,31.0,,,430.0,20.0,4.0,0.0,,784.0,356.0,,,109.0,15.0,41.0,240.0,1225.0,13.0,200.0,,3.0,38.0,40.0,,50.0,,120.0,7.0,13.0,15.0,1.8174,32.0,31.0,5.0,148.0,3.0,44.0,35.0,4.0,9.0,8.0,17.0,6.0,6.0,15.0,105.0,70.0,1.0,39.0,4.0,105.0,20.0,8.0,15.0,24.0,52.0,4.0,210.0,16.0,23.0,17.0,55.0,,19.0,14.0,9.0,9.0,3.0,2.178,,,1.0,9.0,,,1.0,,,1.0,,,,26.0,3.0,9.0,14.0,,,,,
132015,Pierre-Emile Højbjerg,Midfielder,Tottenham Hotspur,6,Denmark,2017-18,1.0776,0.0,,,23.0,19.0,165.0,1108.0,,56.0,2.0,,1671.0,123.0,7.0,892.0,,1.0,25.5468,8.0,24.0,30.0,300.0,,29.0,260.0,,281.0,180.0,23.0,,,475.0,23.0,28.0,0.0,,1082.0,253.0,,,298.0,37.0,51.0,229.0,1443.0,28.0,471.0,,6.0,42.0,40.0,,42.0,,137.0,3.0,5.0,6.0,0.9029,45.0,11.0,5.0,123.0,,37.0,9.0,1.0,3.0,4.0,3.0,2.0,2.0,28.0,95.0,14.0,,13.0,2.0,109.0,27.0,4.0,16.0,12.0,9.0,2.0,204.0,5.0,7.0,29.0,21.0,3.0,32.0,7.0,5.0,3.0,21.0,0.9613,,,,4.0,,,,,,1.0,,2.0,,,1.0,,,,,,,
153379,Josh Sims,Midfielder,Doncaster Rovers,290,England,2017-18,0.3497,0.0,,,6.0,1.0,14.0,62.0,,8.0,,,161.0,11.0,1.0,48.0,,,2.1017,,,2.0,11.0,,1.0,30.0,,16.0,5.0,6.0,,,41.0,1.0,4.0,0.0,,60.0,29.0,,,15.0,1.0,,20.0,104.0,1.0,9.0,,0.0,2.0,3.0,,6.0,,19.0,2.0,4.0,5.0,0.9364,4.0,7.0,,12.0,,8.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,7.0,12.0,,1.0,3.0,15.0,5.0,1.0,1.0,3.0,1.0,3.0,22.0,2.0,6.0,3.0,2.0,,1.0,,1.0,1.0,1.0,0.611,,,,5.0,,,,,,1.0,,,,2.0,,,,,,,1.0,
20452,Shane Long,Forward,Reading,108,Ireland,2017-18,1.4402,0.0,,,30.0,15.0,131.0,395.0,,190.0,,,1578.0,150.0,8.0,259.0,,1.0,24.703,1.0,29.0,28.0,81.0,,40.0,351.0,,80.0,42.0,30.0,,,199.0,20.0,77.0,0.0,,383.0,230.0,,,98.0,12.0,5.0,136.0,685.0,,69.0,,6.0,1.0,19.0,,25.0,,201.0,4.0,6.0,13.0,4.3532,25.0,27.0,1.0,130.0,1.0,44.0,17.0,14.0,,1.0,4.0,10.0,10.0,113.0,73.0,85.0,,20.0,6.0,88.0,12.0,1.0,5.0,5.0,17.0,6.0,161.0,14.0,15.0,20.0,9.0,2.0,34.0,3.0,10.0,,13.0,3.7284,,1.0,2.0,15.0,1.0,,,,,,1.0,,,,9.0,,,,,,1.0,
98914,Guido Carrillo,Forward,Southampton,20,Argentina,2017-18,0.5019,0.0,,,7.0,5.0,42.0,123.0,,92.0,,,452.0,42.0,1.0,80.0,,,8.1457,,5.0,8.0,34.0,,2.0,113.0,,35.0,17.0,7.0,,,61.0,7.0,32.0,0.0,,119.0,58.0,,,22.0,,1.0,32.0,176.0,1.0,20.0,,0.0,2.0,5.0,,10.0,,71.0,,4.0,4.0,0.3797,5.0,7.0,1.0,40.0,1.0,10.0,,1.0,,,,4.0,4.0,60.0,10.0,25.0,,3.0,4.0,11.0,4.0,,4.0,1.0,,4.0,21.0,3.0,3.0,1.0,3.0,,7.0,,3.0,,5.0,0.6569,,,,2.0,,,,,,,,,,,1.0,,,,,,,
78356,Charlie Austin,Forward,Swindon Town,46,England,2017-18,0.7181,0.0,,,24.0,10.0,77.0,244.0,,112.0,1.0,,1030.0,64.0,3.0,162.0,,,9.5895,1.0,10.0,15.0,67.0,,16.0,179.0,,69.0,29.0,24.0,,,112.0,12.0,41.0,0.0,,239.0,135.0,,,56.0,1.0,5.0,52.0,422.0,6.0,55.0,,2.0,13.0,12.0,,20.0,,115.0,,8.0,25.0,7.0419,7.0,40.0,1.0,64.0,,23.0,2.0,14.0,2.0,7.0,,11.0,11.0,71.0,23.0,58.0,,4.0,6.0,44.0,12.0,7.0,2.0,3.0,2.0,6.0,67.0,15.0,8.0,5.0,3.0,3.0,16.0,1.0,7.0,2.0,8.0,7.1244,,,7.0,14.0,4.0,,3.0,,,2.0,,1.0,,,3.0,,,,1.0,1.0,,
61548,Manolo Gabbiadini,Forward,Sampdoria,603,Italy,2017-18,0.5305,0.0,,,28.0,11.0,65.0,223.0,,50.0,1.0,,1074.0,30.0,5.0,156.0,,,12.0452,,6.0,17.0,34.0,,7.0,107.0,,33.0,22.0,28.0,,,92.0,12.0,14.0,0.0,,201.0,96.0,,,53.0,4.0,2.0,103.0,318.0,3.0,66.0,,2.0,7.0,12.0,,13.0,,77.0,,3.0,10.0,3.8599,3.0,19.0,1.0,58.0,,43.0,5.0,10.0,1.0,5.0,,,,36.0,16.0,31.0,,7.0,2.0,41.0,3.0,5.0,1.0,6.0,5.0,2.0,57.0,9.0,7.0,2.0,6.0,,14.0,,8.0,1.0,5.0,2.4812,,,5.0,17.0,,,,,,2.0,5.0,,,,5.0,,,,1.0,1.0,,
220598,Michael Obafemi,Forward,Burnley,90,Ireland,2017-18,0.0001,0.0,,,1.0,,,1.0,,1.0,,,8.0,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,,,0.0,,1.0,,,,,,,1.0,2.0,,,,0.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,0.3731,,,,1.0,,,,,,,,,,,,,,,,,,
