season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827863,1,14,Liverpool,Home,791,15157,James Milner,james-milner,M,False,3.0,,3.0,54.0,44.0,95.0,1.0,2.0,4.0,2.0,,1.0,1.0,,,1.0,7.0,3.0,,,3.0,1.0,,,,1.0,3.0,,90.0,,,,,,14.0,,7.6,,,,,1.0,7.0,,4.0,,64.0,45.0,102.0,1,1.0,122.0,1.0,,,
2018-19,7827863,1,14,Liverpool,Home,17054,39155,Adam Lallana,adam-lallana,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827863,1,14,Liverpool,Home,20963,40755,Daniel Sturridge,daniel-sturridge,F,True,,,,2.0,3.0,5.0,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,3.0,2.0,,,,,1.0,,7.6,,,,,,,,,,3.0,3.0,6.0,2,,8.0,,,,
2018-19,7827863,1,14,Liverpool,Home,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,9.0,40.0,23.0,63.0,1.0,,8.0,,,1.0,,,,3.0,6.0,1.0,,,2.0,,,,,1.0,,,90.0,,,,,,9.0,,6.9,,,2.0,,1.0,,,9.0,1.0,44.0,24.0,68.0,3,,80.0,,,1.0,
2018-19,7827863,1,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,True,,,1.0,11.0,10.0,21.0,,,3.0,,,,,,,,2.0,,,,2.0,,,,,2.0,,,21.0,,,,,,1.0,,6.6,,,,,,,,1.0,,11.0,10.0,21.0,0,,24.0,,,,
2018-19,7827863,1,14,Liverpool,Home,43215,57328,Nathaniel Clyne,nathaniel-clyne,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827863,1,14,Liverpool,Home,65953,68312,Xherdan Shaqiri,xherdan-shaqiri,M,True,,,1.0,10.0,4.0,14.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,8.0,,,,,,1.0,,6.6,,,,,,,,1.0,1.0,11.0,4.0,15.0,0,,16.0,,,,
2018-19,7827863,1,14,Liverpool,Home,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,,22.0,6.0,28.0,1.0,,1.0,1.0,1.0,,,,,1.0,3.0,5.0,,,1.0,1.0,,,,,2.0,,69.0,,,,,,13.0,,7.7,,,1.0,,2.0,,,,,28.0,7.0,35.0,1,2.0,47.0,4.0,1.0,2.0,1.0
2018-19,7827863,1,14,Liverpool,Home,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,2.0,20.0,40.0,60.0,1.0,1.0,4.0,,,,,,,,1.0,2.0,,,,,,,,1.0,,,90.0,,,,,,1.0,,7.2,,,,3.0,,,,3.0,,21.0,40.0,61.0,0,1.0,68.0,,1.0,,1.0
2018-19,7827863,1,14,Liverpool,Home,159665,118748,Mohamed Salah,mohamed-salah,M,False,1.0,,,20.0,3.0,22.0,1.0,1.0,3.0,,1.0,,3.0,,,4.0,11.0,4.0,,,,,1.0,,,1.0,2.0,,87.0,3.0,,,,,15.0,,7.1,,,1.0,,4.0,2.0,,,1.0,24.0,4.0,26.0,4,2.0,47.0,1.0,1.0,1.0,1.0
2018-19,7827863,1,14,Liverpool,Home,174135,104542,Loris Karius,loris-karius,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827863,1,14,Liverpool,Home,217704,110979,Sadio Mané,sadio-mane,M,False,1.0,,1.0,22.0,6.0,27.0,,1.0,5.0,,,1.0,1.0,,,2.0,4.0,6.0,,,,,2.0,,,,2.0,,82.0,2.0,,,,,16.0,,9.0,,,1.0,,1.0,5.0,,1.0,1.0,32.0,6.0,33.0,4,3.0,53.0,3.0,2.0,,3.0
2018-19,7827863,1,14,Liverpool,Home,243585,116643,Fabinho,fabinho,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827863,1,14,Liverpool,Home,243609,116535,Alisson,alisson,G,False,,,5.0,2.0,27.0,29.0,,,9.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,2.0,1.0,7.4,1.0,2.0,,1.0,,,,6.0,,3.0,28.0,31.0,0,,38.0,,,,
2018-19,7827863,1,14,Liverpool,Home,262911,122798,Andy Robertson,andy-robertson,D,False,1.0,,1.0,42.0,29.0,70.0,1.0,1.0,3.0,1.0,,,,,,1.0,2.0,3.0,,,,1.0,,,,1.0,3.0,,90.0,,,,,,10.0,,7.6,,,,,,1.0,,1.0,,50.0,30.0,79.0,0,2.0,91.0,,,,2.0
2018-19,7827863,1,14,Liverpool,Home,318927,171287,Joe Gomez,joe-gomez,D,False,,,1.0,13.0,41.0,54.0,3.0,,10.0,,,,,,,,6.0,4.0,,,3.0,,,,,,,,90.0,,1.0,,,,5.0,,7.2,,,1.0,4.0,,,,4.0,,17.0,42.0,59.0,1,3.0,70.0,,1.0,,2.0
