season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437084,1,14,Liverpool,Away,174135,104542,Loris Karius,loris-karius,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437084,1,14,Liverpool,Away,190399,152760,Divock Origi,divock-origi,F,True,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,9.0,,,,,,,,3.0,,6.4,,,,,,,,,,,2.0,2.0,0,,4.0,2.0,,,
2017-18,7437084,1,14,Liverpool,Away,217704,110979,Sadio Mané,sadio-mane,M,False,,,,15.0,5.0,20.0,3.0,1.0,3.0,,,,,,,3.0,10.0,5.0,,,1.0,,1.0,,,,2.0,,90.0,1.0,,,,,,,20.0,,7.1,,,1.0,,3.0,2.0,,1.0,,25.0,6.0,29.0,2,1.0,49.0,3.0,3.0,,
2017-18,7437084,1,14,Liverpool,Away,229740,100059,Alberto Moreno,alberto-moreno,D,False,,,,13.0,22.0,35.0,2.0,1.0,2.0,,,,2.0,,,,5.0,10.0,,,1.0,,,,,1.0,1.0,,90.0,1.0,,,,,,,16.0,,7.0,,,,4.0,2.0,3.0,,3.0,,23.0,24.0,44.0,1,5.0,79.0,1.0,2.0,2.0,
2017-18,7437084,1,14,Liverpool,Away,280835,210237,Marko Grujić,marko-grujic,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437084,1,14,Liverpool,Away,318927,171287,Joe Gomez,joe-gomez,D,True,1.0,,,2.0,,1.0,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,6.6,,,,,,1.0,,,,3.0,,2.0,0,,3.0,,,,
2017-18,7437084,1,14,Liverpool,Away,361420,154566,Dominic Solanke,dominic-solanke,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437084,1,14,Liverpool,Away,795064,169187,Trent Alexander-Arnold,trent-alexander-arnold,D,False,2.0,,7.0,13.0,17.0,28.0,,1.0,3.0,,,,1.0,,,,3.0,6.0,,,1.0,,,,,3.0,2.0,,89.0,,,,,,,,18.0,,7.1,,,,4.0,1.0,5.0,,12.0,,24.0,21.0,40.0,0,5.0,76.0,1.0,,,
2017-18,7437733,2,14,Liverpool,Home,791,15157,James Milner,james-milner,M,False,4.0,,9.0,72.0,32.0,100.0,1.0,2.0,7.0,,,,2.0,,,1.0,7.0,5.0,,,3.0,,,,,,,,90.0,1.0,,,,,,,12.0,,7.5,,,1.0,1.0,1.0,6.0,,10.0,,81.0,33.0,108.0,2,2.0,124.0,1.0,,1.0,
2017-18,7437733,2,14,Liverpool,Home,10122,33871,Ragnar Klavan,ragnar-klavan,D,False,,,3.0,35.0,44.0,79.0,4.0,6.0,5.0,,,,1.0,,,,6.0,10.0,,,1.0,,,,,,1.0,,90.0,,,,,,,,7.0,,7.5,,,,4.0,3.0,,,3.0,,40.0,46.0,86.0,0,1.0,98.0,,2.0,3.0,
