season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243388,1,14,Liverpool,Home,791,15157,James Milner,james-milner,M,True,,,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,2.0,1.0,3.0,0,,3.0,,,,
2019-20,8243388,1,14,Liverpool,Home,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243388,1,14,Liverpool,Home,22126,41733,Georginio Wijnaldum,georginio-wijnaldum,M,False,,,2.0,23.0,13.0,36.0,,1.0,6.0,,,,1.0,,,2.0,5.0,4.0,,,2.0,,,,,1.0,,,90.0,,,,,,,7.0,,6.6,,,,,1.0,,,3.0,,25.0,14.0,39.0,0,,49.0,2.0,2.0,1.0,
2019-20,8243388,1,14,Liverpool,Home,42694,56979,Jordan Henderson,jordan-henderson,M,False,,,6.0,32.0,13.0,45.0,,,6.0,,,1.0,2.0,,,,5.0,6.0,,,2.0,,,,1.0,2.0,,,90.0,1.0,,,,,,14.0,,7.1,,,,,3.0,4.0,,11.0,,44.0,14.0,54.0,2,2.0,73.0,,2.0,2.0,1.0
2019-20,8243388,1,14,Liverpool,Home,50539,60706,Adrián,adrian,G,True,,,4.0,1.0,13.0,14.0,,,1.0,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,4.0,,6.4,,2.0,,,,,,8.0,,2.0,16.0,18.0,0,,20.0,,,,
2019-20,8243388,1,14,Liverpool,Home,51501,60914,Joël Matip,joel-matip,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243388,1,14,Liverpool,Home,65953,68312,Xherdan Shaqiri,xherdan-shaqiri,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243388,1,14,Liverpool,Home,143697,92217,Roberto Firmino,roberto-firmino,M,False,,,1.0,18.0,5.0,23.0,4.0,1.0,5.0,1.0,1.0,2.0,2.0,,,,7.0,7.0,,,,1.0,,,1.0,,1.0,,86.0,1.0,,,,,,10.0,,7.7,,,1.0,,5.0,,,1.0,,24.0,6.0,30.0,4,1.0,47.0,2.0,1.0,4.0,1.0
2019-20,8243388,1,14,Liverpool,Home,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,3.0,23.0,27.0,50.0,1.0,5.0,3.0,,,,,,,,1.0,8.0,,,,,1.0,,,5.0,,,90.0,1.0,,,,,,8.0,,7.8,,,,3.0,,,,5.0,,29.0,28.0,57.0,1,3.0,71.0,,,,1.0
2019-20,8243388,1,14,Liverpool,Home,159665,118748,Mohamed Salah,mohamed-salah,M,False,1.0,,,22.0,1.0,22.0,1.0,,2.0,,,,2.0,,,1.0,5.0,3.0,,,1.0,1.0,1.0,,,,3.0,,90.0,1.0,,,,,,18.0,,8.4,,,1.0,,2.0,7.0,,,,36.0,1.0,30.0,2,,48.0,3.0,1.0,2.0,
2019-20,8243388,1,14,Liverpool,Home,190399,152760,Divock Origi,divock-origi,F,False,1.0,,,10.0,2.0,11.0,,1.0,2.0,,,,,,,1.0,2.0,6.0,,,,,1.0,,,1.0,2.0,,74.0,1.0,,,,,,15.0,,7.9,,,,,1.0,4.0,,2.0,,19.0,3.0,18.0,1,3.0,34.0,3.0,2.0,,3.0
