season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025013,1,14,Liverpool,Home,143040,158983,Wataru Endo,wataru-endo,M,True,,,2.0,5.0,11.0,16.0,,1.0,4.0,,,,,1.0,,,1.0,3.0,,,0.00377512,,,,1.0,,,,,,1.0,,0.28,1.9,0.55,0.14,1.18,30.0,,,,,,,,2.0,,,6.9,,,,29.379975484607,1.0,,,,2.0,,6.0,11.0,17.0,-2.377730061624,,0,2.0,22.0,1.0,,,1.0
2025-26,14025013,1,14,Liverpool,Home,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,3.0,17.0,46.0,63.0,1.0,12.0,23.0,4.0,,1.0,,,,,1.0,13.0,,,0.00952033,0.178,0.0454,,0.0,,,,,2.0,,,0.39,3.71,1.34,0.17,3.41,90.0,1.0,1.0,,,,,,12.0,2.0,,7.6,,,1.0,172.87443344104,17.0,,,,9.0,,27.0,47.0,74.0,52.975121874225,32.647469681665,2,1.0,100.0,1.0,,,
2025-26,14025013,1,14,Liverpool,Home,159665,118748,Mohamed Salah,mohamed-salah,M,False,1.0,,3.0,15.0,3.0,18.0,,,20.0,9.0,1.0,,1.0,,,2.0,3.0,2.0,,,0.105978,0.2621,0.7119,,0.0,1.0,,,,,2.0,,0.58,4.0,1.43,0.31,3.33,90.0,2.0,1.0,,,,,,22.0,7.0,,8.4,,,,223.36464830882,,2.0,5.0,,4.0,,27.0,3.0,30.0,147.45102789103,113.98611166641,3,,50.0,1.0,1.0,1.0,
2025-26,14025013,1,14,Liverpool,Home,243609,116535,Alisson,alisson,G,False,,,7.0,6.0,27.0,33.0,,,5.0,7.0,,,,,,,,,,,0.00771571,,,,0.0,,-1.1851,1.0,,,,,0.03,1.2,0.05,0.0,4.14,90.0,,,,,,,,5.0,,2.0,6.2,1.0,1.0,,30.530907102147,2.0,,,,12.0,,11.0,27.0,38.0,13.823182593534,,0,,46.0,,,,
2025-26,14025013,1,14,Liverpool,Home,262911,122798,Andy Robertson,andy-robertson,D,True,1.0,,,0.0,6.0,6.0,1.0,1.0,,,,,,1.0,,,2.0,1.0,,,0.0389783,,,,0.0,,,,,,,,0.28,1.78,0.52,0.16,1.12,30.0,,,,,,,,5.0,,,6.2,,,,,2.0,,1.0,,,,1.0,8.0,9.0,,,0,,18.0,1.0,,,
2025-26,14025013,1,14,Liverpool,Home,318927,171287,Joe Gomez,joe-gomez,D,True,,,,2.0,4.0,6.0,,,1.0,1.0,,,,,,,,,,,0.00226689,,,,0.0,,,,,,,,0.14,1.16,0.41,0.04,0.84,18.0,,,,,,,,4.0,,,6.4,,,,4.8997779541526,1.0,,,,,,3.0,4.0,7.0,3.7026365463906,,0,,15.0,,,,
2025-26,14025013,1,14,Liverpool,Home,826215,204716,Ibrahima Konaté,ibrahima-konate,D,False,,,,5.0,24.0,29.0,,,13.0,5.0,,,,,,2.0,2.0,2.0,,,0.00200021,,,,0.0,,,,,,,,0.56,4.49,1.42,0.19,3.18,90.0,,1.0,,,,,,6.0,,,6.4,,,,108.67554030396,6.0,2.0,,,3.0,,7.0,26.0,33.0,4.969408114857,,0,,46.0,,,2.0,
2025-26,14025013,1,14,Liverpool,Home,845386,223541,Federico Chiesa,federico-chiesa,F,True,,,,2.0,1.0,3.0,,,,,,,,,,,,2.0,,,0.00090909,0.1556,0.8582,,0.0,1.0,,,,,,,0.21,0.82,0.24,0.07,0.44,8.0,1.0,,,,,,,1.0,,,7.7,,,,,,,,,,,2.0,1.0,3.0,,,1,1.0,7.0,1.0,1.0,,1.0
2025-26,14025013,1,14,Liverpool,Home,862967,243298,Cody Gakpo,cody-gakpo,M,False,1.0,,1.0,14.0,7.0,21.0,5.0,6.0,19.0,6.0,1.0,,,,,1.0,11.0,12.0,,,0.436461,0.1976,0.5466,1.0,0.0,1.0,,,,,3.0,,0.67,4.57,1.39,0.31,3.36,90.0,2.0,,,,,,,18.0,7.0,,8.7,,,1.0,211.55374157719,1.0,7.0,3.0,,2.0,2.0,18.0,11.0,29.0,144.0013129506,123.95912585299,3,1.0,57.0,2.0,3.0,2.0,1.0
2025-26,14025013,1,14,Liverpool,Home,869856,424876,Dominik Szoboszlai,dominik-szoboszlai,M,False,,,4.0,34.0,32.0,66.0,,,32.0,5.0,,,,1.0,,1.0,5.0,6.0,1.0,,0.0851713,0.0965,0.1084,2.0,0.0,,,,,,2.0,,0.87,5.19,1.96,0.53,2.97,90.0,1.0,,,,,,,15.0,4.0,,6.9,,,2.0,268.32284765577,2.0,2.0,1.0,,7.0,,40.0,35.0,75.0,63.801604095039,76.75289026836,3,4.0,97.0,2.0,1.0,1.0,4.0
