season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576193,1,14,Liverpool,Away,791,15157,James Milner,james-milner,M,False,1.0,,4.0,30.0,33.0,62.0,1.0,1.0,3.0,,,,1.0,,,,4.0,4.0,,,2.0,,,,,,2.0,1.0,,90.0,,1.0,,,,9.0,,7.2,,,,,1.0,,1.0,,6.0,,38.0,33.0,70.0,0,3.0,81.0,1.0,,,1.0
2021-22,9576193,1,14,Liverpool,Away,10577,81880,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,M,False,,,1.0,8.0,9.0,17.0,1.0,,1.0,,,,2.0,,,,4.0,,,,1.0,,,,,,1.0,,,61.0,,,,,,6.0,,6.7,,,2.0,,,,,,1.0,,12.0,9.0,21.0,2,,28.0,1.0,,,
2021-22,9576193,1,14,Liverpool,Away,51501,60914,Joël Matip,joel-matip,D,False,,,3.0,19.0,50.0,69.0,,2.0,4.0,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,90.0,1.0,,,,,6.0,,7.2,,,,,2.0,,,,5.0,,24.0,50.0,74.0,1,,82.0,1.0,,,
2021-22,9576193,1,14,Liverpool,Away,143697,92217,Roberto Firmino,roberto-firmino,M,True,,,,5.0,3.0,8.0,,1.0,2.0,,,,1.0,,,,3.0,3.0,,,1.0,,1.0,,,,,1.0,,29.0,1.0,,,,,6.0,,7.7,,,,,,2.0,1.0,,,,10.0,3.0,12.0,1,1.0,19.0,,,1.0,1.0
2021-22,9576193,1,14,Liverpool,Away,151545,97032,Virgil van Dijk,virgil-van-dijk,D,False,,,7.0,31.0,51.0,82.0,1.0,3.0,4.0,,,,,,,,1.0,3.0,,,,,,,,,,1.0,,90.0,,,,,,7.0,,7.6,,,1.0,,4.0,,,,9.0,,37.0,52.0,89.0,1,,95.0,,,,
2021-22,9576193,1,14,Liverpool,Away,155818,157882,Takumi Minamino,takumi-minamino,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576193,1,14,Liverpool,Away,159665,118748,Mohamed Salah,mohamed-salah,M,False,,,,15.0,2.0,17.0,1.0,1.0,4.0,3.0,1.0,1.0,,,,1.0,4.0,3.0,,,1.0,2.0,1.0,,,,,4.0,,90.0,2.0,,,,,13.0,,8.7,,,2.0,,,3.0,,,,,22.0,2.0,24.0,5,,38.0,3.0,,2.0,
2021-22,9576193,1,14,Liverpool,Away,190399,152760,Divock Origi,divock-origi,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576193,1,14,Liverpool,Away,217704,110979,Sadio Mané,sadio-mane,M,False,1.0,,,17.0,1.0,17.0,2.0,4.0,1.0,,,2.0,1.0,,,1.0,5.0,7.0,,,,,,,,,,3.0,,90.0,1.0,,,,,19.0,,7.2,,,,,2.0,2.0,1.0,,1.0,,30.0,2.0,31.0,3,1.0,48.0,3.0,1.0,1.0,1.0
2021-22,9576193,1,14,Liverpool,Away,243585,116643,Fabinho,fabinho,M,True,,,4.0,7.0,12.0,19.0,,,6.0,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,3.0,,6.8,,,,,,,,,4.0,,9.0,13.0,22.0,0,,25.0,,,,
