season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243390,1,21,West_Ham_United,Home,34312,,Javier Hernández,javier-hernandez,F,True,,,,3.0,4.0,7.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,24.0,1.0,,,,,,,1.0,,6.2,,,1.0,,,,,,,,3.0,4.0,7.0,2,,10.0,,,,
2019-20,8243390,1,21,West_Ham_United,Home,47772,57531,Michail Antonio,michail-antonio,F,False,,,,9.0,3.0,12.0,3.0,5.0,,,,,,,2.0,6.0,6.0,,,,,,,,1.0,1.0,,45.0,,,,,,,,17.0,,6.4,,,,,,2.0,1.0,,,,17.0,4.0,20.0,0,,33.0,3.0,,1.0,
2019-20,8243390,1,21,West_Ham_United,Home,149731,103123,Sébastien Haller,sebastien-haller,F,False,,,,13.0,18.0,31.0,7.0,2.0,4.0,,,,2.0,,,9.0,6.0,,,,,,,,3.0,,,90.0,1.0,,,,,,,6.0,,6.8,,,,,,,,,,2.0,17.0,18.0,35.0,1,4.0,48.0,2.0,,,3.0
2019-20,8243411,2,21,West_Ham_United,Away,34312,,Javier Hernández,javier-hernandez,F,False,,,,8.0,2.0,10.0,,,,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,83.0,1.0,,,,,,,5.0,,7.0,,,,,,,,,,2.0,10.0,3.0,13.0,1,,17.0,1.0,,,
2019-20,8243411,2,21,West_Ham_United,Away,47772,57531,Michail Antonio,michail-antonio,F,True,,,,6.0,3.0,9.0,11.0,,2.0,,1.0,1.0,,,2.0,14.0,2.0,,,1.0,,,,,,,,45.0,1.0,,,,,,,6.0,,6.3,,,1.0,,2.0,2.0,,,,1.0,7.0,3.0,10.0,3,,23.0,3.0,,2.0,
2019-20,8243411,2,21,West_Ham_United,Away,282247,181008,Albian Ajeti,albian-ajeti,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243429,3,21,West_Ham_United,Away,47772,57531,Michail Antonio,michail-antonio,F,True,1.0,,,4.0,2.0,5.0,1.0,,2.0,,1.0,,,,2.0,4.0,2.0,,,,,,,1.0,1.0,1.0,,35.0,2.0,,,,,,,6.0,,6.6,,,,,,1.0,1.0,,,,5.0,3.0,7.0,2,,21.0,1.0,2.0,,
2019-20,8243429,3,21,West_Ham_United,Away,149731,103123,Sébastien Haller,sebastien-haller,F,False,,,1.0,12.0,7.0,19.0,7.0,7.0,4.0,,,,,,2.0,13.0,12.0,,,4.0,,2.0,,,1.0,,,90.0,3.0,,,,,,,12.0,,8.9,,,1.0,,,1.0,,,1.0,,19.0,7.0,26.0,4,1.0,44.0,3.0,3.0,1.0,1.0
2019-20,8243429,3,21,West_Ham_United,Away,282247,181008,Albian Ajeti,albian-ajeti,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243439,4,21,West_Ham_United,Home,149731,103123,Sébastien Haller,sebastien-haller,F,False,,,,17.0,6.0,23.0,5.0,8.0,2.0,,1.0,1.0,1.0,,1.0,9.0,13.0,,,1.0,,1.0,,,,,,90.0,2.0,,,,,,,19.0,,7.3,,,1.0,,,3.0,,,,2.0,29.0,8.0,37.0,4,3.0,57.0,2.0,1.0,2.0,2.0
