season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14023969,27,21,West_Ham_United,Home,877013,247670,Valentín Castellanos,valentin-castellanos,F,False,1.0,,,6.0,2.0,8.0,2.0,1.0,3.0,2.0,1.0,,1.0,,,2.0,8.0,3.0,,,0.239681,0.2861,,3.0,0.0,,,,,,1.0,,,,,,,90.0,,,,,,,13.0,0.0,,6.6,,,2.0,,18.835131958569,2.0,1.0,4.0,,,1.0,10.0,2.0,12.0,16.315646699541,,3,1.0,32.0,2.0,1.0,,1.0
2025-26,14023976,28,21,West_Ham_United,Away,113956,75115,Callum Wilson,callum-wilson,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14023976,28,21,West_Ham_United,Away,286165,159533,Adama Traoré,adama-traore,F,True,,,,1.0,1.0,2.0,,,,,,,,,,2.0,2.0,,,,0.00038531,,,,0.0,,,,,,,,,,,,,14.0,,,,,,,4.0,,,6.3,,,,,,,,,,,,3.0,1.0,4.0,,,0,,9.0,,,,
2025-26,14023976,28,21,West_Ham_United,Away,877013,247670,Valentín Castellanos,valentin-castellanos,F,False,,,,7.0,6.0,13.0,2.0,,4.0,,,,1.0,,,1.0,7.0,2.0,,,0.0303074,0.2881,0.7339,3.0,0.0,1.0,,,,,1.0,,,,,,,90.0,1.0,,,,,,9.0,0.0,,6.9,,,,,23.144897505792,1.0,2.0,,,,,12.0,7.0,19.0,5.2770928203092,,2,1.0,28.0,1.0,,1.0,1.0
2025-26,14023947,29,21,West_Ham_United,Away,113956,75115,Callum Wilson,callum-wilson,F,False,,,,2.0,,2.0,1.0,,1.0,1.0,,1.0,,,,1.0,2.0,,,,0.00140204,0.5952,,,0.0,,,,,,,,,,,,,60.0,,,,,,,4.0,0.0,,5.9,,,2.0,,8.7306247771852,1.0,,,,1.0,1.0,4.0,,4.0,7.5909444299609,,2,,10.0,1.0,,,
2025-26,14023947,29,21,West_Ham_United,Away,286165,159533,Adama Traoré,adama-traore,F,True,,,,,1.0,1.0,1.0,,,,,,,,,1.0,3.0,,,,6.14e-06,,,1.0,0.0,,,,,,,,,,,,,12.0,,,,,,,2.0,,,6.2,,,,,,,,,,,,,1.0,1.0,,,0,,3.0,1.0,,,
2025-26,14023947,29,21,West_Ham_United,Away,877013,247670,Valentín Castellanos,valentin-castellanos,F,False,,,,9.0,3.0,12.0,2.0,1.0,5.0,2.0,,,,,,1.0,4.0,5.0,,,0.0409313,0.1008,0.2018,,0.0,,,,,,3.0,,,,,,,88.0,1.0,,,,,,11.0,2.0,,6.8,,,,,76.186494797732,1.0,1.0,,,1.0,,15.0,6.0,21.0,68.432373598955,63.410053216516,1,,31.0,,4.0,,
2025-26,14023993,30,21,West_Ham_United,Home,113956,75115,Callum Wilson,callum-wilson,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14023993,30,21,West_Ham_United,Home,286165,159533,Adama Traoré,adama-traore,F,True,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,15.0,,,,,,,2.0,,,6.4,,,,,,1.0,,,,,1.0,,1.0,1.0,,,0,,3.0,1.0,,,
2025-26,14023993,30,21,West_Ham_United,Home,877013,247670,Valentín Castellanos,valentin-castellanos,F,False,,,,5.0,6.0,11.0,1.0,,4.0,1.0,,,,3.0,,1.0,6.0,1.0,,,0.00897025,,,1.0,0.0,,,,,,,,,,,,,75.0,,1.0,,,,,5.0,0.0,,6.3,,,,,22.718853158499,,1.0,,,1.0,2.0,7.0,7.0,14.0,1.8093993122294,,0,,20.0,1.0,,1.0,
