playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,totalTackles,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,unsuccessfulLaunches,successfulPassesOwnHalf,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goals,awayGoals,oboxBlocked,cornersTakenInclShortCorners,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,homeGoals,rightFootGoals,leftFootGoals,unsuccessfulDribbles,shotsOffTargetIncWoodwork,unsuccessfulCornersIntoBox,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,shotsOnTargetOutsideBox,oboxTarget,goalKicks,gkSuccessfulDistribution,punches,catches,savesMade,goalkeeperSmother,drops,savesMadeFromOutsideBox,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,unsuccessfulLayoffs,blocks,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,secondGoalAssists,lastPlayerTackle,overruns,handballsConceded,goalsConcededInsideBox,hitWoodwork,ownGoalScored,clearancesOffTheLine,penaltyGoalsConceded,penaltiesFaced,penaltiesTaken,penaltiesConceded,foulWonPenalty,headedGoals,savesMadeCaught,setPiecesGoals,penaltyGoals,crossesNotClaimed
223340,Bukayo Saka,Forward,Arsenal,3,England,2026-27,14.0,,0.3422,0.0,3.0,4.0,15.0,3.0,,3.0,3.0,17.0,6.0,109.0,3.0,6.0,1.0,2.0,247.0,4.0,20.0,1.0,9.0,18.0,91.0,16.0,,0.349,3.0,,3.0,1.0,2.0,10.0,5.0,10.0,1.0,34.0,1.0,20.0,12.0,3.0,,78.0,10.0,8.0,2.0,28.0,2.0,0.0,102.0,6.0,42.0,4.0,4.0,40.0,1.0,3.0,1.0,44.0,175.0,,2.0,16.0,1.4952,0.0,2.0,5.0,,5.0,1.9661,6.0,1.0,2.0,1.0,1.0,10.0,3.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439509,Christos Tzolis,Forward,Arsenal,3,Greece,2026-27,12.0,2.0,0.354,0.0,1.0,2.0,13.0,3.0,1.0,1.0,3.0,13.0,6.0,90.0,1.0,5.0,,2.0,211.0,3.0,11.0,1.0,3.0,9.0,74.0,12.0,,0.349,7.0,1.0,4.0,1.0,1.0,9.0,45.0,6.0,0.0,23.0,1.0,11.0,10.0,3.0,,57.0,6.0,6.0,1.0,18.0,2.0,0.0,89.0,2.0,28.0,2.0,1.0,2.0,1.0,1.0,3.0,32.0,132.0,3.0,,22.0,0.1935,2.0,,3.0,,2.0,0.0403,3.0,,,,,,1.0,1.0,,,,,4.0,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219847,Kai Havertz,Forward,Arsenal,3,Germany,2026-27,14.0,,0.326,0.0,1.0,,15.0,3.0,,1.0,3.0,16.0,1.0,66.0,8.0,15.0,2.0,,258.0,7.0,14.0,1.0,4.0,6.0,49.0,17.0,,0.3641,4.0,,1.0,1.0,1.0,7.0,11.0,6.0,1.0,28.0,2.0,14.0,5.0,3.0,,40.0,1.0,4.0,1.0,13.0,8.0,0.0,66.0,3.0,30.0,,,17.0,3.0,2.0,1.0,24.0,103.0,,1.0,10.0,0.5555,0.0,1.0,1.0,,4.0,1.7769,4.0,1.0,2.0,0.0,,,2.0,2.0,,2.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248857,Noni Madueke,Forward,Arsenal,3,England,2026-27,2.0,,0.05,0.0,,1.0,2.0,2.0,,,,2.0,1.0,18.0,,1.0,,,23.0,,3.0,,1.0,2.0,16.0,,,0.0369,4.0,,,,,2.0,1.0,,0.0,5.0,,3.0,2.0,2.0,1.0,16.0,1.0,2.0,,4.0,1.0,0.0,18.0,,5.0,,1.0,9.0,,,,5.0,27.0,,,,,0.0,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224117,Viktor Gyökeres,Forward,Arsenal,3,Sweden,2026-27,1.0,,0.0005,0.0,,,1.0,1.0,,,,1.0,,3.0,,,,,12.0,,,,1.0,,2.0,,,0.0218,,,,,,1.0,1.0,,0.0,1.0,,1.0,1.0,1.0,,1.0,,,,1.0,,0.0,3.0,,2.0,,,1.0,1.0,,,,5.0,,,1.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493105,Alejandro Garnacho,Forward,Villa,7,Argentina,2026-27,2.0,,0.0079,0.0,,,1.0,3.0,,1.0,,1.0,,16.0,1.0,,,,31.0,,1.0,,1.0,1.0,15.0,,,0.0551,,,,,,2.0,6.0,,0.0,3.0,1.0,,2.0,3.0,,10.0,,2.0,,3.0,,0.0,15.0,1.0,4.0,,1.0,,,,,10.0,22.0,,,5.0,,0.0,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653481,Alysson,Forward,Villa,7,Brazil,2026-27,4.0,,0.0077,0.0,,2.0,2.0,3.0,,,,2.0,,18.0,,1.0,,,42.0,1.0,2.0,,3.0,2.0,15.0,1.0,,0.0816,,,1.0,,,3.0,3.0,,0.0,6.0,2.0,1.0,3.0,3.0,,12.0,,2.0,,5.0,,0.0,18.0,,6.0,2.0,,4.0,,,1.0,10.0,28.0,,,4.0,,1.0,,,3.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638987,Ibrahim Mbaye,Forward,Villa,7,Senegal,2026-27,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517052,Nicolas Jackson,Forward,Villa,7,Senegal,2026-27,3.0,1.0,0.5382,0.0,1.0,,6.0,2.0,,2.0,2.0,6.0,1.0,32.0,1.0,4.0,,1.0,156.0,1.0,8.0,,2.0,5.0,26.0,7.0,,0.909,1.0,,,1.0,1.0,2.0,9.0,1.0,0.0,11.0,,6.0,5.0,2.0,,22.0,1.0,2.0,1.0,7.0,3.0,0.0,32.0,,15.0,,4.0,8.0,,,,9.0,53.0,,,5.0,0.2356,0.0,,2.0,,,,1.0,1.0,,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
173879,Tammy Abraham,Forward,Villa,7,England,2026-27,1.0,,0.0013,0.0,,1.0,1.0,2.0,,2.0,,1.0,,3.0,,2.0,,,24.0,1.0,2.0,,,1.0,2.0,,,0.0543,,,,,,,1.0,,0.0,3.0,,,,2.0,1.0,1.0,,,,1.0,1.0,0.0,3.0,,2.0,,,1.0,,,,1.0,5.0,,,1.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
