season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896992,1,11,Everton,Away,10501,20467,Theo Walcott,theo-walcott,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896992,1,11,Everton,Away,43192,55422,Gylfi Sigurðsson,gylfi-sigursson,M,True,,,,3.0,6.0,9.0,,,3.0,,,,,,,1.0,2.0,,,1.0,,,,,1.0,,,22.0,,,,,,,,5.0,,6.7,,,,,,1.0,,1.0,,6.0,7.0,12.0,0,1.0,17.0,1.0,1.0,,
2020-21,8896992,1,11,Everton,Away,76632,59949,Séamus Coleman,seamus-coleman,D,False,,,4.0,15.0,23.0,38.0,1.0,3.0,8.0,,,,,,1.0,3.0,4.0,,,,,,,,1.0,1.0,,90.0,1.0,1.0,,,,,,9.0,,7.5,,,,5.0,1.0,,,4.0,,16.0,25.0,41.0,1,1.0,67.0,1.0,,,
2020-21,8896992,1,11,Everton,Away,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,3.0,21.0,27.0,48.0,,1.0,2.0,,,,,,,1.0,5.0,,,1.0,,,,,2.0,4.0,,90.0,,,,,,,,10.0,,7.5,,,,1.0,2.0,,,4.0,,26.0,31.0,57.0,0,2.0,67.0,1.0,,2.0,2.0
2020-21,8896992,1,11,Everton,Away,96538,101188,Lucas Digne,lucas-digne,D,False,2.0,,4.0,19.0,38.0,55.0,2.0,2.0,2.0,,,,1.0,,,3.0,5.0,,,,1.0,,,,2.0,1.0,,90.0,,,,,,,,14.0,,7.9,,,,7.0,,7.0,,8.0,,30.0,40.0,63.0,0,3.0,92.0,,,,1.0
2020-21,8896992,1,11,Everton,Away,107414,60025,James Rodríguez,james-rodriguez,M,False,,,11.0,26.0,21.0,47.0,3.0,1.0,5.0,1.0,,1.0,,,1.0,5.0,7.0,,,1.0,,,,,3.0,5.0,,89.0,,,,,,,,13.0,,8.1,,,2.0,,2.0,1.0,,12.0,,34.0,23.0,56.0,3,2.0,75.0,1.0,2.0,2.0,
2020-21,8896992,1,11,Everton,Away,110846,106611,Michael Keane,michael-keane,D,False,,,2.0,7.0,50.0,57.0,2.0,1.0,2.0,,,,,,,2.0,2.0,,,,,,,,2.0,,,90.0,,,,,,,,4.0,,7.4,,,,9.0,,,,3.0,,9.0,52.0,61.0,0,1.0,73.0,,,,
2020-21,8896992,1,11,Everton,Away,138530,111234,Jordan Pickford,jordan-pickford,G,False,,1.0,6.0,4.0,11.0,15.0,,,11.0,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,,,,17.0,2.0,8.2,4.0,5.0,,2.0,,,1.0,23.0,,20.0,12.0,32.0,0,,45.0,,,,
2020-21,8896992,1,11,Everton,Away,158277,119765,Allan,allan,M,False,,,3.0,23.0,23.0,46.0,2.0,,8.0,,,,4.0,,1.0,9.0,8.0,,,2.0,,,,,2.0,,,90.0,,,,,,,,11.0,,6.8,,,,3.0,1.0,1.0,,7.0,,27.0,29.0,55.0,0,4.0,73.0,,3.0,1.0,3.0
2020-21,8896992,1,11,Everton,Away,235460,120250,André Gomes,andre-gomes,M,False,,,5.0,16.0,21.0,37.0,,,2.0,,,1.0,,,1.0,2.0,1.0,,,1.0,,,,,,,,68.0,,,,,,,,8.0,,6.7,,,,1.0,1.0,,,5.0,,17.0,22.0,39.0,1,,48.0,4.0,,1.0,
