season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025059,1,11,Everton,Away,935543,433154,Dwight McNeil,dwight-mcneil,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025059,1,11,Everton,Away,987489,486385,Beto,beto,F,False,,,,3.0,2.0,5.0,8.0,6.0,,1.0,,,1.0,,,,10.0,7.0,,,0.00915496,0.0584,,1.0,0.0,,,,,,,,0.51,4.75,1.37,0.22,3.1,90.0,,1.0,,,,,,8.0,,,6.5,,,,,2.0,1.0,,,,,7.0,2.0,9.0,,,1,1.0,22.0,3.0,,,1.0
2025-26,14025059,1,11,Everton,Away,993438,447325,Harry Tyrer,harry-tyrer,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025059,1,11,Everton,Away,998253,512462,Jake O'Brien,jake-obrien,D,False,,,1.0,7.0,5.0,12.0,1.0,4.0,,4.0,,,,,,2.0,7.0,7.0,,1.0,0.00608243,0.2018,,1.0,0.0,,,,,,,,0.46,5.53,1.46,0.2,2.79,90.0,,,,,,,,27.0,,,6.2,,,1.0,,2.0,3.0,1.0,,8.0,1.0,15.0,12.0,27.0,,,1,2.0,60.0,1.0,1.0,,1.0
2025-26,14025059,1,11,Everton,Away,1004342,461446,Tyler Onyango,tyler-onyango,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025059,1,11,Everton,Away,1017392,502697,Carlos Alcaraz,carlos-alcaraz,M,False,,,,6.0,14.0,20.0,1.0,2.0,,4.0,,,,3.0,,,4.0,6.0,,1.0,0.0104501,0.0142,0.1047,,0.0,,,,,,,,0.56,4.55,1.38,0.19,2.77,86.0,1.0,1.0,,,,,,11.0,,,6.2,,,,,,2.0,,,,,10.0,14.0,24.0,,,1,1.0,41.0,6.0,1.0,2.0,
2025-26,14025059,1,11,Everton,Away,1085950,490094,Tim Iroegbunam,tim-iroegbunam,M,False,,,,9.0,5.0,14.0,1.0,,,3.0,,,,,,,4.0,3.0,,,0.00385833,,,2.0,0.0,,,,,,,,0.41,4.12,1.11,0.05,2.18,71.0,,1.0,,,,,,6.0,,,6.8,,,,,2.0,2.0,,,,,11.0,6.0,17.0,,,0,3.0,30.0,1.0,,,2.0
2025-26,14025059,1,11,Everton,Away,1145627,491012,Youssef Chermiti,youssef-chermiti,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025059,1,11,Everton,Away,1395746,586309,Thierno Barry,thierno-barry,F,True,,,,,1.0,1.0,2.0,,,,,,,,,,2.0,,,,2.9e-06,,,,0.0,,,,,,,,0.05,0.58,0.25,0.03,0.37,12.0,,,,,,,,1.0,,,6.3,,,,,,,,,,,1.0,1.0,2.0,,,0,,4.0,,,,
2025-26,14025059,1,11,Everton,Away,1627560,609873,Harrison Armstrong,harrison-armstrong,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
