season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437079,1,11,Everton,Home,795058,173807,Tom Davies,tom-davies,M,True,,,,8.0,3.0,11.0,2.0,,2.0,,,,1.0,,1.0,5.0,1.0,,,1.0,,,,,,,30.0,,,,,,,,6.0,,6.4,,,,,,,,,,12.0,3.0,15.0,0,1.0,18.0,1.0,,,
2017-18,7437079,1,11,Everton,Home,824200,219352,Ademola Lookman,ademola-lookman,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437728,2,11,Everton,Away,751,13017,Wayne Rooney,wayne-rooney,F,False,2.0,,3.0,14.0,9.0,21.0,3.0,2.0,3.0,,,,1.0,,2.0,9.0,3.0,,,2.0,,1.0,,,2.0,2.0,89.0,2.0,,,,,,,16.0,,7.6,,,1.0,,1.0,3.0,,4.0,1.0,23.0,11.0,31.0,3,1.0,49.0,2.0,,,
2017-18,7437728,2,11,Everton,Away,1941,10318,Maarten Stekelenburg,maarten-stekelenburg,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437728,2,11,Everton,Away,3593,26901,Kevin Mirallas,kevin-mirallas,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437728,2,11,Everton,Away,9766,12745,Leighton Baines,leighton-baines,D,False,,,1.0,3.0,8.0,11.0,1.0,,2.0,,,,,,,1.0,6.0,,,,,,,,3.0,,90.0,,,,,,,,7.0,,7.3,,,,2.0,,1.0,,1.0,,6.0,10.0,15.0,0,3.0,37.0,,3.0,,
2017-18,7437728,2,11,Everton,Away,10507,7645,Phil Jagielka,phil-jagielka,D,False,,,2.0,2.0,16.0,18.0,1.0,,3.0,,,,,,,1.0,4.0,,,,,,,,1.0,,90.0,,1.0,,,,,,10.0,,7.1,,,,4.0,,,,7.0,,10.0,17.0,27.0,0,4.0,40.0,,,,
2017-18,7437728,2,11,Everton,Away,20204,19159,Ashley Williams,ashley-williams,D,False,,,1.0,,10.0,10.0,,2.0,,,,,1.0,,,1.0,3.0,,,,,,,,2.0,,61.0,,,,,,,,3.0,,6.9,,,1.0,7.0,,,,2.0,,2.0,10.0,12.0,1,1.0,24.0,1.0,,,
2017-18,7437728,2,11,Everton,Away,27009,42774,Morgan Schneiderlin,morgan-schneiderlin,M,False,,,,5.0,15.0,20.0,,2.0,3.0,,,,1.0,,,2.0,3.0,,,1.0,,,,,,,88.0,,1.0,,,,,,7.0,,6.3,,,,,,,,3.0,,9.0,17.0,26.0,0,1.0,30.0,1.0,,,
2017-18,7437728,2,11,Everton,Away,43192,55422,Gylfi Sigurðsson,gylfi-sigursson,M,True,1.0,,,3.0,3.0,5.0,2.0,,4.0,,,,3.0,,1.0,6.0,,,,,,,,,2.0,1.0,29.0,,,,,,,,4.0,,6.2,,,,1.0,,2.0,,,,4.0,5.0,7.0,0,,13.0,,,,
