season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385509,1,11,Everton,Home,13918,40349,Asmir Begović,asmir-begovic,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,11,Everton,Home,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,1.0,18.0,14.0,32.0,2.0,1.0,9.0,,,,,,,,3.0,7.0,,,0.0220024,0.1242,0.0269,1.0,,,,,,,,,90.0,1.0,,1.0,,,,4.0,,7.2,,,1.0,1.0,1.0,,,1.0,,22.0,14.0,36.0,2,5.0,46.0,,,1.0,4.0
2022-23,10385509,1,11,Everton,Home,110846,106611,Michael Keane,michael-keane,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,11,Everton,Home,138530,111234,Jordan Pickford,jordan-pickford,G,False,,1.0,9.0,8.0,8.0,16.0,,,12.0,,,,,,,1.0,1.0,,,,0.00373837,0.0,0.0,,,,0.9145,2.0,,,,,90.0,,,,1.0,,,18.0,1.0,7.2,3.0,5.0,,1.0,,,1.0,26.0,,24.0,9.0,33.0,0,,48.0,,,,
2022-23,10385509,1,11,Everton,Home,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,4.0,9.0,20.0,29.0,3.0,2.0,9.0,,,,1.0,,,,7.0,2.0,,,0.124046,0.0904,0.1194,3.0,,,,,,2.0,1.0,,90.0,2.0,3.0,,,,,7.0,,7.4,,,,3.0,,,,8.0,,12.0,24.0,36.0,2,,48.0,,,,
2022-23,10385509,1,11,Everton,Home,158277,119765,Allan,allan,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,11,Everton,Home,198028,108823,Dele Alli,dele-alli,M,True,,,,9.0,1.0,10.0,2.0,1.0,1.0,,,,,,,1.0,4.0,2.0,,,0.00412043,0.0,0.0,,,,,,,,,,29.0,,,,,,,7.0,,6.3,,,,,1.0,,,,,11.0,2.0,13.0,0,,18.0,1.0,1.0,,
2022-23,10385509,1,11,Everton,Home,326343,160987,Jean-Philippe Gbamin,jean-philippe-gbamin,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,11,Everton,Home,352770,153133,Alex Iwobi,alex-iwobi,M,False,,,3.0,23.0,8.0,31.0,,,7.0,,,,2.0,,,,3.0,1.0,,,0.0967344,0.0,0.0,1.0,,,,,,2.0,2.0,,90.0,,,,,,,7.0,,6.7,,,,3.0,1.0,,,7.0,,29.0,9.0,38.0,0,,48.0,,,1.0,
2022-23,10385509,1,11,Everton,Home,355152,172632,Demarai Gray,demarai-gray,M,False,1.0,,,7.0,5.0,11.0,,3.0,6.0,,,1.0,1.0,,,4.0,6.0,6.0,,,0.0202438,0.1069,0.0,,,,,,,,1.0,,90.0,,,,,,,24.0,,6.3,,,,,2.0,5.0,,1.0,,22.0,6.0,23.0,1,1.0,43.0,3.0,1.0,1.0,1.0
2022-23,10385509,1,11,Everton,Home,360396,164511,Yerry Mina,yerry-mina,D,False,,,4.0,4.0,10.0,14.0,2.0,,3.0,,,,,,,,3.0,3.0,,,0.00418532,0.0,0.0,1.0,,,,,,1.0,,,70.0,,1.0,,,,,2.0,,6.9,,,,3.0,,,,5.0,,5.0,11.0,16.0,0,1.0,26.0,,2.0,,
2022-23,10385509,1,11,Everton,Home,754698,198826,Ben Godfrey,ben-godfrey,D,False,,,1.0,2.0,2.0,4.0,1.0,,,,,,,,,,1.0,1.0,,,0.00027475,0.0,0.0,,,,,,,,,,18.0,,,,,,,1.0,,6.7,,,,,,,,1.0,,2.0,3.0,5.0,0,1.0,6.0,,,,1.0
2022-23,10385509,1,11,Everton,Home,781544,194164,Mason Holgate,mason-holgate,D,True,,,2.0,4.0,11.0,15.0,3.0,2.0,3.0,,,,2.0,,,,6.0,7.0,,,0.00300385,0.2113,0.0,1.0,,,,,,1.0,,,72.0,1.0,1.0,,,,,13.0,,7.0,,,,9.0,1.0,1.0,,9.0,,15.0,12.0,26.0,1,3.0,47.0,,1.0,1.0,2.0
2022-23,10385509,1,11,Everton,Home,846441,216054,Rúben Vinagre,ruben-vinagre,D,True,,,,6.0,5.0,11.0,1.0,,3.0,,,,1.0,,,1.0,3.0,3.0,,,0.00185234,0.0,0.0,,,,,,,,,,20.0,,,,,,,8.0,,6.5,,,,1.0,,1.0,,,,9.0,7.0,15.0,0,1.0,26.0,1.0,2.0,,1.0
2022-23,10385509,1,11,Everton,Home,876643,224967,Vitaliy Mykolenko,vitaliy-mykolenko,D,False,1.0,,1.0,13.0,9.0,21.0,1.0,1.0,3.0,,,,1.0,,,,6.0,3.0,,,0.0905277,0.1093,0.0,4.0,,,,,,2.0,1.0,,90.0,,1.0,,,,,11.0,,6.8,,,1.0,3.0,,2.0,,3.0,,18.0,12.0,28.0,1,2.0,50.0,1.0,,,
2022-23,10385509,1,11,Everton,Home,914902,232826,Anthony Gordon,anthony-gordon,F,False,,,1.0,6.0,4.0,10.0,5.0,2.0,3.0,,,,1.0,,,4.0,14.0,7.0,,,0.00564808,0.0529,0.0,2.0,,,,,,,,,90.0,,,,,,,17.0,,6.4,,,1.0,,4.0,2.0,,1.0,,12.0,5.0,15.0,1,2.0,36.0,3.0,1.0,2.0,2.0
2022-23,10385509,1,11,Everton,Home,935543,433154,Dwight McNeil,dwight-mcneil,M,False,1.0,,,10.0,6.0,15.0,2.0,,5.0,,,,2.0,,,1.0,6.0,8.0,,,0.0484008,0.0,0.0,,,,,,,,1.0,,61.0,,,,,,,10.0,,7.2,,,,,4.0,3.0,,,,15.0,9.0,21.0,0,4.0,38.0,,1.0,3.0,4.0
2022-23,10385509,1,11,Everton,Home,1020141,243571,Nathan Patterson,nathan-patterson,D,False,,,1.0,17.0,10.0,27.0,,,4.0,,,,2.0,,,1.0,5.0,7.0,,,0.112023,0.0,0.0,1.0,,,,,,,,,90.0,,,,,,,7.0,,6.6,,,,3.0,2.0,1.0,,1.0,,20.0,11.0,30.0,0,4.0,53.0,1.0,2.0,1.0,2.0
2022-23,10385509,1,11,Everton,Home,1113799,461453,Lewis Warrington,lewis-warrington,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,11,Everton,Home,1119657,510328,Stanley Mills,stanley-mills,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385503,2,11,Everton,Away,13918,40349,Asmir Begović,asmir-begovic,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385503,2,11,Everton,Away,35532,57134,Salomón Rondón,salomon-rondon,F,True,,,,4.0,1.0,5.0,3.0,2.0,1.0,,1.0,,,,,,3.0,2.0,,,0.109408,0.5445,0.8655,,,,,,,,1.0,,26.0,1.0,,,,,,2.0,,6.4,,,,,,,,,,5.0,2.0,7.0,1,,8.0,,,,
2022-23,10385503,2,11,Everton,Away,76632,59949,Séamus Coleman,seamus-coleman,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385503,2,11,Everton,Away,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,,3.0,5.0,8.0,2.0,1.0,4.0,,,,2.0,,,1.0,5.0,1.0,,,0.00176735,0.0,0.0,,,,,,,,,,34.0,,,,,,,4.0,,6.1,,,,,,,,1.0,,4.0,7.0,11.0,0,,13.0,,,,
2022-23,10385503,2,11,Everton,Away,98449,94147,Conor Coady,conor-coady,D,False,,,7.0,10.0,35.0,45.0,,1.0,3.0,,,,,,,,1.0,2.0,,,0.00509421,0.0,0.0,,,,,,,,,,81.0,,1.0,,,,,9.0,,6.8,,,,4.0,1.0,,,11.0,,15.0,38.0,53.0,0,1.0,61.0,,,,1.0
2022-23,10385503,2,11,Everton,Away,110846,106611,Michael Keane,michael-keane,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385503,2,11,Everton,Away,138530,111234,Jordan Pickford,jordan-pickford,G,False,,1.0,4.0,3.0,14.0,17.0,,,8.0,,,,,,,,,,,,0.00618546,0.0,0.0,,,,-0.2525,,,1.0,,,90.0,,,,,,,11.0,,6.4,1.0,1.0,,1.0,,,1.0,15.0,,12.0,16.0,28.0,0,,35.0,,,,
2022-23,10385503,2,11,Everton,Away,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,5.0,10.0,31.0,41.0,1.0,2.0,4.0,,,1.0,1.0,,,,2.0,5.0,,,0.0540362,0.0973,0.0,,,,,,,1.0,2.0,,90.0,,,,,,,10.0,,6.8,,,,3.0,,,,8.0,,14.0,35.0,49.0,1,2.0,61.0,1.0,1.0,,2.0
