season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576149,1,11,Everton,Home,13918,40349,Asmir Begović,asmir-begovic,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576149,1,11,Everton,Home,24048,41823,Fabian Delph,fabian-delph,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576149,1,11,Everton,Home,47992,60252,Andros Townsend,andros-townsend,F,False,2.0,,,10.0,1.0,9.0,1.0,,4.0,1.0,,,3.0,,2.0,7.0,5.0,,,,1.0,,,,,,3.0,,70.0,,,,,,,,14.0,,7.1,,,,,1.0,7.0,,2.0,,16.0,5.0,14.0,0,3.0,34.0,1.0,2.0,,1.0
2021-22,9576149,1,11,Everton,Home,76632,59949,Séamus Coleman,seamus-coleman,D,False,1.0,,3.0,19.0,7.0,25.0,,2.0,4.0,,,,,,,1.0,8.0,,,1.0,,,,,,2.0,2.0,,90.0,,,,,,,,20.0,,7.4,,,,2.0,,2.0,,11.0,,29.0,12.0,39.0,0,5.0,72.0,1.0,1.0,,2.0
2021-22,9576149,1,11,Everton,Home,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,2.0,16.0,16.0,32.0,1.0,4.0,10.0,,,1.0,2.0,,2.0,6.0,11.0,,,1.0,,1.0,,,,,,,90.0,1.0,,,,,,,11.0,,7.4,,,,2.0,2.0,,,4.0,,22.0,18.0,40.0,2,2.0,55.0,1.0,3.0,2.0,
2021-22,9576149,1,11,Everton,Home,96538,101188,Lucas Digne,lucas-digne,D,False,1.0,,2.0,11.0,14.0,24.0,2.0,3.0,6.0,,,1.0,,,1.0,5.0,5.0,,,3.0,,,,,,,2.0,,90.0,,,,,,,,18.0,,6.8,,,1.0,2.0,2.0,8.0,,3.0,,23.0,16.0,31.0,2,,62.0,1.0,1.0,2.0,
2021-22,9576149,1,11,Everton,Home,110846,106611,Michael Keane,michael-keane,D,False,,,6.0,12.0,25.0,37.0,,3.0,3.0,,,1.0,,,1.0,1.0,5.0,1.0,,,,,,,,2.0,1.0,,90.0,,,,,,,,14.0,,6.5,,,,5.0,,1.0,,8.0,,20.0,29.0,48.0,1,2.0,64.0,1.0,,,
2021-22,9576149,1,11,Everton,Home,138530,111234,Jordan Pickford,jordan-pickford,G,False,,1.0,9.0,6.0,8.0,14.0,,,11.0,,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,,,,16.0,1.0,6.9,2.0,2.0,,2.0,,,1.0,25.0,,18.0,12.0,30.0,0,,42.0,,,,
2021-22,9576149,1,11,Everton,Home,158277,119765,Allan,allan,M,False,,,,15.0,9.0,24.0,2.0,,3.0,,,,4.0,,1.0,11.0,4.0,,,4.0,,,,,,,,,90.0,1.0,,,,,,,11.0,,6.3,,,,3.0,,1.0,,1.0,,20.0,12.0,31.0,1,3.0,48.0,2.0,1.0,,
2021-22,9576149,1,11,Everton,Home,352770,153133,Alex Iwobi,alex-iwobi,M,True,,,,5.0,1.0,6.0,,,,,1.0,,,,,2.0,1.0,,,,1.0,,,,,1.0,1.0,,20.0,1.0,,,,,,,3.0,,6.6,,,1.0,1.0,2.0,,,,,6.0,1.0,7.0,2,,16.0,,1.0,,
