season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2015-16,6767936,1,11,Everton,Home,544,1632,Gareth Barry,gareth-barry,M,False,,,13.0,37.0,19.0,56.0,2.0,1.0,9.0,,,,,,,1.0,3.0,5.0,,,,,,,,1.0,1.0,,90.0,1.0,1.0,,,,,,,,7.4,,,,3.0,1.0,2.0,,20.0,,56.0,20.0,74.0,1,2.0,94.0,,1.0,1.0,
2015-16,6767936,1,11,Everton,Home,744,15337,Tim Howard,tim-howard,G,False,,1.0,7.0,6.0,7.0,13.0,,,15.0,,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,,,,,,6.7,1.0,3.0,,,,,1.0,13.0,,11.0,9.0,20.0,0,,38.0,,,,
2015-16,6767936,1,11,Everton,Home,1161,8378,Leon Osman,leon-osman,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2015-16,6767936,1,11,Everton,Home,3593,26901,Kevin Mirallas,kevin-mirallas,M,False,2.0,,,21.0,5.0,24.0,3.0,1.0,1.0,,,1.0,,,,6.0,9.0,5.0,,,,,,,,,1.0,,77.0,,,,,,,,,,6.2,,,,,,10.0,,1.0,1.0,35.0,5.0,30.0,1,3.0,53.0,1.0,1.0,,
2015-16,6767936,1,11,Everton,Home,9257,18981,Steven Naismith,steven-naismith,F,True,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,0,1.0,2.0,,,,
2015-16,6767936,1,11,Everton,Home,10507,7645,Phil Jagielka,phil-jagielka,D,False,,,18.0,22.0,36.0,58.0,2.0,8.0,11.0,,,,1.0,,,2.0,6.0,9.0,1.0,,,,,,,,,,90.0,,1.0,,,,,,,,6.2,,,,8.0,1.0,,,27.0,,34.0,38.0,72.0,0,,87.0,1.0,1.0,,
2015-16,6767936,1,11,Everton,Home,12790,26921,Arouna Koné,arouna-kone,F,True,,,,7.0,4.0,11.0,2.0,,1.0,,,,2.0,,,1.0,6.0,1.0,,,1.0,1.0,1.0,,,,1.0,,27.0,1.0,,,,,,,,,7.7,,,1.0,,,,,,,8.0,4.0,12.0,2,1.0,17.0,1.0,,,
2015-16,6767936,1,11,Everton,Home,39283,50472,James McCarthy,james-mccarthy,M,False,,,6.0,33.0,26.0,59.0,,,2.0,,,,3.0,,,1.0,5.0,3.0,,,1.0,,,,,,,,90.0,,,,,,,,,,6.3,,,,1.0,1.0,1.0,,8.0,,48.0,26.0,73.0,0,1.0,84.0,1.0,1.0,1.0,
2015-16,6767936,1,11,Everton,Home,46432,43250,Tom Cleverley,tom-cleverley,M,False,1.0,,2.0,29.0,12.0,40.0,2.0,,3.0,,,,2.0,,,1.0,6.0,1.0,,,,,,,,1.0,3.0,,90.0,,,,,,,,,,6.4,,,,1.0,1.0,3.0,,5.0,,38.0,13.0,48.0,0,1.0,64.0,,,,
2015-16,6767936,1,11,Everton,Home,76632,59949,Séamus Coleman,seamus-coleman,D,False,1.0,,3.0,23.0,22.0,44.0,,,2.0,,,,,,,1.0,3.0,6.0,,,1.0,,,,,2.0,1.0,,90.0,,,,,,,,,,6.6,,,,1.0,4.0,9.0,,6.0,,38.0,23.0,52.0,0,1.0,87.0,,2.0,3.0,
