season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436874,1,20,Southampton,Away,45502,58376,Alex McCarthy,alex-mccarthy,G,False,,,3.0,1.0,14.0,15.0,,,7.0,,,,,,,,,1.0,1.0,,0.00014606,,,,0.0,,-0.3686,2.0,,,,,90.0,,,,,,,,4.0,1.0,6.2,,,,,1.0,,,,5.0,,1.0,18.0,19.0,0,,26.0,,1.0,,
2024-25,12436874,1,20,Southampton,Away,591620,167888,Joe Lumley,joe-lumley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436900,2,20,Southampton,Home,45502,58376,Alex McCarthy,alex-mccarthy,G,False,,,2.0,1.0,19.0,20.0,,,9.0,,,,,,,,,,,,0.00049434,,,,0.0,,0.6303,1.0,,,,,90.0,,,,,,,,3.0,,8.1,5.0,7.0,,,,,,,4.0,,2.0,21.0,23.0,0,,39.0,,,,
2024-25,12436900,2,20,Southampton,Home,591620,167888,Joe Lumley,joe-lumley,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436908,3,20,Southampton,Away,45502,58376,Alex McCarthy,alex-mccarthy,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436908,3,20,Southampton,Away,839410,225321,Aaron Ramsdale,aaron-ramsdale,G,False,,,4.0,1.0,19.0,20.0,,,11.0,,,,,,,,,,,,0.00018031,,,,0.0,,0.1625,,,,,,90.0,,,,,,,,13.0,,6.9,2.0,4.0,,,1.0,,,,17.0,,9.0,24.0,33.0,0,,49.0,,,,
2024-25,12436949,4,20,Southampton,Home,45502,58376,Alex McCarthy,alex-mccarthy,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436949,4,20,Southampton,Home,839410,225321,Aaron Ramsdale,aaron-ramsdale,G,False,,1.0,3.0,1.0,21.0,22.0,,,8.0,,,,,,,,,,,,0.00053266,,,,0.0,,1.0445,1.0,,,,,90.0,,,,,,,,8.0,,7.5,3.0,7.0,,,1.0,,,1.0,10.0,,7.0,23.0,30.0,0,,47.0,,,,
2024-25,12436973,5,20,Southampton,Home,45502,58376,Alex McCarthy,alex-mccarthy,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436973,5,20,Southampton,Home,839410,225321,Aaron Ramsdale,aaron-ramsdale,G,False,,2.0,5.0,2.0,16.0,18.0,,,6.0,,,,,,,,,,,,0.00166971,,,,0.0,,2.053,1.0,,,,,90.0,,,,,,,,16.0,,7.6,4.0,5.0,,,2.0,,,2.0,19.0,,14.0,20.0,34.0,0,,45.0,,,,
