season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352309,1,6,Tottenham_Hotspur,Away,38710,45034,Ivan Perišić,ivan-perisic,M,True,1.0,,,7.0,3.0,9.0,,,1.0,,,,,,,,3.0,,,0.0671576,0.0,0.0,,,,,,,,1.0,,15.0,,,,,,,6.0,,7.1,,,,,,3.0,3.0,,,,11.0,3.0,11.0,0,,20.0,,,3.0,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,149593,132015,Pierre-Emile Højbjerg,pierre-emile-hjbjerg,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,356398,172780,James Maddison,james-maddison,M,False,2.0,,2.0,49.0,9.0,56.0,1.0,1.0,3.0,1.0,,1.0,,,2.0,7.0,4.0,,,0.945747,0.0711,0.0223,3.0,2.0,,,,,1.0,6.0,,90.0,1.0,,,,,,21.0,,8.2,,,,,1.0,1.0,12.0,,5.0,,66.0,9.0,63.0,2,1.0,87.0,1.0,2.0,,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,798835,200826,Giovani Lo Celso,lo-celso-giovani,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,844842,227127,Yves Bissouma,yves-bissouma,M,False,,,1.0,81.0,26.0,107.0,1.0,,7.0,,,2.0,,,,4.0,9.0,,,0.110519,0.035,0.0,2.0,,,,,,4.0,1.0,,90.0,,,,,,,10.0,,8.0,,,1.0,,2.0,6.0,,,2.0,,89.0,27.0,116.0,3,3.0,138.0,,1.0,5.0,1.0
2023-24,11352309,1,6,Tottenham_Hotspur,Away,859901,209042,Oliver Skipp,oliver-skipp,M,False,,,,28.0,9.0,37.0,3.0,1.0,1.0,,,,,,,4.0,2.0,,,0.0138121,0.0,0.0,1.0,,,,,,,,,75.0,,,,,,,5.0,,6.5,,,,,,,,,,,29.0,10.0,39.0,0,1.0,49.0,3.0,1.0,,
2023-24,11352309,1,6,Tottenham_Hotspur,Away,928124,445044,Dejan Kulusevski,dejan-kulusevski,M,False,,,,42.0,7.0,49.0,1.0,,6.0,,,2.0,2.0,,,4.0,6.0,,,0.363071,0.0373,0.0,1.0,,,,,,1.0,1.0,,90.0,,,,,,,12.0,,7.3,,,1.0,,,1.0,2.0,,,,52.0,8.0,58.0,3,4.0,71.0,1.0,1.0,1.0,2.0
2023-24,11352309,1,6,Tottenham_Hotspur,Away,1002711,482442,Pape Matar Sarr,pape-matar-sarr,M,True,,,,10.0,9.0,19.0,,1.0,1.0,,,,,,,,1.0,,,0.00688458,0.0874,0.0378,,,,,,,,,,15.0,1.0,1.0,,,,,,,7.1,,,,,1.0,,,,,,10.0,9.0,19.0,1,,22.0,,,,
2023-24,11352407,2,6,Tottenham_Hotspur,Home,38710,45034,Ivan Perišić,ivan-perisic,M,True,,,,5.0,2.0,7.0,,,1.0,1.0,,,,,,2.0,,,,0.444594,0.0,0.0,1.0,,,,,,,2.0,,20.0,,,,,,,6.0,,6.8,,,,,,1.0,1.0,,1.0,,8.0,3.0,10.0,0,,15.0,1.0,,,
2023-24,11352407,2,6,Tottenham_Hotspur,Home,149593,132015,Pierre-Emile Højbjerg,pierre-emile-hjbjerg,M,True,,,1.0,12.0,11.0,23.0,1.0,,2.0,,,,,,,1.0,1.0,,,0.00543748,0.0,0.0,,,,,,,,,,14.0,,1.0,,,,,2.0,,6.9,,,,,,1.0,,,1.0,,12.0,13.0,25.0,0,,28.0,,,1.0,
2023-24,11352407,2,6,Tottenham_Hotspur,Home,356398,172780,James Maddison,james-maddison,M,False,3.0,,5.0,29.0,10.0,36.0,1.0,,3.0,,,1.0,1.0,,2.0,4.0,5.0,,,0.250754,0.1014,0.2872,,,,,,,,2.0,,90.0,1.0,,,,,,15.0,,7.6,,,,,,2.0,8.0,,6.0,,41.0,11.0,44.0,2,2.0,62.0,,1.0,2.0,
2023-24,11352407,2,6,Tottenham_Hotspur,Home,798835,200826,Giovani Lo Celso,lo-celso-giovani,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352407,2,6,Tottenham_Hotspur,Home,844842,227127,Yves Bissouma,yves-bissouma,M,False,,,2.0,21.0,24.0,45.0,,1.0,6.0,,,,2.0,,1.0,6.0,10.0,,,0.0128458,0.0687,0.0,2.0,,,,,,1.0,,,90.0,,1.0,,,,,10.0,,7.6,,,2.0,,3.0,2.0,,,3.0,,25.0,26.0,51.0,2,5.0,74.0,2.0,3.0,1.0,4.0
2023-24,11352407,2,6,Tottenham_Hotspur,Home,859901,209042,Oliver Skipp,oliver-skipp,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352407,2,6,Tottenham_Hotspur,Home,928124,445044,Dejan Kulusevski,dejan-kulusevski,M,False,1.0,,,9.0,3.0,11.0,,,3.0,,,,2.0,,,4.0,,,,0.0241873,0.075,0.1355,,,,,,,,1.0,,88.0,2.0,,,,,,12.0,,6.7,,,,,1.0,2.0,1.0,,,,15.0,5.0,19.0,2,,33.0,1.0,,,
2023-24,11352407,2,6,Tottenham_Hotspur,Home,1002711,482442,Pape Matar Sarr,pape-matar-sarr,M,False,,,2.0,19.0,12.0,31.0,,1.0,7.0,,,1.0,1.0,,,1.0,4.0,,,0.0330956,0.6364,0.9977,,,1.0,,,1.0,,1.0,,76.0,2.0,,,,,,5.0,,8.5,,,2.0,,,,,,2.0,,22.0,14.0,36.0,5,2.0,46.0,,1.0,,2.0
