season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089875,1,88,Hull_City,Home,4387,11974.0,Eldin Jakupović,eldin-jakupovic,G,False,,,9.0,9.0,3.0,12.0,,,6.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,1.0,,,19.0,,7.0,2.0,4.0,,,,,,28.0,,26.0,5.0,31.0,0,,35.0,,,,
2016-17,7089875,1,88,Hull_City,Home,9003,9110.0,Shaun Maloney,shaun-maloney,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089875,1,88,Hull_City,Home,9127,18987.0,Robert Snodgrass,robert-snodgrass,M,False,2.0,,,10.0,20.0,28.0,5.0,,7.0,,,1.0,,,,3.0,9.0,10.0,,,,,1.0,,,,2.0,,90.0,2.0,,,,,,,16.0,,8.1,,,2.0,1.0,3.0,7.0,,,,18.0,21.0,32.0,5,3.0,63.0,2.0,5.0,2.0,3.0
2016-17,7089875,1,88,Hull_City,Home,9689,15109.0,Tom Huddlestone,tom-huddlestone,M,False,,,4.0,13.0,13.0,26.0,2.0,1.0,3.0,,,,1.0,,,,5.0,6.0,,,2.0,,,,,,,,90.0,,,,1.0,,,,8.0,,6.5,,,1.0,1.0,,,,8.0,,18.0,14.0,32.0,1,4.0,44.0,1.0,1.0,,3.0
2016-17,7089875,1,88,Hull_City,Home,10281,19115.0,Curtis Davies,curtis-davies,D,False,,,4.0,2.0,34.0,36.0,,4.0,4.0,,,,1.0,,,,2.0,6.0,,,1.0,,,,,7.0,,,90.0,1.0,2.0,,,,,,12.0,,7.6,,,1.0,13.0,,,,13.0,,10.0,38.0,48.0,2,1.0,74.0,,1.0,,1.0
2016-17,7089875,1,88,Hull_City,Home,29301,,Dušan Kuciak,dusan-kuciak,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089875,1,88,Hull_City,Home,32787,,Ahmed Elmohamady,ahmed-elmohamady,D,False,,,5.0,9.0,27.0,36.0,,4.0,13.0,,,,1.0,,,,2.0,5.0,,,1.0,,,,,3.0,1.0,,90.0,,,,,,,,31.0,,6.8,,,,1.0,,4.0,,20.0,,24.0,40.0,60.0,0,1.0,85.0,,,,1.0
2016-17,7089875,1,88,Hull_City,Home,34578,49944.0,Jake Livermore,jake-livermore,M,False,,,5.0,5.0,42.0,47.0,,1.0,3.0,,,,1.0,,,,1.0,3.0,,,,,,,,2.0,,,90.0,,1.0,,,,,,13.0,,6.9,,,,5.0,,,,17.0,,16.0,44.0,60.0,0,2.0,70.0,,,,2.0
2016-17,7089875,1,88,Hull_City,Home,43247,111847.0,Adama Diomandé,adama-diomande,F,False,,,1.0,13.0,9.0,22.0,5.0,4.0,6.0,,,1.0,,,,6.0,12.0,14.0,,1.0,1.0,,1.0,,,,1.0,,90.0,1.0,,,,,,,16.0,,7.6,,,,2.0,6.0,,,1.0,,18.0,11.0,29.0,2,1.0,57.0,3.0,3.0,6.0,
2016-17,7089875,1,88,Hull_City,Home,43442,53371.0,David Meyler,david-meyler,M,False,,,,17.0,19.0,36.0,1.0,3.0,5.0,,,,,,,,1.0,6.0,,,,,,,,,,,90.0,,,,,,,,9.0,,6.8,,,1.0,,,,,1.0,,23.0,21.0,44.0,1,1.0,51.0,,2.0,,1.0
