playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,foulWonPenalty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesConceded,successfulLaunches,unsuccessfulLaunches,offsides,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,penaltiesTaken,headedGoals,penaltyGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,expectedGoalsFreekick,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,clearancesOffTheLine,penaltiesSaved,penaltiesFaced,savesFromPenalty,penaltyGoalsConceded,otherGoals,secondGoalAssists,setPiecesGoals,redCards2ndYellow,ownGoalScored,awayGoals,winningGoal,homeGoals,timesTackled
41792,Aaron Ramsey,Midfielder,Arsenal,3,Wales,2017-18,122.0,3.0,5.299,0.0,11.0,25.0,9.3114,35.0,45.0,10.0,165.0,24.0,8.0,45.0,2.0,21.0,187.0,14.0,1239.0,7.0,7.0,3.0,26.0,6.0,4.0,3.0,14.0,1846.0,14.0,4.0,16.0,107.0,1.0,35.0,97.0,1009.0,100.0,2.0,24.4694,20.0,6.0,25.0,4.0,106.0,371.0,33.0,229.0,11.0,320.0,128.0,24.0,4.0,6.0,8.0,1.0,7.0,680.0,24.0,14.0,4.0,203.0,10.0,0.0,1219.0,20.0,15.0,309.0,27.0,29.0,3.0,338.0,28.0,24.0,43.0,210.0,1588.0,10.0,5.0,2.0,7.0,375.0,19.0,1.0,6.1373,0.0,22.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154043,Ainsley Maitland-Niles,Midfielder,Arsenal,3,England,2017-18,59.0,5.0,1.3957,0.0,1.0,,,25.0,4.0,,62.0,15.0,,1.0,,8.0,79.0,15.0,536.0,,,7.0,20.0,3.0,,5.0,,908.0,,,14.0,56.0,1.0,32.0,50.0,435.0,23.0,13.0,14.6312,8.0,22.0,16.0,1.0,45.0,212.0,5.0,115.0,14.0,157.0,73.0,15.0,,,8.0,,5.0,240.0,15.0,15.0,1.0,95.0,6.0,0.0,530.0,4.0,5.0,149.0,17.0,20.0,1.0,99.0,10.0,12.0,22.0,68.0,810.0,68.0,,1.0,,222.0,8.0,1.0,0.2445,1.0,17.0,31.0,1.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84450,Granit Xhaka,Midfielder,Arsenal,3,Switzerland,2017-18,172.0,1.0,4.995,0.0,18.0,17.0,3.2174,78.0,48.0,11.0,312.0,38.0,7.0,67.0,,37.0,408.0,11.0,3116.0,1.0,14.0,1.0,99.0,11.0,16.0,29.0,,3266.0,,1.0,50.0,184.0,2.0,50.0,135.0,2520.0,24.0,,48.0545,32.0,64.0,50.0,4.0,122.0,932.0,42.0,356.0,21.0,865.0,261.0,38.0,16.0,,21.0,1.0,6.0,1707.0,48.0,73.0,4.0,257.0,49.0,0.0,3044.0,31.0,14.0,555.0,57.0,18.0,9.0,930.0,57.0,37.0,188.0,389.0,3688.0,18.0,7.0,2.0,14.0,1030.0,38.0,4.0,2.4385,10.0,96.0,98.0,,2.0,20.0,,89.0,53.0,,,,,,,,,,,,,,,,0.5216,23.0,8.0,8.0,,,,,,,,,,,,,,
57249,Henrikh Mkhitaryan,Midfielder,Arsenal,3,Armenia,2017-18,149.0,7.0,2.3191,0.0,8.0,16.0,1.76,33.0,28.0,15.0,173.0,26.0,9.0,69.0,1.0,20.0,193.0,39.0,980.0,3.0,3.0,6.0,42.0,2.0,3.0,17.0,6.0,1727.0,6.0,5.0,23.0,109.0,,59.0,90.0,765.0,62.0,,14.0162,35.0,5.0,17.0,,126.0,225.0,29.0,258.0,22.0,256.0,104.0,26.0,3.0,2.0,9.0,1.0,26.0,586.0,17.0,67.0,,216.0,19.0,0.0,957.0,12.0,25.0,381.0,24.0,30.0,2.0,290.0,23.0,15.0,22.0,209.0,1407.0,7.0,15.0,,3.0,218.0,16.0,,1.4849,2.0,20.0,38.0,1.0,1.0,3.0,4.0,47.0,24.0,,,,,,,,,,,,,,,,0.0903,10.0,1.0,1.0,,,,,,,,,,,,,,
54102,Jack Wilshere,Midfielder,Arsenal,3,England,2017-18,73.0,1.0,2.2518,0.0,6.0,5.0,1.6997,15.0,9.0,9.0,89.0,20.0,3.0,24.0,,12.0,110.0,2.0,808.0,1.0,4.0,8.0,14.0,2.0,3.0,1.0,1.0,1187.0,1.0,2.0,7.0,104.0,1.0,14.0,97.0,675.0,24.0,,13.1584,12.0,5.0,16.0,2.0,66.0,222.0,37.0,177.0,8.0,200.0,101.0,20.0,3.0,,5.0,1.0,10.0,479.0,15.0,2.0,2.0,163.0,7.0,0.0,791.0,4.0,3.0,183.0,10.0,45.0,2.0,274.0,15.0,8.0,23.0,112.0,1035.0,2.0,2.0,,4.0,220.0,11.0,,1.1403,6.0,21.0,16.0,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200089,Joe Willock,Midfielder,Arsenal,3,England,2017-18,8.0,,0.0062,0.0,,,,4.0,1.0,1.0,9.0,2.0,,1.0,,1.0,9.0,,40.0,,,1.0,3.0,,,,,82.0,,1.0,3.0,4.0,,4.0,4.0,30.0,1.0,,0.6595,,1.0,2.0,,5.0,11.0,,12.0,3.0,9.0,1.0,2.0,,,2.0,,,14.0,2.0,,,9.0,,0.0,39.0,1.0,,14.0,2.0,,,12.0,3.0,1.0,1.0,8.0,58.0,,1.0,,,17.0,2.0,,0.0776,0.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37605,Mesut Özil,Midfielder,Arsenal,3,Germany,2017-18,92.0,3.0,7.7092,0.0,13.0,14.0,3.9302,20.0,26.0,18.0,231.0,26.0,8.0,67.0,1.0,24.0,245.0,21.0,1809.0,4.0,7.0,2.0,13.0,6.0,5.0,25.0,5.0,2164.0,5.0,2.0,12.0,79.0,2.0,53.0,78.0,1507.0,95.0,1.0,35.7836,76.0,5.0,36.0,6.0,80.0,499.0,22.0,171.0,10.0,519.0,100.0,26.0,5.0,,7.0,3.0,15.0,1255.0,34.0,73.0,6.0,158.0,1.0,0.0,1770.0,12.0,18.0,419.0,13.0,36.0,1.0,527.0,18.0,12.0,57.0,264.0,2195.0,15.0,3.0,,7.0,334.0,12.0,2.0,4.3863,4.0,14.0,34.0,,,,12.0,76.0,47.0,,1.0,,,,,,,,,,,,,,0.5474,17.0,6.0,6.0,,,,,,,,,,,,,,
153256,Mohamed Elneny,Midfielder,Arsenal,3,Egypt,2017-18,29.0,,0.9611,1.0,4.0,1.0,0.0259,12.0,4.0,2.0,43.0,13.0,1.0,22.0,,11.0,53.0,6.0,837.0,,2.0,2.0,19.0,2.0,,,1.0,869.0,1.0,,13.0,27.0,,18.0,21.0,761.0,12.0,,12.8436,9.0,12.0,12.0,2.0,16.0,230.0,6.0,56.0,11.0,184.0,79.0,13.0,,,6.0,,1.0,465.0,12.0,8.0,2.0,37.0,6.0,1.0,827.0,3.0,3.0,80.0,6.0,3.0,,324.0,4.0,10.0,23.0,99.0,943.0,5.0,5.0,,2.0,319.0,3.0,1.0,0.3034,3.0,10.0,19.0,,,3.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15237,Andrew Surman,Midfielder,Bournemouth,91,England,2017-18,88.0,,1.5385,0.0,4.0,6.0,1.9168,16.0,14.0,2.0,138.0,25.0,5.0,17.0,,20.0,184.0,6.0,1177.0,2.0,4.0,5.0,80.0,5.0,3.0,4.0,1.0,1852.0,1.0,1.0,45.0,75.0,3.0,34.0,40.0,927.0,10.0,,25.8341,11.0,49.0,29.0,,43.0,337.0,14.0,163.0,21.0,386.0,123.0,25.0,3.0,,4.0,2.0,6.0,536.0,26.0,17.0,,83.0,35.0,0.0,1133.0,8.0,5.0,236.0,12.0,13.0,12.0,323.0,9.0,16.0,66.0,131.0,1423.0,,1.0,,4.0,461.0,5.0,1.0,1.1804,2.0,46.0,51.0,,2.0,14.0,1.0,18.0,11.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,1.0,,,,,,,,,
40387,Dan Gosling,Midfielder,Bournemouth,91,England,2017-18,177.0,3.0,1.6494,0.0,4.0,8.0,2.2955,50.0,18.0,1.0,192.0,28.0,1.0,18.0,,21.0,242.0,3.0,1062.0,2.0,2.0,7.0,112.0,1.0,1.0,3.0,5.0,1943.0,5.0,,58.0,147.0,5.0,59.0,93.0,781.0,25.0,1.0,35.0832,16.0,25.0,41.0,2.0,119.0,285.0,25.0,324.0,28.0,438.0,151.0,28.0,1.0,1.0,25.0,1.0,6.0,440.0,36.0,3.0,2.0,212.0,54.0,0.0,1034.0,10.0,3.0,323.0,25.0,18.0,8.0,222.0,38.0,25.0,39.0,117.0,1392.0,2.0,2.0,,2.0,383.0,17.0,1.0,2.0602,8.0,50.0,73.0,1.0,2.0,22.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
