matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2444473,1,2024-08-17 12:30:00,40,Ipswich,Home,173.0,17.0,,2.0,2.0,,2.0,101.0,4.0,1.0,7.0,6.0,3.0,19.0,272.0,,,9.0,18.0,11.0,3.0,1.0,2.0,1.0,,,,,,,,,2.0,,,,,2.0,4.0,12.0,6.0,5.0,2.0,53.0,46.0,,,,,9.0,3.0,11.0,,,2.0,5.0,,,4.0,,46.0,51.0,,28.0,16.0,,,0.226199,0.4522,,0.2438,2.3469,41.0,9.0,17.0,,,2.0,2.0,,129.0,,,,,,,6.0,,1.0,1.0,16.0,,9.0,9.0,2.0,7.0,79.0,46.0,28.0,10.0,,1.0,3.0,2.0,320.0,6.0,,,49.0,38.0,17.0,,,,,111.0,111.0,5.0,18.0,13.0,37.8,,,,,22.0,0.0,86.0,3.0,,3.0,,1.0,1.0,2.0,,,5.0,54.0,248.0,9.0,4.0,192.0,31.0,28.0,8.0,1.0,8.0,7.0,,1.0,93.0,2.0,163.0,1.0,1.0,21.0,6.0,47.0,5.0,347.0,,0.0,7.0,20.0,,14.0,3.0,527.0,17.0,11.0,3.0,2.0,10.0,0.0
2444486,2,2024-08-24 15:00:00,40,Ipswich,Away,158.0,5.0,,1.0,1.0,1.0,,43.0,3.0,1.0,4.0,7.0,4.0,10.0,200.0,,1.0,6.0,5.0,7.0,,,,1.0,,,,,,,,,1.0,,,,,,10.0,9.0,5.0,,1.0,44.0,29.0,1.0,,1.0,1.0,13.0,,11.0,,,1.0,4.0,1.0,,8.0,,45.0,29.0,1.0,40.0,19.0,2.0,,,,,,,21.0,15.0,3.0,,,,,,78.0,1.0,,1.0,1.0,,1.0,6.0,1.0,,,19.0,,10.0,10.0,2.0,4.0,63.0,28.0,12.0,10.0,1.0,,1.0,1.0,227.0,3.0,1.0,,15.0,13.0,7.0,1.0,1.0,1.0,,84.0,84.0,,19.0,5.0,24.8,,3.0,,,20.0,0.0,60.0,1.0,,1.0,,2.0,1.0,,,,5.0,22.0,187.0,13.0,1.0,181.0,10.0,40.0,8.0,1.0,6.0,5.0,,2.0,35.0,3.0,70.0,,1.0,26.0,4.0,34.0,1.0,245.0,,0.0,1.0,17.0,1.0,10.0,3.0,401.0,6.0,14.0,2.0,1.0,8.0,0.0
2444494,3,2024-08-31 15:00:00,40,Ipswich,Home,183.0,16.0,2.0,5.0,3.0,2.0,,167.0,3.0,,6.0,2.0,4.0,19.0,345.0,,1.0,4.0,12.0,11.0,6.0,2.0,4.0,1.0,,,1.0,,,,,,6.0,,,,,,10.0,9.0,,6.0,5.0,70.0,45.0,1.0,1.0,,1.0,8.0,4.0,14.0,,,8.0,3.0,5.0,,9.0,2.0,52.0,49.0,1.0,30.0,15.0,,,,,,,,50.0,15.0,15.0,1.0,,3.0,1.0,1.0,111.0,1.0,,,1.0,,1.0,4.0,1.0,,,15.0,,4.0,4.0,,6.0,109.0,43.0,22.0,6.0,,3.0,6.0,4.0,382.0,3.0,2.0,,58.0,66.0,18.0,,,,,99.0,99.0,3.0,16.0,20.0,48.7,,2.0,,1.0,16.0,0.0,111.0,3.0,,3.0,,,1.0,3.0,,,4.0,79.0,328.0,8.0,9.0,199.0,29.0,30.0,12.0,7.0,16.0,9.0,106573.7,2.0,106.0,3.0,218.0,1.0,,12.0,4.0,39.0,4.0,401.0,1.0,0.0,11.0,13.0,3.0,7.0,2.0,572.0,13.0,12.0,10.0,8.0,9.0,0.0
2444502,4,2024-09-14 15:00:00,40,Ipswich,Away,133.0,13.0,1.0,2.0,1.0,1.0,,53.0,2.0,,7.0,7.0,,15.0,184.0,,2.0,12.0,17.0,19.0,3.0,1.0,3.0,3.0,,,,,,,,,3.0,,,1.0,,,5.0,10.0,11.0,3.0,3.0,39.0,55.0,1.0,1.0,,3.0,8.0,1.0,10.0,,,2.0,4.0,,,8.0,5.0,62.0,65.0,3.0,34.0,22.0,,1.0,,,,,,34.0,16.0,14.0,,,,,,112.0,,,,,,,8.0,,3.0,,22.0,1.0,11.0,11.0,2.0,8.0,57.0,54.0,27.0,9.0,,3.0,1.0,1.0,237.0,10.0,2.0,,18.0,31.0,7.0,,,,,129.0,129.0,1.0,27.0,12.0,31.4,1.0,,,3.0,13.0,0.0,53.0,4.0,2.0,6.0,,,3.0,4.0,,,5.0,23.0,170.0,8.0,4.0,158.0,26.0,34.0,19.0,2.0,6.0,4.0,110183.37,3.0,47.0,3.0,109.0,4.0,,26.0,1.0,46.0,3.0,261.0,,0.0,6.0,25.0,4.0,15.0,3.0,483.0,8.0,20.0,8.0,2.0,14.0,0.0
2444517,5,2024-09-21 15:00:00,40,Ipswich,Away,181.0,15.0,1.0,5.0,4.0,1.0,,174.0,1.0,,5.0,3.0,8.0,17.0,350.0,,1.0,11.0,9.0,18.0,8.0,4.0,4.0,,,,,,,,,,5.0,,,,,2.0,10.0,9.0,2.0,8.0,5.0,58.0,42.0,2.0,2.0,,,3.0,3.0,10.0,,,10.0,11.0,4.0,,8.0,,50.0,59.0,,15.0,8.0,,,,,,,,46.0,16.0,16.0,,,2.0,,,145.0,,,,,,,1.0,,2.0,,8.0,,13.0,13.0,1.0,5.0,94.0,47.0,36.0,2.0,1.0,4.0,8.0,6.0,385.0,2.0,1.0,,33.0,63.0,32.0,,,,,112.0,112.0,6.0,7.0,24.0,46.4,,,1.0,,9.0,0.0,112.0,2.0,,2.0,,,,4.0,1.0,,5.0,86.0,326.0,3.0,12.0,197.0,18.0,15.0,16.0,8.0,23.0,15.0,108511.1,,119.0,3.0,235.0,2.0,,12.0,9.0,31.0,1.0,409.0,1.0,0.0,13.0,17.0,3.0,14.0,4.0,592.0,24.0,14.0,8.0,10.0,8.0,0.0
2444525,6,2024-09-29 14:00:00,40,Ipswich,Home,213.0,20.0,1.0,3.0,2.0,,,137.0,3.0,2.0,2.0,1.0,3.0,20.0,347.0,1.0,1.0,9.0,7.0,10.0,9.0,2.0,3.0,2.0,,,,,,,,2.0,10.0,,,,,2.0,8.0,4.0,3.0,10.0,5.0,64.0,46.0,4.0,3.0,1.0,2.0,5.0,4.0,5.0,,,10.0,4.0,3.0,,10.0,1.0,37.0,50.0,2.0,15.0,7.0,1.0,,,,,,,54.0,10.0,14.0,2.0,,2.0,1.0,,129.0,2.0,,1.0,2.0,,1.0,5.0,2.0,,,7.0,,7.0,7.0,1.0,2.0,107.0,56.0,32.0,,,5.0,8.0,5.0,385.0,,1.0,,56.0,35.0,24.0,,,,,108.0,108.0,1.0,26.0,17.0,43.8,,2.0,1.0,,14.0,0.0,108.0,,1.0,1.0,,,2.0,6.0,,,5.0,69.0,326.0,5.0,13.0,227.0,35.0,15.0,15.0,9.0,17.0,8.0,114063.3,3.0,97.0,,198.0,,2.0,11.0,4.0,45.0,2.0,408.0,1.0,0.0,15.0,18.0,1.0,12.0,4.0,567.0,22.0,12.0,10.0,10.0,9.0,0.0
2444539,7,2024-10-05 15:00:00,40,Ipswich,Away,197.0,22.0,1.0,3.0,2.0,2.0,1.0,167.0,4.0,,9.0,5.0,1.0,25.0,361.0,,,20.0,10.0,16.0,6.0,2.0,2.0,,,,,,,,,,6.0,,,,,1.0,3.0,17.0,6.0,5.0,4.0,74.0,44.0,2.0,2.0,,,3.0,3.0,8.0,1.0,,5.0,7.0,3.0,,13.0,3.0,42.0,52.0,,14.0,9.0,1.0,1.0,,,,,,54.0,6.0,10.0,1.0,,2.0,1.0,,148.0,,,,,,,5.0,,5.0,1.0,9.0,,6.0,6.0,,9.0,95.0,48.0,27.0,5.0,,4.0,4.0,2.0,405.0,5.0,1.0,,52.0,66.0,25.0,,,,,126.0,126.0,2.0,14.0,16.0,47.0,,,,,14.0,0.0,113.0,6.0,3.0,8.0,,2.0,,4.0,1.0,,5.0,81.0,338.0,3.0,8.0,215.0,33.0,14.0,17.0,4.0,15.0,11.0,114073.33,,117.0,7.0,230.0,6.0,,14.0,1.0,44.0,1.0,430.0,,0.0,9.0,15.0,1.0,24.0,1.0,613.0,16.0,20.0,11.0,5.0,11.0,0.0
2444542,8,2024-10-19 15:15:00,40,Ipswich,Home,221.0,14.0,1.0,6.0,5.0,,1.0,204.0,3.0,,9.0,1.0,6.0,22.0,419.0,1.0,,15.0,11.0,12.0,9.0,2.0,3.0,,1.0,,2.0,,,,,,7.0,,,,,1.0,8.0,8.0,3.0,9.0,4.0,67.0,50.0,2.0,2.0,,,12.0,3.0,9.0,,1.0,5.0,12.0,8.0,,7.0,1.0,50.0,41.0,,17.0,8.0,1.0,2.0,,,,,,58.0,12.0,9.0,,,4.0,2.0,2.0,141.0,,,,,,,4.0,,,,8.0,,9.0,9.0,1.0,9.0,118.0,66.0,44.0,8.0,,7.0,4.0,2.0,470.0,,2.0,,60.0,57.0,33.0,,,,,122.0,122.0,8.0,23.0,9.0,55.3,,,,,19.0,0.0,158.0,4.0,2.0,6.0,,,,8.0,,,5.0,87.0,408.0,12.0,11.0,232.0,22.0,17.0,18.0,5.0,27.0,22.0,,,125.0,2.0,279.0,,,14.0,6.0,48.0,1.0,484.0,1.0,0.0,13.0,13.0,2.0,18.0,1.0,677.0,24.0,12.0,7.0,5.0,9.0,0.0
2444552,9,2024-10-26 15:00:00,40,Ipswich,Away,94.0,14.0,,4.0,4.0,2.0,1.0,120.0,4.0,1.0,3.0,5.0,5.0,21.0,210.0,,2.0,3.0,26.0,14.0,5.0,,2.0,,,,,,,,,2.0,7.0,,,,1.0,,5.0,14.0,6.0,8.0,3.0,57.0,49.0,3.0,1.0,3.0,1.0,7.0,,5.0,,,5.0,5.0,9.0,,5.0,1.0,48.0,37.0,1.0,36.0,26.0,,,,,,,,53.0,10.0,7.0,1.0,,,1.0,,110.0,3.0,,3.0,3.0,,,9.0,3.0,2.0,,26.0,1.0,12.0,12.0,,5.0,51.0,55.0,20.0,5.0,1.0,4.0,4.0,5.0,269.0,6.0,1.0,,41.0,45.0,27.0,1.0,1.0,1.0,,136.0,136.0,3.0,21.0,16.0,35.1,1.0,3.0,,1.0,16.0,0.0,74.0,4.0,1.0,6.0,1.0,,,6.0,,1.0,5.0,74.0,194.0,7.0,8.0,120.0,26.0,36.0,6.0,4.0,19.0,15.0,,,111.0,3.0,191.0,2.0,1.0,23.0,5.0,52.0,1.0,292.0,2.0,1.0,11.0,13.0,2.0,11.0,1.0,482.0,20.0,19.0,3.0,5.0,9.0,0.0
2444562,10,2024-11-02 15:00:00,40,Ipswich,Home,117.0,10.0,3.0,3.0,,1.0,,131.0,6.0,,2.0,1.0,2.0,10.0,245.0,,,16.0,18.0,20.0,6.0,3.0,3.0,,,,1.0,,,,,,9.0,,,,,,5.0,14.0,6.0,8.0,6.0,42.0,37.0,2.0,2.0,,1.0,7.0,6.0,12.0,1.0,,4.0,7.0,1.0,1.0,10.0,2.0,62.0,54.0,1.0,22.0,14.0,,,,,,,,58.0,11.0,10.0,,,3.0,,1.0,111.0,1.0,,1.0,1.0,,,12.0,1.0,3.0,,14.0,,9.0,9.0,1.0,2.0,85.0,45.0,14.0,6.0,,6.0,4.0,2.0,295.0,9.0,1.0,,31.0,47.0,21.0,,,,,131.0,131.0,5.0,8.0,19.0,42.2,,2.0,,,15.0,0.0,82.0,3.0,2.0,4.0,1.0,,,6.0,,,4.0,85.0,231.0,7.0,10.0,136.0,23.0,22.0,19.0,4.0,12.0,8.0,,,127.0,3.0,196.0,3.0,,12.0,2.0,41.0,,320.0,,1.0,14.0,16.0,1.0,25.0,4.0,520.0,26.0,16.0,8.0,4.0,7.0,0.0
