matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attIboxOwnGoal,attOpenplay,attPenGoal,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,fwdPass,goalAssist,goalAssistIntentional,goalAssistOpenplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,headClearance,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,ptsDroppedWinningPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2645199,1,2026-08-22 15:00:00,40,Ipswich,Home,140.0,16.0,1.0,5.0,4.0,2.0,127.0,4.0,,6.0,4.0,7.0,18.0,262.0,,,11.0,14.0,14.0,7.0,,1.0,2.0,0.0,,8.0,0.0,1.0,7.0,5.0,6.0,8.0,2.0,56.0,51.0,2.0,1.0,1.0,2.0,6.0,1.0,10.0,1.0,3.0,7.0,4.0,0.0,9.0,1.0,51.0,61.0,2.0,33.0,23.0,,1.03177,1.7958,1.6288,0.3462,56.0,12.0,14.0,1.0,1.0,1.0,112.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,23.0,9.0,9.0,1.0,0.0,7.0,86.0,64.0,30.0,5.0,0.0,5.0,4.0,3.0,309.0,5.0,1.0,0.0,42.0,38.0,19.0,,,,120.0,120.0,3.0,17.0,22.0,37.8,,1.0,12.0,0.0,79.0,2.0,1.0,2.0,,2.0,6.0,,1.0,5.0,51.0,243.0,6.0,9.0,154.0,33.0,33.0,18.0,3.0,15.0,12.0,3.0,87.0,6.0,194.0,1.0,,23.0,9.0,51.0,1.0,333.0,1.0,0.0,10.0,22.0,,16.0,0.0,534.0,21.0,15.0,0.0,11.0,3.0,15.0,0.0
2645212,2,2026-08-30 16:30:00,40,Ipswich,Away,189.0,11.0,1.0,2.0,1.0,,118.0,8.0,,7.0,1.0,2.0,14.0,305.0,2.0,1.0,18.0,13.0,9.0,6.0,1.0,2.0,1.0,0.0,1.0,7.0,0.0,,8.0,20.0,14.0,6.0,3.0,56.0,44.0,4.0,2.0,2.0,,12.0,1.0,9.0,1.0,4.0,2.0,2.0,1.0,8.0,4.0,55.0,34.0,,29.0,8.0,1.0,0.742405,2.0608,2.4931,4.6976,31.0,12.0,7.0,,,1.0,111.0,2.0,2.0,2.0,,9.0,2.0,3.0,8.0,8.0,8.0,4.0,0.0,8.0,94.0,42.0,22.0,8.0,0.0,3.0,6.0,5.0,347.0,13.0,,1.0,27.0,35.0,16.0,1.0,1.0,1.0,111.0,111.0,4.0,20.0,9.0,39.6,3.0,2.0,23.0,0.0,108.0,5.0,2.0,6.0,,1.0,3.0,,1.0,5.0,54.0,286.0,12.0,9.0,211.0,24.0,29.0,22.0,4.0,9.0,5.0,1.0,75.0,2.0,167.0,3.0,1.0,11.0,2.0,36.0,1.0,369.0,2.0,0.0,9.0,10.0,2.0,21.0,3.0,564.0,13.0,13.0,0.0,8.0,4.0,7.0,0.0
2645221,3,2026-09-04 20:00:00,40,Ipswich,Home,213.0,12.0,1.0,4.0,3.0,1.0,148.0,4.0,1.0,4.0,2.0,3.0,18.0,357.0,,,17.0,15.0,7.0,13.0,,,1.0,0.0,,13.0,0.0,,3.0,5.0,5.0,4.0,10.0,63.0,43.0,,,,,4.0,4.0,13.0,,4.0,7.0,3.0,0.0,7.0,2.0,49.0,40.0,,28.0,18.0,,0.42976,0.7535,0.7629,1.9436,46.0,6.0,13.0,,1.0,1.0,139.0,,,,,4.0,0.0,,18.0,9.0,9.0,1.0,0.0,5.0,103.0,50.0,31.0,3.0,0.0,5.0,8.0,5.0,405.0,2.0,3.0,0.0,45.0,39.0,20.0,,,,121.0,121.0,2.0,16.0,20.0,44.8,,,18.0,0.0,123.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,0.0,4.0,66.0,337.0,4.0,13.0,237.0,28.0,28.0,10.0,4.0,15.0,11.0,1.0,100.0,2.0,206.0,,1.0,10.0,5.0,41.0,5.0,428.0,,0.0,14.0,18.0,,21.0,1.0,612.0,16.0,11.0,0.0,2.0,4.0,10.0,0.0
