matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292814,1,2022-08-06 15:00:00,2,Leeds,Home,142.0,15.0,2.0,6.0,4.0,,1.0,133.0,8.0,,7.0,3.0,1.0,18.0,269.0,,,13.0,7.0,9.0,4.0,4.0,3.0,,1.0,,,1.0,,,,,,7.0,,,,,,,1.0,7.0,8.0,7.0,7.0,5.0,45.0,70.0,2.0,2.0,,1.0,10.0,3.0,25.0,,,6.0,11.0,2.0,,10.0,2.0,61.0,45.0,1.0,22.0,8.0,,,,,,,31.0,52.0,13.0,8.0,,,2.0,1.0,1.0,149.0,1.0,,,1.0,,,9.0,1.0,1.0,,8.0,,14.0,14.0,2.0,8.0,82.0,58.0,29.0,4.0,1.0,3.0,6.0,4.0,336.0,3.0,2.0,,51.0,49.0,27.0,,,,,135.0,135.0,13.0,22.0,27.0,40.1,,,3.0,,14.0,0.0,79.0,4.0,1.0,5.0,,,,5.0,,,4.0,14.0,64.0,253.0,10.0,10.0,157.0,32.0,22.0,13.0,6.0,20.0,14.0,,109.0,1.0,218.0,1.0,,16.0,1.0,45.0,,355.0,,0.0,12.0,21.0,,16.0,2.0,551.0,28.0,13.0,7.0,6.0,14.0,0.0
2292828,2,2022-08-13 15:00:00,2,Leeds,Away,212.0,12.0,3.0,4.0,1.0,2.0,,128.0,5.0,1.0,7.0,3.0,2.0,20.0,336.0,1.0,,23.0,17.0,23.0,8.0,2.0,5.0,,,,,,,,,,,8.0,,,,,,,,8.0,9.0,5.0,11.0,2.0,64.0,65.0,3.0,1.0,2.0,1.0,21.0,4.0,17.0,,1.0,5.0,3.0,3.0,,10.0,2.0,62.0,65.0,1.0,20.0,14.0,,,,,,,28.0,58.0,12.0,9.0,,,1.0,1.0,,194.0,2.0,,1.0,1.0,1.0,,9.0,1.0,1.0,1.0,14.0,,10.0,10.0,1.0,7.0,88.0,72.0,30.0,2.0,2.0,4.0,8.0,5.0,430.0,3.0,2.0,,65.0,46.0,22.0,,,,,168.0,168.0,4.0,22.0,28.0,57.4,,2.0,,,21.0,0.0,108.0,1.0,1.0,2.0,,1.0,,4.0,2.0,,4.0,13.0,71.0,321.0,12.0,12.0,254.0,35.0,20.0,13.0,4.0,11.0,7.0,,118.0,5.0,211.0,1.0,1.0,24.0,3.0,61.0,1.0,454.0,1.0,0.0,13.0,27.0,1.0,28.0,3.0,661.0,20.0,18.0,6.0,5.0,20.0,0.0
2292834,3,2022-08-21 14:00:00,2,Leeds,Home,116.0,5.0,1.0,3.0,2.0,,1.0,114.0,6.0,1.0,2.0,3.0,3.0,11.0,227.0,,,19.0,21.0,10.0,6.0,1.0,2.0,1.0,,,,,,,,,,9.0,,,,,,,1.0,8.0,9.0,5.0,9.0,3.0,39.0,53.0,2.0,1.0,2.0,3.0,16.0,2.0,13.0,,,4.0,5.0,1.0,,10.0,2.0,72.0,58.0,3.0,14.0,6.0,,,,,,,34.0,44.0,16.0,15.0,1.0,,3.0,2.0,,130.0,2.0,1.0,1.0,1.0,1.0,,7.0,2.0,,,6.0,,16.0,16.0,3.0,2.0,68.0,52.0,24.0,6.0,2.0,3.0,6.0,6.0,290.0,5.0,,,47.0,41.0,18.0,,,,,133.0,133.0,6.0,21.0,22.0,39.1,,,,,25.0,0.0,81.0,2.0,1.0,3.0,,,1.0,4.0,,,5.0,15.0,67.0,207.0,16.0,9.0,146.0,22.0,14.0,20.0,4.0,12.0,8.0,1.0,105.0,3.0,184.0,,1.0,20.0,3.0,45.0,1.0,318.0,,0.0,12.0,26.0,,19.0,0.0,514.0,15.0,10.0,8.0,4.0,14.0,0.0
2292843,4,2022-08-27 15:00:00,2,Leeds,Away,192.0,20.0,,2.0,2.0,1.0,2.0,169.0,7.0,,6.0,3.0,3.0,19.0,359.0,,,20.0,14.0,10.0,6.0,1.0,,,,,,1.0,,,,,,8.0,,,,,,,1.0,11.0,11.0,2.0,7.0,3.0,73.0,68.0,,1.0,,,15.0,5.0,7.0,,,3.0,2.0,4.0,,9.0,,48.0,53.0,,16.0,7.0,,,,,,,18.0,59.0,14.0,10.0,,,2.0,3.0,1.0,189.0,,,,,,,11.0,,,1.0,7.0,,16.0,16.0,2.0,6.0,104.0,76.0,39.0,5.0,,2.0,5.0,2.0,454.0,1.0,,,58.0,58.0,24.0,,,,,156.0,156.0,5.0,32.0,25.0,57.2,,,,2.0,15.0,0.0,109.0,2.0,1.0,3.0,,1.0,,3.0,,,4.0,9.0,69.0,343.0,7.0,7.0,235.0,45.0,16.0,16.0,3.0,12.0,9.0,,113.0,3.0,252.0,,,21.0,4.0,63.0,1.0,475.0,,0.0,10.0,22.0,,21.0,3.0,659.0,13.0,14.0,11.0,3.0,12.0,0.0
2292854,5,2022-08-30 20:00:00,2,Leeds,Home,233.0,23.0,3.0,7.0,4.0,1.0,,309.0,2.0,1.0,,4.0,10.0,20.0,535.0,,1.0,38.0,12.0,24.0,9.0,1.0,3.0,,,,,,,,,,,11.0,,,,,,,,2.0,3.0,4.0,10.0,4.0,101.0,66.0,1.0,2.0,,,7.0,1.0,6.0,,,10.0,18.0,6.0,,14.0,1.0,53.0,70.0,,12.0,4.0,1.0,,,,,,25.0,77.0,10.0,9.0,,,,,,223.0,1.0,,,1.0,,,2.0,1.0,,3.0,4.0,,11.0,11.0,,,159.0,64.0,46.0,2.0,1.0,7.0,4.0,5.0,626.0,3.0,1.0,,147.0,64.0,43.0,,,,,190.0,190.0,5.0,25.0,35.0,69.1,,,1.0,1.0,26.0,0.0,161.0,1.0,,1.0,,2.0,,8.0,,,4.0,9.0,153.0,517.0,7.0,12.0,258.0,49.0,12.0,26.0,7.0,31.0,24.0,,217.0,5.0,417.0,,1.0,14.0,10.0,49.0,2.0,644.0,1.0,0.0,14.0,25.0,2.0,38.0,3.0,898.0,30.0,26.0,12.0,10.0,13.0,0.0
2292861,6,2022-09-03 15:00:00,2,Leeds,Away,147.0,25.0,2.0,5.0,3.0,1.0,,260.0,5.0,1.0,5.0,,9.0,15.0,402.0,,,21.0,17.0,11.0,9.0,2.0,3.0,1.0,,,,1.0,,1.0,,,,13.0,,,,,,,,4.0,10.0,4.0,9.0,8.0,93.0,64.0,3.0,3.0,1.0,,13.0,4.0,13.0,,,6.0,8.0,4.0,,11.0,2.0,63.0,59.0,,13.0,4.0,1.0,1.0,,,,,17.0,79.0,9.0,8.0,,,2.0,1.0,1.0,169.0,1.0,,1.0,,1.0,,8.0,1.0,,,4.0,,3.0,3.0,,5.0,121.0,58.0,31.0,2.0,2.0,5.0,7.0,6.0,466.0,1.0,,,85.0,66.0,27.0,1.0,1.0,1.0,,149.0,149.0,7.0,17.0,34.0,68.9,,,,1.0,13.0,0.0,105.0,3.0,,3.0,,,1.0,7.0,,,5.0,8.0,135.0,385.0,4.0,12.0,169.0,43.0,13.0,29.0,6.0,19.0,13.0,1.0,174.0,5.0,338.0,,1.0,10.0,10.0,41.0,1.0,488.0,,0.0,17.0,24.0,,25.0,2.0,693.0,25.0,20.0,16.0,6.0,17.0,0.0
2292874,7,2023-04-04 19:45:00,2,Leeds,Home,167.0,28.0,2.0,4.0,2.0,3.0,1.0,238.0,,2.0,5.0,5.0,8.0,26.0,401.0,1.0,1.0,19.0,15.0,23.0,13.0,3.0,4.0,1.0,,,,,,,,1.0,,16.0,,,,,,,1.0,7.0,9.0,4.0,13.0,8.0,70.0,68.0,1.0,1.0,1.0,2.0,13.0,9.0,10.0,,,11.0,10.0,5.0,,7.0,,54.0,65.0,2.0,21.0,12.0,,,,,,,26.0,78.0,11.0,12.0,,,1.0,2.0,,195.0,1.0,,,1.0,,,3.0,2.0,,,12.0,,10.0,10.0,2.0,5.0,113.0,77.0,53.0,4.0,2.0,4.0,13.0,6.0,472.0,7.0,1.0,,64.0,98.0,41.0,,,,,159.0,159.0,9.0,33.0,20.0,62.4,,,3.0,1.0,32.0,0.0,116.0,,,,,1.0,1.0,6.0,,,3.0,10.0,128.0,385.0,13.0,17.0,189.0,50.0,21.0,26.0,8.0,25.0,17.0,1.0,182.0,5.0,330.0,,2.0,13.0,9.0,57.0,3.0,494.0,4.0,0.0,21.0,15.0,4.0,21.0,1.0,733.0,41.0,21.0,15.0,11.0,9.0,0.0
2292885,8,2023-02-08 20:00:00,2,Leeds,Away,77.0,12.0,,1.0,1.0,1.0,,134.0,8.0,,4.0,4.0,3.0,20.0,210.0,,,7.0,14.0,14.0,4.0,,4.0,,,1.0,,1.0,,,,,,3.0,,,,,1.0,,,6.0,16.0,8.0,4.0,4.0,51.0,70.0,1.0,1.0,,1.0,20.0,2.0,17.0,1.0,1.0,5.0,2.0,2.0,,10.0,4.0,60.0,58.0,1.0,30.0,20.0,,,,,,,29.0,51.0,11.0,7.0,,,3.0,,1.0,156.0,1.0,,,1.0,,,15.0,1.0,1.0,,20.0,1.0,16.0,16.0,2.0,4.0,61.0,62.0,27.0,6.0,1.0,2.0,3.0,2.0,295.0,9.0,2.0,,57.0,59.0,16.0,,,,,163.0,163.0,6.0,31.0,25.0,34.1,1.0,2.0,,,38.0,0.0,58.0,3.0,2.0,5.0,,3.0,,4.0,,,6.0,15.0,78.0,190.0,20.0,5.0,111.0,35.0,30.0,16.0,2.0,6.0,4.0,,126.0,10.0,221.0,2.0,1.0,16.0,4.0,54.0,,326.0,,0.0,8.0,30.0,,13.0,3.0,550.0,20.0,15.0,7.0,5.0,20.0,0.0
2292894,9,2022-10-02 16:30:00,2,Leeds,Home,180.0,18.0,1.0,2.0,1.0,,,92.0,3.0,,9.0,3.0,2.0,20.0,270.0,,,14.0,22.0,16.0,4.0,1.0,1.0,,,,,,,,,,,5.0,,,,,,,,15.0,12.0,7.0,4.0,2.0,48.0,63.0,,,,,7.0,3.0,10.0,1.0,,2.0,4.0,1.0,,10.0,3.0,71.0,46.0,,23.0,16.0,,,,,,,21.0,44.0,23.0,12.0,,,1.0,3.0,,159.0,,,,,,,8.0,,3.0,,16.0,,6.0,6.0,1.0,10.0,88.0,73.0,29.0,9.0,,2.0,3.0,1.0,354.0,5.0,,,43.0,35.0,23.0,,,,,148.0,148.0,,30.0,19.0,43.8,,,,1.0,11.0,0.0,80.0,6.0,1.0,6.0,1.0,2.0,,2.0,,,5.0,7.0,40.0,259.0,7.0,5.0,215.0,50.0,23.0,12.0,2.0,10.0,8.0,,75.0,1.0,170.0,3.0,,17.0,3.0,65.0,,375.0,,1.0,6.0,12.0,,20.0,3.0,553.0,16.0,12.0,6.0,2.0,9.0,0.0
2292904,10,2022-10-09 14:00:00,2,Leeds,Away,97.0,12.0,1.0,5.0,4.0,1.0,1.0,130.0,6.0,1.0,8.0,2.0,6.0,15.0,222.0,,1.0,30.0,15.0,13.0,7.0,1.0,1.0,,,,,,,,,,,9.0,,,,,1.0,,,11.0,10.0,3.0,7.0,3.0,42.0,68.0,1.0,1.0,1.0,,27.0,4.0,7.0,,,3.0,5.0,5.0,1.0,10.0,2.0,63.0,63.0,,12.0,6.0,,,,,,,21.0,51.0,23.0,13.0,,,4.0,4.0,,175.0,,,,,,,9.0,1.0,1.0,,6.0,1.0,10.0,10.0,,8.0,64.0,62.0,29.0,5.0,,2.0,6.0,4.0,322.0,3.0,,,77.0,44.0,35.0,,,,,171.0,171.0,12.0,23.0,23.0,45.5,1.0,3.0,,,27.0,0.0,64.0,2.0,1.0,3.0,,,,2.0,,,4.0,10.0,71.0,207.0,10.0,8.0,128.0,27.0,12.0,16.0,3.0,17.0,14.0,,134.0,6.0,234.0,1.0,1.0,25.0,10.0,49.0,2.0,345.0,,0.0,10.0,29.0,1.0,32.0,3.0,555.0,24.0,14.0,8.0,3.0,13.0,0.0
