matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attLgRight,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2561904,1.0,2025-08-18 20:00:00,2,Leeds,Home,207.0,12.0,3.0,7.0,4.0,2.0,,201.0,4.0,,3.0,4.0,20.0,25.0,401.0,,,16.0,19.0,18.0,10.0,2.0,5.0,,0.0,,,,,,,,,1.0,14.0,1.0,,,,,,,3.0,5.0,2.0,12.0,9.0,,82.0,41.0,1.0,2.0,1.0,,6.0,11.0,6.0,,,7.0,15.0,5.0,0.0,7.0,1.0,47.0,45.0,,30.0,17.0,,,0.839977,2.132,,1.0712,0.1047,57.0,6.0,7.0,,,4.0,,,154.0,,,,,,,4.0,,,0.0,1.0,,,,,17.0,,9.0,9.0,,0.0,3.0,125.0,68.0,46.0,2.0,0.0,6.0,6.0,3.0,463.0,,,3.0,2.0,0.0,108.0,43.0,32.0,,,,1.0,131.0,131.0,6.0,13.0,16.0,54.4,,,,2.0,15.0,0.0,,,,120.0,1.0,,1.0,,,,7.0,1.0,1.0,5.0,107.0,389.0,6.0,12.0,228.0,19.0,30.0,15.0,6.0,26.0,20.0,110507.56,,146.0,7.0,279.0,1.0,,24.0,20.0,56.0,1.0,481.0,1.0,0.0,21.0,15.0,,23.0,0.0,675.0,28.0,6.0,0.0,6.0,7.0,7.0,0.0
2561906,2.0,2025-08-23 17:30:00,2,Leeds,Away,172.0,9.0,1.0,1.0,,1.0,,48.0,6.0,,2.0,4.0,5.0,13.0,219.0,,,12.0,13.0,4.0,2.0,1.0,1.0,,0.0,,,,,,,,,,2.0,0.0,,,,,,,6.0,13.0,5.0,2.0,1.0,,48.0,33.0,,,,1.0,3.0,2.0,12.0,,,2.0,1.0,1.0,0.0,5.0,,47.0,34.0,1.0,20.0,9.0,,1.0,0.127854,0.1666,,0.1446,2.7748,17.0,11.0,8.0,,,,1.0,,93.0,,,,,,,12.0,,,0.0,,,,,,9.0,,6.0,6.0,1.0,0.0,3.0,70.0,42.0,12.0,2.0,0.0,,3.0,1.0,265.0,,,3.0,,0.0,22.0,19.0,6.0,1.0,1.0,1.0,,99.0,99.0,1.0,19.0,10.0,32.5,,,,,16.0,0.0,,,,79.0,,,,,,,,,0.0,5.0,15.0,200.0,3.0,3.0,203.0,19.0,20.0,11.0,2.0,5.0,3.0,108252.64,,26.0,3.0,92.0,,,16.0,8.0,37.0,,290.0,,0.0,3.0,18.0,,14.0,2.0,417.0,6.0,9.0,0.0,4.0,2.0,12.0,0.0
2561918,3.0,2025-08-30 17:30:00,2,Leeds,Home,180.0,12.0,1.0,4.0,3.0,2.0,,152.0,5.0,,4.0,4.0,11.0,16.0,328.0,,,13.0,12.0,8.0,9.0,,1.0,1.0,0.0,1.0,,1.0,,,,,,,8.0,0.0,,,,,,,7.0,4.0,4.0,4.0,6.0,,68.0,48.0,1.0,1.0,,2.0,8.0,3.0,5.0,,,5.0,6.0,5.0,0.0,5.0,1.0,37.0,47.0,2.0,18.0,9.0,,,0.342263,0.6877,0.0352,0.0926,0.1351,49.0,10.0,15.0,,,1.0,1.0,1.0,147.0,,,,,,,11.0,,,0.0,1.0,,,,,9.0,,13.0,13.0,1.0,0.0,6.0,92.0,69.0,33.0,5.0,0.0,5.0,4.0,1.0,389.0,,,3.0,2.0,0.0,59.0,43.0,23.0,,,,,128.0,128.0,3.0,16.0,23.0,43.0,,,,,18.0,0.0,,,,107.0,1.0,1.0,2.0,,,1.0,6.0,,0.0,4.0,68.0,310.0,8.0,9.0,200.0,27.0,18.0,12.0,5.0,17.0,12.0,118041.74,1.0,103.0,8.0,231.0,1.0,,24.0,12.0,57.0,1.0,414.0,1.0,0.0,10.0,18.0,,15.0,1.0,594.0,19.0,12.0,0.0,7.0,5.0,14.0,0.0
2561931,4.0,2025-09-13 15:00:00,2,Leeds,Away,181.0,16.0,1.0,1.0,1.0,4.0,,133.0,4.0,,7.0,5.0,6.0,23.0,313.0,,,11.0,14.0,20.0,4.0,,1.0,1.0,0.0,,,,1.0,,,,,,8.0,0.0,,,1.0,,,,5.0,4.0,2.0,7.0,3.0,,70.0,49.0,1.0,1.0,,1.0,8.0,4.0,6.0,,,3.0,4.0,4.0,0.0,12.0,2.0,59.0,60.0,1.0,30.0,19.0,,,0.621961,0.7898,,0.516,0.8843,54.0,15.0,20.0,,,3.0,2.0,,134.0,,,,,,,6.0,,,0.0,1.0,,,,,19.0,1.0,7.0,7.0,,0.0,7.0,92.0,62.0,35.0,3.0,0.0,1.0,3.0,3.0,358.0,,,,,1.0,72.0,51.0,24.0,,,,,130.0,130.0,1.0,22.0,15.0,46.0,1.0,,,1.0,17.0,0.0,,,,92.0,1.0,2.0,3.0,,,1.0,3.0,,0.0,4.0,67.0,291.0,8.0,4.0,198.0,26.0,30.0,16.0,3.0,13.0,10.0,109940.55,1.0,103.0,7.0,203.0,1.0,,19.0,7.0,52.0,3.0,388.0,1.0,0.0,10.0,18.0,,15.0,2.0,583.0,21.0,12.0,0.0,4.0,3.0,11.0,0.0
2561944,5.0,2025-09-20 15:00:00,2,Leeds,Away,206.0,12.0,,,,,,145.0,2.0,,7.0,1.0,17.0,16.0,351.0,,2.0,14.0,29.0,18.0,1.0,,,,1.0,,,1.0,,,,,,,5.0,0.0,,,,,,,1.0,13.0,3.0,2.0,4.0,,65.0,61.0,1.0,,1.0,3.0,8.0,,9.0,,,,3.0,3.0,0.0,15.0,2.0,75.0,57.0,3.0,49.0,24.0,,,0.448277,0.4807,0.079,1.5445,1.3063,43.0,9.0,11.0,2.0,,2.0,1.0,1.0,124.0,1.0,,1.0,1.0,,,7.0,,,2.0,1.0,,,,,24.0,,7.0,7.0,,0.0,7.0,115.0,62.0,40.0,4.0,1.0,1.0,1.0,4.0,394.0,,,3.0,1.0,0.0,51.0,39.0,14.0,,,,,132.0,132.0,5.0,22.0,21.0,44.1,,,3.0,2.0,13.0,0.0,,,,112.0,4.0,1.0,5.0,,,,2.0,,0.0,5.0,52.0,338.0,8.0,2.0,226.0,22.0,49.0,21.0,,7.0,7.0,117853.77,,81.0,3.0,197.0,2.0,,10.0,17.0,45.0,2.0,416.0,1.0,0.0,6.0,20.0,4.0,15.0,1.0,641.0,13.0,28.0,0.0,8.0,,13.0,0.0
2561950,6.0,2025-09-27 15:00:00,2,Leeds,Home,168.0,17.0,6.0,9.0,3.0,5.0,1.0,121.0,5.0,,7.0,15.0,10.0,32.0,280.0,,,8.0,19.0,18.0,9.0,3.0,9.0,,0.0,,,,,,,,,,9.0,0.0,,,,,,,2.0,7.0,5.0,16.0,3.0,,60.0,44.0,3.0,3.0,,1.0,11.0,6.0,11.0,,,7.0,5.0,2.0,1.0,14.0,,63.0,65.0,1.0,25.0,15.0,,,0.66012,1.8354,,2.044,1.3132,48.0,12.0,13.0,,,2.0,2.0,,132.0,1.0,1.0,1.0,,1.0,,11.0,,,0.0,,,,,1.0,15.0,,9.0,9.0,1.0,0.0,7.0,77.0,67.0,39.0,4.0,1.0,4.0,9.0,8.0,326.0,,,3.0,,0.0,47.0,26.0,29.0,,,,,127.0,127.0,4.0,16.0,13.0,41.4,,2.0,1.0,1.0,20.0,0.0,,,,88.0,3.0,,3.0,,2.0,,5.0,1.0,0.0,3.0,53.0,259.0,11.0,13.0,187.0,28.0,25.0,17.0,7.0,16.0,9.0,115502.12,,88.0,8.0,186.0,,,28.0,10.0,60.0,,357.0,,0.0,19.0,27.0,1.0,14.0,2.0,567.0,35.0,14.0,0.0,8.0,7.0,16.0,0.0
2561961,7.0,2025-10-04 12:30:00,2,Leeds,Home,227.0,9.0,2.0,10.0,8.0,,2.0,184.0,5.0,,3.0,3.0,18.0,16.0,401.0,,1.0,12.0,10.0,14.0,9.0,4.0,2.0,,0.0,,,,,,,,,1.0,10.0,0.0,,,,,1.0,3.0,5.0,4.0,5.0,11.0,5.0,,54.0,53.0,3.0,3.0,1.0,,7.0,2.0,10.0,,,4.0,6.0,9.0,0.0,8.0,,44.0,48.0,,25.0,12.0,1.0,1.0,0.885357,1.6781,,1.6614,0.5996,65.0,10.0,12.0,1.0,,1.0,2.0,,143.0,,,,,,,9.0,,,1.0,1.0,,,,,12.0,1.0,6.0,6.0,,0.0,3.0,148.0,72.0,41.0,1.0,0.0,8.0,5.0,4.0,451.0,,,2.0,2.0,0.0,54.0,50.0,33.0,,,,,131.0,131.0,5.0,22.0,19.0,56.5,1.0,,,,17.0,0.0,,,,133.0,,1.0,1.0,,1.0,,10.0,1.0,0.0,5.0,87.0,382.0,7.0,14.0,239.0,24.0,25.0,10.0,4.0,21.0,17.0,112983.98,,131.0,6.0,260.0,1.0,,11.0,19.0,40.0,1.0,478.0,,0.0,16.0,19.0,1.0,15.0,2.0,656.0,22.0,22.0,0.0,3.0,4.0,11.0,0.0
2561966,8.0,2025-10-18 15:00:00,2,Leeds,Away,226.0,6.0,3.0,18.0,15.0,3.0,,318.0,3.0,1.0,4.0,2.0,13.0,13.0,526.0,1.0,,21.0,18.0,25.0,15.0,1.0,2.0,,0.0,,1.0,1.0,,,,,,,13.0,0.0,,,,,,,5.0,1.0,3.0,17.0,2.0,,99.0,37.0,4.0,4.0,,1.0,10.0,3.0,2.0,,,5.0,27.0,15.0,0.0,8.0,,40.0,54.0,1.0,12.0,8.0,,,1.53346,2.6255,0.0525,0.5051,1.2079,61.0,7.0,10.0,,,1.0,,1.0,155.0,,,,,,,3.0,,,0.0,1.0,,,,,8.0,1.0,12.0,12.0,1.0,0.0,4.0,197.0,64.0,45.0,1.0,0.0,11.0,5.0,4.0,599.0,,,,,0.0,109.0,74.0,48.0,,,,,147.0,147.0,5.0,13.0,15.0,68.9,,,,,25.0,0.0,,,,164.0,,1.0,1.0,,1.0,,12.0,,0.0,4.0,117.0,511.0,10.0,16.0,251.0,23.0,12.0,12.0,5.0,47.0,42.0,112242.11,,160.0,6.0,411.0,1.0,1.0,16.0,15.0,39.0,,615.0,1.0,0.0,19.0,13.0,,25.0,1.0,822.0,44.0,11.0,0.0,6.0,5.0,6.0,0.0
2561981,9.0,2025-10-24 20:00:00,2,Leeds,Home,211.0,14.0,1.0,5.0,4.0,1.0,,96.0,5.0,1.0,6.0,7.0,4.0,20.0,302.0,,1.0,14.0,26.0,15.0,8.0,,2.0,3.0,0.0,,,,,1.0,,,,,11.0,0.0,,,,,,,3.0,4.0,5.0,8.0,5.0,,59.0,45.0,2.0,1.0,2.0,1.0,8.0,3.0,6.0,,,3.0,7.0,1.0,1.0,8.0,1.0,57.0,52.0,1.0,39.0,22.0,,,0.799294,1.4876,,1.4603,1.0311,38.0,12.0,11.0,1.0,,1.0,,,118.0,1.0,1.0,1.0,,1.0,,8.0,,,1.0,1.0,,,,,22.0,1.0,13.0,13.0,1.0,0.0,7.0,98.0,70.0,33.0,4.0,0.0,3.0,6.0,5.0,350.0,,,3.0,,0.0,49.0,29.0,15.0,,,,,114.0,114.0,2.0,17.0,18.0,40.9,,,,,11.0,0.0,,,,98.0,2.0,,2.0,,1.0,3.0,5.0,,0.0,5.0,39.0,287.0,8.0,9.0,230.0,23.0,39.0,10.0,3.0,11.0,8.0,123194.39,3.0,66.0,7.0,154.0,1.0,1.0,31.0,5.0,56.0,1.0,373.0,,0.0,13.0,21.0,2.0,18.0,3.0,580.0,10.0,18.0,0.0,5.0,3.0,13.0,0.0
2561985,10.0,2025-11-01 15:00:00,2,Leeds,Away,261.0,19.0,3.0,4.0,1.0,2.0,,166.0,11.0,,5.0,3.0,13.0,22.0,423.0,,2.0,16.0,10.0,10.0,4.0,1.0,,3.0,0.0,1.0,,1.0,,,,,,,4.0,0.0,,,,,,1.0,4.0,8.0,6.0,3.0,2.0,,78.0,37.0,1.0,1.0,,,3.0,1.0,9.0,,,7.0,6.0,6.0,0.0,11.0,2.0,49.0,43.0,,19.0,15.0,1.0,1.0,0.521134,0.497,0.0632,0.8837,4.4765,35.0,7.0,10.0,,,3.0,1.0,1.0,142.0,,,,,,,11.0,,,0.0,,,,,,15.0,,6.0,6.0,,0.0,5.0,127.0,61.0,39.0,4.0,0.0,1.0,3.0,2.0,459.0,,,2.0,,0.0,45.0,36.0,19.0,,,,,119.0,119.0,2.0,12.0,18.0,50.2,,,,,9.0,0.0,,,,139.0,4.0,,4.0,,1.0,3.0,2.0,,0.0,5.0,53.0,397.0,3.0,4.0,281.0,33.0,19.0,24.0,6.0,19.0,13.0,113033.34,3.0,75.0,5.0,224.0,,,17.0,13.0,47.0,1.0,486.0,,0.0,5.0,12.0,2.0,18.0,1.0,660.0,18.0,14.0,0.0,11.0,7.0,8.0,0.0
