season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTargetConceded,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attLgRight,clearanceOffLine,attPenMiss,attPenPost,attLgLeft,expectedGoalsOnTarget,subsGoals,penaltySave,attOboxOwnGoal,keeperGoals,winningGoal
2021-22,2210271,1,2021-08-13 20:00:00,3,Arsenal,Away,205.0,17.0,1.0,10.0,9.0,,,293.0,5.0,,3.0,,3.0,20.0,488.0,,1.0,21.0,17.0,20.0,18.0,1.0,3.0,,,1.0,,,1.0,,,,,,18.0,,,,,,,5.0,7.0,1.0,13.0,9.0,88.0,51.0,,,,1.0,16.0,4.0,7.0,,5.0,13.0,6.0,,9.0,,51.0,50.0,1.0,14.0,9.0,,,,,,,27.0,48.0,8.0,12.0,,,1.0,,1.0,166.0,,,,,,,8.0,,1.0,1.0,9.0,,7.0,7.0,2.0,3.0,165.0,57.0,35.0,2.0,,11.0,8.0,4.0,543.0,,3.0,,93.0,85.0,36.0,,,,,145.0,145.0,6.0,15.0,27.0,64.7,,,,,16.0,0.0,149.0,1.0,,1.0,,1.0,,14.0,,3.0,8.0,158.0,466.0,10.0,19.0,233.0,35.0,14.0,20.0,3.0,22.0,19.0,,188.0,2.0,357.0,1.0,,12.0,4.0,47.0,1.0,568.0,,0.0,22.0,9.0,4.0,26.0,0.0,776.0,40.0,24.0,9.0,5.0,3.0,0.0,,,,,,,,,,,
2021-22,2210271,1,2021-08-13 20:00:00,94,Brentford,Home,106.0,14.0,1.0,2.0,1.0,4.0,,97.0,6.0,1.0,5.0,7.0,3.0,22.0,201.0,,1.0,9.0,20.0,17.0,4.0,1.0,1.0,,,,,,,,,,,,6.0,,,,,1.0,,6.0,13.0,9.0,7.0,1.0,49.0,56.0,1.0,1.0,1.0,3.0,15.0,,9.0,,2.0,4.0,3.0,,5.0,2.0,50.0,51.0,3.0,19.0,5.0,,,,,,,27.0,44.0,12.0,7.0,,,,,,145.0,1.0,,,1.0,,,16.0,1.0,2.0,,5.0,1.0,9.0,9.0,1.0,5.0,58.0,66.0,23.0,5.0,2.0,4.0,2.0,3.0,280.0,4.0,,,46.0,28.0,20.0,,,,,151.0,151.0,4.0,22.0,18.0,35.3,1.0,,,,15.0,0.0,57.0,2.0,2.0,4.0,,2.0,,5.0,,3.0,19.0,49.0,188.0,4.0,6.0,138.0,28.0,19.0,11.0,2.0,9.0,7.0,,84.0,12.0,180.0,2.0,1.0,30.0,4.0,65.0,1.0,309.0,2.0,0.0,8.0,20.0,1.0,19.0,0.0,479.0,20.0,16.0,7.0,2.0,12.0,0.0,,,,,,,,,,,
2021-22,2210276,1,2021-08-14 12:30:00,1,Man Utd,Home,193.0,22.0,1.0,1.0,,1.0,,142.0,8.0,,3.0,,13.0,25.0,334.0,,5.0,25.0,9.0,11.0,8.0,1.0,2.0,1.0,,,,,,,,,,,14.0,,,,,,,7.0,3.0,7.0,12.0,4.0,63.0,54.0,3.0,1.0,2.0,1.0,20.0,3.0,9.0,,5.0,6.0,,,11.0,1.0,51.0,38.0,1.0,15.0,11.0,,,,,,,35.0,56.0,11.0,9.0,1.0,,,,,169.0,5.0,,4.0,5.0,,1.0,12.0,5.0,,1.0,11.0,,8.0,8.0,,3.0,99.0,49.0,31.0,4.0,4.0,4.0,10.0,8.0,397.0,1.0,2.0,,51.0,49.0,26.0,,,,,147.0,147.0,5.0,22.0,24.0,48.6,,,,,20.0,0.0,91.0,,2.0,2.0,,1.0,1.0,5.0,,3.0,20.0,71.0,313.0,10.0,14.0,220.0,44.0,15.0,24.0,5.0,11.0,6.0,2.0,114.0,5.0,213.0,,,5.0,13.0,47.0,2.0,422.0,1.0,0.0,16.0,6.0,10.0,27.0,1.0,604.0,20.0,20.0,12.0,5.0,4.0,0.0,,,,,,,,,,,
2021-22,2210276,1,2021-08-14 12:30:00,2,Leeds,Away,242.0,20.0,,4.0,4.0,1.0,1.0,105.0,4.0,1.0,10.0,1.0,1.0,23.0,343.0,,,15.0,11.0,9.0,5.0,1.0,2.0,,,,,,,,,,,,5.0,,,,,,3.0,6.0,12.0,4.0,3.0,7.0,62.0,63.0,2.0,2.0,,,21.0,1.0,12.0,,4.0,5.0,4.0,1.0,3.0,1.0,38.0,51.0,,14.0,3.0,,,,,,,35.0,42.0,9.0,10.0,,,2.0,3.0,,148.0,1.0,,,1.0,,,10.0,1.0,1.0,,3.0,,14.0,14.0,,10.0,116.0,55.0,32.0,5.0,,4.0,3.0,3.0,410.0,3.0,1.0,,52.0,39.0,21.0,,,,,137.0,137.0,4.0,27.0,22.0,51.4,,,,2.0,21.0,0.0,112.0,1.0,2.0,3.0,,,,6.0,,3.0,15.0,51.0,322.0,10.0,7.0,280.0,53.0,14.0,12.0,2.0,14.0,12.0,,85.0,1.0,172.0,1.0,1.0,13.0,1.0,62.0,3.0,438.0,1.0,0.0,10.0,23.0,1.0,17.0,2.0,623.0,11.0,20.0,9.0,4.0,13.0,0.0,,,,,,,,,,,
2021-22,2210272,1,2021-08-14 15:00:00,36,Brighton,Away,273.0,14.0,4.0,6.0,2.0,,,157.0,3.0,,8.0,3.0,7.0,25.0,424.0,2.0,,22.0,26.0,20.0,5.0,3.0,5.0,,,,,1.0,1.0,,,,,1.0,8.0,,,,,,,2.0,8.0,6.0,12.0,2.0,86.0,56.0,3.0,1.0,2.0,5.0,12.0,2.0,12.0,,6.0,4.0,3.0,,12.0,,61.0,49.0,5.0,27.0,14.0,,,,,,,21.0,43.0,7.0,10.0,1.0,,2.0,2.0,1.0,159.0,2.0,,2.0,2.0,,,8.0,2.0,3.0,,14.0,,6.0,6.0,2.0,8.0,129.0,72.0,30.0,7.0,,2.0,8.0,8.0,496.0,3.0,1.0,,46.0,70.0,28.0,,,,,131.0,131.0,2.0,29.0,14.0,64.1,,,3.0,2.0,12.0,0.0,144.0,1.0,1.0,2.0,,1.0,,4.0,1.0,3.0,11.0,82.0,413.0,5.0,10.0,295.0,44.0,27.0,7.0,5.0,14.0,9.0,,117.0,,237.0,4.0,,24.0,7.0,72.0,,518.0,2.0,0.0,14.0,16.0,1.0,24.0,1.0,705.0,23.0,10.0,3.0,6.0,9.0,0.0,,,,,,,,,,,
2021-22,2210272,1,2021-08-14 15:00:00,90,Burnley,Home,76.0,14.0,1.0,5.0,4.0,2.0,,110.0,2.0,,7.0,4.0,3.0,17.0,181.0,,1.0,20.0,20.0,26.0,8.0,,4.0,,,1.0,,,1.0,,,,,,9.0,,,1.0,1.0,,,6.0,12.0,2.0,8.0,6.0,38.0,59.0,1.0,2.0,1.0,2.0,15.0,3.0,3.0,,7.0,17.0,12.0,1.0,10.0,,49.0,61.0,2.0,12.0,7.0,,,,,,,21.0,46.0,10.0,7.0,,,1.0,,1.0,127.0,1.0,1.0,1.0,,1.0,,4.0,,1.0,,7.0,2.0,10.0,10.0,,7.0,46.0,54.0,27.0,6.0,,4.0,5.0,3.0,244.0,4.0,1.0,,47.0,48.0,42.0,,,,,141.0,141.0,7.0,19.0,24.0,35.9,2.0,3.0,,,15.0,0.0,48.0,4.0,2.0,4.0,,,,8.0,,3.0,10.0,67.0,170.0,5.0,9.0,98.0,32.0,12.0,18.0,7.0,36.0,29.0,,101.0,6.0,197.0,1.0,,19.0,4.0,50.0,1.0,259.0,,0.0,14.0,16.0,2.0,24.0,2.0,463.0,12.0,10.0,12.0,7.0,12.0,0.0,,2.0,,,,,,,,,
2021-22,2210273,1,2021-08-14 15:00:00,31,Crystal Palace,Away,264.0,11.0,1.0,3.0,2.0,1.0,1.0,102.0,9.0,1.0,7.0,1.0,5.0,18.0,363.0,,1.0,13.0,7.0,15.0,4.0,,2.0,,,,,,,,,,,,2.0,,,,,,,5.0,5.0,8.0,4.0,,79.0,44.0,,,,3.0,9.0,1.0,8.0,,2.0,2.0,,,14.0,3.0,46.0,52.0,3.0,24.0,14.0,,,,,,,22.0,30.0,11.0,14.0,,,1.0,1.0,,113.0,,,,,,,9.0,,1.0,,14.0,,9.0,9.0,2.0,7.0,110.0,42.0,28.0,5.0,,2.0,2.0,1.0,395.0,2.0,1.0,,48.0,26.0,9.0,,,,,103.0,103.0,3.0,19.0,14.0,38.3,,,,1.0,9.0,0.0,121.0,2.0,1.0,3.0,,,,2.0,,3.0,10.0,50.0,339.0,4.0,4.0,291.0,25.0,24.0,20.0,2.0,5.0,3.0,,74.0,2.0,137.0,1.0,1.0,9.0,5.0,39.0,1.0,423.0,,0.0,4.0,11.0,2.0,14.0,0.0,590.0,11.0,17.0,13.0,2.0,7.0,0.0,,,,,,,,,,,
2021-22,2210273,1,2021-08-14 15:00:00,8,Chelsea,Home,249.0,29.0,,4.0,4.0,,,378.0,5.0,,2.0,2.0,2.0,38.0,623.0,1.0,5.0,17.0,15.0,7.0,5.0,,1.0,,1.0,1.0,,1.0,4.0,,,1.0,,,8.0,,,,,,,9.0,4.0,,5.0,8.0,112.0,44.0,,,1.0,1.0,11.0,2.0,13.0,,5.0,11.0,6.0,1.0,5.0,1.0,52.0,46.0,1.0,8.0,3.0,,,,,,,22.0,79.0,15.0,11.0,1.0,,6.0,1.0,4.0,163.0,1.0,,,1.0,,,5.0,2.0,,1.0,3.0,,11.0,11.0,,2.0,216.0,63.0,55.0,2.0,1.0,2.0,4.0,6.0,664.0,1.0,3.0,,139.0,101.0,40.0,,,,,97.0,97.0,9.0,10.0,23.0,61.7,,,,,11.0,0.0,187.0,1.0,,1.0,,,,5.0,,3.0,12.0,196.0,609.0,4.0,6.0,261.0,38.0,8.0,14.0,4.0,22.0,18.0,,230.0,,439.0,,,8.0,3.0,52.0,,678.0,3.0,0.0,13.0,21.0,6.0,17.0,0.0,834.0,33.0,10.0,8.0,5.0,9.0,0.0,,,,,,,,,,,
2021-22,2210274,1,2021-08-14 15:00:00,11,Everton,Home,113.0,17.0,,6.0,6.0,,,128.0,2.0,1.0,7.0,3.0,6.0,26.0,235.0,,1.0,23.0,19.0,25.0,8.0,,2.0,1.0,,,,,1.0,,,,,,11.0,,,,,,,10.0,5.0,1.0,11.0,3.0,51.0,60.0,3.0,1.0,2.0,,18.0,3.0,10.0,,6.0,11.0,6.0,,14.0,1.0,61.0,68.0,,26.0,13.0,1.0,,,,,,19.0,56.0,13.0,14.0,1.0,,3.0,2.0,1.0,149.0,3.0,,3.0,2.0,1.0,,4.0,2.0,1.0,1.0,13.0,,6.0,6.0,,7.0,59.0,64.0,27.0,8.0,2.0,4.0,7.0,6.0,317.0,2.0,2.0,,52.0,63.0,31.0,,,,,167.0,167.0,6.0,23.0,21.0,48.1,,,3.0,1.0,18.0,0.0,78.0,2.0,,2.0,,,1.0,5.0,,3.0,10.0,72.0,219.0,10.0,11.0,148.0,43.0,26.0,14.0,6.0,25.0,19.0,1.0,113.0,6.0,214.0,1.0,1.0,20.0,7.0,68.0,,337.0,,0.0,14.0,23.0,1.0,28.0,2.0,564.0,19.0,18.0,7.0,6.0,9.0,0.0,,,,,,,,,,,
2021-22,2210274,1,2021-08-14 15:00:00,20,Southampton,Away,114.0,8.0,,4.0,4.0,,2.0,146.0,5.0,,6.0,2.0,2.0,10.0,256.0,,1.0,17.0,25.0,19.0,1.0,2.0,1.0,,,,,,,,,,,1.0,3.0,,,,,,2.0,6.0,11.0,3.0,5.0,1.0,45.0,50.0,1.0,,1.0,2.0,15.0,2.0,7.0,,8.0,7.0,4.0,,10.0,2.0,68.0,61.0,2.0,22.0,12.0,,,,,,,19.0,57.0,15.0,11.0,1.0,,4.0,3.0,,154.0,1.0,,1.0,1.0,,,10.0,1.0,3.0,1.0,12.0,,5.0,5.0,,6.0,94.0,68.0,27.0,6.0,,1.0,3.0,3.0,345.0,3.0,1.0,,61.0,48.0,32.0,,,,,180.0,180.0,4.0,18.0,18.0,51.9,,3.0,,2.0,15.0,0.0,77.0,2.0,1.0,3.0,,,,1.0,1.0,3.0,9.0,68.0,240.0,5.0,4.0,139.0,32.0,22.0,23.0,8.0,22.0,14.0,,124.0,4.0,253.0,3.0,,16.0,2.0,49.0,,370.0,1.0,0.0,6.0,21.0,4.0,26.0,0.0,581.0,26.0,15.0,10.0,8.0,12.0,0.0,,,,,,,,,,,
