season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attCorner,attFreekickGoal,attIboxOwnGoal,attLgCentre,ownGoals,secondYellow,attObxdRight,attPenMiss,attFreekickPost,goalFastbreak,attLgRight,attPenPost,attLgLeft
2017-18,918893,1,2017-08-11 19:45:00,13,Leicester,Away,67.0,15.0,1.0,4.0,3.0,1.0,,104.0,6.0,1.0,,5.0,9.0,32.0,167.0,,1.0,21.0,18.0,18.0,1.0,,,,,,,,3.0,,,,,,,6.0,15.0,12.0,5.0,1.0,35.0,53.0,2.0,,2.0,5.0,19.0,,16.0,,2.0,4.0,11.0,5.0,,12.0,4.0,69.0,48.0,5.0,24.0,12.0,,,60.0,12.0,9.0,3.0,,,,,134.0,3.0,1.0,3.0,1.0,2.0,11.0,1.0,,,12.0,,11.0,11.0,1.0,,50.0,58.0,26.0,9.0,,1.0,3.0,3.0,228.0,8.0,2.0,68.0,41.0,27.0,,,,,,158.0,158.0,10.0,24.0,13.0,30.0,,3.0,,,19.0,0.0,44.0,3.0,3.0,6.0,1.0,,3.0,,3.0,52.0,145.0,10.0,4.0,91.0,26.0,24.0,16.0,2.0,18.0,16.0,,103.0,16.0,190.0,,1.0,27.0,12.0,70.0,3.0,263.0,,0.0,6.0,17.0,2.0,31.0,1.0,459.0,11.0,10.0,5.0,4.0,8.0,0.0,,,,,,,,,,,,,
2017-18,918893,1,2017-08-11 19:45:00,3,Arsenal,Home,186.0,25.0,4.0,6.0,3.0,3.0,,358.0,5.0,2.0,3.0,1.0,27.0,37.0,538.0,1.0,1.0,18.0,18.0,18.0,19.0,2.0,,,,,,1.0,21.0,,,,,,1.0,5.0,5.0,1.0,15.0,12.0,94.0,61.0,4.0,3.0,1.0,3.0,21.0,8.0,5.0,,1.0,9.0,11.0,3.0,,14.0,,48.0,69.0,3.0,30.0,15.0,1.0,,79.0,9.0,12.0,2.0,,2.0,,,201.0,4.0,1.0,4.0,2.0,2.0,6.0,2.0,1.0,,15.0,,13.0,13.0,1.0,3.0,166.0,65.0,48.0,4.0,,8.0,17.0,10.0,603.0,,2.0,96.0,76.0,32.0,,,,,,146.0,146.0,3.0,33.0,21.0,70.0,,,3.0,,21.0,0.0,171.0,,,,1.0,,9.0,1.0,3.0,172.0,512.0,6.0,25.0,219.0,44.0,30.0,19.0,7.0,20.0,14.0,,220.0,6.0,433.0,1.0,2.0,11.0,28.0,55.0,5.0,632.0,1.0,0.0,27.0,23.0,2.0,21.0,0.0,859.0,30.0,11.0,16.0,9.0,17.0,0.0,,,,,,,,,,,,,
2017-18,918901,1,2017-08-12 12:30:00,14,Liverpool,Away,212.0,25.0,3.0,4.0,1.0,4.0,,144.0,4.0,1.0,7.0,4.0,10.0,31.0,352.0,,,23.0,22.0,25.0,7.0,3.0,,,,,,,11.0,1.0,,1.0,,,,4.0,6.0,3.0,13.0,1.0,73.0,55.0,2.0,,3.0,4.0,25.0,1.0,11.0,,,3.0,5.0,4.0,,14.0,1.0,60.0,64.0,4.0,22.0,12.0,,,60.0,8.0,13.0,3.0,,2.0,2.0,,190.0,2.0,,1.0,2.0,,7.0,2.0,2.0,,12.0,1.0,11.0,11.0,2.0,8.0,107.0,83.0,38.0,3.0,,7.0,5.0,5.0,451.0,1.0,2.0,42.0,50.0,31.0,,,,,1.0,178.0,178.0,3.0,23.0,18.0,54.4,1.0,2.0,1.0,1.0,25.0,0.0,107.0,,1.0,1.0,2.0,,8.0,,3.0,71.0,333.0,11.0,12.0,251.0,51.0,22.0,11.0,3.0,14.0,11.0,,122.0,7.0,240.0,3.0,1.0,24.0,11.0,71.0,1.0,477.0,,0.0,14.0,20.0,2.0,27.0,3.0,682.0,24.0,16.0,6.0,3.0,15.0,0.0,,,,,,,,,,,,,
2017-18,918901,1,2017-08-12 12:30:00,57,Watford,Home,149.0,17.0,1.0,2.0,1.0,4.0,,130.0,5.0,3.0,6.0,14.0,10.0,35.0,277.0,,1.0,22.0,25.0,22.0,4.0,,,,,,,,5.0,,,,,,1.0,7.0,13.0,1.0,6.0,3.0,54.0,59.0,1.0,,3.0,,29.0,1.0,6.0,,,3.0,8.0,3.0,1.0,14.0,2.0,64.0,60.0,,28.0,15.0,,1.0,79.0,14.0,8.0,1.0,,2.0,2.0,,166.0,1.0,1.0,1.0,,1.0,12.0,1.0,,1.0,15.0,,11.0,11.0,1.0,8.0,90.0,86.0,38.0,3.0,1.0,2.0,3.0,4.0,372.0,1.0,1.0,29.0,82.0,29.0,1.0,1.0,1.0,,,173.0,173.0,2.0,21.0,24.0,45.6,,2.0,1.0,,29.0,0.0,85.0,1.0,1.0,2.0,,,4.0,,3.0,68.0,262.0,14.0,5.0,171.0,40.0,28.0,17.0,3.0,16.0,13.0,,134.0,8.0,240.0,,3.0,41.0,11.0,84.0,3.0,395.0,,0.0,9.0,19.0,2.0,26.0,0.0,595.0,11.0,11.0,11.0,3.0,12.0,0.0,,,,1.0,,,,,,,,,
2017-18,918895,1,2017-08-12 15:00:00,8,Chelsea,Home,223.0,22.0,1.0,4.0,3.0,2.0,1.0,227.0,2.0,,6.0,2.0,21.0,31.0,446.0,,,12.0,22.0,17.0,10.0,2.0,,,1.0,1.0,,1.0,12.0,,,,,,1.0,7.0,8.0,2.0,7.0,12.0,74.0,50.0,2.0,,2.0,1.0,14.0,7.0,2.0,,2.0,8.0,14.0,3.0,1.0,5.0,,46.0,41.0,1.0,22.0,14.0,,,61.0,16.0,11.0,,,3.0,2.0,1.0,162.0,2.0,,2.0,2.0,,4.0,2.0,,1.0,14.0,,9.0,9.0,,6.0,145.0,62.0,31.0,5.0,,4.0,10.0,6.0,503.0,1.0,2.0,43.0,63.0,37.0,,,,,,127.0,127.0,2.0,23.0,19.0,61.9,,,,,14.0,0.0,140.0,2.0,,2.0,1.0,,6.0,,3.0,133.0,432.0,5.0,14.0,235.0,40.0,22.0,8.0,7.0,26.0,19.0,,178.0,7.0,312.0,,,16.0,22.0,61.0,2.0,521.0,,2.0,19.0,10.0,,13.0,3.0,692.0,25.0,17.0,5.0,8.0,8.0,0.0,,,,,,1.0,,,,,,,
2017-18,918895,1,2017-08-12 15:00:00,90,Burnley,Away,115.0,9.0,3.0,8.0,5.0,1.0,1.0,134.0,4.0,,4.0,10.0,7.0,35.0,241.0,,,4.0,17.0,22.0,2.0,3.0,,,,1.0,,,4.0,,,,1.0,,2.0,7.0,7.0,12.0,8.0,2.0,50.0,39.0,,,,3.0,12.0,1.0,5.0,,,5.0,5.0,5.0,1.0,9.0,3.0,41.0,46.0,3.0,42.0,27.0,,,55.0,11.0,15.0,2.0,,2.0,2.0,1.0,133.0,3.0,,3.0,2.0,1.0,10.0,2.0,,,27.0,1.0,13.0,13.0,1.0,4.0,70.0,84.0,47.0,8.0,,3.0,5.0,5.0,291.0,7.0,,52.0,38.0,28.0,,,,,,111.0,111.0,,17.0,13.0,38.1,1.0,,,1.0,12.0,0.0,67.0,,4.0,4.0,,,4.0,,2.0,43.0,227.0,6.0,8.0,124.0,15.0,42.0,3.0,4.0,16.0,12.0,,87.0,14.0,212.0,,,32.0,10.0,72.0,1.0,320.0,,0.0,10.0,8.0,,7.0,3.0,485.0,12.0,10.0,2.0,5.0,4.0,0.0,,,,,,,,,1.0,,,,
2017-18,918896,1,2017-08-12 15:00:00,31,Crystal Palace,Home,152.0,18.0,5.0,6.0,1.0,,,158.0,2.0,,7.0,7.0,9.0,39.0,304.0,,,16.0,16.0,18.0,2.0,5.0,,1.0,1.0,3.0,,,5.0,,,,,,,6.0,7.0,3.0,10.0,4.0,62.0,66.0,1.0,2.0,,2.0,21.0,3.0,5.0,,,12.0,8.0,5.0,,23.0,1.0,56.0,79.0,2.0,18.0,7.0,,,66.0,7.0,19.0,,,7.0,2.0,3.0,161.0,,,,,,3.0,,1.0,,7.0,,19.0,19.0,1.0,7.0,81.0,77.0,49.0,9.0,,4.0,3.0,4.0,365.0,,6.0,65.0,49.0,40.0,,,,,,157.0,157.0,3.0,26.0,23.0,56.7,,,,,21.0,0.0,87.0,1.0,3.0,4.0,,,7.0,,2.0,57.0,282.0,9.0,8.0,170.0,31.0,18.0,23.0,12.0,27.0,15.0,,104.0,8.0,248.0,1.0,,26.0,12.0,72.0,,391.0,,0.0,14.0,24.0,,19.0,1.0,632.0,23.0,12.0,18.0,12.0,19.0,0.0,,,1.0,,1.0,,,,,,,,
2017-18,918896,1,2017-08-12 15:00:00,38,Huddersfield,Away,84.0,14.0,2.0,3.0,1.0,3.0,,118.0,5.0,2.0,4.0,5.0,5.0,26.0,199.0,,1.0,24.0,18.0,16.0,2.0,2.0,,,,,,,7.0,,,,,,,14.0,10.0,4.0,6.0,3.0,48.0,57.0,2.0,1.0,1.0,3.0,20.0,,18.0,,,9.0,7.0,1.0,,18.0,2.0,79.0,56.0,3.0,29.0,15.0,,,67.0,19.0,7.0,2.0,,,,,151.0,2.0,,2.0,2.0,,10.0,2.0,2.0,,15.0,,9.0,9.0,1.0,4.0,60.0,73.0,29.0,12.0,,2.0,4.0,6.0,276.0,3.0,1.0,63.0,51.0,21.0,,,,,,158.0,158.0,3.0,19.0,21.0,43.3,,,,,20.0,0.0,47.0,3.0,1.0,4.0,2.0,,3.0,,3.0,69.0,181.0,9.0,6.0,111.0,35.0,29.0,11.0,6.0,14.0,8.0,,130.0,15.0,209.0,2.0,2.0,21.0,5.0,63.0,2.0,306.0,,0.0,9.0,28.0,1.0,30.0,3.0,500.0,16.0,7.0,5.0,9.0,19.0,0.0,,,,,,,,,,,,,
2017-18,918897,1,2017-08-12 15:00:00,11,Everton,Home,211.0,19.0,4.0,9.0,5.0,2.0,,190.0,3.0,,4.0,4.0,7.0,29.0,392.0,,1.0,20.0,25.0,19.0,5.0,,,,,,,,8.0,,,,,,,9.0,4.0,5.0,5.0,4.0,68.0,47.0,1.0,,1.0,4.0,14.0,2.0,10.0,,,6.0,9.0,3.0,,12.0,1.0,64.0,47.0,4.0,43.0,28.0,,,69.0,13.0,10.0,1.0,2.0,1.0,1.0,,161.0,1.0,,1.0,1.0,,10.0,1.0,1.0,,28.0,,19.0,19.0,3.0,4.0,139.0,91.0,52.0,7.0,,1.0,5.0,4.0,470.0,2.0,2.0,60.0,96.0,27.0,,,,,,160.0,160.0,4.0,21.0,15.0,61.6,,,,4.0,14.0,0.0,129.0,,1.0,1.0,,,3.0,,3.0,84.0,377.0,4.0,6.0,235.0,39.0,43.0,7.0,5.0,18.0,13.0,,140.0,5.0,280.0,1.0,,18.0,7.0,67.0,2.0,497.0,,0.0,9.0,17.0,1.0,24.0,1.0,702.0,23.0,18.0,1.0,6.0,12.0,0.0,,,,,,,,,,,,,
2017-18,918897,1,2017-08-12 15:00:00,110,Stoke,Away,84.0,12.0,,1.0,1.0,4.0,,128.0,7.0,,4.0,6.0,5.0,19.0,211.0,,,17.0,19.0,25.0,6.0,,,,,,,,7.0,,,,,,2.0,6.0,5.0,4.0,4.0,5.0,44.0,43.0,,,,2.0,16.0,2.0,1.0,,,7.0,10.0,7.0,,14.0,1.0,47.0,64.0,2.0,24.0,17.0,,1.0,65.0,10.0,13.0,,2.0,,3.0,,120.0,,,,,,8.0,,,,17.0,,24.0,24.0,2.0,4.0,57.0,61.0,27.0,6.0,,4.0,2.0,1.0,270.0,2.0,2.0,44.0,48.0,43.0,,,,,,161.0,161.0,2.0,20.0,16.0,38.4,,,,,16.0,0.0,71.0,2.0,1.0,3.0,1.0,,6.0,,2.0,72.0,198.0,8.0,6.0,100.0,33.0,24.0,13.0,7.0,27.0,20.0,,116.0,7.0,219.0,,,25.0,7.0,58.0,6.0,292.0,,0.0,9.0,18.0,,27.0,1.0,521.0,18.0,17.0,10.0,7.0,12.0,0.0,,,,,,,,,,,,,
