season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attFreekickPost,attLgLeft,attOboxOwnGoal,attPenPost,attLgRight,attPenMiss,ptsGainedLosingPos,blockedPass,putThrough
2011-12,360469,1,2011-08-13 15:00:00,39,Wolves,Away,69.0,7.0,3.0,11.0,8.0,,1.0,152.0,8.0,,1.0,15.0,8.0,27.0,210.0,,,22.0,14.0,15.0,7.0,2.0,,,,,,,,,,,11.0,,1.0,,,,1.0,11.0,6.0,,,60.0,23.0,1.0,1.0,1.0,5.0,1.0,7.0,,6.0,14.0,7.0,,12.0,1.0,44.0,57.0,5.0,12.0,3.0,,1.0,97.0,11.0,13.0,1.0,,3.0,2.0,,134.0,1.0,,1.0,1.0,,,14.0,1.0,3.0,,12.0,,8.0,7.0,1.0,1.0,54.0,85.0,39.0,12.0,1.0,8.0,2.0,4.0,,6.0,,,46.0,55.0,18.0,,,,,1.0,161.0,148.0,1.0,3.0,9.0,48.0,,,1.0,0.0,50.0,1.0,,,,1.0,,10.0,,3.0,89.0,,10.0,84.0,22.0,25.0,6.0,6.0,29.0,23.0,,143.0,3.0,243.0,3.0,,40.0,9.0,63.0,1.0,298.0,,0.0,15.0,24.0,,29.0,2.0,504.0,,15.0,5.0,6.0,19.0,0.0,,,,,,,,,
2011-12,360469,1,2011-08-13 15:00:00,5,Blackburn,Home,107.0,9.0,3.0,7.0,4.0,5.0,,128.0,5.0,,,8.0,15.0,22.0,228.0,,2.0,23.0,15.0,14.0,10.0,2.0,,,,1.0,,1.0,,,,,8.0,,,,,,2.0,11.0,4.0,,,47.0,41.0,2.0,2.0,,9.0,7.0,5.0,,12.0,11.0,8.0,,8.0,1.0,57.0,44.0,9.0,12.0,5.0,,,65.0,13.0,10.0,,,2.0,1.0,1.0,148.0,1.0,,1.0,1.0,,,11.0,1.0,,,15.0,,18.0,15.0,1.0,,66.0,83.0,34.0,6.0,1.0,5.0,8.0,2.0,,1.0,,,45.0,46.0,27.0,,1.0,1.0,1.0,,193.0,172.0,,26.0,12.0,52.0,,,1.0,0.0,69.0,2.0,,,,,,8.0,1.0,3.0,80.0,,13.0,135.0,22.0,33.0,23.0,10.0,30.0,20.0,,130.0,13.0,225.0,,,38.0,16.0,59.0,,330.0,1.0,0.0,17.0,13.0,3.0,31.0,4.0,548.0,,9.0,7.0,12.0,10.0,0.0,,,,,,,,,
2011-12,360470,1,2011-08-13 15:00:00,54,Fulham,Home,154.0,5.0,,6.0,6.0,3.0,,166.0,5.0,,8.0,6.0,21.0,21.0,314.0,,3.0,19.0,19.0,19.0,11.0,1.0,,,,1.0,,1.0,,,,,12.0,,,,,,1.0,5.0,2.0,,,53.0,40.0,2.0,2.0,,,5.0,2.0,,2.0,8.0,9.0,,8.0,,42.0,50.0,,15.0,9.0,,,75.0,10.0,19.0,,,4.0,2.0,1.0,187.0,,,,,,,7.0,,3.0,,15.0,,10.0,9.0,,9.0,95.0,94.0,48.0,3.0,,3.0,9.0,5.0,,1.0,2.0,,45.0,48.0,33.0,,,,,,167.0,157.0,,17.0,11.0,54.1,,,1.0,0.0,84.0,1.0,,,,,,5.0,1.0,1.0,81.0,,12.0,175.0,22.0,25.0,6.0,2.0,21.0,19.0,,140.0,9.0,265.0,3.0,,23.0,21.0,51.0,5.0,419.0,,0.0,15.0,9.0,8.0,30.0,2.0,584.0,,5.0,3.0,2.0,6.0,0.0,,,,,,,,,
2011-12,360470,1,2011-08-13 15:00:00,7,Aston Villa,Away,110.0,10.0,1.0,5.0,4.0,2.0,,164.0,5.0,1.0,4.0,11.0,4.0,26.0,269.0,1.0,1.0,16.0,19.0,19.0,5.0,2.0,,,,,,,,,,,4.0,,,,,,2.0,10.0,5.0,,,60.0,48.0,,,,1.0,1.0,3.0,,3.0,10.0,5.0,,1.0,2.0,50.0,42.0,1.0,17.0,9.0,,,99.0,19.0,10.0,,,2.0,2.0,,140.0,,,,,,,11.0,,1.0,,23.0,,25.0,18.0,,4.0,77.0,90.0,39.0,2.0,,5.0,2.0,1.0,,4.0,2.0,,80.0,47.0,22.0,,,,,,156.0,130.0,1.0,22.0,13.0,45.9,,,1.0,0.0,75.0,5.0,,,,,,5.0,1.0,2.0,81.0,,7.0,114.0,21.0,43.0,10.0,3.0,20.0,17.0,,145.0,14.0,258.0,1.0,1.0,32.0,6.0,57.0,4.0,352.0,1.0,0.0,7.0,11.0,1.0,23.0,4.0,546.0,,4.0,2.0,3.0,8.0,0.0,,,,,,,,,
2011-12,360471,1,2011-08-13 15:00:00,14,Liverpool,Home,191.0,28.0,4.0,8.0,4.0,1.0,,184.0,10.0,,10.0,7.0,32.0,37.0,367.0,,,25.0,9.0,25.0,8.0,3.0,,1.0,,,,,,,,,,,,1.0,,,1.0,5.0,9.0,,,79.0,60.0,,1.0,,1.0,1.0,5.0,,6.0,8.0,6.0,,8.0,1.0,47.0,59.0,1.0,10.0,9.0,,,77.0,17.0,12.0,1.0,,,,,208.0,1.0,1.0,1.0,,1.0,,13.0,,2.0,,12.0,1.0,16.0,15.0,1.0,10.0,95.0,91.0,51.0,3.0,,8.0,4.0,3.0,,1.0,,,59.0,71.0,22.0,,,,,1.0,163.0,156.0,2.0,28.0,17.0,60.1,1.0,,,0.0,98.0,2.0,1.0,,,6.0,1.0,10.0,,2.0,77.0,,12.0,222.0,54.0,17.0,12.0,6.0,21.0,15.0,,139.0,10.0,279.0,2.0,,26.0,36.0,66.0,1.0,480.0,,0.0,14.0,18.0,2.0,26.0,4.0,663.0,,9.0,4.0,6.0,13.0,0.0,,,,,,1.0,,,
2011-12,360471,1,2011-08-13 15:00:00,56,Sunderland,Away,85.0,22.0,2.0,5.0,3.0,,,161.0,4.0,1.0,1.0,3.0,1.0,31.0,241.0,,,11.0,25.0,9.0,9.0,,,1.0,,,,,,,,,,,,,,,,9.0,5.0,,,46.0,44.0,,,,1.0,1.0,4.0,,3.0,10.0,5.0,,9.0,1.0,59.0,47.0,1.0,17.0,1.0,,,81.0,13.0,17.0,,,,,,122.0,1.0,,1.0,1.0,,,11.0,,4.0,1.0,10.0,,12.0,10.0,1.0,1.0,74.0,74.0,37.0,6.0,1.0,7.0,3.0,4.0,,1.0,2.0,,45.0,63.0,18.0,,1.0,1.0,,,149.0,134.0,,17.0,17.0,39.9,,,,0.0,74.0,1.0,1.0,,,,1.0,9.0,,2.0,72.0,,10.0,94.0,41.0,32.0,14.0,3.0,20.0,17.0,,121.0,,242.0,4.0,1.0,16.0,1.0,64.0,2.0,316.0,,0.0,14.0,16.0,,18.0,4.0,496.0,,8.0,5.0,3.0,15.0,0.0,,,,,,,,,
2011-12,360474,1,2011-08-13 15:00:00,30,Bolton,Away,112.0,18.0,2.0,4.0,2.0,4.0,,176.0,3.0,1.0,3.0,9.0,35.0,29.0,284.0,,3.0,18.0,14.0,18.0,10.0,3.0,,,,,,1.0,,,,,10.0,,,,,,2.0,5.0,12.0,,,69.0,76.0,2.0,2.0,,,7.0,5.0,1.0,2.0,6.0,2.0,1.0,10.0,2.0,51.0,59.0,,26.0,18.0,,1.0,97.0,16.0,9.0,1.0,,4.0,,1.0,179.0,3.0,,2.0,1.0,2.0,,7.0,1.0,2.0,,19.0,,13.0,13.0,,3.0,95.0,103.0,52.0,3.0,1.0,5.0,11.0,5.0,,7.0,,,64.0,76.0,24.0,,,,,,199.0,187.0,3.0,35.0,26.0,54.8,,,1.0,0.0,75.0,1.0,1.0,,,1.0,,6.0,,3.0,102.0,,16.0,143.0,37.0,38.0,15.0,2.0,10.0,8.0,,179.0,18.0,285.0,2.0,2.0,33.0,39.0,72.0,1.0,418.0,,0.0,18.0,23.0,5.0,26.0,2.0,633.0,,18.0,9.0,2.0,16.0,0.0,,,,,,,,,
2011-12,360474,1,2011-08-13 15:00:00,52,QPR,Home,70.0,15.0,,1.0,1.0,7.0,,144.0,7.0,1.0,5.0,14.0,6.0,34.0,213.0,,,18.0,18.0,14.0,11.0,1.0,,,,,,2.0,1.0,,1.0,,14.0,,,,,,,10.0,9.0,,,46.0,57.0,,1.0,,2.0,8.0,9.0,,3.0,9.0,2.0,,18.0,1.0,59.0,51.0,2.0,25.0,18.0,,,88.0,9.0,16.0,,,2.0,,2.0,160.0,,,,,,,11.0,,1.0,,33.0,,13.0,8.0,,5.0,61.0,106.0,45.0,2.0,,7.0,5.0,2.0,,7.0,,1.0,47.0,37.0,22.0,,,,,,200.0,180.0,2.0,27.0,15.0,45.2,,,,0.0,65.0,1.0,1.0,,,1.0,,7.0,1.0,3.0,95.0,,12.0,89.0,34.0,45.0,10.0,3.0,14.0,11.0,,162.0,22.0,257.0,1.0,1.0,53.0,6.0,73.0,2.0,332.0,,1.0,17.0,16.0,,27.0,1.0,546.0,,10.0,5.0,3.0,12.0,0.0,,,,,,,,,
2011-12,360478,1,2011-08-13 15:00:00,111,Wigan,Home,115.0,13.0,2.0,7.0,5.0,1.0,,186.0,11.0,,4.0,10.0,13.0,41.0,294.0,,1.0,27.0,12.0,13.0,14.0,1.0,,1.0,,,,,,,,,17.0,1.0,,,1.0,,,8.0,5.0,,,50.0,41.0,3.0,3.0,1.0,,5.0,2.0,,7.0,12.0,4.0,,14.0,,49.0,52.0,,23.0,15.0,1.0,1.0,74.0,12.0,8.0,,,3.0,1.0,,126.0,,,,,,,13.0,,,,30.0,1.0,13.0,11.0,3.0,4.0,94.0,71.0,44.0,3.0,1.0,7.0,8.0,7.0,,2.0,2.0,,60.0,44.0,13.0,,,,,1.0,151.0,126.0,5.0,18.0,11.0,49.5,1.0,,,0.0,93.0,,1.0,,,,1.0,8.0,2.0,3.0,96.0,,15.0,136.0,27.0,48.0,25.0,6.0,23.0,17.0,1.0,135.0,6.0,250.0,1.0,,28.0,13.0,68.0,,363.0,,0.0,20.0,16.0,2.0,28.0,2.0,595.0,,12.0,15.0,7.0,14.0,0.0,,,,,1.0,,,,
2011-12,360478,1,2011-08-13 15:00:00,45,Norwich,Away,128.0,24.0,1.0,6.0,5.0,5.0,,169.0,6.0,1.0,3.0,8.0,10.0,36.0,291.0,,,21.0,13.0,12.0,8.0,2.0,,1.0,,1.0,,1.0,,,,,9.0,,,,,,1.0,14.0,6.0,,,51.0,50.0,1.0,1.0,1.0,4.0,2.0,15.0,1.0,3.0,12.0,6.0,,15.0,4.0,52.0,49.0,4.0,8.0,3.0,,,95.0,8.0,11.0,,,2.0,1.0,1.0,168.0,,,,,,,8.0,1.0,3.0,,5.0,,11.0,9.0,,3.0,81.0,87.0,62.0,7.0,1.0,8.0,2.0,2.0,,6.0,,,42.0,52.0,26.0,1.0,1.0,1.0,,,156.0,145.0,2.0,15.0,20.0,50.5,,,,0.0,78.0,5.0,1.0,,,,1.0,9.0,,3.0,85.0,,10.0,142.0,47.0,19.0,3.0,3.0,22.0,19.0,1.0,144.0,11.0,258.0,3.0,2.0,23.0,11.0,64.0,5.0,378.0,,0.0,13.0,24.0,1.0,26.0,2.0,578.0,,14.0,2.0,3.0,19.0,0.0,,,,,,,,,
