season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attFreekickPost,attObxdRight,attPenMiss,penaltySave,secondYellow,attLgRight,attPenPost
2016-17,855178,1,2016-08-13 12:30:00,13,Leicester,Away,178.0,13.0,,,,3.0,,174.0,3.0,2.0,3.0,6.0,19.0,26.0,352.0,2.0,1.0,9.0,19.0,18.0,10.0,1.0,,,,,1.0,1.0,,,,,,13.0,1.0,,,,,,12.0,7.0,7.0,9.0,9.0,52.0,78.0,2.0,3.0,1.0,1.0,14.0,4.0,10.0,,,3.0,4.0,5.0,,10.0,3.0,66.0,50.0,1.0,8.0,5.0,,2.0,68.0,17.0,8.0,,,5.0,1.0,1.0,178.0,,,,,,,9.0,,,,9.0,,9.0,9.0,,4.0,111.0,84.0,42.0,5.0,1.0,6.0,5.0,5.0,430.0,2.0,3.0,,71.0,62.0,28.0,,,,1.0,162.0,162.0,7.0,24.0,39.0,50.3,,,,,14.0,0.0,112.0,2.0,1.0,3.0,,,9.0,,3.0,75.0,341.0,7.0,11.0,198.0,24.0,15.0,20.0,2.0,12.0,10.0,,129.0,8.0,267.0,,2.0,24.0,20.0,61.0,,453.0,2.0,0.0,18.0,14.0,1.0,16.0,2.0,619.0,21.0,18.0,10.0,3.0,10.0,0.0,,,,,,,
2016-17,855178,1,2016-08-13 12:30:00,88,Hull,Home,242.0,14.0,2.0,2.0,,1.0,,103.0,6.0,,,5.0,16.0,36.0,343.0,,,16.0,18.0,19.0,2.0,2.0,4.0,,,2.0,1.0,4.0,,,,,,6.0,,,,,,,4.0,9.0,9.0,7.0,7.0,75.0,66.0,,,,1.0,14.0,2.0,10.0,,1.0,5.0,3.0,5.0,,12.0,1.0,50.0,66.0,1.0,25.0,18.0,,1.0,56.0,8.0,17.0,2.0,,6.0,2.0,4.0,173.0,1.0,,,,1.0,,12.0,1.0,,,19.0,,18.0,18.0,3.0,,93.0,87.0,34.0,3.0,,2.0,3.0,5.0,420.0,4.0,2.0,,56.0,45.0,17.0,1.0,1.0,1.0,,148.0,148.0,4.0,39.0,18.0,49.7,,,,,14.0,0.0,108.0,2.0,2.0,4.0,1.0,,7.0,,,47.0,327.0,7.0,5.0,275.0,17.0,29.0,12.0,4.0,14.0,10.0,,93.0,10.0,188.0,,,58.0,18.0,100.0,1.0,449.0,,0.0,14.0,20.0,1.0,23.0,2.0,645.0,10.0,6.0,10.0,5.0,17.0,0.0,,1.0,,,,,
2016-17,855174,1,2016-08-13 15:00:00,80,Swansea,Away,154.0,13.0,2.0,12.0,10.0,5.0,1.0,155.0,6.0,1.0,5.0,6.0,15.0,32.0,297.0,,,11.0,20.0,32.0,12.0,1.0,2.0,,,,1.0,1.0,,,,,,13.0,,,,,,1.0,6.0,6.0,4.0,11.0,6.0,54.0,68.0,1.0,1.0,1.0,3.0,17.0,2.0,6.0,,,4.0,16.0,7.0,,11.0,3.0,53.0,69.0,3.0,34.0,22.0,,,39.0,14.0,10.0,,,4.0,2.0,1.0,165.0,,,,,,,9.0,1.0,2.0,,24.0,,22.0,22.0,1.0,5.0,82.0,85.0,57.0,7.0,1.0,4.0,9.0,9.0,359.0,2.0,5.0,,51.0,68.0,32.0,,,,,137.0,137.0,1.0,31.0,27.0,52.5,,,,2.0,17.0,0.0,82.0,1.0,2.0,3.0,,,6.0,,3.0,59.0,278.0,11.0,13.0,184.0,29.0,49.0,11.0,3.0,28.0,25.0,,84.0,14.0,227.0,3.0,1.0,21.0,16.0,58.0,2.0,383.0,1.0,0.0,17.0,19.0,,13.0,2.0,613.0,22.0,12.0,8.0,4.0,16.0,0.0,,,,,,,
2016-17,855174,1,2016-08-13 15:00:00,90,Burnley,Home,114.0,21.0,1.0,5.0,4.0,5.0,,140.0,5.0,,,13.0,11.0,43.0,249.0,,,29.0,32.0,20.0,5.0,,,1.0,,,,1.0,,,,,,8.0,,,,,,1.0,8.0,11.0,6.0,6.0,4.0,67.0,59.0,1.0,1.0,,4.0,17.0,2.0,8.0,1.0,,7.0,9.0,5.0,,14.0,2.0,69.0,53.0,4.0,14.0,8.0,,,92.0,10.0,14.0,,,3.0,2.0,1.0,166.0,,,,,,,9.0,,1.0,,10.0,,18.0,18.0,1.0,,55.0,83.0,41.0,4.0,,4.0,1.0,3.0,326.0,3.0,4.0,,52.0,45.0,40.0,,,,,170.0,170.0,2.0,21.0,25.0,47.5,,,,,17.0,0.0,65.0,5.0,3.0,7.0,,1.0,5.0,,2.0,76.0,237.0,6.0,5.0,124.0,42.0,16.0,11.0,7.0,23.0,16.0,1.0,146.0,18.0,252.0,1.0,,31.0,13.0,84.0,3.0,353.0,,0.0,10.0,14.0,,41.0,3.0,558.0,25.0,10.0,6.0,7.0,9.0,0.0,,,,,,,
2016-17,855176,1,2016-08-13 15:00:00,31,Crystal Palace,Home,121.0,14.0,2.0,6.0,4.0,2.0,1.0,183.0,2.0,1.0,4.0,11.0,19.0,28.0,298.0,,,20.0,21.0,21.0,7.0,2.0,1.0,,,2.0,,2.0,,,,,1.0,10.0,,,,,,1.0,8.0,8.0,5.0,7.0,7.0,62.0,60.0,1.0,2.0,,5.0,20.0,3.0,5.0,,,3.0,12.0,8.0,,12.0,2.0,55.0,69.0,5.0,14.0,9.0,,,63.0,12.0,14.0,,,5.0,2.0,2.0,173.0,,,,,,,8.0,,2.0,,10.0,,17.0,17.0,2.0,4.0,91.0,101.0,45.0,6.0,,4.0,5.0,4.0,391.0,2.0,3.0,,80.0,61.0,30.0,,,,,169.0,169.0,4.0,20.0,30.0,62.3,,,,1.0,20.0,0.0,88.0,1.0,1.0,2.0,1.0,,7.0,,3.0,88.0,285.0,7.0,9.0,149.0,25.0,21.0,14.0,3.0,25.0,22.0,,137.0,8.0,290.0,2.0,1.0,54.0,24.0,85.0,,414.0,,0.0,14.0,28.0,,21.0,2.0,620.0,18.0,12.0,8.0,3.0,22.0,0.0,,,,,,,
2016-17,855176,1,2016-08-13 15:00:00,35,West Brom,Away,61.0,15.0,3.0,9.0,6.0,2.0,3.0,91.0,3.0,,2.0,10.0,7.0,32.0,143.0,,,28.0,21.0,21.0,5.0,5.0,5.0,,,,,,,,,,,5.0,,,,,,3.0,8.0,7.0,7.0,8.0,5.0,33.0,62.0,,,,3.0,20.0,2.0,8.0,,,6.0,8.0,6.0,,21.0,2.0,69.0,55.0,3.0,17.0,12.0,,,61.0,15.0,12.0,1.0,,1.0,3.0,,134.0,1.0,1.0,1.0,,1.0,,8.0,,1.0,1.0,15.0,,19.0,19.0,2.0,2.0,40.0,86.0,30.0,3.0,,7.0,4.0,3.0,217.0,3.0,2.0,,26.0,60.0,26.0,,,,,167.0,167.0,2.0,19.0,26.0,37.7,,,,,20.0,0.0,38.0,1.0,3.0,4.0,1.0,,8.0,,2.0,46.0,132.0,13.0,11.0,85.0,27.0,23.0,12.0,4.0,21.0,17.0,,92.0,9.0,181.0,1.0,,41.0,7.0,87.0,2.0,245.0,1.0,0.0,13.0,18.0,,34.0,2.0,476.0,21.0,15.0,5.0,6.0,9.0,0.0,,,,,,,
2016-17,855177,1,2016-08-13 15:00:00,11,Everton,Home,126.0,7.0,1.0,2.0,1.0,1.0,,138.0,1.0,,3.0,9.0,8.0,31.0,262.0,,,17.0,10.0,16.0,7.0,2.0,2.0,,1.0,,,1.0,,,,,,8.0,,,,,,1.0,6.0,8.0,5.0,6.0,6.0,68.0,56.0,,1.0,,4.0,27.0,2.0,13.0,,,5.0,4.0,2.0,,12.0,3.0,50.0,63.0,4.0,30.0,20.0,,,76.0,10.0,14.0,1.0,,2.0,1.0,1.0,152.0,,,,,,,4.0,,3.0,,27.0,,16.0,16.0,,3.0,67.0,73.0,30.0,6.0,,4.0,5.0,6.0,339.0,5.0,4.0,,84.0,65.0,19.0,,,,,153.0,153.0,2.0,28.0,16.0,42.5,,2.0,,,27.0,0.0,74.0,2.0,1.0,3.0,,,4.0,,3.0,61.0,252.0,15.0,9.0,147.0,16.0,40.0,15.0,5.0,12.0,7.0,,107.0,4.0,226.0,3.0,,47.0,8.0,84.0,5.0,361.0,1.0,0.0,12.0,25.0,,21.0,0.0,590.0,16.0,13.0,9.0,5.0,19.0,0.0,,,,,,,
2016-17,855177,1,2016-08-13 15:00:00,6,Spurs,Away,158.0,27.0,1.0,4.0,3.0,3.0,,230.0,4.0,1.0,5.0,1.0,8.0,51.0,384.0,,,33.0,16.0,10.0,6.0,1.0,4.0,,,1.0,,1.0,,,,,,8.0,,,,,,,8.0,6.0,6.0,8.0,5.0,74.0,40.0,,1.0,,1.0,27.0,5.0,9.0,,,6.0,10.0,5.0,,16.0,1.0,63.0,50.0,1.0,14.0,10.0,,1.0,77.0,14.0,10.0,,,2.0,,1.0,168.0,1.0,,1.0,1.0,,,6.0,1.0,2.0,,13.0,1.0,15.0,15.0,1.0,5.0,122.0,73.0,39.0,5.0,1.0,3.0,5.0,4.0,461.0,2.0,2.0,,97.0,50.0,35.0,,,,,164.0,164.0,2.0,19.0,11.0,57.5,,,1.0,,27.0,0.0,119.0,4.0,1.0,5.0,1.0,,4.0,,2.0,129.0,368.0,12.0,8.0,182.0,48.0,22.0,22.0,6.0,21.0,15.0,,176.0,7.0,322.0,2.0,1.0,16.0,8.0,84.0,,483.0,,0.0,13.0,18.0,,42.0,0.0,710.0,20.0,12.0,13.0,6.0,13.0,0.0,,,,,,,
2016-17,855180,1,2016-08-13 15:00:00,110,Stoke,Away,169.0,9.0,,2.0,2.0,,,163.0,7.0,3.0,4.0,5.0,13.0,17.0,330.0,,,17.0,22.0,27.0,7.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,9.0,,,,,,,6.0,8.0,4.0,7.0,5.0,56.0,49.0,,,,4.0,17.0,2.0,10.0,,,6.0,5.0,10.0,,8.0,,60.0,73.0,4.0,11.0,5.0,,,45.0,14.0,18.0,,,5.0,4.0,1.0,149.0,,,,,,,7.0,,2.0,,7.0,,11.0,11.0,1.0,4.0,101.0,78.0,47.0,9.0,1.0,7.0,1.0,1.0,393.0,4.0,1.0,,57.0,35.0,34.0,,,,,147.0,147.0,,19.0,24.0,54.4,,,1.0,,17.0,0.0,114.0,1.0,,1.0,,1.0,9.0,,2.0,68.0,306.0,6.0,8.0,195.0,21.0,16.0,25.0,3.0,22.0,19.0,1.0,104.0,3.0,247.0,2.0,3.0,16.0,15.0,40.0,2.0,420.0,,0.0,12.0,16.0,,23.0,5.0,611.0,21.0,11.0,16.0,6.0,13.0,0.0,,,,,,,
2016-17,855180,1,2016-08-13 15:00:00,25,Boro,Home,140.0,11.0,3.0,6.0,3.0,,,128.0,4.0,2.0,2.0,7.0,12.0,25.0,262.0,,,17.0,27.0,22.0,5.0,2.0,4.0,,,,,,,,,,,8.0,,,,,1.0,,9.0,7.0,5.0,8.0,4.0,67.0,46.0,2.0,1.0,1.0,4.0,17.0,4.0,16.0,,,9.0,10.0,4.0,,9.0,1.0,73.0,60.0,4.0,17.0,10.0,,,42.0,18.0,14.0,1.0,,2.0,1.0,,139.0,1.0,,1.0,1.0,,,13.0,1.0,,,11.0,2.0,20.0,20.0,,2.0,78.0,81.0,36.0,6.0,,4.0,4.0,2.0,316.0,2.0,1.0,,71.0,44.0,26.0,,,,,133.0,133.0,,25.0,17.0,45.6,1.0,2.0,,2.0,17.0,0.0,65.0,,,,,,6.0,,2.0,52.0,246.0,11.0,8.0,157.0,28.0,20.0,17.0,8.0,23.0,15.0,,87.0,6.0,215.0,,3.0,28.0,14.0,71.0,1.0,349.0,1.0,0.0,12.0,17.0,,20.0,3.0,538.0,19.0,8.0,10.0,9.0,11.0,0.0,,,,,,,
