season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attFreekickPost,attObxdLeft,attIboxOwnGoal,attLgRight,attPenTarget,ownGoals,attOboxOwnGoal,attObxdRight,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedGoalsFreekick,attPenPost,keeperGoals,subsGoals,winningGoal,rescindedRedCard
2019-20,1059702,1,2019-08-09 20:00:00,14,Liverpool,Home,158.0,15.0,1.0,5.0,4.0,,,234.0,5.0,,1.0,2.0,4.0,27.0,387.0,,,17.0,7.0,15.0,9.0,,1.0,,,,1.0,1.0,,,12.0,,,1.0,,1.0,6.0,8.0,4.0,11.0,4.0,72.0,56.0,3.0,1.0,2.0,1.0,20.0,3.0,10.0,,,11.0,14.0,9.0,1.0,8.0,2.0,38.0,56.0,1.0,5.0,,,1.0,52.0,9.0,9.0,2.0,,2.0,1.0,1.0,142.0,3.0,1.0,3.0,2.0,1.0,,6.0,2.0,,,,2.0,14.0,14.0,,1.0,138.0,67.0,45.0,2.0,,4.0,8.0,7.0,453.0,2.0,1.0,93.0,60.0,49.0,,,,,,145.0,145.0,8.0,17.0,29.0,57.9,1.0,,,,20.0,0.0,125.0,,4.0,4.0,,,,5.0,,3.0,121.0,365.0,9.0,12.0,181.0,38.0,5.0,15.0,8.0,32.0,24.0,,164.0,1.0,328.0,,,13.0,5.0,57.0,,477.0,1.0,0.0,15.0,21.0,,18.0,0.0,662.0,37.0,14.0,11.0,11.0,13.0,0.0,,,,,,,,,,,,,,,,,,
2019-20,1059702,1,2019-08-09 20:00:00,45,Norwich,Away,175.0,18.0,1.0,1.0,,2.0,,104.0,9.0,,6.0,3.0,2.0,19.0,278.0,,2.0,22.0,15.0,7.0,8.0,1.0,1.0,,,,1.0,1.0,,,10.0,,1.0,,,,8.0,12.0,4.0,8.0,4.0,74.0,49.0,1.0,,1.0,5.0,16.0,2.0,11.0,,,2.0,1.0,,,15.0,4.0,56.0,38.0,5.0,35.0,23.0,,,32.0,9.0,9.0,1.0,,2.0,,1.0,146.0,1.0,,1.0,1.0,,,15.0,1.0,2.0,,23.0,1.0,11.0,11.0,6.0,6.0,76.0,52.0,23.0,11.0,,5.0,5.0,5.0,332.0,3.0,,54.0,39.0,10.0,,,,,,130.0,130.0,3.0,19.0,15.0,42.1,1.0,,,,16.0,0.0,67.0,2.0,2.0,4.0,,,,5.0,1.0,3.0,51.0,255.0,6.0,10.0,210.0,38.0,35.0,16.0,1.0,2.0,1.0,,69.0,2.0,155.0,2.0,,16.0,3.0,52.0,5.0,363.0,,0.0,12.0,12.0,2.0,28.0,2.0,577.0,17.0,12.0,10.0,2.0,8.0,0.0,,,1.0,,,1.0,,,,,,,,,,,,
2019-20,1059709,1,2019-08-10 12:30:00,21,West Ham,Home,159.0,15.0,,1.0,1.0,5.0,1.0,167.0,3.0,,6.0,7.0,6.0,25.0,325.0,,,18.0,17.0,18.0,1.0,1.0,,,,1.0,,1.0,,,2.0,,,,,1.0,5.0,10.0,4.0,4.0,1.0,89.0,57.0,1.0,2.0,,1.0,13.0,,13.0,,,1.0,7.0,2.0,,14.0,3.0,54.0,57.0,1.0,9.0,2.0,,1.0,58.0,6.0,13.0,,,3.0,2.0,1.0,143.0,,,,,,,6.0,,,,2.0,,9.0,9.0,2.0,6.0,92.0,64.0,37.0,1.0,,1.0,1.0,3.0,376.0,2.0,1.0,62.0,69.0,14.0,1.0,1.0,1.0,,,129.0,129.0,6.0,20.0,21.0,42.9,,,,,13.0,0.0,79.0,2.0,2.0,4.0,,,,2.0,,3.0,78.0,307.0,5.0,2.0,177.0,38.0,9.0,12.0,1.0,12.0,11.0,,115.0,11.0,238.0,,,13.0,6.0,47.0,2.0,403.0,,0.0,5.0,18.0,,22.0,2.0,571.0,8.0,15.0,8.0,1.0,10.0,0.0,,,,,,,,,,,,,,,,,,
2019-20,1059709,1,2019-08-10 12:30:00,43,Man City,Away,250.0,17.0,,2.0,2.0,1.0,,225.0,4.0,,7.0,2.0,4.0,28.0,473.0,,2.0,12.0,18.0,17.0,8.0,,,2.0,,,,,,3.0,13.0,1.0,,,,,8.0,4.0,1.0,10.0,4.0,93.0,68.0,4.0,1.0,4.0,,14.0,2.0,8.0,,3.0,1.0,5.0,1.0,,13.0,2.0,57.0,54.0,,13.0,7.0,,,47.0,13.0,6.0,4.0,,3.0,,,163.0,4.0,,4.0,4.0,,1.0,5.0,4.0,1.0,,7.0,,13.0,13.0,1.0,7.0,144.0,43.0,34.0,1.0,,3.0,9.0,9.0,533.0,,3.0,78.0,50.0,26.0,,,,,1.0,114.0,114.0,4.0,26.0,31.0,57.1,,,,,14.0,0.0,147.0,3.0,,3.0,,,2.0,3.0,,3.0,113.0,462.0,8.0,12.0,277.0,28.0,13.0,18.0,,6.0,6.0,3.0,151.0,2.0,276.0,1.0,,11.0,4.0,44.0,4.0,547.0,1.0,0.0,14.0,18.0,10.0,14.0,2.0,722.0,33.0,9.0,13.0,1.0,13.0,0.0,,,,,,,,,,,,,,,,,,
2019-20,1059703,1,2019-08-10 15:00:00,49,Sheff Utd,Away,162.0,12.0,1.0,4.0,3.0,2.0,1.0,174.0,2.0,,2.0,8.0,2.0,27.0,332.0,,2.0,24.0,14.0,21.0,5.0,,2.0,,,,,,,,4.0,,,,,2.0,7.0,7.0,6.0,3.0,5.0,87.0,60.0,2.0,3.0,1.0,,19.0,1.0,8.0,,1.0,4.0,4.0,10.0,,9.0,1.0,56.0,49.0,,16.0,9.0,,,66.0,19.0,9.0,,,1.0,1.0,,173.0,,,,,,,8.0,,,2.0,9.0,,14.0,14.0,1.0,2.0,79.0,86.0,32.0,3.0,,2.0,3.0,3.0,405.0,2.0,2.0,60.0,86.0,25.0,,,,,,145.0,145.0,5.0,25.0,23.0,47.1,,,1.0,,19.0,0.0,89.0,1.0,1.0,2.0,,1.0,,4.0,,3.0,99.0,321.0,12.0,5.0,181.0,33.0,16.0,15.0,3.0,18.0,15.0,,142.0,7.0,265.0,,,32.0,4.0,79.0,1.0,428.0,,0.0,8.0,14.0,3.0,27.0,1.0,615.0,11.0,11.0,6.0,4.0,11.0,0.0,,,,,,,,,,,,,,,,,,
2019-20,1059703,1,2019-08-10 15:00:00,91,Bournemouth,Home,224.0,11.0,1.0,2.0,1.0,2.0,1.0,162.0,4.0,,5.0,4.0,9.0,20.0,384.0,,,20.0,21.0,14.0,6.0,1.0,3.0,,,1.0,,1.0,,,3.0,,,,,5.0,6.0,3.0,5.0,7.0,6.0,65.0,56.0,1.0,1.0,1.0,2.0,17.0,3.0,6.0,,1.0,3.0,7.0,1.0,1.0,5.0,2.0,49.0,56.0,2.0,13.0,7.0,,,50.0,10.0,17.0,,,6.0,4.0,1.0,161.0,,,,,,,9.0,,,1.0,7.0,,13.0,13.0,1.0,5.0,139.0,79.0,41.0,4.0,,4.0,3.0,3.0,459.0,1.0,3.0,62.0,81.0,22.0,,,,,,151.0,151.0,3.0,19.0,29.0,52.9,,2.0,,,17.0,0.0,120.0,,2.0,2.0,,,,7.0,1.0,1.0,79.0,366.0,5.0,7.0,252.0,28.0,13.0,17.0,2.0,14.0,12.0,,116.0,4.0,247.0,,,24.0,12.0,58.0,1.0,485.0,,0.0,13.0,18.0,,27.0,2.0,671.0,16.0,13.0,8.0,3.0,13.0,0.0,,,,,,,,,,,,,,,,,,
2019-20,1059704,1,2019-08-10 15:00:00,20,Southampton,Away,123.0,17.0,3.0,5.0,2.0,2.0,,131.0,3.0,1.0,1.0,13.0,4.0,32.0,249.0,,,18.0,23.0,22.0,5.0,,3.0,,,1.0,,1.0,,,6.0,,,,,1.0,3.0,8.0,2.0,5.0,6.0,59.0,57.0,1.0,1.0,,,21.0,3.0,14.0,,1.0,7.0,3.0,1.0,,16.0,1.0,68.0,41.0,,18.0,6.0,,1.0,72.0,12.0,6.0,,,1.0,,1.0,177.0,,,,,,,11.0,,,1.0,6.0,,10.0,10.0,4.0,1.0,80.0,99.0,31.0,2.0,,3.0,2.0,3.0,365.0,1.0,2.0,57.0,48.0,27.0,,,,,,205.0,205.0,1.0,29.0,23.0,53.5,,,,,21.0,0.0,77.0,1.0,,1.0,,1.0,,5.0,,3.0,62.0,235.0,9.0,5.0,157.0,45.0,18.0,11.0,6.0,10.0,4.0,,125.0,8.0,246.0,,1.0,52.0,4.0,98.0,1.0,393.0,,0.0,11.0,7.0,,34.0,0.0,579.0,29.0,16.0,6.0,7.0,5.0,0.0,,,,,,,,,,,,,,,,,,
2019-20,1059704,1,2019-08-10 15:00:00,90,Burnley,Home,95.0,10.0,2.0,6.0,4.0,3.0,,94.0,4.0,1.0,5.0,8.0,1.0,22.0,183.0,,,26.0,22.0,23.0,3.0,2.0,2.0,,,,,,,,8.0,,,,,,5.0,5.0,6.0,8.0,2.0,46.0,60.0,1.0,,1.0,1.0,20.0,2.0,6.0,,1.0,2.0,8.0,3.0,,6.0,1.0,41.0,68.0,1.0,13.0,7.0,,,64.0,6.0,11.0,2.0,,,1.0,,163.0,2.0,,1.0,2.0,,,6.0,3.0,,,7.0,,14.0,14.0,2.0,5.0,65.0,116.0,38.0,7.0,1.0,3.0,4.0,4.0,313.0,3.0,2.0,68.0,39.0,29.0,,,,,,201.0,201.0,3.0,19.0,29.0,46.5,,,,,20.0,0.0,58.0,2.0,1.0,3.0,,,,4.0,,2.0,33.0,173.0,11.0,7.0,130.0,41.0,13.0,15.0,2.0,14.0,12.0,,95.0,8.0,216.0,,1.0,44.0,1.0,83.0,5.0,332.0,,0.0,10.0,21.0,,36.0,0.0,549.0,15.0,20.0,14.0,2.0,12.0,0.0,,,,,,,,,,,,,,,,,,
2019-20,1059705,1,2019-08-10 15:00:00,11,Everton,Away,230.0,27.0,,3.0,3.0,2.0,,174.0,3.0,,2.0,5.0,7.0,33.0,401.0,,,32.0,30.0,18.0,6.0,1.0,1.0,,,,,,,,9.0,,,,,,5.0,6.0,,7.0,3.0,65.0,62.0,,2.0,,1.0,22.0,4.0,8.0,,,2.0,12.0,4.0,,12.0,2.0,71.0,53.0,1.0,18.0,8.0,,,55.0,14.0,16.0,,,,,,174.0,,,,,,,5.0,,,2.0,8.0,,14.0,14.0,3.0,2.0,142.0,87.0,53.0,6.0,,1.0,6.0,3.0,472.0,4.0,2.0,65.0,85.0,30.0,,,,,,169.0,169.0,3.0,25.0,30.0,64.6,,,,,22.0,0.0,119.0,2.0,,2.0,1.0,1.0,,3.0,1.0,3.0,77.0,377.0,7.0,7.0,264.0,41.0,18.0,14.0,1.0,17.0,16.0,,117.0,6.0,253.0,,,26.0,7.0,64.0,,500.0,,1.0,10.0,14.0,1.0,39.0,1.0,722.0,17.0,26.0,5.0,2.0,7.0,0.0,,,,,,,,,,,,,,,,,,
2019-20,1059705,1,2019-08-10 15:00:00,31,Crystal Palace,Home,83.0,11.0,1.0,1.0,,2.0,,79.0,3.0,,2.0,3.0,2.0,12.0,161.0,,1.0,15.0,18.0,30.0,4.0,1.0,1.0,1.0,,,,,,1.0,4.0,,,,,1.0,10.0,7.0,3.0,6.0,,35.0,58.0,1.0,1.0,,4.0,19.0,4.0,5.0,1.0,1.0,6.0,4.0,3.0,,10.0,1.0,53.0,71.0,4.0,21.0,12.0,,1.0,59.0,16.0,12.0,,,1.0,1.0,,128.0,,,,,,,10.0,,,,12.0,,10.0,10.0,,2.0,55.0,67.0,29.0,2.0,,,5.0,2.0,243.0,5.0,2.0,57.0,29.0,25.0,,,,,,166.0,166.0,5.0,24.0,24.0,35.4,,,,1.0,19.0,0.0,50.0,2.0,1.0,2.0,,,1.0,,1.0,2.0,53.0,147.0,11.0,5.0,113.0,29.0,21.0,12.0,6.0,14.0,8.0,1.0,108.0,11.0,169.0,,,18.0,2.0,48.0,4.0,268.0,,0.0,6.0,21.0,1.0,30.0,2.0,467.0,19.0,11.0,8.0,6.0,14.0,0.0,,,,,,,,,,,,,,,,,,
