season,matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard,attFreekickPost,attPenPost,attPostHigh,attLgCentre,penaltySave,attOboxOwnGoal,attLgLeft,attLgRight,attPenMiss,expectedGoalsFreekick
2018-19,987597,1,2018-08-10 20:00:00,1,Man Utd,Home,197.0,30.0,1.0,1.0,,2.0,,203.0,2.0,,1.0,3.0,17.0,32.0,399.0,,,17.0,13.0,10.0,6.0,,,,,,,,,,,1.0,7.0,1.0,,,,,10.0,5.0,8.0,5.0,3.0,88.0,68.0,1.0,1.0,1.0,1.0,17.0,1.0,9.0,,,2.0,3.0,7.0,1.0,11.0,3.0,47.0,53.0,1.0,37.0,21.0,,,,,,,48.0,11.0,7.0,,,1.0,,,159.0,1.0,,1.0,1.0,,,5.0,1.0,,,21.0,,17.0,17.0,1.0,1.0,127.0,69.0,41.0,5.0,1.0,1.0,6.0,6.0,467.0,5.0,4.0,,97.0,43.0,16.0,,,,1.0,139.0,139.0,5.0,36.0,23.0,46.3,,,,2.0,17.0,0.0,111.0,2.0,1.0,3.0,,3.0,,1.0,,,3.0,73.0,389.0,10.0,7.0,218.0,44.0,37.0,14.0,2.0,12.0,10.0,,99.0,6.0,279.0,,,17.0,20.0,57.0,4.0,485.0,,0.0,8.0,26.0,1.0,20.0,2.0,697.0,10.0,17.0,11.0,2.0,13.0,0.0,,,,,,,,,,
2018-19,987597,1,2018-08-10 20:00:00,13,Leicester,Away,184.0,36.0,1.0,2.0,1.0,2.0,,268.0,2.0,1.0,7.0,3.0,6.0,33.0,450.0,,1.0,16.0,10.0,13.0,7.0,2.0,2.0,,,,,1.0,,,,,10.0,,,,,,1.0,5.0,3.0,5.0,8.0,93.0,72.0,1.0,1.0,1.0,,18.0,6.0,11.0,,,5.0,11.0,7.0,,17.0,2.0,53.0,47.0,,14.0,8.0,,,,,,,61.0,8.0,11.0,,,7.0,4.0,1.0,151.0,,,,,,,4.0,1.0,,1.0,8.0,1.0,12.0,12.0,,8.0,155.0,61.0,40.0,2.0,,2.0,7.0,4.0,523.0,1.0,1.0,,92.0,78.0,37.0,1.0,1.0,1.0,,164.0,164.0,5.0,24.0,33.0,53.7,,,,,18.0,0.0,144.0,2.0,2.0,4.0,,,,3.0,,,3.0,124.0,434.0,7.0,9.0,210.0,46.0,14.0,18.0,5.0,27.0,22.0,,167.0,4.0,360.0,,1.0,11.0,9.0,54.0,2.0,543.0,1.0,0.0,13.0,14.0,1.0,18.0,1.0,744.0,29.0,14.0,9.0,5.0,11.0,0.0,,,,,,,,,,
2018-19,987598,1,2018-08-11 12:30:00,4,Newcastle,Home,149.0,19.0,1.0,3.0,2.0,2.0,,122.0,2.0,,5.0,9.0,3.0,29.0,268.0,,2.0,26.0,21.0,33.0,6.0,1.0,,,,,,,,,,1.0,10.0,,,1.0,,2.0,7.0,12.0,3.0,9.0,6.0,65.0,68.0,2.0,1.0,1.0,2.0,23.0,5.0,4.0,,,3.0,3.0,5.0,,15.0,3.0,62.0,75.0,2.0,17.0,11.0,,2.0,,,,,58.0,11.0,12.0,1.0,,1.0,1.0,,167.0,1.0,,1.0,1.0,,,5.0,1.0,,1.0,11.0,2.0,21.0,21.0,1.0,5.0,71.0,65.0,25.0,5.0,,2.0,6.0,2.0,368.0,3.0,1.0,,54.0,59.0,28.0,,,,,184.0,184.0,5.0,27.0,30.0,40.4,1.0,,,,23.0,0.0,84.0,2.0,1.0,3.0,,,,8.0,1.0,,3.0,53.0,256.0,9.0,9.0,180.0,43.0,17.0,28.0,3.0,12.0,9.0,,108.0,6.0,219.0,,,34.0,5.0,73.0,1.0,387.0,,0.0,15.0,15.0,6.0,36.0,2.0,622.0,23.0,17.0,16.0,3.0,10.0,0.0,,,,,,,,,,
2018-19,987598,1,2018-08-11 12:30:00,6,Spurs,Away,229.0,14.0,2.0,7.0,5.0,1.0,,245.0,7.0,1.0,6.0,8.0,4.0,28.0,467.0,,,18.0,33.0,21.0,6.0,3.0,,,,,1.0,1.0,,,,,9.0,,,,,1.0,8.0,9.0,6.0,12.0,3.0,93.0,60.0,4.0,3.0,2.0,2.0,23.0,3.0,16.0,,,5.0,7.0,4.0,1.0,10.0,1.0,75.0,62.0,2.0,43.0,21.0,,,,,,,59.0,12.0,10.0,,,4.0,1.0,1.0,181.0,2.0,,1.0,1.0,1.0,,10.0,1.0,2.0,,21.0,,10.0,10.0,,6.0,139.0,76.0,53.0,3.0,1.0,4.0,7.0,5.0,550.0,5.0,2.0,,97.0,65.0,23.0,,,,,166.0,166.0,2.0,16.0,34.0,59.6,,,,1.0,23.0,0.0,160.0,1.0,,1.0,,1.0,,7.0,,,3.0,83.0,450.0,12.0,11.0,268.0,34.0,43.0,9.0,5.0,17.0,12.0,,122.0,3.0,322.0,2.0,1.0,23.0,4.0,63.0,,573.0,,0.0,15.0,27.0,2.0,24.0,2.0,809.0,23.0,27.0,4.0,5.0,16.0,0.0,,,,,,,,,,
2018-19,987592,1,2018-08-11 15:00:00,91,Bournemouth,Home,206.0,7.0,1.0,5.0,4.0,2.0,,196.0,5.0,,3.0,8.0,10.0,29.0,397.0,1.0,1.0,27.0,31.0,32.0,5.0,1.0,,,,,,,,,,,8.0,,1.0,,,1.0,6.0,8.0,2.0,10.0,2.0,76.0,61.0,3.0,3.0,1.0,3.0,23.0,2.0,9.0,,,7.0,5.0,1.0,,12.0,1.0,73.0,62.0,3.0,37.0,26.0,,,,,,,48.0,11.0,8.0,1.0,,2.0,1.0,,178.0,2.0,,2.0,1.0,1.0,,7.0,1.0,,,26.0,,4.0,4.0,,3.0,117.0,78.0,47.0,4.0,1.0,4.0,4.0,4.0,482.0,3.0,4.0,,78.0,66.0,30.0,,,,1.0,168.0,168.0,7.0,27.0,24.0,62.9,,,,,23.0,0.0,131.0,1.0,,1.0,,,,6.0,,,3.0,99.0,382.0,8.0,8.0,228.0,18.0,37.0,21.0,4.0,11.0,7.0,,156.0,2.0,285.0,,,27.0,11.0,57.0,,502.0,1.0,0.0,12.0,11.0,2.0,31.0,1.0,711.0,37.0,27.0,11.0,7.0,5.0,0.0,,,,,,,,,,
2018-19,987592,1,2018-08-11 15:00:00,97,Cardiff,Away,72.0,12.0,2.0,4.0,2.0,1.0,,107.0,5.0,,,7.0,6.0,23.0,175.0,,,12.0,32.0,31.0,8.0,,,,,1.0,,1.0,,,,,7.0,,,,,,7.0,10.0,2.0,8.0,2.0,37.0,64.0,1.0,1.0,,1.0,25.0,4.0,11.0,,,4.0,9.0,5.0,,3.0,1.0,62.0,73.0,1.0,30.0,11.0,,,,,,,70.0,9.0,11.0,,,1.0,,1.0,130.0,,,,,,,10.0,,,1.0,11.0,,15.0,15.0,1.0,,65.0,79.0,29.0,7.0,,4.0,4.0,1.0,262.0,2.0,2.0,,52.0,50.0,25.0,,1.0,1.0,,158.0,158.0,3.0,29.0,29.0,37.1,,,,,25.0,0.0,55.0,2.0,,2.0,,,,5.0,,,3.0,62.0,163.0,14.0,8.0,94.0,25.0,30.0,17.0,4.0,18.0,14.0,,122.0,11.0,211.0,,,42.0,7.0,77.0,2.0,287.0,1.0,0.0,10.0,22.0,,20.0,1.0,483.0,23.0,9.0,9.0,4.0,12.0,0.0,,,,,1.0,,,,,
2018-19,987594,1,2018-08-11 15:00:00,31,Crystal Palace,Away,148.0,16.0,2.0,4.0,2.0,,,114.0,3.0,,3.0,5.0,8.0,24.0,258.0,,1.0,21.0,10.0,20.0,7.0,1.0,,,,,,,,,,,10.0,,,,,1.0,8.0,6.0,9.0,8.0,4.0,48.0,67.0,2.0,1.0,1.0,2.0,8.0,2.0,9.0,,,5.0,7.0,2.0,,16.0,5.0,55.0,63.0,2.0,30.0,11.0,,,,,,,53.0,11.0,9.0,1.0,,,,,157.0,2.0,,2.0,2.0,,,8.0,2.0,1.0,,11.0,1.0,14.0,14.0,1.0,3.0,70.0,64.0,34.0,5.0,1.0,,10.0,10.0,321.0,4.0,1.0,,43.0,43.0,21.0,,,,,143.0,143.0,4.0,36.0,17.0,33.7,,,,1.0,8.0,0.0,72.0,4.0,2.0,6.0,,,,,,,3.0,58.0,244.0,4.0,10.0,177.0,33.0,30.0,22.0,3.0,12.0,9.0,,100.0,7.0,182.0,1.0,,14.0,12.0,55.0,3.0,347.0,2.0,0.0,12.0,21.0,2.0,25.0,2.0,564.0,26.0,13.0,13.0,5.0,14.0,0.0,,,,,,,,,,
2018-19,987594,1,2018-08-11 15:00:00,54,Fulham,Home,292.0,16.0,2.0,8.0,6.0,,,307.0,5.0,1.0,9.0,2.0,13.0,40.0,591.0,,1.0,14.0,20.0,10.0,9.0,1.0,,,,,,1.0,,,,,11.0,,,,,2.0,4.0,8.0,4.0,6.0,9.0,83.0,67.0,,,,1.0,9.0,5.0,13.0,,1.0,5.0,11.0,16.0,,15.0,3.0,63.0,55.0,1.0,22.0,7.0,1.0,,,,,,78.0,9.0,11.0,,,1.0,,1.0,180.0,,,,,,,5.0,,,,7.0,,15.0,15.0,1.0,9.0,196.0,79.0,62.0,5.0,,3.0,7.0,6.0,652.0,2.0,,,99.0,94.0,45.0,,,,,144.0,144.0,3.0,28.0,27.0,66.3,,,,,9.0,0.0,213.0,5.0,3.0,8.0,,,,4.0,,,3.0,126.0,572.0,3.0,10.0,312.0,36.0,22.0,15.0,5.0,32.0,27.0,,173.0,1.0,392.0,,2.0,14.0,13.0,70.0,2.0,672.0,,0.0,15.0,25.0,3.0,16.0,1.0,893.0,19.0,14.0,9.0,5.0,19.0,0.0,,,,,,,,,,
2018-19,987595,1,2018-08-11 15:00:00,38,Huddersfield,Home,135.0,21.0,1.0,6.0,5.0,5.0,1.0,152.0,5.0,,2.0,11.0,2.0,46.0,281.0,1.0,,18.0,17.0,22.0,4.0,1.0,,,,,,,,,,,3.0,,,1.0,,1.0,4.0,10.0,3.0,4.0,2.0,64.0,72.0,1.0,1.0,,,13.0,1.0,17.0,,,2.0,13.0,5.0,,7.0,1.0,53.0,60.0,,13.0,2.0,,,,,,,59.0,9.0,8.0,,,3.0,3.0,,143.0,,,,,,,5.0,,1.0,1.0,2.0,2.0,16.0,16.0,,2.0,85.0,80.0,37.0,5.0,,3.0,2.0,1.0,352.0,6.0,2.0,,58.0,85.0,36.0,1.0,1.0,1.0,,145.0,145.0,10.0,27.0,26.0,37.2,2.0,,,,13.0,0.0,80.0,1.0,,1.0,,1.0,,4.0,,,2.0,70.0,266.0,7.0,5.0,148.0,47.0,13.0,11.0,2.0,23.0,21.0,,112.0,14.0,247.0,1.0,,28.0,3.0,87.0,2.0,372.0,1.0,0.0,6.0,25.0,1.0,23.0,2.0,550.0,12.0,16.0,6.0,2.0,21.0,0.0,,,1.0,,,,,,,
2018-19,987595,1,2018-08-11 15:00:00,8,Chelsea,Away,259.0,18.0,2.0,5.0,3.0,5.0,,328.0,2.0,1.0,1.0,4.0,26.0,29.0,582.0,,,27.0,22.0,17.0,5.0,2.0,,,,1.0,,2.0,,,,1.0,7.0,1.0,,,,,5.0,4.0,2.0,10.0,3.0,96.0,60.0,2.0,1.0,2.0,1.0,12.0,6.0,6.0,,,5.0,6.0,1.0,,21.0,,60.0,53.0,1.0,21.0,12.0,,,,,,,46.0,8.0,8.0,1.0,,3.0,,2.0,179.0,2.0,,2.0,2.0,,,6.0,2.0,1.0,,12.0,1.0,9.0,9.0,1.0,1.0,211.0,74.0,59.0,2.0,2.0,2.0,7.0,4.0,642.0,1.0,8.0,,71.0,73.0,18.0,,,,1.0,134.0,134.0,3.0,28.0,24.0,62.8,1.0,,,,12.0,0.0,172.0,,1.0,1.0,,,,3.0,1.0,,3.0,123.0,570.0,5.0,9.0,290.0,32.0,21.0,21.0,4.0,11.0,7.0,,149.0,8.0,379.0,1.0,1.0,15.0,27.0,52.0,1.0,658.0,,0.0,13.0,12.0,,30.0,1.0,856.0,18.0,15.0,17.0,5.0,6.0,0.0,,,1.0,,,,,,,
