playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,penaltiesTaken,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,penaltyGoals,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,foulWonPenalty,unsuccessfulLayoffs,penaltiesConceded,throwInsToOppositionPlayer,redCards2ndYellow,iboxTarget,shotsOnTargetInBox,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,ownGoalScored,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,headedGoals,otherGoals
74471,Aaron Mooy,Midfielder,Huddersfield,38,Australia,2017-18,160.0,11.0,4.0078,0.0,0.1746,15.0,7.0,4.2713,102.0,14.0,4.0,287.0,36.0,3.0,38.0,34.0,389.0,67.0,1902.0,4.0,2.0,9.0,2.0,78.0,72.0,9.0,3.0,37.0,3071.0,39.0,166.0,6.0,94.0,133.0,1411.0,16.0,29.0,47.473,47.0,8.0,48.0,52.0,6.0,121.0,476.0,16.0,326.0,34.0,718.0,266.0,36.0,1.0,3.0,2.0,42.0,2.0,9.0,1000.0,46.0,148.0,3.0,6.0,254.0,33.0,0.0,1848.0,7.0,16.0,652.0,60.0,16.0,5.0,3.0,453.0,26.0,38.0,47.0,1.0,1.0,102.0,255.0,2539.0,3.0,5.0,1.0,9.0,34.0,550.0,19.0,2.0,2.9693,5.0,102.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,
246878,Abdelhamid Sabiri,Midfielder,Huddersfield,38,Morocco,2017-18,26.0,,0.134,0.0,,3.0,,,5.0,2.0,,29.0,5.0,1.0,3.0,2.0,32.0,1.0,98.0,,1.0,1.0,3.0,,27.0,,,,219.0,13.0,24.0,,5.0,10.0,64.0,,5.0,3.4452,2.0,,2.0,5.0,2.0,13.0,25.0,4.0,50.0,4.0,41.0,8.0,5.0,,,,1.0,,3.0,47.0,5.0,1.0,,2.0,23.0,14.0,0.0,94.0,2.0,,44.0,4.0,1.0,,,13.0,4.0,1.0,,,,2.0,19.0,139.0,,2.0,,1.0,1.0,19.0,2.0,,0.262,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
106450,Alex Pritchard,Midfielder,Huddersfield,38,England,2017-18,66.0,3.0,1.2068,0.0,0.1954,11.0,4.0,1.3326,18.0,9.0,1.0,77.0,14.0,1.0,10.0,12.0,98.0,15.0,344.0,1.0,1.0,8.0,2.0,23.0,21.0,1.0,3.0,13.0,1002.0,19.0,57.0,1.0,19.0,55.0,234.0,7.0,23.0,14.4992,20.0,1.0,8.0,12.0,3.0,47.0,78.0,23.0,123.0,5.0,115.0,69.0,14.0,,3.0,,10.0,1.0,8.0,197.0,11.0,35.0,3.0,3.0,102.0,2.0,0.0,316.0,5.0,7.0,199.0,8.0,14.0,1.0,3.0,69.0,5.0,5.0,13.0,,,12.0,82.0,576.0,,6.0,,8.0,5.0,62.0,4.0,,1.2487,1.0,21.0,15.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
54284,Chris Löwe,Defender,Huddersfield,38,Germany,2017-18,60.0,5.0,0.5344,0.0,0.1973,2.0,2.0,0.3347,43.0,6.0,,100.0,23.0,,2.0,19.0,170.0,47.0,619.0,,,2.0,4.0,15.0,24.0,5.0,2.0,11.0,1594.0,12.0,68.0,3.0,43.0,56.0,410.0,4.0,2.0,24.8884,5.0,13.0,55.0,26.0,,48.0,184.0,8.0,128.0,13.0,303.0,74.0,23.0,,2.0,,14.0,,3.0,219.0,23.0,62.0,3.0,,104.0,12.0,0.0,609.0,4.0,6.0,290.0,29.0,5.0,8.0,3.0,21.0,13.0,34.0,11.0,1.0,,39.0,111.0,1095.0,141.0,9.0,,2.0,45.0,241.0,10.0,,0.3598,1.0,70.0,62.0,,,1.0,30.0,,,,,,,,,,,,,,,,,,,,,
85368,Christopher Schindler,Defender,Huddersfield,38,Germany,2017-18,139.0,,1.077,1.0,,2.0,,,83.0,8.0,,158.0,37.0,1.0,1.0,37.0,259.0,4.0,1389.0,,1.0,,,,250.0,9.0,,,3266.0,95.0,258.0,6.0,30.0,103.0,1037.0,,34.0,49.9617,8.0,15.0,265.0,53.0,2.0,44.0,429.0,21.0,397.0,24.0,544.0,156.0,37.0,,,,22.0,,,286.0,47.0,4.0,,2.0,147.0,155.0,0.0,1355.0,8.0,2.0,278.0,61.0,2.0,30.0,,281.0,30.0,75.0,,,,93.0,135.0,1973.0,3.0,1.0,1.0,,63.0,844.0,18.0,1.0,1.0988,6.0,101.0,85.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
84112,Collin Quaner,Midfielder,Huddersfield,38,Germany,2017-18,109.0,4.0,1.5035,0.0,,4.0,4.0,0.23,22.0,12.0,,93.0,26.0,4.0,24.0,13.0,109.0,18.0,422.0,,3.0,1.0,13.0,1.0,41.0,1.0,1.0,4.0,1272.0,26.0,85.0,2.0,39.0,70.0,309.0,,62.0,21.9016,13.0,3.0,13.0,23.0,3.0,83.0,66.0,26.0,194.0,20.0,146.0,91.0,26.0,,1.0,,7.0,,19.0,231.0,21.0,18.0,,3.0,153.0,15.0,0.0,420.0,8.0,12.0,229.0,15.0,23.0,4.0,,97.0,14.0,11.0,,,,4.0,113.0,713.0,2.0,5.0,,1.0,13.0,86.0,7.0,,1.2569,4.0,16.0,23.0,,4.0,,1.0,,3.0,3.0,,,,,,,,,,,,,,,,,,
80755,Danny Williams,Midfielder,Huddersfield,38,United States,2017-18,64.0,2.0,0.4116,0.0,,1.0,2.0,0.4802,23.0,11.0,3.0,69.0,20.0,,6.0,11.0,95.0,6.0,414.0,,2.0,,9.0,,30.0,,2.0,2.0,1116.0,21.0,58.0,2.0,21.0,49.0,301.0,,8.0,20.1763,4.0,,26.0,22.0,1.0,43.0,109.0,16.0,122.0,10.0,127.0,84.0,20.0,,2.0,,9.0,,3.0,141.0,20.0,6.0,,1.0,92.0,9.0,0.0,407.0,9.0,2.0,139.0,14.0,10.0,2.0,,115.0,17.0,26.0,,,,18.0,63.0,605.0,1.0,2.0,,,14.0,180.0,10.0,,0.4126,2.0,26.0,21.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
5589,Dean Whitehead,Midfielder,Huddersfield,38,England,2017-18,1.0,,0.0041,0.0,,,,,,,,6.0,4.0,,,,8.0,,50.0,,,,4.0,,1.0,,,,68.0,,1.0,,1.0,,41.0,,,1.9655,,,,3.0,,1.0,15.0,,2.0,1.0,14.0,5.0,4.0,,,,,,,11.0,3.0,,,,1.0,1.0,0.0,49.0,,,8.0,,,,,15.0,,2.0,,,,1.0,6.0,54.0,1.0,,,,1.0,31.0,,,,0.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
87428,Elias Kachunga,Forward,Huddersfield,38,DR Congo,2017-18,108.0,1.0,0.4962,0.0,,3.0,5.0,1.5776,30.0,9.0,1.0,104.0,19.0,1.0,16.0,17.0,114.0,23.0,339.0,1.0,5.0,,2.0,,52.0,1.0,,1.0,1338.0,35.0,92.0,2.0,46.0,75.0,221.0,,35.0,19.3094,9.0,,7.0,23.0,3.0,73.0,69.0,32.0,200.0,13.0,94.0,79.0,19.0,,,1.0,4.0,,13.0,156.0,21.0,23.0,,3.0,148.0,17.0,0.0,338.0,4.0,14.0,208.0,26.0,13.0,1.0,,77.0,20.0,2.0,,,,4.0,99.0,570.0,5.0,11.0,,,6.0,70.0,13.0,1.0,1.935,1.0,10.0,18.0,,2.0,,,,4.0,4.0,,,,,,,,,,,,,,,,,,
172246,Florent Hadërgjonaj,Defender,Huddersfield,38,Kosovo,2017-18,74.0,20.0,1.3783,0.0,,4.0,2.0,0.2609,21.0,4.0,2.0,129.0,23.0,1.0,3.0,19.0,205.0,73.0,618.0,,4.0,4.0,4.0,4.0,37.0,4.0,1.0,22.0,1672.0,22.0,61.0,3.0,36.0,46.0,369.0,2.0,15.0,23.4612,25.0,14.0,38.0,28.0,,52.0,28.0,11.0,135.0,12.0,272.0,94.0,23.0,,1.0,,5.0,,12.0,269.0,25.0,76.0,,,98.0,15.0,0.0,608.0,2.0,12.0,366.0,16.0,16.0,10.0,,216.0,17.0,17.0,2.0,,,44.0,102.0,1120.0,160.0,3.0,,4.0,47.0,166.0,15.0,,0.2517,3.0,76.0,52.0,,,,44.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
