playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,keyPassesAttemptAssists,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,goals,awayGoals,unsuccessfulLayoffs,penaltiesConceded,penaltyGoalsConceded,totalClearances,homeGoals,rightFootGoals,aerialDuelsWon,attemptsFromSetPieces,cleanSheets,successfulLaunches,lastPlayerTackle,redCards2ndYellow,hitWoodwork,setPiecesGoals,leftFootGoals,throwInsToOppositionPlayer,headedGoals,clearancesOffTheLine,foulWonPenalty,penaltiesTaken,otherGoals,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,ownGoalScored,drops
19008,Christophe Berra,Defender,Wolves,39,Scotland,2010-11,123.0,1.0,1.0,3.0,,51.0,15.0,1.0,195.0,32.0,,2.0,31.0,269.0,5.0,904.0,2.0,1.0,,152.0,1.0,2790.0,58.0,189.0,9.0,95.0,591.0,,58.0,7.0,51.0,65.0,207.0,42.0,0.0,312.0,465.0,96.0,32.0,17.0,,165.0,42.0,5.0,4.0,160.0,0.0,889.0,9.0,7.0,293.0,34.0,2.0,26.0,140.0,45.0,57.0,,44.0,92.0,1447.0,1.0,,64.0,471.0,1.0,5.0,74.0,65.0,6.0,,,,,2.0,279.0,,,94.0,,5.0,20.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
77610,Danny Batth,Defender,Wolves,39,England,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92178,Ethan Ebanks-Landell,Defender,Wolves,39,England,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19084,George Elokobi,Defender,Wolves,39,Cameroon,2010-11,99.0,9.0,0.0,4.0,3.0,53.0,9.0,3.0,235.0,27.0,2.0,12.0,23.0,313.0,32.0,1048.0,,4.0,,76.0,9.0,2120.0,31.0,117.0,7.0,72.0,684.0,,29.0,9.0,37.0,68.0,330.0,9.0,0.0,216.0,608.0,113.0,27.0,17.0,11.0,439.0,30.0,32.0,22.0,140.0,0.0,1035.0,5.0,6.0,443.0,36.0,10.0,9.0,33.0,25.0,33.0,,51.0,77.0,1721.0,223.0,4.0,68.0,305.0,2.0,6.0,78.0,70.0,4.0,2.0,1.0,,,1.0,133.0,1.0,,45.0,,5.0,11.0,1.0,,,,,50.0,2.0,,,,,,,,,,,,,,,,,,,,
14927,Greg Halford,Defender,Wolves,39,England,2010-11,3.0,,0.0,,,,1.0,,7.0,2.0,,1.0,,7.0,,11.0,,2.0,,2.0,,20.0,1.0,1.0,,,4.0,,1.0,,,2.0,3.0,,0.0,4.0,4.0,,2.0,,,4.0,,,,2.0,0.0,11.0,1.0,,9.0,,,,4.0,2.0,,,,,15.0,1.0,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
1989,Jody Craddock,Defender,Wolves,39,England,2010-11,53.0,,0.0,4.0,,24.0,5.0,,51.0,15.0,,2.0,14.0,80.0,2.0,266.0,,1.0,,49.0,,1176.0,20.0,64.0,3.0,35.0,161.0,,14.0,1.0,23.0,33.0,35.0,11.0,0.0,117.0,118.0,28.0,15.0,9.0,1.0,40.0,20.0,2.0,3.0,68.0,0.0,262.0,4.0,2.0,92.0,15.0,,12.0,76.0,21.0,16.0,,25.0,37.0,487.0,1.0,1.0,27.0,146.0,,5.0,29.0,26.0,1.0,1.0,1.0,,,2.0,124.0,0.0,1.0,29.0,,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14947,Kevin Foley,Defender,Wolves,39,Ireland,2010-11,61.0,20.0,0.0,4.0,1.0,35.0,6.0,3.0,246.0,33.0,2.0,50.0,30.0,350.0,71.0,1445.0,,3.0,,32.0,20.0,2728.0,18.0,77.0,10.0,63.0,1010.0,,27.0,18.0,48.0,43.0,118.0,18.0,0.0,138.0,667.0,151.0,33.0,7.0,5.0,622.0,38.0,71.0,20.0,106.0,0.0,1413.0,3.0,16.0,503.0,28.0,10.0,6.0,492.0,15.0,63.0,,85.0,168.0,2069.0,195.0,3.0,73.0,493.0,,3.0,104.0,68.0,3.0,2.0,0.0,4.0,1.0,4.0,78.0,2.0,1.0,14.0,,4.0,20.0,1.0,,,,1.0,35.0,,,,,,,,,,,,,,,,,,,,,
87835,Matt Doherty,Defender,Wolves,39,Ireland,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28565,Michael Mancienne,Defender,Wolves,39,Seychelles,2010-11,38.0,1.0,0.0,2.0,,34.0,1.0,,69.0,16.0,,9.0,13.0,94.0,7.0,413.0,,3.0,,29.0,1.0,1116.0,13.0,64.0,4.0,48.0,289.0,,2.0,3.0,25.0,25.0,125.0,8.0,0.0,102.0,140.0,64.0,16.0,15.0,2.0,121.0,21.0,7.0,9.0,73.0,0.0,410.0,1.0,3.0,120.0,19.0,6.0,12.0,94.0,9.0,29.0,,30.0,54.0,612.0,23.0,5.0,18.0,199.0,1.0,1.0,25.0,13.0,,,,,,3.0,47.0,,,16.0,,,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
18832,Richard Stearman,Defender,Wolves,39,England,2010-11,88.0,1.0,0.0,2.0,4.0,61.0,2.0,2.0,145.0,31.0,,3.0,27.0,218.0,2.0,851.0,2.0,4.0,,80.0,1.0,2498.0,31.0,147.0,8.0,98.0,585.0,,14.0,4.0,50.0,57.0,139.0,27.0,0.0,235.0,409.0,116.0,31.0,18.0,4.0,184.0,42.0,2.0,10.0,155.0,0.0,827.0,2.0,3.0,261.0,43.0,10.0,37.0,194.0,29.0,37.0,,48.0,109.0,1319.0,22.0,1.0,59.0,450.0,,7.0,73.0,52.0,,,,1.0,1.0,3.0,199.0,,,49.0,,5.0,13.0,3.0,,,,,9.0,,2.0,,,,,,,,,,,,,,,,,,1.0,
37847,Ronald Zubar,Defender,Wolves,39,Guadeloupe,2010-11,69.0,2.0,0.0,2.0,3.0,39.0,11.0,1.0,110.0,15.0,,5.0,14.0,150.0,15.0,532.0,2.0,1.0,,57.0,2.0,1258.0,22.0,93.0,1.0,58.0,364.0,,28.0,8.0,22.0,47.0,48.0,12.0,0.0,162.0,236.0,75.0,15.0,10.0,13.0,215.0,21.0,16.0,24.0,105.0,0.0,524.0,7.0,6.0,222.0,29.0,7.0,6.0,169.0,16.0,39.0,,18.0,79.0,968.0,148.0,1.0,38.0,169.0,,4.0,40.0,36.0,4.0,1.0,1.0,,,,76.0,0.0,,35.0,,3.0,3.0,,,2.0,,,18.0,1.0,,,,,,,,,,,,,,,,,,,1.0,
40616,Stephen Ward,Defender,Wolves,39,Ireland,2010-11,113.0,13.0,0.0,8.0,8.0,48.0,10.0,4.0,223.0,34.0,1.0,40.0,27.0,269.0,66.0,1027.0,15.0,7.0,,87.0,13.0,2395.0,45.0,127.0,7.0,85.0,722.0,,40.0,18.0,49.0,68.0,307.0,26.0,2.0,240.0,440.0,96.0,34.0,11.0,9.0,488.0,42.0,67.0,34.0,153.0,0.0,1013.0,5.0,22.0,446.0,37.0,11.0,3.0,98.0,20.0,24.0,,36.0,182.0,1584.0,134.0,8.0,44.0,283.0,,2.0,46.0,44.0,5.0,1.0,1.0,4.0,1.0,4.0,58.0,0.0,,42.0,,1.0,10.0,1.0,,2.0,,1.0,31.0,,,1.0,,,,,,,,,,,,,,,,,,
