playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,substituteOn,aerialDuels,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,homeGoals,recoveries,appearances,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,totalFoulsConceded,interceptions,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,cornersTakenInclShortCorners,goalsConcededOutsideBox,successfulCornersIntoBox,throwInsToOppositionPlayer,penaltyGoalsConceded,unsuccessfulCornersIntoBox,goalAssists,offsides,headedGoals,blocks,hitWoodwork,forwardPasses,cleanSheets,penaltiesConceded,lastPlayerTackle,gkSuccessfulDistribution,rightFootGoals,ownGoalScored,clearancesOffTheLine,penaltiesTaken,penaltyGoals,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,redCards2ndYellow
19008,Christophe Berra,Defender,Wolves,39,Scotland,2009-10,141.0,1.0,0.0,4.0,5.0,65.0,10.0,,219.0,32.0,5.0,32.0,293.0,2.0,752.0,,,,167.0,1.0,2835.0,,66.0,202.0,101.0,427.0,53.0,10.0,19.0,338.0,45.0,75.0,35.0,0.0,343.0,,53.0,32.0,13.0,,3.0,119.0,38.0,2.0,17.0,176.0,101.0,0.0,741.0,5.0,5.0,452.0,52.0,1.0,,51.0,43.0,32.0,1339.0,3.0,1.0,99.0,341.0,1.0,6.0,74.0,82.0,,7.0,,,4.0,,3.0,1.0,,23.0,,,7.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,
28655,Daniel Jones,Defender,Wolves,39,England,2009-10,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19084,George Elokobi,Defender,Wolves,39,Cameroon,2009-10,68.0,6.0,0.0,1.0,1.0,41.0,4.0,2.0,177.0,22.0,3.0,17.0,249.0,39.0,763.0,,,5.0,47.0,9.0,1642.0,1.0,17.0,92.0,62.0,480.0,8.0,10.0,27.0,143.0,28.0,51.0,15.0,0.0,160.0,,85.0,22.0,12.0,,9.0,314.0,24.0,40.0,19.0,113.0,30.0,0.0,745.0,3.0,6.0,419.0,29.0,6.0,,18.0,41.0,34.0,1336.0,142.0,2.0,79.0,209.0,,2.0,72.0,42.0,,4.0,,53.0,4.0,,,,,5.0,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
40202,George Friend,Defender,Wolves,39,England,2009-10,10.0,,0.0,,,3.0,2.0,,8.0,1.0,,1.0,8.0,2.0,21.0,,,,2.0,,61.0,,2.0,3.0,3.0,12.0,3.0,,1.0,,2.0,8.0,,0.0,13.0,,2.0,1.0,1.0,,3.0,11.0,2.0,2.0,6.0,11.0,,0.0,21.0,2.0,,16.0,2.0,,,1.0,1.0,1.0,38.0,,1.0,,2.0,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14927,Greg Halford,Defender,Wolves,39,England,2009-10,62.0,4.0,0.0,3.0,4.0,24.0,13.0,1.0,109.0,15.0,21.0,12.0,134.0,16.0,397.0,,,3.0,63.0,6.0,895.0,3.0,27.0,70.0,34.0,246.0,23.0,6.0,8.0,24.0,21.0,35.0,6.0,0.0,132.0,,41.0,15.0,5.0,,4.0,163.0,16.0,21.0,13.0,69.0,36.0,0.0,389.0,9.0,11.0,235.0,19.0,4.0,4.0,17.0,8.0,17.0,640.0,44.0,6.0,18.0,106.0,,2.0,25.0,16.0,3.0,5.0,,55.0,4.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Jody Craddock,Defender,Wolves,39,England,2009-10,111.0,2.0,0.0,3.0,7.0,64.0,14.0,,186.0,33.0,7.0,33.0,261.0,1.0,706.0,5.0,3.0,,149.0,2.0,2970.0,,62.0,169.0,82.0,383.0,33.0,5.0,36.0,313.0,43.0,49.0,18.0,0.0,280.0,2.0,44.0,33.0,10.0,1.0,,133.0,34.0,2.0,3.0,131.0,87.0,0.0,693.0,7.0,2.0,396.0,54.0,,,36.0,33.0,62.0,1228.0,,,89.0,314.0,,1.0,75.0,71.0,1.0,9.0,,,1.0,1.0,2.0,,2.0,28.0,,,8.0,,4.0,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
14947,Kevin Foley,Defender,Wolves,39,Ireland,2009-10,85.0,22.0,0.0,5.0,4.0,23.0,13.0,10.0,176.0,25.0,107.0,23.0,211.0,50.0,946.0,,,2.0,40.0,25.0,1980.0,5.0,26.0,58.0,44.0,706.0,48.0,24.0,12.0,39.0,29.0,59.0,13.0,0.0,143.0,,104.0,25.0,8.0,,9.0,499.0,25.0,53.0,28.0,103.0,14.0,0.0,938.0,9.0,13.0,321.0,15.0,8.0,,23.0,34.0,29.0,1311.0,43.0,9.0,34.0,261.0,2.0,1.0,35.0,30.0,5.0,4.0,3.0,8.0,2.0,1.0,,4.0,,8.0,2.0,,6.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,
3614,Matthew Hill,Defender,Wolves,39,England,2009-10,6.0,1.0,0.0,,,6.0,,,18.0,2.0,1.0,2.0,28.0,3.0,66.0,,,,4.0,1.0,180.0,,1.0,11.0,8.0,34.0,,,3.0,13.0,6.0,5.0,2.0,0.0,17.0,,3.0,2.0,3.0,,,29.0,6.0,3.0,,13.0,3.0,0.0,65.0,,,46.0,3.0,,,4.0,1.0,4.0,115.0,14.0,,11.0,10.0,,0.0,10.0,4.0,,,,5.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28565,Michael Mancienne,Defender,Wolves,39,Seychelles,2009-10,74.0,1.0,0.0,2.0,2.0,43.0,8.0,1.0,156.0,30.0,8.0,22.0,200.0,3.0,683.0,,,8.0,61.0,1.0,1989.0,,22.0,101.0,62.0,432.0,,3.0,13.0,145.0,33.0,52.0,10.0,0.0,175.0,,84.0,30.0,14.0,,6.0,236.0,26.0,3.0,18.0,114.0,39.0,0.0,667.0,6.0,2.0,290.0,29.0,9.0,,24.0,55.0,51.0,1039.0,3.0,6.0,49.0,248.0,2.0,6.0,44.0,48.0,,7.0,,3.0,5.0,,,,,14.0,,,4.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
18832,Richard Stearman,Defender,Wolves,39,England,2009-10,57.0,3.0,1.0,2.0,3.0,33.0,6.0,,97.0,16.0,4.0,12.0,115.0,13.0,335.0,1.0,0.0,4.0,27.0,3.0,1125.0,,12.0,75.0,60.0,199.0,17.0,3.0,11.0,64.0,20.0,45.0,24.0,0.0,132.0,1.0,23.0,16.0,7.0,,13.0,120.0,14.0,13.0,22.0,105.0,15.0,0.0,328.0,3.0,2.0,224.0,26.0,3.0,,16.0,19.0,21.0,701.0,91.0,1.0,27.0,103.0,,4.0,18.0,21.0,1.0,6.0,,47.0,,,,2.0,,5.0,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
