playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,penaltiesTaken,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,penaltyGoals,backwardPasses,touches,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,substituteOn,cornersTakenInclShortCorners,successfulCornersIntoBox,successfulLaunches,leftFootGoals,lastPlayerTackle,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,successfulLongPasses,throwInsToOwnPlayer,punches,catches,savesMade,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,penaltiesFaced,savesMadeFromInsideBox,overruns,penaltiesConceded,secondGoalAssists,savesMadeFromOutsideBox,goalkeeperSmother,drops,crossesNotClaimed,savesMadeParried,ownGoalScored,redCards2ndYellow,headedGoals,foulWonPenalty,clearancesOffTheLine
497949,David Møller Wolfe,Defender,Wolves,39,Norway,2025-26,26.0,8.0,1.0837,0.0,2.0,,,10.0,1.0,,53.0,22.0,2.0,1.0,11.0,67.0,22.0,260.0,,,,,19.0,,,8.0,,1049.0,,,8.0,30.0,3.0,21.0,19.0,179.0,19.0,17.0,2.0,18.4794,6.0,31.0,23.0,2.0,18.0,94.0,4.0,0.0,56.0,4.0,,101.0,27.0,22.0,,,,5.0,3.0,127.0,20.0,25.0,5.0,2.0,37.0,11.0,0.0,258.0,1.0,6.0,129.0,5.0,5.0,2.0,10.0,10.0,7.0,,55.0,465.0,7.0,,,8.0,74.0,3.0,,0.1227,1.0,14.0,21.0,,11.0,3.0,,4.0,,1.0,,,3.0,14.0,46.0,,,,,,,,,1.0,,,,,,,,,,,,
490721,Hugo Bueno,Defender,Wolves,39,Spain,2025-26,152.0,41.0,3.5144,0.0,4.0,6.0,1.1557,67.0,12.0,,116.0,35.0,2.0,3.0,26.0,165.0,72.0,848.0,1.0,3.0,0.0,1.0,42.0,3.0,3.0,58.0,2.0,2364.0,2.0,,23.0,141.0,6.0,67.0,122.0,658.0,47.0,28.0,4.0,41.5771,36.0,67.0,44.0,3.0,129.0,226.0,24.0,0.0,293.0,25.0,1.0,281.0,115.0,35.0,,3.0,,28.0,46.0,382.0,38.0,109.0,78.0,3.0,251.0,19.0,0.0,807.0,6.0,18.0,426.0,39.0,31.0,4.0,68.0,18.0,38.0,,273.0,1692.0,9.0,,1.0,31.0,359.0,13.0,,0.8586,3.0,49.0,75.0,0.0596,9.0,45.0,12.0,8.0,1.0,,1.0,1.0,29.0,25.0,189.0,,,,,,,,,3.0,1.0,,,,,,,,,,,
523705,Jackson Tchatchoua,Defender,Wolves,39,Cameroon,2025-26,68.0,22.0,1.6891,0.0,,1.0,0.1571,29.0,2.0,,108.0,31.0,1.0,6.0,19.0,129.0,69.0,542.0,,2.0,,,54.0,3.0,,22.0,1.0,1837.0,1.0,1.0,31.0,66.0,7.0,38.0,43.0,399.0,25.0,11.0,,32.0818,20.0,57.0,37.0,,37.0,18.0,9.0,0.0,134.0,10.0,,149.0,62.0,31.0,,,,14.0,9.0,252.0,30.0,69.0,16.0,,80.0,23.0,0.0,542.0,1.0,16.0,261.0,15.0,5.0,8.0,224.0,8.0,15.0,,151.0,941.0,5.0,,,10.0,183.0,7.0,,0.3312,3.0,21.0,37.0,,12.0,,,5.0,,,,,,14.0,64.0,,,,,,,,,2.0,,,,,,,,,,,,
431248,Ladislav Krejcí,Defender,Wolves,39,Czech Republic,2025-26,103.0,4.0,1.4879,1.0,5.0,10.0,2.7986,32.0,16.0,1.0,110.0,28.0,1.0,5.0,27.0,230.0,13.0,1317.0,2.0,,1.0,1.0,113.0,3.0,,4.0,8.0,2361.0,8.0,1.0,49.0,104.0,8.0,24.0,40.0,999.0,47.0,11.0,2.0,39.1492,8.0,117.0,45.0,4.0,54.0,469.0,7.0,0.0,207.0,15.0,1.0,522.0,79.0,28.0,,,,11.0,2.0,381.0,37.0,13.0,10.0,4.0,94.0,64.0,0.0,1269.0,6.0,2.0,287.0,21.0,2.0,15.0,225.0,33.0,32.0,,101.0,1670.0,5.0,,1.0,60.0,710.0,13.0,1.0,2.2232,3.0,120.0,63.0,,1.0,,,18.0,1.0,1.0,,,,88.0,15.0,,,,19.0,18.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,
87835,Matt Doherty,Defender,Wolves,39,Ireland,2025-26,38.0,2.0,0.1836,0.0,2.0,,,16.0,1.0,,37.0,11.0,,,11.0,58.0,5.0,298.0,,,,2.0,31.0,,,2.0,,791.0,,,10.0,45.0,2.0,5.0,24.0,225.0,7.0,2.0,2.0,11.8481,3.0,37.0,15.0,,28.0,28.0,6.0,0.0,83.0,3.0,,121.0,28.0,11.0,,,,8.0,,98.0,13.0,5.0,3.0,,52.0,21.0,0.0,288.0,1.0,,76.0,8.0,2.0,6.0,104.0,16.0,7.0,,45.0,427.0,8.0,1.0,2.0,7.0,144.0,9.0,1.0,0.0893,4.0,21.0,20.0,,,,,1.0,,,,,,15.0,15.0,,,,,,,,,,1.0,,,,,,,,,,1.0,
641221,Pedro Lima,Defender,Wolves,39,Brazil,2025-26,18.0,4.0,0.3709,0.0,1.0,1.0,0.2774,8.0,3.0,,12.0,9.0,,,3.0,20.0,5.0,55.0,,,,,5.0,,,4.0,1.0,259.0,1.0,,3.0,12.0,,8.0,10.0,32.0,9.0,5.0,1.0,6.98,3.0,6.0,6.0,1.0,15.0,1.0,1.0,0.0,30.0,6.0,,24.0,11.0,9.0,,,,2.0,2.0,18.0,6.0,6.0,6.0,1.0,25.0,2.0,0.0,55.0,2.0,2.0,41.0,6.0,1.0,,23.0,5.0,5.0,,7.0,134.0,3.0,,,5.0,21.0,2.0,,0.3431,0.0,8.0,6.0,,6.0,,,1.0,,,,,,3.0,16.0,,,,,,,,,,,,,,,,,,,,,
483081,Rodrigo Gomes,Defender,Wolves,39,Portugal,2025-26,59.0,3.0,0.4153,0.0,2.0,6.0,1.5157,23.0,18.0,,63.0,22.0,,6.0,9.0,73.0,21.0,263.0,3.0,3.0,0.0,1.0,24.0,,,3.0,3.0,960.0,3.0,,18.0,45.0,4.0,26.0,39.0,188.0,50.0,9.0,2.0,14.514,3.0,13.0,18.0,1.0,41.0,51.0,8.0,0.0,104.0,11.0,3.0,70.0,33.0,22.0,,,3.0,5.0,18.0,134.0,14.0,21.0,25.0,1.0,80.0,6.0,0.0,260.0,12.0,11.0,157.0,18.0,8.0,2.0,67.0,6.0,9.0,,75.0,481.0,8.0,,1.0,9.0,59.0,1.0,,2.1454,0.0,10.0,23.0,,13.0,,,1.0,,,,,,2.0,13.0,,,,,,,,,2.0,,1.0,,,,,,,,,,
601956,Saheed Olagunju,Defender,Wolves,39,England,2025-26,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231480,Santiago Bueno,Defender,Wolves,39,Uruguay,2025-26,93.0,2.0,1.4514,0.0,2.0,7.0,3.0762,50.0,8.0,2.0,80.0,29.0,1.0,,28.0,147.0,4.0,1085.0,3.0,2.0,2.0,,94.0,4.0,,2.0,4.0,2553.0,4.0,,46.0,109.0,5.0,29.0,61.0,882.0,41.0,1.0,4.0,45.2471,9.0,116.0,47.0,2.0,47.0,273.0,11.0,0.0,202.0,22.0,1.0,344.0,68.0,29.0,,,2.0,22.0,2.0,290.0,42.0,4.0,7.0,2.0,108.0,48.0,0.0,1055.0,1.0,2.0,175.0,28.0,,21.0,394.0,30.0,27.0,,74.0,1435.0,1.0,,,32.0,650.0,9.0,,2.278,4.0,67.0,50.0,,1.0,,,19.0,,1.0,,,,56.0,7.0,,,,2.0,2.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0
510362,Toti Gomes,Defender,Wolves,39,Portugal,2025-26,42.0,3.0,0.3059,1.0,1.0,2.0,0.3483,23.0,4.0,,58.0,19.0,,,17.0,115.0,8.0,816.0,,,,,44.0,1.0,,3.0,2.0,1427.0,2.0,,20.0,68.0,5.0,6.0,44.0,661.0,9.0,6.0,1.0,28.1648,6.0,95.0,33.0,1.0,22.0,295.0,11.0,0.0,110.0,1.0,,299.0,53.0,19.0,,,,10.0,2.0,230.0,28.0,8.0,7.0,1.0,66.0,24.0,1.0,790.0,2.0,,144.0,13.0,10.0,12.0,135.0,11.0,14.0,,87.0,1057.0,4.0,,,31.0,474.0,3.0,,0.5332,2.0,57.0,36.0,,2.0,,,10.0,,1.0,,,,40.0,10.0,,,,3.0,3.0,,,,2.0,,,,,,,,,,,,1.0
