playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulLayoffs,leftFootGoals,hitWoodwork,setPiecesGoals,penaltiesConceded,throwInsToOppositionPlayer,penaltyGoalsConceded,rightFootGoals,lastPlayerTackle,redCards2ndYellow,attemptsFromSetPieces,clearancesOffTheLine,handballsConceded,catches,savesMade,drops,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCornersIntoBox,ownGoalScored,secondGoalAssists,savesMadeCaught,penaltiesFaced,punches,crossesNotClaimed,foulWonPenalty,penaltiesTaken,penaltyGoals,penaltiesSaved,savesFromPenalty
37339,Ahmed El Mohamady,Defender,Sunderland,56,Egypt,2011-12,76.0,8.0,0.0,1.0,3.0,5.0,18.0,8.0,1.0,85.0,18.0,1.0,15.0,7.0,100.0,57.0,339.0,1.0,3.0,0.0,11.0,1.0,54.0,1.0,8.0,773.0,32.0,58.0,2.0,36.0,228.0,19.0,10.0,2.0,9.0,10.0,44.0,16.0,9.0,0.0,134.0,1.0,125.0,31.0,18.0,8.0,20.0,158.0,8.0,1.0,58.0,32.0,80.0,22.0,0.0,339.0,5.0,15.0,204.0,10.0,9.0,1.0,119.0,11.0,11.0,1.0,11.0,79.0,547.0,19.0,3.0,14.0,89.0,0.0,15.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108416,John Egan,Defender,Sunderland,56,Ireland,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3736,John O'Shea,Defender,Sunderland,56,Ireland,2011-12,60.0,5.0,0.0,1.0,3.0,1.0,52.0,10.0,2.0,204.0,29.0,,11.0,29.0,275.0,23.0,1004.0,,1.0,,,,49.0,10.0,5.0,2441.0,26.0,85.0,7.0,62.0,664.0,26.0,8.0,18.0,161.0,29.0,34.0,81.0,5.0,0.0,145.0,,554.0,132.0,29.0,9.0,3.0,380.0,22.0,,23.0,7.0,96.0,23.0,0.0,981.0,7.0,3.0,356.0,43.0,5.0,15.0,291.0,13.0,59.0,,65.0,78.0,1548.0,124.0,4.0,53.0,354.0,5.0,71.0,60.0,,,1.0,,,37.0,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
15073,Kieran Richardson,Defender,Sunderland,56,England,2011-12,90.0,12.0,0.0,10.0,8.0,1.0,43.0,21.0,,162.0,29.0,2.0,18.0,26.0,226.0,39.0,903.0,2.0,3.0,2.0,3.0,21.0,43.0,5.0,22.0,2284.0,25.0,83.0,6.0,65.0,636.0,35.0,19.0,11.0,83.0,31.0,65.0,246.0,12.0,0.0,173.0,0.0,446.0,132.0,29.0,8.0,9.0,457.0,25.0,,51.0,29.0,130.0,18.0,0.0,877.0,13.0,13.0,417.0,35.0,10.0,12.0,104.0,18.0,54.0,12.0,41.0,107.0,1522.0,117.0,7.0,51.0,242.0,5.0,64.0,68.0,,2.0,2.0,,1.0,75.0,2.0,,,,2.0,2.0,,,,,,,,,,,9.0,,,,,,,,,,,
97580,Louis Laing,Defender,Sunderland,56,England,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14919,Matthew Kilgallon,Defender,Sunderland,56,England,2011-12,22.0,,0.0,1.0,,,9.0,2.0,,43.0,10.0,,,9.0,47.0,1.0,205.0,,,,1.0,,28.0,3.0,,793.0,13.0,31.0,3.0,16.0,149.0,6.0,,3.0,64.0,11.0,9.0,44.0,5.0,0.0,53.0,,107.0,17.0,10.0,1.0,2.0,51.0,8.0,,1.0,3.0,25.0,15.0,0.0,201.0,2.0,1.0,56.0,8.0,2.0,10.0,45.0,4.0,22.0,,9.0,9.0,341.0,,4.0,8.0,107.0,0.0,4.0,17.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15864,Michael Turner,Defender,Sunderland,56,England,2011-12,66.0,2.0,0.0,2.0,3.0,,43.0,7.0,,111.0,24.0,,1.0,23.0,141.0,,631.0,,2.0,,1.0,,63.0,8.0,2.0,2115.0,26.0,91.0,7.0,54.0,449.0,21.0,3.0,12.0,201.0,31.0,40.0,139.0,10.0,0.0,157.0,,254.0,70.0,24.0,11.0,,105.0,24.0,,,5.0,94.0,37.0,0.0,621.0,4.0,1.0,152.0,32.0,1.0,23.0,164.0,23.0,48.0,,41.0,74.0,1005.0,,,35.0,387.0,3.0,30.0,58.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
17997,Phil Bardsley,Defender,Sunderland,56,Scotland,2011-12,78.0,13.0,1.0,12.0,4.0,1.0,78.0,14.0,1.0,216.0,31.0,,8.0,29.0,330.0,53.0,1174.0,1.0,,1.0,2.0,8.0,40.0,8.0,16.0,2479.0,25.0,124.0,6.0,109.0,765.0,8.0,27.0,27.0,109.0,32.0,53.0,160.0,22.0,0.0,202.0,0.0,637.0,135.0,31.0,19.0,5.0,504.0,26.0,,60.0,21.0,162.0,15.0,0.0,1140.0,10.0,6.0,525.0,59.0,9.0,18.0,276.0,20.0,55.0,6.0,79.0,101.0,1934.0,181.0,7.0,102.0,356.0,3.0,114.0,66.0,2.0,,,,,96.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,
11248,Sotirios Kyrgiakos,Defender,Sunderland,56,Greece,2011-12,8.0,,0.0,,,,2.0,,,17.0,3.0,,,2.0,22.0,1.0,59.0,,,,1.0,,10.0,,,189.0,3.0,10.0,2.0,3.0,33.0,1.0,,2.0,16.0,5.0,5.0,15.0,1.0,0.0,18.0,,32.0,5.0,3.0,1.0,1.0,7.0,3.0,,1.0,1.0,8.0,7.0,0.0,57.0,,1.0,24.0,1.0,,,7.0,4.0,4.0,,4.0,5.0,86.0,,,5.0,30.0,1.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Titus Bramble,Defender,Sunderland,56,England,2011-12,22.0,,0.0,2.0,2.0,,12.0,3.0,,29.0,8.0,,,8.0,50.0,1.0,231.0,1.0,,0.0,,,29.0,1.0,,651.0,10.0,36.0,1.0,17.0,162.0,5.0,1.0,9.0,57.0,9.0,12.0,45.0,4.0,2.0,58.0,1.0,104.0,33.0,8.0,1.0,,51.0,8.0,,1.0,2.0,29.0,19.0,0.0,225.0,1.0,,58.0,11.0,1.0,9.0,56.0,4.0,14.0,,19.0,26.0,350.0,,1.0,13.0,130.0,0.0,21.0,10.0,,,,,,1.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
