playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,ownGoalScored,lastPlayerTackle,foulWonPenalty,goals,awayGoals,homeGoals,rightFootGoals,leftFootGoals,headedGoals,otherGoals,attemptsFromSetPieces,hitWoodwork,redCards2ndYellow,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,penaltiesTaken,penaltyGoals
37339,Ahmed El Mohamady,Defender,Sunderland,56,Egypt,2010-11,0.0,0.0,1.0,220.0,43.0,9.0,1.0,12.0,52.0,19.0,3.0,271.0,36.0,2.0,23.0,26.0,329.0,155.0,1074.0,2.0,10.0,6.0,257.0,5.0,45.0,2453.0,1.0,123.0,229.0,4.0,2.0,95.0,711.0,2.0,38.0,32.0,2.0,41.0,18.0,50.0,38.0,97.0,42.0,16.0,0.0,449.0,479.0,147.0,36.0,10.0,42.0,556.0,34.0,156.0,60.0,192.0,134.0,1063.0,18.0,31.0,620.0,42.0,27.0,3.0,382.0,33.0,37.0,1.0,1.0,34.0,171.0,1768.0,107.0,8.0,46.0,234.0,2.0,58.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13898,Anton Ferdinand,Defender,Sunderland,56,England,2010-11,0.0,0.0,2.0,63.0,,,,,43.0,1.0,,144.0,27.0,,4.0,23.0,227.0,7.0,650.0,,4.0,,96.0,7.0,,2089.0,,31.0,122.0,4.0,,57.0,388.0,,14.0,12.0,4.0,,27.0,215.0,36.0,32.0,103.0,12.0,0.0,185.0,384.0,96.0,27.0,12.0,2.0,164.0,32.0,7.0,4.0,89.0,65.0,624.0,1.0,2.0,254.0,31.0,2.0,16.0,109.0,21.0,58.0,,,35.0,54.0,1114.0,49.0,4.0,85.0,259.0,1.0,83.0,55.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91417,Blair Adams,Defender,Sunderland,56,England,2010-11,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7195,John Mensah,Defender,Sunderland,56,Ghana,2010-11,1.0,1.0,4.0,57.0,,,,,27.0,,,56.0,18.0,1.0,1.0,15.0,84.0,,398.0,,3.0,,62.0,3.0,,1195.0,,22.0,90.0,1.0,1.0,50.0,292.0,,2.0,,2.0,,9.0,107.0,23.0,35.0,78.0,22.0,0.0,147.0,181.0,90.0,18.0,3.0,,79.0,22.0,,9.0,85.0,40.0,384.0,,,102.0,24.0,1.0,13.0,101.0,22.0,44.0,,2.0,22.0,38.0,648.0,1.0,5.0,24.0,235.0,,28.0,38.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15073,Kieran Richardson,Defender,Sunderland,56,England,2010-11,0.0,0.0,9.0,127.0,10.0,9.0,10.0,6.0,49.0,36.0,9.0,173.0,26.0,3.0,47.0,23.0,211.0,35.0,825.0,6.0,3.0,5.0,52.0,8.0,10.0,2040.0,6.0,40.0,95.0,4.0,,83.0,573.0,,27.0,21.0,2.0,25.0,8.0,44.0,27.0,87.0,244.0,22.0,2.0,222.0,305.0,115.0,26.0,12.0,11.0,425.0,23.0,43.0,37.0,170.0,12.0,810.0,26.0,11.0,350.0,37.0,12.0,8.0,138.0,42.0,23.0,5.0,1.0,41.0,138.0,1272.0,65.0,4.0,21.0,199.0,3.0,38.0,50.0,,2.0,,4.0,3.0,1.0,,4.0,,,10.0,2.0,,,,,,,,,,,,,,,,1.0,,
97580,Louis Laing,Defender,Sunderland,56,England,2010-11,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55658,Marcos Angeleri,Defender,Sunderland,56,Argentina,2010-11,0.0,0.0,0.0,3.0,,,,,,,,,2.0,,,,,1.0,4.0,,2.0,,1.0,,,5.0,,1.0,,,,,4.0,,,,,,,,,2.0,1.0,,0.0,3.0,1.0,2.0,2.0,,1.0,3.0,,1.0,1.0,2.0,,4.0,,,2.0,,,,2.0,1.0,,,,,,7.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15864,Michael Turner,Defender,Sunderland,56,England,2010-11,0.0,0.0,4.0,45.0,,1.0,,,21.0,1.0,,108.0,15.0,,1.0,15.0,149.0,,444.0,1.0,,,37.0,5.0,,1305.0,,15.0,53.0,3.0,,31.0,271.0,,9.0,,2.0,3.0,21.0,117.0,25.0,30.0,64.0,10.0,0.0,98.0,245.0,56.0,15.0,6.0,,77.0,22.0,,3.0,61.0,22.0,429.0,1.0,2.0,157.0,15.0,,19.0,96.0,16.0,40.0,,1.0,24.0,39.0,678.0,1.0,1.0,41.0,218.0,1.0,41.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19053,Nedum Onuoha,Defender,Sunderland,56,England,2010-11,0.0,0.0,1.0,94.0,7.0,6.0,6.0,1.0,60.0,15.0,2.0,194.0,31.0,1.0,4.0,31.0,250.0,20.0,941.0,,,,77.0,8.0,7.0,2673.0,1.0,34.0,147.0,6.0,2.0,104.0,651.0,,33.0,90.0,3.0,9.0,16.0,143.0,44.0,60.0,96.0,23.0,2.0,241.0,523.0,137.0,31.0,16.0,13.0,369.0,38.0,20.0,26.0,164.0,43.0,925.0,9.0,4.0,410.0,44.0,21.0,18.0,229.0,21.0,57.0,,1.0,40.0,93.0,1657.0,162.0,6.0,50.0,329.0,,56.0,67.0,,3.0,,1.0,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
17997,Phil Bardsley,Defender,Sunderland,56,Scotland,2010-11,0.0,0.0,5.0,102.0,15.0,6.0,7.0,5.0,92.0,23.0,5.0,219.0,34.0,1.0,6.0,32.0,357.0,60.0,1164.0,,2.0,,55.0,11.0,15.0,2823.0,,24.0,167.0,4.0,1.0,136.0,735.0,,15.0,86.0,4.0,23.0,40.0,156.0,45.0,78.0,303.0,34.0,2.0,269.0,652.0,175.0,34.0,22.0,20.0,520.0,41.0,61.0,46.0,214.0,31.0,1125.0,16.0,9.0,586.0,70.0,10.0,15.0,82.0,21.0,60.0,,4.0,72.0,127.0,2083.0,235.0,4.0,125.0,302.0,1.0,138.0,79.0,,5.0,,3.0,1.0,2.0,3.0,,,,4.0,,,,,,,,,,,,,,,,,,,
