playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,awayGoals,throwInsToOppositionPlayer,successfulLaunches,homeGoals,headedGoals,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,foulWonPenalty,penaltiesConceded,leftFootGoals,clearancesOffTheLine,rightFootGoals,secondGoalAssists,ownGoalScored,hitWoodwork,penaltiesTaken,penaltyGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
11467,Billy Jones,Defender,Sunderland,56,England,2016-17,140.0,10.0,1.5187,0.0,3.0,4.0,1.1048,55.0,12.0,,161.0,27.0,,4.0,25.0,217.0,32.0,703.0,,2.0,2.0,,159.0,5.0,,10.0,3.0,2270.0,3.0,1.0,63.0,173.0,3.0,38.0,77.0,453.0,,41.0,3.0,46.351,29.0,94.0,49.0,1.0,77.0,28.0,13.0,1.0,313.0,24.0,339.0,83.0,27.0,,16.0,4.0,299.0,46.0,,32.0,17.0,1.0,154.0,96.0,0.0,695.0,8.0,11.0,348.0,39.0,10.0,16.0,227.0,25.0,46.0,,33.0,109.0,1336.0,176.0,3.0,2.0,35.0,197.0,16.0,,1.499,8.0,56.0,38.0,1.0,1.0,52.0,6.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77762,Bryan Oviedo,Defender,Sunderland,56,Costa Rica,2016-17,50.0,5.0,0.4069,0.0,2.0,1.0,0.0257,47.0,3.0,1.0,78.0,16.0,,1.0,16.0,127.0,27.0,502.0,1.0,1.0,,,16.0,3.0,1.0,5.0,,1326.0,,,5.0,89.0,2.0,32.0,78.0,357.0,,3.0,,18.6818,10.0,45.0,26.0,1.0,45.0,186.0,12.0,0.0,139.0,11.0,235.0,86.0,16.0,1.0,7.0,2.0,198.0,24.0,,27.0,14.0,1.0,123.0,11.0,0.0,493.0,2.0,4.0,204.0,40.0,19.0,5.0,17.0,20.0,26.0,,18.0,64.0,887.0,99.0,3.0,1.0,35.0,182.0,15.0,1.0,0.1881,4.0,49.0,54.0,,,20.0,6.0,,,0.0861,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
160816,Donald Love,Defender,Sunderland,56,Scotland,2016-17,37.0,5.0,0.3889,0.0,1.0,1.0,0.1308,20.0,1.0,1.0,28.0,12.0,1.0,,6.0,69.0,15.0,215.0,,1.0,6.0,,26.0,,1.0,5.0,,607.0,,,17.0,36.0,2.0,11.0,27.0,134.0,,1.0,1.0,10.0628,3.0,24.0,11.0,,20.0,9.0,4.0,0.0,73.0,7.0,103.0,37.0,12.0,1.0,7.0,2.0,82.0,9.0,,15.0,4.0,,47.0,9.0,0.0,209.0,,4.0,109.0,13.0,3.0,7.0,81.0,9.0,14.0,,12.0,22.0,413.0,60.0,1.0,1.0,22.0,69.0,5.0,,0.0514,1.0,41.0,11.0,,,12.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
57736,Jan Kirchhoff,Defender,Sunderland,56,Germany,2016-17,31.0,1.0,0.0888,0.0,1.0,,,14.0,2.0,1.0,35.0,7.0,,3.0,5.0,54.0,,198.0,,1.0,2.0,,25.0,,,1.0,,436.0,,,13.0,28.0,2.0,13.0,16.0,137.0,,3.0,,10.94,1.0,12.0,11.0,,18.0,40.0,1.0,0.0,59.0,9.0,79.0,29.0,7.0,,4.0,2.0,88.0,9.0,,,4.0,,34.0,12.0,0.0,194.0,2.0,,61.0,10.0,1.0,,57.0,8.0,11.0,,7.0,22.0,263.0,1.0,4.0,1.0,10.0,57.0,6.0,,0.2212,1.0,19.0,9.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160729,Jason Denayer,Defender,Sunderland,56,Belgium,2016-17,80.0,1.0,0.189,0.0,2.0,2.0,0.4,35.0,4.0,,71.0,24.0,,6.0,22.0,117.0,9.0,586.0,,2.0,2.0,,62.0,5.0,1.0,1.0,1.0,1878.0,1.0,,35.0,74.0,2.0,24.0,47.0,428.0,,6.0,2.0,34.8934,2.0,80.0,30.0,,45.0,155.0,7.0,0.0,154.0,16.0,224.0,97.0,24.0,1.0,12.0,4.0,207.0,28.0,,9.0,13.0,,92.0,27.0,0.0,578.0,2.0,2.0,158.0,23.0,5.0,19.0,129.0,17.0,34.0,,41.0,78.0,869.0,11.0,5.0,2.0,26.0,263.0,10.0,1.0,0.4131,2.0,46.0,32.0,,,3.0,7.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,
109528,Javier Manquillo,Defender,Sunderland,56,Spain,2016-17,61.0,5.0,0.8987,0.0,1.0,1.0,0.06,31.0,2.0,,72.0,20.0,,,15.0,94.0,29.0,423.0,5.0,,5.0,,31.0,2.0,,5.0,,1428.0,,,14.0,74.0,3.0,21.0,57.0,320.0,,17.0,,27.5669,4.0,50.0,28.0,1.0,47.0,87.0,13.0,0.0,135.0,12.0,179.0,58.0,20.0,,9.0,9.0,215.0,25.0,,29.0,27.0,1.0,104.0,17.0,0.0,420.0,1.0,8.0,199.0,22.0,15.0,5.0,78.0,14.0,24.0,,9.0,79.0,818.0,104.0,2.0,,15.0,119.0,9.0,,0.2441,2.0,22.0,24.0,1.0,1.0,24.0,3.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
3736,John O'Shea,Defender,Sunderland,56,Ireland,2016-17,81.0,,0.4106,0.0,,2.0,0.2255,29.0,3.0,1.0,86.0,28.0,1.0,3.0,26.0,163.0,,686.0,,,2.0,,105.0,3.0,,,2.0,2160.0,2.0,,47.0,95.0,3.0,18.0,37.0,469.0,,9.0,3.0,38.1971,,150.0,42.0,,34.0,145.0,9.0,0.0,176.0,12.0,280.0,92.0,28.0,,11.0,,125.0,39.0,,,4.0,,71.0,58.0,0.0,667.0,1.0,,175.0,18.0,,17.0,203.0,17.0,39.0,,54.0,58.0,982.0,3.0,5.0,,46.0,398.0,10.0,,0.262,5.0,77.0,37.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7551,Joleon Lescott,Defender,Sunderland,56,England,2016-17,4.0,,0.0047,0.0,,,,,,,,2.0,,,1.0,5.0,,34.0,,,1.0,,2.0,,,,,123.0,,,1.0,2.0,,1.0,1.0,26.0,,,,2.831,,13.0,5.0,,3.0,12.0,1.0,0.0,6.0,1.0,17.0,4.0,2.0,,,,8.0,5.0,,,1.0,,4.0,1.0,0.0,34.0,,,6.0,,,3.0,2.0,2.0,5.0,,3.0,3.0,60.0,,,,3.0,21.0,1.0,,,0.0,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170851,Josh Robson,Defender,Sunderland,56,England,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45076,Lamine Koné,Defender,Sunderland,56,Cote d’Ivoire,2016-17,75.0,,0.3092,0.0,5.0,4.0,1.4404,30.0,12.0,1.0,122.0,30.0,,1.0,29.0,246.0,3.0,787.0,2.0,,1.0,,121.0,5.0,,,3.0,2545.0,3.0,,43.0,128.0,5.0,22.0,50.0,489.0,,33.0,3.0,50.3829,2.0,198.0,46.0,5.0,32.0,100.0,9.0,1.0,203.0,7.0,392.0,132.0,30.0,,2.0,3.0,182.0,41.0,,3.0,11.0,5.0,82.0,78.0,0.0,769.0,8.0,2.0,277.0,28.0,14.0,22.0,223.0,14.0,44.0,,52.0,72.0,1185.0,2.0,1.0,,73.0,359.0,8.0,,1.492,4.0,124.0,74.0,1.0,1.0,,14.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
