playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,setPiecesGoals,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLaunches,leftFootGoals,blocks,clearancesOffTheLine,secondGoalAssists,penaltiesConceded,throwInsToOppositionPlayer,lastPlayerTackle,penaltiesTaken,headedGoals,penaltyGoals,ownGoalScored,foulWonPenalty,otherGoals,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
49281,Angelo Balanta,Forward,QPR,52,Colombia,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4570,Bobby Zamora,Forward,QPR,52,England,2011-12,162.0,7.0,0.0,11.0,19.0,1.0,13.0,41.0,7.0,217.0,29.0,,5.0,146.0,28.0,234.0,34.0,897.0,7.0,24.0,0.0,1.0,1.0,77.0,2.0,7.0,2377.0,28.0,47.0,87.0,10.0,57.0,650.0,,139.0,,58.0,42.0,41.0,115.0,210.0,34.0,2.0,249.0,7.0,151.0,66.0,29.0,3.0,5.0,8.0,515.0,31.0,,34.0,67.0,172.0,30.0,0.0,892.0,22.0,14.0,404.0,8.0,10.0,3.0,236.0,38.0,14.0,,13.0,300.0,1275.0,4.0,12.0,4.0,5.0,155.0,3.0,4.0,17.0,31.0,,3.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
91128,Bruno Andrade,Forward,QPR,52,Portugal,2011-12,,,0.0,,,,,,,,1.0,,,1.0,,,1.0,4.0,,,,1.0,,,,,10.0,,,,,,4.0,,1.0,,,,,,2.0,,0.0,,,,,1.0,,,,2.0,,,1.0,,,,0.0,4.0,,,1.0,,,,,,,,,2.0,5.0,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19645,DJ Campbell,Forward,QPR,52,England,2011-12,16.0,1.0,0.0,1.0,1.0,,3.0,7.0,,21.0,11.0,,,6.0,2.0,22.0,2.0,77.0,1.0,3.0,1.0,9.0,,4.0,,1.0,318.0,2.0,3.0,14.0,1.0,13.0,54.0,,17.0,,4.0,1.0,7.0,13.0,22.0,8.0,0.0,30.0,0.0,15.0,12.0,11.0,1.0,1.0,1.0,45.0,6.0,,2.0,8.0,26.0,1.0,0.0,76.0,6.0,,39.0,2.0,2.0,1.0,16.0,5.0,5.0,,1.0,24.0,125.0,,1.0,,,11.0,1.0,0.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
6286,Djibril Cissé,Forward,QPR,52,France,2011-12,18.0,2.0,2.0,7.0,12.0,4.0,4.0,19.0,4.0,36.0,8.0,,,2.0,7.0,39.0,23.0,107.0,6.0,4.0,4.0,1.0,,11.0,,2.0,536.0,1.0,8.0,15.0,1.0,12.0,66.0,,28.0,,4.0,,14.0,10.0,34.0,5.0,2.0,33.0,2.0,35.0,8.0,8.0,5.0,1.0,3.0,51.0,13.0,,23.0,4.0,22.0,3.0,2.0,107.0,7.0,5.0,79.0,3.0,3.0,1.0,12.0,5.0,,,2.0,26.0,194.0,,3.0,,3.0,19.0,,0.0,3.0,8.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
59970,Federico Macheda,Forward,QPR,52,Italy,2011-12,12.0,,0.0,,,,2.0,2.0,1.0,4.0,6.0,,,1.0,,4.0,3.0,30.0,,2.0,,6.0,,2.0,,,76.0,,2.0,5.0,,5.0,26.0,,9.0,,3.0,,1.0,10.0,13.0,2.0,0.0,17.0,,4.0,2.0,6.0,,1.0,3.0,21.0,1.0,,3.0,4.0,15.0,,0.0,30.0,2.0,2.0,15.0,1.0,1.0,,6.0,4.0,1.0,,,7.0,50.0,,,,,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3731,Heidar Helguson,Forward,QPR,52,Iceland,2011-12,97.0,3.0,0.0,9.0,15.0,,9.0,32.0,,155.0,16.0,,2.0,19.0,13.0,163.0,11.0,386.0,8.0,12.0,2.0,3.0,1.0,132.0,1.0,4.0,1155.0,6.0,65.0,106.0,4.0,39.0,216.0,1.0,73.0,,13.0,21.0,22.0,32.0,88.0,30.0,4.0,203.0,6.0,141.0,28.0,16.0,3.0,2.0,1.0,179.0,18.0,,11.0,12.0,71.0,67.0,0.0,386.0,17.0,6.0,206.0,7.0,,,77.0,19.0,5.0,,7.0,80.0,552.0,,3.0,1.0,4.0,48.0,,2.0,8.0,12.0,1.0,1.0,5.0,,,,,,3.0,3.0,2.0,,2.0,1.0,,,,,,,,,,,,,
19196,Jamie Mackie,Forward,QPR,52,Scotland,2011-12,153.0,3.0,0.0,11.0,13.0,16.0,31.0,26.0,1.0,87.0,31.0,,2.0,8.0,24.0,97.0,35.0,431.0,7.0,18.0,4.0,7.0,,23.0,2.0,3.0,2185.0,2.0,21.0,79.0,7.0,77.0,325.0,,94.0,1.0,18.0,19.0,43.0,132.0,72.0,21.0,2.0,232.0,3.0,118.0,96.0,31.0,3.0,3.0,50.0,209.0,36.0,,35.0,101.0,209.0,2.0,0.0,431.0,13.0,19.0,320.0,28.0,25.0,,119.0,24.0,21.0,,9.0,122.0,849.0,4.0,6.0,1.0,17.0,128.0,,2.0,10.0,29.0,1.0,2.0,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,
4255,Jay Bothroyd,Forward,QPR,52,England,2011-12,105.0,4.0,0.0,10.0,11.0,2.0,11.0,26.0,2.0,131.0,21.0,,1.0,22.0,12.0,139.0,12.0,435.0,2.0,8.0,1.0,9.0,,105.0,,4.0,1104.0,3.0,47.0,102.0,3.0,44.0,285.0,,53.0,3.0,12.0,16.0,24.0,58.0,87.0,26.0,0.0,207.0,1.0,115.0,29.0,21.0,,2.0,7.0,214.0,21.0,,12.0,30.0,102.0,58.0,0.0,434.0,15.0,11.0,217.0,9.0,7.0,4.0,126.0,31.0,6.0,,11.0,107.0,642.0,3.0,9.0,2.0,6.0,86.0,5.0,3.0,8.0,13.0,1.0,,6.0,,,,,,,2.0,,,,,,,,,,,,,,,,,
5730,Patrick Agyemang,Forward,QPR,52,Ghana,2011-12,15.0,,0.0,1.0,,,1.0,1.0,,15.0,2.0,,,2.0,2.0,15.0,,34.0,,,,,,15.0,,,148.0,,10.0,10.0,2.0,5.0,19.0,,3.0,,,,2.0,5.0,5.0,4.0,0.0,25.0,,13.0,6.0,2.0,,,2.0,16.0,,,,5.0,10.0,5.0,0.0,34.0,1.0,,23.0,1.0,,,7.0,,1.0,,,9.0,51.0,,1.0,,,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
