season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025169,5,8,Chelsea,Away,1403061,550615,Tyrique George,tyrique-george,F,True,,,,4.0,1.0,5.0,,,,,,,,,,2.0,6.0,,,,0.0122242,,,3.0,0.0,,,,,,,,,,,,,26.0,,,,,,,,5.0,,,6.1,,,,,,,1.0,,,,1.0,5.0,2.0,7.0,,,0,,10.0,,,,
2025-26,14025169,5,8,Chelsea,Away,1414933,499309,Marc Guiu,guiu-marc,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025187,6,8,Chelsea,Home,975079,475168,João Pedro,joao-pedro,F,False,,,1.0,15.0,9.0,24.0,3.0,2.0,,3.0,,,,,,3.0,11.0,7.0,,,0.028669,,,2.0,0.0,,,,,1.0,2.0,,,,,,,90.0,,,,,,,,13.0,,,6.7,,,,,,,3.0,1.0,,2.0,,18.0,10.0,28.0,,,0,2.0,46.0,2.0,3.0,,1.0
2025-26,14025187,6,8,Chelsea,Home,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025187,6,8,Chelsea,Home,1403061,550615,Tyrique George,tyrique-george,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025187,6,8,Chelsea,Home,1414933,499309,Marc Guiu,guiu-marc,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025221,7,8,Chelsea,Home,975079,475168,João Pedro,joao-pedro,F,False,,,,4.0,4.0,8.0,2.0,1.0,,1.0,,,1.0,,,1.0,4.0,2.0,,,0.00368151,0.0346,,1.0,0.0,,,,,,,,,,,,,74.0,,,,,,,,6.0,,,6.3,,,,,,,,1.0,,1.0,1.0,7.0,5.0,12.0,,,1,,17.0,,1.0,,
2025-26,14025221,7,8,Chelsea,Home,1135873,493105,Alejandro Garnacho,alejandro-garnacho,F,False,,,1.0,17.0,3.0,20.0,,,,1.0,,,,,,1.0,3.0,5.0,,,0.0391985,0.0513,,,0.0,,,,1.0,,,,,,,,,75.0,,,,,,,,8.0,,,6.9,,,1.0,,,,4.0,2.0,,1.0,,18.0,3.0,21.0,,,1,1.0,34.0,2.0,2.0,2.0,1.0
2025-26,14025221,7,8,Chelsea,Home,1414933,499309,Marc Guiu,guiu-marc,F,True,,,,,,,1.0,,,,,,,,,,2.0,,,,,0.0306,,1.0,0.0,,,,,,,,,,,,,16.0,,,,,,,,1.0,,,6.3,,,1.0,,,,,,,,,1.0,,1.0,,,1,,2.0,,,,
2025-26,14025245,8,8,Chelsea,Away,975079,475168,João Pedro,joao-pedro,F,False,,,1.0,18.0,8.0,26.0,,3.0,,3.0,1.0,,,,,4.0,7.0,8.0,,,0.20702,0.0377,,,0.0,,,,,,2.0,,,,,,,90.0,,,,,,,,19.0,,,6.7,,,1.0,,,,5.0,,,3.0,,23.0,11.0,34.0,,,1,,56.0,4.0,3.0,2.0,
