season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576259,1,8,Chelsea,Home,232306,165153,Timo Werner,timo-werner,F,False,,,,10.0,3.0,13.0,2.0,,2.0,,,,2.0,,,,5.0,1.0,,,,,,,,,,1.0,,90.0,,,,,,,,13.0,,6.6,,,1.0,,,2.0,,,1.0,,18.0,3.0,21.0,1,,28.0,4.0,,1.0,
2021-22,9576259,1,8,Chelsea,Home,610766,173879,Tammy Abraham,tammy-abraham,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576259,1,8,Chelsea,Home,817957,176413,Christian Pulišić,christian-pulisic,F,False,,,2.0,16.0,6.0,22.0,2.0,,3.0,,,,2.0,,,2.0,10.0,4.0,,,2.0,,1.0,,,,1.0,,,82.0,2.0,,,,,,,11.0,,7.4,,,,,,4.0,2.0,,2.0,,20.0,6.0,24.0,2,,43.0,2.0,2.0,2.0,
2021-22,9576259,1,8,Chelsea,Home,836694,184341,Mason Mount,mason-mount,F,False,2.0,,2.0,40.0,6.0,44.0,1.0,,3.0,,,2.0,2.0,,,1.0,8.0,7.0,,,2.0,,,,,,,,,90.0,1.0,,,,,,,18.0,,7.3,,,,,,2.0,12.0,,2.0,,52.0,6.0,46.0,3,3.0,74.0,3.0,4.0,,1.0
2021-22,9576259,1,8,Chelsea,Home,836705,219847,Kai Havertz,kai-havertz,F,True,,,1.0,4.0,2.0,6.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,8.0,,,,,,,,4.0,,6.5,,,,,,1.0,,,1.0,,6.0,2.0,8.0,0,,10.0,,,,
2021-22,9576412,2,8,Chelsea,Away,78893,66749,Romelu Lukaku,romelu-lukaku,F,False,,,,17.0,2.0,19.0,3.0,4.0,,1.0,1.0,4.0,,,,3.0,7.0,8.0,,,,,1.0,,,1.0,,3.0,,90.0,2.0,,,,,,,9.0,,7.8,,,2.0,,2.0,3.0,,,,,17.0,3.0,20.0,8,,43.0,4.0,2.0,2.0,
2021-22,9576412,2,8,Chelsea,Away,232306,165153,Timo Werner,timo-werner,F,True,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,0,,1.0,,,,
2021-22,9576412,2,8,Chelsea,Away,836694,184341,Mason Mount,mason-mount,F,False,1.0,,1.0,31.0,5.0,35.0,1.0,,2.0,3.0,,1.0,1.0,,,1.0,5.0,3.0,,,,1.0,,,,,,4.0,,82.0,1.0,,,,,,,12.0,,8.1,,,1.0,,2.0,3.0,2.0,,1.0,,37.0,6.0,41.0,3,1.0,56.0,2.0,1.0,1.0,
2021-22,9576412,2,8,Chelsea,Away,836705,219847,Kai Havertz,kai-havertz,F,False,,,1.0,26.0,13.0,39.0,1.0,1.0,1.0,,2.0,2.0,,,,1.0,6.0,2.0,,,1.0,,,,,,,,,89.0,1.0,,,,,,,9.0,,5.9,,,1.0,,2.0,4.0,,,2.0,,29.0,15.0,44.0,4,,57.0,,,1.0,
2021-22,9576148,3,8,Chelsea,Away,78893,66749,Romelu Lukaku,romelu-lukaku,F,False,,,,9.0,5.0,14.0,7.0,4.0,2.0,,,1.0,,,,2.0,9.0,4.0,,,1.0,,,,,,,2.0,,90.0,1.0,,,,,,,17.0,,6.8,,,,,,,1.0,,,,17.0,7.0,23.0,2,,34.0,5.0,,,
