playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,overruns,throughBalls,goalAssists,goals,offsides,awayGoals,substituteOn,shotsBlockedInBox,homeGoals,rightFootGoals,iboxBlocked,foulAttemptedTackle,lastPlayerTackle,clearancesOffTheLine,hitWoodwork,expectedGoalsFreekick,shotsOnTargetOutsideBox,oboxTarget,leftFootGoals,freekickTotal,attemptsFromSetPieces,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,penaltyGoalsConceded,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,otherGoals,foulWonPenalty,headedGoals,penaltiesConceded,secondGoalAssists,penaltiesTaken,penaltyGoals
18145,Andrew Taylor,Defender,Cardiff,97,England,2013-14,39.0,11.0,0.6447,0.0,2.0,2.0,0.0147,12.0,3.0,90.0,18.0,2.0,18.0,131.0,14.0,629.0,2.0,3.0,38.0,4.0,12.0,2.0,1573.0,2.0,1.0,15.0,43.0,11.0,16.0,20.0,456.0,1.0,8.0,35.0,29.1443,10.0,6.0,58.0,33.0,24.0,248.0,10.0,0.0,82.0,5.0,248.0,69.0,18.0,1.0,5.0,231.0,22.0,16.0,16.0,44.0,23.0,0.0,605.0,1.0,6.0,207.0,11.0,2.0,9.0,37.0,3.0,22.0,2.0,42.0,96.0,986.0,123.0,3.0,2.0,25.0,279.0,1.0,0.1494,0.0,41.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36956,Ben Turner,Defender,Cardiff,97,England,2013-14,106.0,2.0,0.8232,0.0,1.0,2.0,0.4212,37.0,7.0,190.0,31.0,,30.0,299.0,2.0,1044.0,,,190.0,6.0,2.0,2.0,2720.0,2.0,2.0,71.0,162.0,9.0,18.0,43.0,664.0,,37.0,,55.3689,6.0,14.0,290.0,53.0,35.0,279.0,7.0,0.0,268.0,4.0,542.0,50.0,31.0,9.0,1.0,164.0,44.0,2.0,2.0,78.0,119.0,0.0,1034.0,5.0,1.0,313.0,28.0,2.0,33.0,126.0,26.0,38.0,,81.0,97.0,1507.0,8.0,1.0,,65.0,583.0,,0.5315,5.0,109.0,79.0,,,1.0,,5.0,,1.0,1.0,,,1.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65972,Declan John,Defender,Cardiff,97,Wales,2013-14,55.0,4.0,0.2922,0.0,1.0,3.0,0.3765,26.0,4.0,72.0,20.0,,16.0,97.0,20.0,465.0,1.0,,36.0,2.0,4.0,2.0,1487.0,2.0,,24.0,56.0,1.0,14.0,44.0,348.0,,6.0,30.0,33.4969,5.0,2.0,30.0,31.0,31.0,171.0,4.0,0.0,111.0,5.0,179.0,55.0,20.0,6.0,8.0,201.0,30.0,20.0,17.0,75.0,12.0,0.0,459.0,1.0,7.0,177.0,20.0,15.0,1.0,26.0,3.0,10.0,,20.0,89.0,781.0,116.0,1.0,1.0,18.0,171.0,,0.1777,0.0,25.0,43.0,7.0,,,,,,4.0,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
54771,Fábio,Defender,Cardiff,97,Brazil,2013-14,81.0,2.0,0.2405,0.0,4.0,3.0,0.2434,46.0,6.0,80.0,14.0,4.0,14.0,93.0,31.0,402.0,2.0,,24.0,1.0,2.0,2.0,1092.0,2.0,,12.0,85.0,3.0,32.0,73.0,299.0,,11.0,22.0,20.7351,7.0,4.0,31.0,23.0,69.0,42.0,16.0,0.0,166.0,15.0,193.0,65.0,14.0,13.0,12.0,173.0,20.0,32.0,32.0,142.0,12.0,0.0,397.0,3.0,5.0,195.0,33.0,12.0,3.0,114.0,18.0,18.0,,10.0,53.0,779.0,111.0,9.0,2.0,8.0,138.0,2.0,0.4239,2.0,13.0,31.0,4.0,1.0,,,3.0,,,2.0,,,2.0,6.0,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,
55412,Juan Cala,Defender,Cardiff,97,Spain,2013-14,26.0,1.0,0.0644,1.0,3.0,2.0,1.1113,19.0,4.0,33.0,7.0,,7.0,52.0,2.0,176.0,1.0,,30.0,1.0,1.0,,585.0,,,12.0,42.0,2.0,2.0,24.0,99.0,,6.0,1.0,14.4954,1.0,5.0,38.0,15.0,14.0,48.0,4.0,1.0,68.0,1.0,88.0,27.0,7.0,6.0,,34.0,13.0,2.0,1.0,38.0,18.0,1.0,171.0,2.0,1.0,63.0,13.0,1.0,4.0,24.0,8.0,19.0,,25.0,16.0,288.0,3.0,,1.0,4.0,91.0,,0.6511,3.0,19.0,19.0,1.0,,,2.0,3.0,2.0,,2.0,0.0,,2.0,2.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,
2368,Kevin McNaughton,Defender,Cardiff,97,Scotland,2013-14,7.0,2.0,0.2681,0.0,,,,6.0,,15.0,5.0,1.0,3.0,22.0,3.0,112.0,,,1.0,,2.0,,281.0,,,,8.0,1.0,6.0,7.0,87.0,,,4.0,8.9876,3.0,,10.0,8.0,7.0,4.0,,0.0,15.0,2.0,52.0,13.0,5.0,2.0,1.0,37.0,7.0,3.0,2.0,14.0,1.0,0.0,111.0,,,32.0,4.0,1.0,,38.0,,7.0,,3.0,18.0,176.0,19.0,1.0,,5.0,55.0,,,0.0,7.0,10.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58636,Kévin Théophile-Catherine,Defender,Cardiff,97,France,2013-14,150.0,21.0,1.1875,0.0,4.0,2.0,0.2385,62.0,6.0,223.0,28.0,2.0,26.0,296.0,66.0,870.0,4.0,,111.0,6.0,21.0,1.0,2356.0,1.0,,52.0,166.0,8.0,51.0,107.0,548.0,,8.0,75.0,51.5074,11.0,11.0,119.0,51.0,98.0,37.0,25.0,0.0,316.0,16.0,479.0,121.0,28.0,15.0,6.0,346.0,43.0,66.0,50.0,205.0,59.0,0.0,863.0,4.0,14.0,523.0,47.0,21.0,13.0,227.0,30.0,51.0,,26.0,127.0,1706.0,245.0,,4.0,55.0,249.0,2.0,0.3443,3.0,73.0,78.0,5.0,1.0,,,,,2.0,,,,,3.0,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,
7638,Mark Hudson,Defender,Cardiff,97,England,2013-14,6.0,,0.004,0.0,1.0,,,,2.0,13.0,2.0,,2.0,17.0,,93.0,,,17.0,,,,147.0,,,4.0,15.0,1.0,,2.0,66.0,,3.0,,2.7463,,,21.0,3.0,2.0,31.0,2.0,0.0,21.0,,46.0,4.0,2.0,,,11.0,2.0,,,4.0,13.0,0.0,90.0,2.0,,17.0,,,2.0,13.0,1.0,5.0,,10.0,3.0,128.0,,2.0,,1.0,65.0,,0.1812,0.0,4.0,6.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27698,Matthew Connolly,Defender,Cardiff,97,England,2013-14,15.0,2.0,0.0586,0.0,,1.0,0.109,6.0,2.0,25.0,3.0,,3.0,32.0,3.0,97.0,,,10.0,1.0,2.0,1.0,270.0,1.0,,5.0,14.0,1.0,8.0,9.0,61.0,,4.0,12.0,3.3123,1.0,3.0,17.0,4.0,10.0,2.0,1.0,0.0,29.0,3.0,47.0,7.0,3.0,1.0,1.0,39.0,3.0,3.0,1.0,19.0,5.0,0.0,97.0,1.0,2.0,51.0,5.0,2.0,3.0,37.0,5.0,5.0,,4.0,11.0,180.0,21.0,,,4.0,28.0,,0.1061,2.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68815,Steven Caulker,Defender,Cardiff,97,Sierra Leone,2013-14,120.0,,0.8489,0.0,6.0,9.0,2.228,44.0,28.0,231.0,38.0,1.0,38.0,339.0,5.0,1326.0,1.0,,244.0,7.0,,4.0,3420.0,4.0,2.0,100.0,196.0,12.0,31.0,52.0,917.0,,66.0,,73.8044,9.0,8.0,327.0,74.0,20.0,215.0,8.0,2.0,316.0,13.0,665.0,116.0,38.0,13.0,2.0,307.0,62.0,5.0,6.0,72.0,144.0,0.0,1312.0,19.0,6.0,365.0,31.0,2.0,59.0,336.0,7.0,47.0,,70.0,110.0,1921.0,2.0,,1.0,45.0,680.0,,4.4254,1.0,108.0,83.0,,,,5.0,3.0,2.0,,5.0,3.0,1.0,5.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,
182908,Tom James,Defender,Cardiff,97,Wales,2013-14,,,,0.0,,,,,,1.0,1.0,,,1.0,,4.0,,,,,,,1.0,,,,,,,,3.0,,,,0.1312,,,,,,,,0.0,,,1.0,1.0,1.0,,,,,,,,,0.0,4.0,,,1.0,,,,2.0,,,,,1.0,4.0,,,,1.0,3.0,,,0.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
