season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243395,1,90,Burnley,Home,768,17997,Phil Bardsley,phil-bardsley,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243395,1,90,Burnley,Home,9692,17349,Aaron Lennon,aaron-lennon,M,True,,,,,,,1.0,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,10.0,,,,,,,,2.0,,6.6,,,,,,,,1.0,,,2.0,2.0,0,1.0,4.0,,1.0,,
2019-20,8243395,1,90,Burnley,Home,16817,15749,Joe Hart,joe-hart,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243395,1,90,Burnley,Home,17063,39487,Erik Pieters,erik-pieters,D,False,1.0,,5.0,12.0,19.0,30.0,,1.0,5.0,1.0,,,1.0,,,,1.0,9.0,,,,2.0,,,,2.0,2.0,,90.0,,,,,,,,35.0,,8.3,,,1.0,2.0,,2.0,,15.0,,33.0,25.0,56.0,1,7.0,97.0,1.0,1.0,,4.0
2019-20,8243395,1,90,Burnley,Home,20993,40145,Jack Cork,jack-cork,M,False,,,1.0,13.0,10.0,23.0,2.0,3.0,8.0,,,,2.0,,,,5.0,4.0,,,1.0,,,,,1.0,,,90.0,,1.0,,,,,,14.0,,6.7,,,,,,,,3.0,,21.0,15.0,36.0,0,1.0,43.0,1.0,,,1.0
2019-20,8243395,1,90,Burnley,Home,26989,44683,Jay Rodriguez,jay-rodriguez,F,True,,,,,,,3.0,,,,,,,,,1.0,4.0,,,,,,,,,,,,10.0,,,,,,,,2.0,,6.3,,,,,,,,,,,,,0,,2.0,1.0,,,
2019-20,8243395,1,90,Burnley,Home,27028,44699,Ashley Barnes,ashley-barnes,M,False,,,,8.0,3.0,11.0,7.0,5.0,3.0,,,,,,,1.0,9.0,11.0,,,1.0,,2.0,,,,,,84.0,3.0,,,,,,,11.0,,9.1,,,1.0,,4.0,,,,2.0,16.0,3.0,19.0,4,1.0,38.0,2.0,1.0,4.0,
2019-20,8243395,1,90,Burnley,Home,49647,60551,Ashley Westwood,ashley-westwood,M,False,,,2.0,11.0,8.0,19.0,,,5.0,,,,1.0,,,1.0,2.0,,,,,,,,,,1.0,,90.0,,,,,,,,17.0,,6.4,,,,1.0,,1.0,,9.0,,22.0,11.0,32.0,0,,42.0,2.0,,,
2019-20,8243395,1,90,Burnley,Home,49805,60586,Jóhann Guðmundsson,johann-gumundsson,M,False,3.0,,,7.0,1.0,5.0,1.0,,5.0,,,,1.0,,,,4.0,5.0,,,1.0,,1.0,,,2.0,2.0,,90.0,1.0,,,,,,,12.0,,7.8,,,1.0,1.0,4.0,3.0,,4.0,,16.0,1.0,14.0,2,1.0,33.0,2.0,1.0,3.0,
2019-20,8243395,1,90,Burnley,Home,50480,60689,Chris Wood,chris-wood,F,False,,,,5.0,,5.0,5.0,2.0,2.0,,,,,,,1.0,7.0,3.0,,,1.0,,,,,,,,90.0,,,,,,,,17.0,,6.4,,,1.0,1.0,,2.0,,,3.0,14.0,1.0,13.0,1,,29.0,6.0,1.0,,
2019-20,8243395,1,90,Burnley,Home,67507,68983,Matthew Lowton,matthew-lowton,D,False,1.0,,,9.0,7.0,15.0,,1.0,5.0,,,,,,,,1.0,6.0,,,1.0,,,,,2.0,1.0,,90.0,,,,,,,,19.0,,7.3,,,,1.0,2.0,3.0,,4.0,,18.0,9.0,24.0,0,2.0,55.0,1.0,1.0,2.0,
2019-20,8243395,1,90,Burnley,Home,96116,41674,Kevin Long,kevin-long,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243395,1,90,Burnley,Home,115432,83312,Ben Gibson,ben-gibson,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243395,1,90,Burnley,Home,115441,83314,Jeff Hendrick,jeff-hendrick,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243395,1,90,Burnley,Home,137774,51927,Ben Mee,ben-mee,D,False,,,2.0,7.0,20.0,27.0,3.0,8.0,4.0,,,,1.0,,,,4.0,11.0,,,,,,,,3.0,,,90.0,,1.0,,,,,,21.0,,7.2,,,,4.0,,,,10.0,,20.0,28.0,48.0,0,2.0,64.0,,1.0,,2.0
2019-20,8243395,1,90,Burnley,Home,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,3.0,7.0,16.0,23.0,,2.0,7.0,,,2.0,,,,,1.0,7.0,,,1.0,,,,,3.0,,,90.0,,1.0,,,,,,18.0,,7.1,,,,2.0,1.0,,,10.0,,17.0,22.0,39.0,2,2.0,61.0,2.0,3.0,1.0,2.0
2019-20,8243395,1,90,Burnley,Home,162653,98747,Nick Pope,nick-pope,G,False,,1.0,8.0,8.0,5.0,13.0,,,11.0,,,,,,,,,,,,,,,,,,1.0,,90.0,,,,,,,,20.0,,7.6,2.0,3.0,,1.0,,,1.0,26.0,,26.0,5.0,31.0,0,,42.0,,,,
