season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896919,2,90,Burnley,Away,768,17997,Phil Bardsley,phil-bardsley,D,False,,,,7.0,6.0,13.0,,3.0,2.0,,,,,,,,2.0,8.0,,,2.0,,,,,1.0,,,90.0,,,,,,,11.0,,6.6,,,3.0,6.0,1.0,1.0,,3.0,,14.0,7.0,20.0,3,3.0,47.0,,2.0,1.0,2.0
2020-21,8896919,2,90,Burnley,Away,17063,39487,Erik Pieters,erik-pieters,D,True,,,,4.0,1.0,5.0,,3.0,2.0,,,,1.0,,,1.0,3.0,4.0,,,1.0,,,,,,,,50.0,1.0,,1.0,,,,6.0,,5.8,,,,2.0,,,,1.0,,8.0,1.0,9.0,1,,21.0,1.0,1.0,,
2020-21,8896919,2,90,Burnley,Away,26989,44683,Jay Rodriguez,jay-rodriguez,F,False,,,,6.0,3.0,9.0,5.0,4.0,1.0,1.0,,,,,,1.0,9.0,6.0,,,2.0,,,,,,1.0,,70.0,,,,,,,9.0,,6.8,,,2.0,3.0,2.0,,,,1.0,10.0,3.0,13.0,2,1.0,28.0,3.0,,1.0,
2020-21,8896919,2,90,Burnley,Away,49647,60551,Ashley Westwood,ashley-westwood,M,False,3.0,,6.0,34.0,18.0,49.0,,,5.0,,,,1.0,,,,2.0,1.0,,,1.0,,,,,1.0,1.0,,90.0,,,,,,,13.0,,6.9,,,,,,5.0,,8.0,,44.0,21.0,60.0,0,,73.0,,1.0,,
2020-21,8896919,2,90,Burnley,Away,50480,60689,Chris Wood,chris-wood,F,False,,,,5.0,3.0,8.0,5.0,4.0,2.0,,2.0,,1.0,,,1.0,8.0,5.0,,,1.0,,1.0,,1.0,,,,90.0,2.0,,,,,,9.0,,6.6,,,1.0,1.0,,,,,,10.0,5.0,15.0,3,1.0,22.0,1.0,,,1.0
2020-21,8896919,2,90,Burnley,Away,58488,81183,Matěj Vydra,matej-vydra,F,True,,,,3.0,1.0,4.0,,,2.0,1.0,,2.0,,,,2.0,4.0,2.0,,,,,,,,,1.0,,20.0,,,,,,,4.0,,6.7,,,,,4.0,,,,,3.0,1.0,4.0,2,,13.0,,,2.0,
2020-21,8896919,2,90,Burnley,Away,67507,68983,Matthew Lowton,matthew-lowton,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896919,2,90,Burnley,Away,96116,41674,Kevin Long,kevin-long,D,False,,,,3.0,6.0,9.0,3.0,2.0,3.0,,,,,,,,3.0,4.0,,,,,,,,,1.0,,90.0,,2.0,,,,,9.0,,6.4,,,,4.0,,,,6.0,,10.0,8.0,18.0,0,2.0,29.0,,,,1.0
2020-21,8896919,2,90,Burnley,Away,162653,98747,Nick Pope,nick-pope,G,False,,1.0,8.0,8.0,,8.0,,,5.0,,,,,,1.0,,,,,,,,,2.0,,,,,90.0,,,,,,,10.0,,5.6,2.0,3.0,,1.0,,,1.0,18.0,,18.0,,18.0,0,,26.0,,,,
2020-21,8896919,2,90,Burnley,Away,166381,103914,Charlie Taylor,charlie-taylor,D,False,2.0,,3.0,14.0,6.0,18.0,1.0,4.0,4.0,,,,,,,,1.0,8.0,,,,,,,,2.0,2.0,,90.0,,2.0,,,,,25.0,,7.2,,,,2.0,,5.0,,12.0,,31.0,9.0,35.0,0,2.0,70.0,1.0,2.0,,1.0
