season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7089878,1,90,Burnley,Home,773,19556,David Jones,david-jones,M,False,1.0,,,17.0,12.0,28.0,1.0,2.0,5.0,,,,,,,,2.0,2.0,,,1.0,,,,,1.0,,,87.0,,,,,,,,19.0,,6.6,,,,,,11.0,,3.0,,35.0,13.0,37.0,0,,50.0,,,,
2016-17,7089878,1,90,Burnley,Home,921,1801,Paul Robinson,paul-robinson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089878,1,90,Burnley,Home,940,15982,Dean Marney,dean-marney,M,False,,,4.0,12.0,11.0,23.0,1.0,,7.0,,,,,,,3.0,8.0,6.0,,,3.0,,,,,5.0,,,90.0,1.0,,,,,,,16.0,,6.8,,,1.0,1.0,1.0,,,6.0,,21.0,12.0,33.0,2,1.0,55.0,1.0,5.0,,1.0
2016-17,7089878,1,90,Burnley,Home,17056,39158,Scott Arfield,scott-arfield,M,False,,,,10.0,4.0,14.0,3.0,,6.0,,,,4.0,1.0,,2.0,11.0,3.0,,,1.0,,,,,,1.0,,75.0,,1.0,,,,,,12.0,,6.7,,,,,2.0,,,1.0,,15.0,6.0,21.0,0,2.0,34.0,2.0,,1.0,1.0
2016-17,7089878,1,90,Burnley,Home,18122,21205,Tom Heaton,tom-heaton,G,False,,,16.0,16.0,8.0,24.0,,,14.0,,,,,,1.0,,,,,,,,,1.0,,,,,90.0,,,,,,,,19.0,,7.7,4.0,7.0,,,,,,35.0,,35.0,8.0,43.0,0,,51.0,,,,
2016-17,7089878,1,90,Burnley,Home,19346,15944,Michael Kightly,michael-kightly,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7089878,1,90,Burnley,Home,19633,40399,Sam Vokes,sam-vokes,F,False,,,,15.0,1.0,16.0,13.0,7.0,1.0,,,,,,,,13.0,10.0,,,,,,,,,,,90.0,1.0,,,,,,,24.0,,6.8,,,,1.0,,,,1.0,2.0,33.0,2.0,35.0,1,,47.0,3.0,3.0,,
2016-17,7089878,1,90,Burnley,Home,20220,34654,Lukas Jutkiewicz,lukas-jutkiewicz,F,True,,,1.0,5.0,,5.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,1.0,,5.0,1.0,6.0,0,,6.0,,,,
2016-17,7089878,1,90,Burnley,Home,20653,28244,George Boyd,george-boyd,M,False,,,,8.0,5.0,13.0,3.0,1.0,2.0,1.0,,1.0,,,,2.0,6.0,4.0,,,1.0,,,,,1.0,2.0,,90.0,,1.0,,,,,,6.0,,7.0,,,,,1.0,,,1.0,,9.0,7.0,16.0,1,2.0,28.0,1.0,,1.0,1.0
2016-17,7089878,1,90,Burnley,Home,20752,40616,Stephen Ward,stephen-ward,D,False,2.0,,3.0,16.0,10.0,24.0,,4.0,5.0,,,,,,,,4.0,11.0,,,3.0,,,,,1.0,,,90.0,,,,,,,,16.0,,7.4,,,,5.0,2.0,4.0,,5.0,,25.0,11.0,32.0,0,5.0,72.0,,1.0,1.0,3.0
