matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2128288,1,2020-09-12 12:30:00,3,Arsenal,Away,367.0,16.0,2.0,4.0,2.0,,,199.0,4.0,,3.0,,5.0,31.0,562.0,,2.0,20.0,8.0,7.0,4.0,2.0,2.0,,,,1.0,,2.0,,,,,8.0,,,1.0,,1.0,6.0,1.0,4.0,9.0,4.0,84.0,45.0,1.0,1.0,2.0,,4.0,3.0,6.0,,,3.0,11.0,3.0,1.0,8.0,1.0,36.0,35.0,,11.0,10.0,,,31.0,55.0,12.0,12.0,2.0,,4.0,,2.0,127.0,2.0,1.0,2.0,1.0,1.0,,4.0,2.0,,1.0,10.0,1.0,18.0,18.0,,,3.0,218.0,57.0,39.0,2.0,,2.0,6.0,6.0,608.0,1.0,1.0,,65.0,64.0,26.0,,,,,,99.0,99.0,10.0,15.0,17.0,54.4,1.0,,,,13.0,0.0,197.0,,2.0,2.0,,,,4.0,,,3.0,17.0,91.0,545.0,4.0,8.0,384.0,38.0,11.0,9.0,2.0,16.0,14.0,,123.0,,258.0,,,2.0,5.0,52.0,2.0,626.0,,0.0,13.0,12.0,2.0,21.0,2.0,775.0,26.0,8.0,,6.0,3.0,5.0,0.0
2128296,2,2020-09-19 20:00:00,3,Arsenal,Home,316.0,25.0,,3.0,3.0,,,264.0,4.0,1.0,6.0,1.0,13.0,30.0,577.0,,1.0,13.0,16.0,17.0,4.0,,,,,,,,,,,,,7.0,,,,,,5.0,7.0,7.0,5.0,2.0,102.0,47.0,2.0,,2.0,1.0,21.0,3.0,5.0,1.0,1.0,7.0,7.0,5.0,,6.0,1.0,40.0,44.0,1.0,17.0,12.0,,1.0,17.0,53.0,11.0,12.0,1.0,,,,,156.0,2.0,,2.0,2.0,,,5.0,2.0,,,12.0,,11.0,11.0,1.0,,6.0,213.0,82.0,56.0,5.0,,1.0,5.0,3.0,645.0,6.0,1.0,,97.0,48.0,33.0,,,,,,138.0,138.0,4.0,18.0,19.0,62.6,,,,1.0,21.0,0.0,198.0,2.0,,2.0,,,,1.0,1.0,,3.0,13.0,108.0,556.0,7.0,6.0,340.0,40.0,17.0,12.0,5.0,17.0,12.0,,148.0,,346.0,1.0,1.0,10.0,13.0,51.0,5.0,669.0,1.0,0.0,7.0,8.0,3.0,13.0,0.0,844.0,29.0,16.0,,8.0,7.0,5.0,0.0
2128310,3,2020-09-28 20:00:00,3,Arsenal,Away,240.0,15.0,,,,,,59.0,9.0,,6.0,1.0,5.0,23.0,299.0,,3.0,7.0,6.0,12.0,3.0,,,,,,,,,,,,2.0,4.0,,,,,,4.0,12.0,9.0,3.0,1.0,57.0,55.0,2.0,2.0,1.0,1.0,18.0,,8.0,,,3.0,2.0,3.0,,7.0,1.0,31.0,38.0,1.0,37.0,19.0,,1.0,33.0,29.0,7.0,11.0,1.0,2.0,,,,126.0,,,,,,,9.0,1.0,1.0,,19.0,,7.0,7.0,,,6.0,118.0,51.0,21.0,7.0,,1.0,2.0,3.0,371.0,6.0,1.0,,39.0,18.0,9.0,,,,,,138.0,138.0,,32.0,17.0,34.0,,3.0,,1.0,18.0,0.0,94.0,3.0,2.0,5.0,,,,1.0,,,3.0,18.0,23.0,276.0,7.0,3.0,283.0,39.0,37.0,8.0,3.0,8.0,5.0,,51.0,8.0,120.0,1.0,,23.0,6.0,58.0,5.0,395.0,,0.0,4.0,11.0,4.0,11.0,2.0,561.0,11.0,12.0,,5.0,3.0,6.0,0.0
2128316,4,2020-10-04 14:00:00,3,Arsenal,Home,335.0,19.0,,1.0,1.0,2.0,,289.0,6.0,1.0,2.0,2.0,7.0,26.0,623.0,,,20.0,14.0,17.0,4.0,,,,,,,,,,,,,6.0,,,,,,2.0,1.0,5.0,5.0,1.0,122.0,41.0,1.0,,1.0,2.0,22.0,1.0,7.0,,,2.0,10.0,6.0,,5.0,,35.0,45.0,2.0,18.0,12.0,,1.0,31.0,55.0,3.0,8.0,,,2.0,,,180.0,2.0,,1.0,2.0,,,9.0,2.0,,,12.0,,10.0,10.0,,,2.0,209.0,71.0,53.0,4.0,1.0,,6.0,5.0,676.0,2.0,1.0,,126.0,69.0,28.0,,,,,,122.0,122.0,1.0,19.0,19.0,64.5,,,,,22.0,0.0,188.0,,1.0,1.0,,2.0,,,,,3.0,20.0,121.0,606.0,10.0,6.0,357.0,31.0,18.0,18.0,2.0,18.0,16.0,,148.0,4.0,360.0,,1.0,16.0,9.0,56.0,,699.0,,0.0,6.0,8.0,1.0,22.0,0.0,860.0,14.0,15.0,,12.0,2.0,4.0,0.0
2128331,5,2020-10-17 17:30:00,3,Arsenal,Away,277.0,20.0,1.0,4.0,3.0,,,118.0,3.0,,4.0,2.0,2.0,21.0,391.0,,1.0,12.0,15.0,12.0,6.0,1.0,5.0,,,2.0,,,2.0,,,,1.0,3.0,,,,,1.0,3.0,8.0,5.0,7.0,4.0,67.0,57.0,1.0,1.0,,1.0,13.0,3.0,10.0,,,6.0,1.0,6.0,,6.0,3.0,46.0,49.0,1.0,12.0,5.0,,,26.0,35.0,10.0,15.0,,,2.0,,2.0,130.0,,,,,,,4.0,,1.0,,5.0,,6.0,6.0,2.0,,4.0,144.0,42.0,21.0,6.0,,2.0,5.0,3.0,442.0,4.0,1.0,,52.0,35.0,19.0,,,,,,111.0,111.0,1.0,26.0,25.0,41.5,,,,,13.0,0.0,121.0,3.0,1.0,4.0,,,,5.0,,,3.0,12.0,51.0,377.0,9.0,7.0,308.0,32.0,12.0,14.0,6.0,13.0,7.0,,76.0,3.0,167.0,1.0,,15.0,4.0,50.0,2.0,462.0,,0.0,11.0,13.0,2.0,15.0,1.0,618.0,14.0,14.0,,9.0,6.0,10.0,0.0
2128336,6,2020-10-25 19:15:00,3,Arsenal,Home,233.0,22.0,1.0,6.0,5.0,2.0,,268.0,1.0,1.0,6.0,1.0,2.0,26.0,495.0,,,18.0,15.0,11.0,9.0,1.0,4.0,,,,,,1.0,,,,,7.0,,,,,,5.0,2.0,4.0,9.0,3.0,100.0,56.0,,,,,21.0,4.0,7.0,,,9.0,9.0,4.0,,5.0,,46.0,36.0,,5.0,3.0,,,35.0,70.0,13.0,9.0,,,2.0,,1.0,121.0,,,,,,,2.0,,,,3.0,,12.0,12.0,,,6.0,200.0,66.0,48.0,3.0,,4.0,6.0,4.0,561.0,1.0,2.0,,114.0,63.0,31.0,,,,,,126.0,126.0,3.0,19.0,27.0,56.3,,,,,21.0,0.0,154.0,1.0,,1.0,,,,4.0,,,3.0,18.0,91.0,483.0,8.0,10.0,245.0,43.0,5.0,8.0,7.0,20.0,13.0,,141.0,4.0,350.0,,1.0,7.0,2.0,44.0,1.0,575.0,1.0,0.0,12.0,15.0,,19.0,3.0,745.0,22.0,17.0,,2.0,9.0,11.0,0.0
2128351,7,2020-11-01 16:30:00,3,Arsenal,Away,237.0,12.0,,2.0,2.0,2.0,,194.0,2.0,,,3.0,5.0,14.0,429.0,,,7.0,18.0,9.0,5.0,,1.0,,,,,,,,,,,5.0,1.0,1.0,,,,7.0,4.0,4.0,3.0,4.0,90.0,61.0,,,1.0,,16.0,,5.0,,,3.0,7.0,5.0,,4.0,,45.0,46.0,,25.0,17.0,,,24.0,41.0,12.0,11.0,1.0,1.0,2.0,1.0,,140.0,,,,,,,4.0,,1.0,,17.0,1.0,12.0,12.0,1.0,,,133.0,54.0,34.0,6.0,,4.0,1.0,2.0,480.0,2.0,4.0,,79.0,48.0,18.0,,,,,1.0,122.0,122.0,5.0,24.0,28.0,46.7,1.0,,,,16.0,0.0,138.0,1.0,1.0,3.0,,,,5.0,,,3.0,16.0,78.0,415.0,6.0,5.0,259.0,23.0,25.0,12.0,3.0,16.0,13.0,,113.0,4.0,258.0,1.0,,13.0,6.0,37.0,,501.0,,0.0,7.0,20.0,,9.0,3.0,673.0,15.0,19.0,,6.0,3.0,15.0,0.0
2128356,8,2020-11-08 19:15:00,3,Arsenal,Home,276.0,20.0,1.0,3.0,2.0,,,185.0,1.0,,1.0,2.0,5.0,18.0,458.0,,,19.0,15.0,11.0,7.0,1.0,2.0,,,,,,,1.0,,,1.0,8.0,,,,,2.0,5.0,15.0,1.0,8.0,5.0,77.0,52.0,1.0,2.0,,,11.0,3.0,12.0,1.0,,3.0,14.0,8.0,,7.0,1.0,52.0,39.0,,12.0,7.0,,,25.0,43.0,11.0,13.0,,,5.0,1.0,,140.0,,,,,,,1.0,,,,7.0,,8.0,8.0,2.0,,1.0,167.0,46.0,28.0,8.0,,5.0,3.0,2.0,519.0,10.0,1.0,1.0,52.0,52.0,32.0,,,,,,133.0,133.0,1.0,26.0,24.0,58.8,,,,1.0,11.0,0.0,154.0,4.0,,3.0,,,,8.0,1.0,,3.0,10.0,99.0,439.0,7.0,8.0,312.0,39.0,12.0,15.0,2.0,25.0,23.0,,129.0,2.0,251.0,,,14.0,5.0,43.0,1.0,538.0,1.0,0.0,13.0,7.0,,23.0,0.0,712.0,26.0,11.0,,8.0,3.0,2.0,0.0
2128369,9,2020-11-22 16:30:00,3,Arsenal,Away,132.0,6.0,1.0,3.0,2.0,,1.0,91.0,5.0,,2.0,5.0,5.0,14.0,220.0,,1.0,11.0,11.0,11.0,5.0,1.0,1.0,1.0,,2.0,,,2.0,,,,,6.0,,,,,,5.0,15.0,10.0,5.0,4.0,55.0,65.0,1.0,1.0,,1.0,6.0,1.0,4.0,,1.0,3.0,7.0,,,12.0,3.0,41.0,44.0,1.0,29.0,16.0,,,,34.0,8.0,9.0,,1.0,4.0,3.0,2.0,130.0,,,,,,,17.0,,,,16.0,1.0,11.0,11.0,2.0,,2.0,73.0,59.0,25.0,5.0,,3.0,3.0,2.0,284.0,5.0,1.0,,35.0,31.0,14.0,,,,,,138.0,138.0,2.0,30.0,23.0,33.7,,,,1.0,6.0,0.0,52.0,3.0,1.0,4.0,,,1.0,6.0,,,3.0,,34.0,211.0,2.0,6.0,164.0,27.0,29.0,20.0,3.0,13.0,10.0,1.0,57.0,6.0,159.0,,,22.0,5.0,58.0,2.0,310.0,,1.0,9.0,10.0,1.0,16.0,0.0,486.0,14.0,11.0,,14.0,3.0,5.0,0.0
2128376,10,2020-11-29 19:15:00,3,Arsenal,Home,176.0,16.0,,3.0,3.0,5.0,,247.0,3.0,,5.0,,1.0,26.0,420.0,,1.0,19.0,15.0,16.0,5.0,,3.0,,,2.0,,,2.0,,,,,8.0,,,,,,4.0,9.0,2.0,10.0,3.0,84.0,46.0,1.0,2.0,,,18.0,4.0,10.0,,,8.0,20.0,10.0,1.0,8.0,2.0,48.0,43.0,,16.0,8.0,,,31.0,75.0,13.0,12.0,,,4.0,1.0,2.0,160.0,1.0,,1.0,,1.0,,3.0,,1.0,1.0,8.0,,9.0,9.0,2.0,,5.0,112.0,47.0,37.0,4.0,,3.0,3.0,2.0,474.0,4.0,,,112.0,73.0,49.0,,,,,,136.0,136.0,4.0,17.0,20.0,56.2,,,,,18.0,0.0,138.0,2.0,1.0,3.0,,,,7.0,1.0,,3.0,10.0,134.0,401.0,9.0,6.0,190.0,37.0,16.0,6.0,4.0,35.0,31.0,,186.0,7.0,339.0,1.0,,3.0,1.0,45.0,2.0,494.0,1.0,0.0,13.0,13.0,2.0,21.0,3.0,683.0,37.0,14.0,,2.0,8.0,6.0,0.0
