matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360473,1,2011-08-13 17:30:00,3,Arsenal,Away,203.0,11.0,1.0,4.0,3.0,4.0,,260.0,3.0,3.0,8.0,4.0,12.0,25.0,459.0,,2.0,21.0,13.0,12.0,7.0,1.0,,1.0,,1.0,,1.0,,,,,9.0,,,,,,,3.0,5.0,,,60.0,59.0,1.0,1.0,,2.0,3.0,2.0,,5.0,12.0,4.0,,17.0,,49.0,58.0,2.0,15.0,11.0,,,77.0,11.0,10.0,,,2.0,1.0,1.0,190.0,,,,,,,8.0,,2.0,,17.0,,20.0,18.0,1.0,8.0,138.0,97.0,62.0,2.0,,5.0,3.0,2.0,,2.0,1.0,,59.0,86.0,24.0,,,,,,165.0,153.0,1.0,24.0,23.0,62.2,,,2.0,0.0,160.0,1.0,,,,,1.0,6.0,,3.0,99.0,,8.0,217.0,22.0,27.0,20.0,5.0,22.0,17.0,1.0,150.0,13.0,353.0,2.0,3.0,15.0,13.0,47.0,1.0,548.0,2.0,1.0,11.0,22.0,5.0,22.0,5.0,762.0,,15.0,14.0,5.0,17.0,0.0
360479,2,2011-08-20 12:45:00,3,Arsenal,Home,191.0,19.0,2.0,4.0,2.0,,,196.0,8.0,1.0,9.0,2.0,17.0,28.0,383.0,1.0,,22.0,12.0,10.0,6.0,2.0,,,,,,1.0,1.0,,,,7.0,,,,,,1.0,8.0,7.0,,,59.0,60.0,1.0,1.0,,2.0,4.0,8.0,,9.0,12.0,3.0,,23.0,3.0,61.0,43.0,2.0,22.0,10.0,1.0,,60.0,10.0,7.0,,,2.0,1.0,1.0,167.0,,,,,,,10.0,,2.0,,19.0,,21.0,17.0,3.0,9.0,119.0,91.0,62.0,5.0,,3.0,5.0,3.0,,2.0,2.0,1.0,69.0,55.0,16.0,,,,,,168.0,155.0,1.0,33.0,16.0,49.8,,,1.0,0.0,124.0,4.0,1.0,,1.0,,,5.0,,3.0,82.0,,8.0,216.0,28.0,35.0,16.0,8.0,24.0,16.0,,116.0,5.0,277.0,2.0,1.0,23.0,19.0,50.0,,469.0,1.0,1.0,12.0,18.0,4.0,25.0,1.0,697.0,,11.0,8.0,9.0,14.0,0.0
360493,3,2011-08-28 16:00:00,3,Arsenal,Away,117.0,15.0,3.0,3.0,,,,213.0,2.0,4.0,9.0,2.0,14.0,17.0,327.0,,1.0,13.0,4.0,6.0,13.0,2.0,2.0,1.0,,,,,,,,,17.0,,1.0,,,,,15.0,10.0,9.0,11.0,38.0,46.0,3.0,3.0,1.0,1.0,6.0,9.0,,5.0,8.0,1.0,,22.0,2.0,51.0,35.0,,16.0,3.0,1.0,,63.0,8.0,9.0,1.0,,1.0,,,153.0,2.0,,1.0,2.0,,,14.0,2.0,1.0,1.0,6.0,,19.0,14.0,4.0,9.0,108.0,64.0,36.0,3.0,1.0,6.0,11.0,8.0,385.0,1.0,3.0,,41.0,41.0,26.0,1.0,1.0,1.0,,1.0,141.0,133.0,2.0,16.0,19.0,43.7,,,1.0,0.0,109.0,4.0,2.0,6.0,1.0,,1.0,6.0,,3.0,111.0,318.0,17.0,135.0,26.0,23.0,14.0,4.0,13.0,9.0,1.0,155.0,4.0,286.0,1.0,4.0,10.0,15.0,41.0,,408.0,,1.0,20.0,15.0,5.0,16.0,2.0,598.0,21.0,5.0,5.0,5.0,8.0,0.0
360499,4,2011-09-10 15:00:00,3,Arsenal,Home,167.0,10.0,,3.0,3.0,1.0,,273.0,1.0,2.0,8.0,4.0,26.0,18.0,437.0,,4.0,19.0,3.0,14.0,16.0,,,1.0,,,,1.0,,,1.0,,17.0,,,,,1.0,,7.0,5.0,,,74.0,57.0,3.0,3.0,,2.0,6.0,10.0,,4.0,11.0,7.0,,5.0,2.0,39.0,48.0,1.0,18.0,8.0,,1.0,74.0,10.0,7.0,,,3.0,1.0,1.0,174.0,,,,,,,7.0,1.0,2.0,,13.0,1.0,21.0,17.0,2.0,8.0,127.0,68.0,42.0,5.0,1.0,9.0,7.0,4.0,,4.0,3.0,,47.0,56.0,20.0,,,,,,135.0,125.0,5.0,20.0,24.0,56.5,1.0,,1.0,0.0,129.0,1.0,1.0,,,,1.0,9.0,,3.0,125.0,,16.0,184.0,19.0,27.0,18.0,3.0,22.0,19.0,1.0,158.0,4.0,342.0,2.0,2.0,14.0,26.0,31.0,1.0,504.0,1.0,0.0,19.0,20.0,10.0,22.0,3.0,711.0,,10.0,7.0,4.0,14.0,0.0
360510,5,2011-09-17 12:45:00,3,Arsenal,Away,191.0,11.0,5.0,12.0,7.0,5.0,,290.0,4.0,,11.0,2.0,25.0,26.0,469.0,,4.0,22.0,10.0,10.0,16.0,3.0,,,,,,,2.0,,,,17.0,,,,,,,7.0,3.0,,,63.0,56.0,4.0,4.0,,2.0,7.0,12.0,,13.0,21.0,8.0,,14.0,2.0,52.0,56.0,1.0,6.0,3.0,,,70.0,11.0,13.0,2.0,,2.0,1.0,,180.0,3.0,,3.0,3.0,,,5.0,3.0,2.0,2.0,4.0,,14.0,13.0,,11.0,158.0,79.0,58.0,2.0,1.0,7.0,15.0,9.0,,1.0,2.0,2.0,59.0,90.0,23.0,,,,,,152.0,148.0,2.0,18.0,24.0,68.8,,,,0.0,146.0,1.0,1.0,,,1.0,,7.0,,3.0,134.0,,22.0,210.0,27.0,9.0,21.0,12.0,42.0,30.0,,172.0,10.0,379.0,2.0,,8.0,30.0,39.0,1.0,547.0,1.0,0.0,23.0,19.0,11.0,22.0,1.0,766.0,,15.0,14.0,13.0,16.0,0.0
360519,6,2011-09-24 15:00:00,3,Arsenal,Home,222.0,6.0,,2.0,2.0,4.0,,300.0,1.0,,6.0,3.0,26.0,25.0,520.0,3.0,4.0,24.0,9.0,7.0,16.0,2.0,,6.0,,1.0,1.0,2.0,,,,,23.0,,,,,,,1.0,2.0,,,82.0,55.0,3.0,2.0,1.0,2.0,8.0,4.0,,9.0,12.0,3.0,,16.0,2.0,40.0,39.0,,11.0,7.0,,,77.0,8.0,9.0,2.0,,2.0,,2.0,232.0,3.0,,1.0,3.0,,1.0,1.0,3.0,,1.0,10.0,,11.0,10.0,,6.0,144.0,77.0,61.0,2.0,1.0,5.0,16.0,11.0,,1.0,2.0,,47.0,76.0,20.0,,,,,,141.0,136.0,,27.0,21.0,62.9,,,,0.0,145.0,1.0,1.0,,,,6.0,9.0,1.0,3.0,133.0,,21.0,247.0,14.0,14.0,14.0,5.0,20.0,15.0,7.0,175.0,10.0,376.0,,,8.0,29.0,33.0,2.0,603.0,5.0,0.0,28.0,13.0,10.0,26.0,0.0,784.0,,9.0,10.0,9.0,9.0,0.0
360537,7,2011-10-02 16:00:00,3,Arsenal,Away,167.0,13.0,2.0,4.0,2.0,3.0,,252.0,4.0,1.0,6.0,2.0,20.0,26.0,415.0,1.0,1.0,17.0,21.0,8.0,9.0,1.0,,,,1.0,,1.0,,,1.0,,11.0,,,,,,,12.0,6.0,,,63.0,63.0,2.0,1.0,1.0,3.0,3.0,11.0,,7.0,11.0,8.0,,23.0,4.0,70.0,45.0,1.0,19.0,8.0,1.0,1.0,86.0,8.0,11.0,,1.0,2.0,,1.0,187.0,1.0,,1.0,1.0,,,11.0,1.0,1.0,,12.0,,17.0,13.0,2.0,6.0,122.0,83.0,43.0,9.0,1.0,4.0,7.0,5.0,,4.0,1.0,,62.0,61.0,21.0,,,,,,165.0,158.0,1.0,30.0,25.0,61.7,,,1.0,0.0,131.0,3.0,1.0,,,1.0,,5.0,,3.0,120.0,,11.0,185.0,22.0,24.0,11.0,5.0,24.0,19.0,,169.0,8.0,342.0,1.0,1.0,18.0,22.0,48.0,2.0,503.0,1.0,0.0,13.0,22.0,7.0,21.0,1.0,718.0,,5.0,4.0,7.0,15.0,0.0
360539,8,2011-10-16 13:30:00,3,Arsenal,Home,211.0,11.0,1.0,3.0,2.0,4.0,,275.0,3.0,,4.0,3.0,24.0,29.0,483.0,,1.0,19.0,5.0,15.0,14.0,1.0,,,1.0,3.0,,4.0,,,,,12.0,,,,1.0,,,4.0,4.0,,,72.0,57.0,,,,1.0,6.0,3.0,,9.0,11.0,6.0,,21.0,1.0,42.0,66.0,1.0,15.0,9.0,,1.0,77.0,11.0,19.0,2.0,,9.0,1.0,4.0,201.0,1.0,,1.0,1.0,,,7.0,1.0,1.0,2.0,12.0,1.0,17.0,15.0,1.0,4.0,132.0,89.0,60.0,2.0,,6.0,10.0,6.0,,2.0,3.0,,50.0,89.0,23.0,,,,,,156.0,149.0,,26.0,26.0,62.7,1.0,,,0.0,159.0,1.0,,,,2.0,,9.0,,3.0,134.0,,16.0,230.0,22.0,22.0,17.0,7.0,25.0,18.0,,176.0,8.0,359.0,1.0,1.0,15.0,27.0,43.0,2.0,564.0,2.0,0.0,21.0,19.0,7.0,20.0,3.0,772.0,,11.0,13.0,9.0,14.0,0.0
360549,9,2011-10-23 13:30:00,3,Arsenal,Home,248.0,13.0,1.0,3.0,2.0,1.0,,285.0,4.0,,6.0,2.0,29.0,15.0,530.0,1.0,4.0,19.0,13.0,12.0,4.0,1.0,,,,,,,,,,,5.0,,,,,,1.0,4.0,3.0,,,97.0,56.0,4.0,1.0,3.0,,,1.0,,10.0,13.0,2.0,,12.0,,42.0,44.0,,9.0,6.0,,,71.0,10.0,12.0,3.0,,1.0,1.0,,196.0,3.0,,3.0,3.0,,,10.0,3.0,1.0,1.0,11.0,,15.0,13.0,,6.0,153.0,77.0,50.0,1.0,,4.0,4.0,4.0,,1.0,5.0,,57.0,62.0,24.0,,,,,,154.0,144.0,1.0,30.0,18.0,66.5,,,,0.0,160.0,,,,,,,5.0,,3.0,117.0,,8.0,266.0,25.0,19.0,15.0,8.0,24.0,16.0,,156.0,3.0,364.0,1.0,,15.0,31.0,31.0,2.0,606.0,1.0,0.0,9.0,12.0,11.0,20.0,0.0,785.0,,14.0,8.0,10.0,9.0,0.0
360559,10,2011-10-29 12:45:00,3,Arsenal,Away,189.0,16.0,,1.0,1.0,2.0,,186.0,3.0,1.0,11.0,4.0,22.0,17.0,374.0,1.0,3.0,17.0,4.0,6.0,6.0,,,3.0,,1.0,,1.0,,,,,10.0,,,,,,1.0,7.0,7.0,,,63.0,74.0,3.0,2.0,2.0,,1.0,7.0,1.0,2.0,4.0,3.0,1.0,23.0,3.0,62.0,58.0,,13.0,6.0,1.0,2.0,67.0,19.0,8.0,3.0,,2.0,,1.0,188.0,4.0,1.0,1.0,3.0,1.0,2.0,6.0,4.0,1.0,1.0,11.0,,24.0,21.0,4.0,11.0,104.0,80.0,50.0,3.0,1.0,3.0,7.0,7.0,,3.0,4.0,,58.0,41.0,16.0,,,,,,159.0,148.0,2.0,38.0,20.0,47.9,,,2.0,0.0,101.0,1.0,3.0,,,,3.0,5.0,,3.0,93.0,,10.0,206.0,27.0,24.0,24.0,2.0,9.0,7.0,4.0,138.0,7.0,259.0,2.0,2.0,21.0,23.0,39.0,2.0,456.0,3.0,0.0,13.0,30.0,11.0,22.0,3.0,679.0,,11.0,14.0,2.0,24.0,0.0
360569,11,2011-11-05 15:00:00,3,Arsenal,Home,288.0,19.0,1.0,3.0,2.0,,,293.0,2.0,3.0,11.0,2.0,23.0,38.0,578.0,1.0,1.0,18.0,14.0,10.0,7.0,1.0,,,,1.0,,1.0,,,,,10.0,,,,,,,5.0,5.0,,,86.0,56.0,2.0,1.0,2.0,1.0,2.0,8.0,,4.0,19.0,8.0,1.0,13.0,1.0,53.0,43.0,1.0,8.0,5.0,,,61.0,12.0,12.0,1.0,,2.0,2.0,1.0,191.0,2.0,,1.0,2.0,,,9.0,3.0,2.0,,8.0,,19.0,14.0,,11.0,180.0,90.0,59.0,1.0,1.0,4.0,6.0,5.0,,3.0,2.0,,67.0,86.0,18.0,,,,,,145.0,141.0,2.0,22.0,21.0,66.7,,,,0.0,194.0,2.0,,,,,,5.0,,3.0,116.0,,10.0,307.0,29.0,12.0,8.0,2.0,31.0,29.0,,148.0,2.0,375.0,2.0,3.0,14.0,23.0,57.0,1.0,651.0,2.0,0.0,12.0,19.0,5.0,18.0,0.0,839.0,,11.0,2.0,4.0,13.0,0.0
