matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803171,1.0,2015-08-09 13:30:00,3,Arsenal,Home,157.0,20.0,2.0,9.0,7.0,2.0,1.0,333.0,7.0,,6.0,4.0,16.0,24.0,481.0,,,17.0,19.0,32.0,15.0,2.0,1.0,,,,1.0,,,,,18.0,,,,,,1.0,5.0,4.0,4.0,,65.0,74.0,1.0,1.0,,2.0,18.0,9.0,12.0,,,5.0,18.0,9.0,,16.0,1.0,64.0,75.0,2.0,12.0,10.0,2.0,,64.0,12.0,9.0,,,4.0,3.0,1.0,184.0,,,,,,,7.0,,,,,,,,,15.0,1.0,18.0,18.0,1.0,6.0,150.0,64.0,45.0,4.0,,6.0,11.0,6.0,539.0,,,2.0,2.0,,119.0,49.0,50.0,,,,,142.0,136.0,4.0,29.0,33.0,61.8,,,18.0,0.0,,,,157.0,1.0,1.0,2.0,,1.0,1.0,7.0,,2.0,181.0,465.0,10.0,17.0,178.0,34.0,18.0,27.0,3.0,33.0,30.0,1.0,215.0,6.0,411.0,,,12.0,17.0,41.0,3.0,556.0,,0.0,22.0,12.0,2.0,18.0,1.0,781.0,10.0,22.0,5.0,9.0,0.0
803172,2.0,2015-08-16 13:30:00,3,Arsenal,Away,183.0,16.0,1.0,5.0,4.0,2.0,,300.0,3.0,2.0,4.0,7.0,24.0,31.0,478.0,2.0,2.0,20.0,15.0,19.0,15.0,1.0,2.0,,,,,,,,,19.0,,,,,,1.0,7.0,6.0,5.0,,83.0,72.0,1.0,2.0,,2.0,18.0,7.0,9.0,,,6.0,15.0,2.0,,13.0,1.0,54.0,66.0,2.0,31.0,17.0,,1.0,73.0,12.0,14.0,1.0,,4.0,2.0,,187.0,1.0,,1.0,1.0,,,6.0,,,1.0,,,,,,19.0,,12.0,12.0,2.0,4.0,156.0,84.0,59.0,6.0,,6.0,11.0,7.0,537.0,,,3.0,2.0,,94.0,46.0,35.0,,,,,139.0,134.0,6.0,34.0,25.0,59.2,,3.0,18.0,0.0,,,,138.0,2.0,1.0,3.0,,2.0,2.0,6.0,,3.0,174.0,460.0,13.0,17.0,197.0,24.0,36.0,12.0,4.0,23.0,19.0,2.0,225.0,6.0,390.0,,2.0,22.0,29.0,59.0,2.0,564.0,3.0,0.0,20.0,27.0,5.0,20.0,1.0,792.0,8.0,7.0,6.0,23.0,0.0
803185,3.0,2015-08-24 20:00:00,3,Arsenal,Home,202.0,25.0,3.0,6.0,3.0,2.0,,368.0,1.0,,8.0,1.0,18.0,15.0,564.0,,,14.0,29.0,20.0,14.0,1.0,,,,,,,,,,15.0,,,,1.0,,1.0,,11.0,4.0,,82.0,90.0,2.0,2.0,,1.0,25.0,5.0,9.0,,1.0,7.0,10.0,4.0,,17.0,6.0,65.0,69.0,1.0,22.0,11.0,,3.0,70.0,2.0,12.0,,,4.0,2.0,,210.0,,,,,,,3.0,,,,1.0,,,,,12.0,1.0,27.0,27.0,4.0,8.0,171.0,68.0,37.0,8.0,,6.0,9.0,5.0,647.0,,,3.0,3.0,,141.0,62.0,48.0,,,,,174.0,170.0,10.0,35.0,35.0,65.7,1.0,1.0,25.0,0.0,,,,204.0,6.0,2.0,8.0,,,,9.0,1.0,2.0,233.0,551.0,11.0,15.0,227.0,44.0,26.0,22.0,7.0,23.0,16.0,,293.0,6.0,463.0,2.0,,19.0,21.0,45.0,5.0,667.0,1.0,0.0,19.0,23.0,2.0,18.0,1.0,928.0,13.0,14.0,7.0,21.0,0.0
803192,4.0,2015-08-29 12:45:00,3,Arsenal,Away,208.0,27.0,2.0,3.0,1.0,4.0,,507.0,5.0,,3.0,2.0,31.0,24.0,712.0,1.0,1.0,24.0,9.0,9.0,14.0,2.0,,,,1.0,2.0,,1.0,,3.0,17.0,,,,,,,3.0,1.0,,,111.0,56.0,2.0,3.0,,1.0,17.0,7.0,4.0,,1.0,9.0,8.0,,,16.0,,42.0,50.0,1.0,8.0,7.0,,,90.0,8.0,15.0,,,4.0,,2.0,202.0,,,,,,,5.0,,,,1.0,,,,,9.0,,15.0,15.0,2.0,3.0,230.0,64.0,59.0,,,3.0,13.0,9.0,753.0,,,,1.0,,99.0,107.0,47.0,,,,,119.0,113.0,5.0,20.0,27.0,73.7,,,17.0,0.0,,,,234.0,,,,,,,6.0,1.0,2.0,242.0,692.0,12.0,16.0,219.0,44.0,14.0,10.0,7.0,15.0,8.0,,294.0,8.0,573.0,1.0,,7.0,33.0,35.0,2.0,777.0,3.0,0.0,22.0,21.0,3.0,24.0,1.0,969.0,12.0,5.0,9.0,15.0,0.0
803209,5.0,2015-09-12 15:00:00,3,Arsenal,Home,206.0,21.0,5.0,10.0,5.0,1.0,2.0,348.0,3.0,1.0,5.0,2.0,28.0,25.0,544.0,1.0,5.0,19.0,7.0,12.0,18.0,3.0,,,,1.0,1.0,,,,3.0,21.0,,,,,1.0,2.0,4.0,2.0,7.0,,72.0,66.0,8.0,8.0,2.0,1.0,16.0,8.0,8.0,,,13.0,11.0,1.0,,9.0,,37.0,54.0,1.0,10.0,5.0,,,58.0,6.0,13.0,1.0,,4.0,3.0,1.0,200.0,2.0,1.0,2.0,1.0,1.0,,7.0,,,1.0,,,,,,5.0,2.0,25.0,25.0,2.0,5.0,167.0,66.0,49.0,1.0,,6.0,17.0,12.0,605.0,,,3.0,2.0,,81.0,88.0,50.0,,,,,137.0,134.0,6.0,25.0,30.0,67.6,1.0,1.0,16.0,0.0,,,,189.0,1.0,2.0,3.0,,,,9.0,,3.0,170.0,526.0,4.0,24.0,220.0,36.0,13.0,19.0,10.0,25.0,15.0,,218.0,6.0,433.0,,1.0,7.0,29.0,41.0,3.0,628.0,5.0,0.0,29.0,18.0,9.0,19.0,1.0,842.0,14.0,12.0,13.0,13.0,0.0
803212,6.0,2015-09-19 12:45:00,3,Arsenal,Away,143.0,14.0,,3.0,3.0,3.0,,140.0,3.0,,5.0,2.0,7.0,16.0,280.0,,1.0,17.0,13.0,7.0,5.0,,,,,,1.0,1.0,,,,6.0,,,,,,,8.0,9.0,14.0,,59.0,64.0,,1.0,,1.0,17.0,3.0,15.0,,1.0,5.0,6.0,2.0,,15.0,4.0,61.0,56.0,1.0,17.0,10.0,,1.0,48.0,11.0,11.0,,,3.0,2.0,1.0,136.0,,,,,,,11.0,,,,1.0,,,,1.0,11.0,,19.0,19.0,3.0,5.0,77.0,51.0,28.0,5.0,,3.0,2.0,2.0,337.0,,,10.0,5.0,1.0,66.0,28.0,24.0,,,,,140.0,135.0,1.0,32.0,25.0,37.1,,,17.0,0.0,,,,88.0,1.0,4.0,5.0,1.0,4.0,,4.0,,3.0,68.0,268.0,6.0,5.0,173.0,22.0,22.0,25.0,5.0,15.0,10.0,,97.0,4.0,202.0,1.0,,15.0,7.0,43.0,3.0,360.0,,2.0,9.0,21.0,1.0,19.0,2.0,573.0,10.0,17.0,5.0,14.0,0.0
803222,7.0,2015-09-26 15:00:00,3,Arsenal,Away,211.0,28.0,,2.0,2.0,4.0,,247.0,5.0,1.0,6.0,1.0,15.0,23.0,456.0,2.0,3.0,18.0,12.0,23.0,18.0,,2.0,,,,,,,,2.0,25.0,,,,,,,4.0,11.0,5.0,,58.0,68.0,4.0,2.0,3.0,3.0,16.0,13.0,15.0,,,5.0,6.0,1.0,,18.0,3.0,59.0,70.0,3.0,37.0,18.0,,1.0,61.0,12.0,9.0,1.0,,1.0,,,178.0,4.0,1.0,3.0,3.0,1.0,1.0,10.0,,,4.0,3.0,,,,2.0,22.0,,14.0,14.0,2.0,6.0,153.0,78.0,55.0,6.0,3.0,2.0,20.0,12.0,508.0,,,3.0,1.0,,90.0,52.0,31.0,,,,,139.0,130.0,2.0,37.0,21.0,58.0,,1.0,16.0,0.0,,,,143.0,4.0,1.0,5.0,,,2.0,2.0,3.0,3.0,126.0,440.0,6.0,23.0,230.0,40.0,46.0,20.0,4.0,11.0,7.0,3.0,160.0,7.0,313.0,3.0,1.0,11.0,15.0,47.0,2.0,532.0,2.0,0.0,27.0,21.0,7.0,19.0,1.0,782.0,19.0,16.0,5.0,15.0,0.0
803234,8.0,2015-10-04 16:00:00,3,Arsenal,Home,183.0,22.0,1.0,1.0,,3.0,,131.0,1.0,1.0,6.0,1.0,8.0,20.0,313.0,1.0,2.0,11.0,11.0,12.0,7.0,,,,,,1.0,,,,1.0,10.0,,,1.0,,,1.0,5.0,2.0,7.0,,74.0,77.0,3.0,2.0,1.0,1.0,20.0,2.0,12.0,,,3.0,2.0,,,16.0,4.0,53.0,74.0,1.0,21.0,10.0,,,39.0,8.0,17.0,,,3.0,2.0,1.0,155.0,3.0,,2.0,3.0,,,5.0,,,3.0,4.0,,,,,12.0,1.0,23.0,23.0,5.0,6.0,81.0,70.0,34.0,6.0,3.0,5.0,5.0,5.0,361.0,,,1.0,3.0,,34.0,33.0,20.0,,,,,124.0,117.0,2.0,45.0,19.0,37.8,1.0,,20.0,0.0,,,,79.0,2.0,3.0,5.0,,1.0,,5.0,,3.0,61.0,298.0,12.0,10.0,203.0,27.0,28.0,22.0,3.0,7.0,4.0,,89.0,10.0,193.0,4.0,1.0,26.0,10.0,57.0,2.0,389.0,1.0,0.0,12.0,29.0,3.0,12.0,1.0,606.0,7.0,16.0,3.0,25.0,0.0
803242,9.0,2015-10-17 17:30:00,3,Arsenal,Away,252.0,31.0,3.0,7.0,4.0,4.0,,306.0,2.0,1.0,3.0,6.0,29.0,32.0,551.0,1.0,2.0,10.0,10.0,12.0,11.0,2.0,,,,,,,,,1.0,15.0,,,1.0,,,,7.0,2.0,6.0,,90.0,69.0,4.0,1.0,3.0,2.0,18.0,6.0,8.0,,,9.0,11.0,4.0,,16.0,1.0,55.0,58.0,2.0,27.0,17.0,,2.0,65.0,12.0,11.0,,,,,,210.0,3.0,,2.0,3.0,,,5.0,,,3.0,1.0,,,,,19.0,1.0,21.0,21.0,4.0,3.0,174.0,72.0,50.0,3.0,2.0,4.0,12.0,6.0,606.0,,,1.0,5.0,,80.0,94.0,47.0,,,,,151.0,147.0,1.0,40.0,24.0,66.7,1.0,,18.0,0.0,,,,153.0,,1.0,1.0,,,,5.0,,3.0,168.0,536.0,6.0,16.0,267.0,47.0,31.0,27.0,7.0,22.0,15.0,,207.0,7.0,382.0,1.0,1.0,14.0,30.0,50.0,4.0,627.0,2.0,0.0,17.0,17.0,7.0,12.0,1.0,857.0,20.0,18.0,9.0,14.0,0.0
803254,10.0,2015-10-24 17:30:00,3,Arsenal,Home,156.0,27.0,3.0,8.0,5.0,6.0,1.0,301.0,4.0,1.0,4.0,9.0,28.0,40.0,449.0,,,22.0,8.0,13.0,11.0,3.0,,,,,,,,,,14.0,,,1.0,,1.0,2.0,8.0,5.0,5.0,,78.0,77.0,3.0,1.0,2.0,6.0,23.0,6.0,18.0,,,7.0,7.0,4.0,1.0,20.0,2.0,71.0,63.0,6.0,12.0,5.0,,2.0,82.0,11.0,13.0,1.0,,4.0,1.0,,183.0,2.0,1.0,2.0,1.0,1.0,,7.0,,,1.0,1.0,,,,,6.0,2.0,34.0,34.0,1.0,4.0,138.0,85.0,62.0,5.0,,6.0,10.0,5.0,503.0,,,2.0,1.0,,69.0,86.0,42.0,,,,,143.0,141.0,8.0,31.0,33.0,56.2,2.0,,23.0,0.0,,,,128.0,2.0,2.0,4.0,,1.0,,9.0,,2.0,148.0,432.0,13.0,16.0,170.0,35.0,14.0,33.0,7.0,19.0,12.0,,198.0,8.0,376.0,1.0,1.0,21.0,29.0,61.0,,527.0,,0.0,20.0,20.0,7.0,23.0,2.0,777.0,14.0,17.0,7.0,16.0,0.0
