matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,redCard,redCardsAgainst,redCardsFor,result,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
284004,1.0,2009-08-15 17:30:00,3,Arsenal,Away,155.0,16.0,,5.0,5.0,2.0,,231.0,5.0,2.0,5.0,10.0,17.0,33.0,381.0,,1.0,10.0,15.0,16.0,9.0,,,2.0,,,1.0,2.0,,,,,,,,,,2.0,4.0,7.0,,,,63.0,2.0,5.0,5.0,1.0,9.0,15.0,2.0,2.0,14.0,,52.0,55.0,2.0,22.0,13.0,,,,,,,,84.0,14.0,12.0,1.0,,,,2.0,5.0,2.0,4.0,3.0,2.0,2.0,7.0,,,,5.0,,,,1.0,29.0,1.0,29.0,29.0,2.0,,5.0,83.0,44.0,4.0,3.0,3.0,11.0,9.0,,,,2.0,,62.0,64.0,27.0,,,,,,162.0,139.0,3.0,27.0,21.0,54.3,,,,0.0,,,,2.0,2.0,,,2.0,4.0,,,3.0,117.0,,14.0,171.0,25.0,45.0,12.0,9.0,28.0,19.0,,167.0,8.0,327.0,5.0,2.0,32.0,20.0,64.0,4.0,470.0,,0.0,18.0,20.0,5.0,12.0,0.0,750.0,,,7.0,9.0,12.0,0.0
284010,2.0,2010-01-20 19:45:00,3,Arsenal,Home,160.0,9.0,,3.0,3.0,,,265.0,2.0,1.0,6.0,3.0,32.0,21.0,422.0,,3.0,17.0,22.0,18.0,13.0,,,1.0,,,,2.0,,,,,,,,,,1.0,3.0,9.0,,,,59.0,4.0,2.0,4.0,,9.0,6.0,5.0,1.0,15.0,1.0,69.0,59.0,4.0,13.0,9.0,,,,,,,,93.0,22.0,15.0,,,,,2.0,2.0,,1.0,2.0,,,8.0,,,,2.0,,,,2.0,26.0,,25.0,25.0,2.0,,6.0,94.0,60.0,3.0,3.0,5.0,10.0,13.0,,,,3.0,,54.0,58.0,24.0,1.0,1.0,1.0,,,169.0,142.0,4.0,23.0,20.0,62.9,,,,0.0,,,,,2.0,,1.0,1.0,6.0,,,3.0,130.0,,15.0,173.0,15.0,40.0,20.0,7.0,21.0,14.0,,176.0,4.0,358.0,2.0,1.0,20.0,35.0,42.0,4.0,510.0,,0.0,21.0,14.0,8.0,20.0,1.0,795.0,,,12.0,9.0,9.0,0.0
284020,3.0,2009-08-22 15:00:00,3,Arsenal,Home,220.0,14.0,,4.0,4.0,3.0,,315.0,4.0,3.0,7.0,,28.0,21.0,531.0,1.0,7.0,15.0,10.0,9.0,16.0,,,2.0,,,1.0,3.0,,,,,,,,,,2.0,7.0,3.0,,,,70.0,1.0,7.0,9.0,,8.0,15.0,3.0,1.0,15.0,2.0,49.0,55.0,1.0,11.0,9.0,1.0,,,,,,,77.0,9.0,12.0,,,,,3.0,4.0,,4.0,3.0,1.0,1.0,5.0,,,,,,,,,12.0,,28.0,28.0,2.0,,7.0,77.0,64.0,4.0,3.0,4.0,16.0,12.0,,,,2.0,,75.0,61.0,27.0,,,,,,120.0,116.0,3.0,25.0,31.0,59.5,,,,0.0,,,,1.0,1.0,,1.0,2.0,4.0,,,3.0,131.0,,20.0,231.0,27.0,15.0,22.0,6.0,25.0,19.0,,174.0,8.0,390.0,,3.0,7.0,29.0,30.0,5.0,596.0,2.0,0.0,23.0,18.0,22.0,18.0,1.0,868.0,,,16.0,8.0,15.0,0.0
284035,4.0,2009-08-29 17:15:00,3,Arsenal,Away,126.0,7.0,,5.0,5.0,1.0,1.0,191.0,2.0,3.0,5.0,7.0,13.0,20.0,312.0,1.0,2.0,12.0,9.0,16.0,7.0,,,,,,1.0,1.0,1.0,,1.0,8.0,,,,,,,9.0,6.0,,,,76.0,6.0,3.0,7.0,,4.0,13.0,7.0,,19.0,2.0,62.0,66.0,6.0,14.0,9.0,,,,,,,,74.0,16.0,22.0,,3.0,5.0,4.0,1.0,1.0,,,1.0,,,6.0,,,1.0,2.0,,,,,14.0,1.0,34.0,34.0,2.0,,5.0,96.0,49.0,6.0,1.0,3.0,5.0,3.0,,,,3.0,1.0,58.0,57.0,20.0,1.0,1.0,1.0,,,175.0,164.0,2.0,40.0,25.0,48.9,,,,0.0,,,,1.0,1.0,,,,6.0,,,3.0,91.0,,8.0,143.0,14.0,25.0,21.0,4.0,28.0,24.0,,140.0,12.0,290.0,2.0,4.0,35.0,14.0,50.0,4.0,405.0,1.0,0.0,12.0,19.0,6.0,18.0,6.0,645.0,,,9.0,5.0,14.0,0.0
284044,5.0,2009-09-12 15:00:00,3,Arsenal,Away,145.0,9.0,5.0,10.0,5.0,2.0,,239.0,5.0,2.0,7.0,2.0,19.0,12.0,374.0,,2.0,18.0,6.0,14.0,10.0,6.0,,,,,,,,,,,,,,1.0,,2.0,5.0,5.0,,,,63.0,3.0,4.0,15.0,,12.0,20.0,5.0,,14.0,,53.0,64.0,3.0,6.0,4.0,,,,,,,,65.0,12.0,13.0,1.0,,,,,2.0,,1.0,2.0,,,5.0,,,,2.0,,,,,16.0,1.0,17.0,17.0,1.0,,7.0,61.0,41.0,3.0,1.0,10.0,8.0,7.0,,,,2.0,,63.0,60.0,30.0,,,,,,154.0,136.0,3.0,22.0,31.0,60.9,1.0,,,0.0,,,,,1.0,,1.0,,12.0,,,3.0,122.0,,18.0,162.0,24.0,24.0,15.0,11.0,41.0,30.0,,164.0,4.0,333.0,2.0,2.0,10.0,20.0,25.0,2.0,454.0,,0.0,23.0,28.0,8.0,21.0,2.0,729.0,,,9.0,12.0,21.0,0.0
284050,6.0,2009-09-19 15:00:00,3,Arsenal,Home,142.0,11.0,1.0,5.0,4.0,10.0,,231.0,3.0,1.0,5.0,8.0,21.0,29.0,368.0,,4.0,19.0,17.0,18.0,16.0,1.0,,2.0,,1.0,,2.0,,,,,,,,1.0,,2.0,7.0,6.0,,,,57.0,2.0,7.0,7.0,,6.0,16.0,1.0,2.0,26.0,3.0,62.0,80.0,2.0,5.0,3.0,,,,,,,,71.0,8.0,20.0,,1.0,,,2.0,4.0,1.0,2.0,3.0,1.0,,7.0,,,,,,,,1.0,7.0,2.0,22.0,22.0,3.0,,5.0,77.0,54.0,4.0,2.0,8.0,13.0,9.0,,,,4.0,,41.0,69.0,25.0,,,,,,153.0,143.0,1.0,26.0,24.0,61.9,1.0,,,0.0,,,,4.0,1.0,,,2.0,10.0,1.0,,3.0,116.0,,21.0,164.0,15.0,15.0,22.0,5.0,26.0,21.0,,160.0,11.0,311.0,,1.0,24.0,23.0,45.0,2.0,449.0,1.0,0.0,26.0,25.0,8.0,22.0,2.0,732.0,,,17.0,6.0,22.0,0.0
284062,7.0,2009-09-26 17:30:00,3,Arsenal,Away,153.0,18.0,1.0,4.0,3.0,5.0,,189.0,3.0,3.0,9.0,12.0,16.0,34.0,338.0,,6.0,15.0,18.0,24.0,10.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,,1.0,10.0,10.0,,,,74.0,4.0,2.0,11.0,,6.0,8.0,4.0,,17.0,5.0,67.0,69.0,4.0,33.0,15.0,,,,,,,,70.0,13.0,14.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,9.0,,,,3.0,,,,3.0,26.0,,32.0,32.0,,,9.0,87.0,44.0,4.0,,8.0,5.0,4.0,,,,3.0,,59.0,53.0,27.0,,,,,,180.0,161.0,4.0,27.0,28.0,50.9,,,2.0,0.0,,,,5.0,3.0,,3.0,1.0,10.0,1.0,,2.0,93.0,,13.0,181.0,30.0,52.0,22.0,6.0,23.0,17.0,,141.0,12.0,279.0,3.0,3.0,36.0,17.0,63.0,2.0,437.0,,0.0,16.0,20.0,15.0,21.0,0.0,767.0,,,11.0,6.0,11.0,0.0
284070,8.0,2009-10-04 13:30:00,3,Arsenal,Home,166.0,25.0,2.0,6.0,4.0,2.0,,270.0,,2.0,6.0,5.0,25.0,27.0,430.0,,7.0,19.0,27.0,22.0,14.0,1.0,,1.0,,,,,,,,,,,1.0,,,,3.0,4.0,,,,66.0,4.0,3.0,4.0,,8.0,19.0,2.0,1.0,11.0,1.0,59.0,59.0,4.0,17.0,13.0,,,,,,,,77.0,11.0,10.0,2.0,1.0,,,,6.0,,3.0,6.0,,1.0,4.0,,,,2.0,,,,1.0,26.0,1.0,30.0,30.0,3.0,,6.0,74.0,44.0,1.0,3.0,4.0,17.0,16.0,,,,2.0,,74.0,60.0,24.0,,,,,,157.0,138.0,,35.0,21.0,65.1,1.0,,,0.0,,,,,3.0,,2.0,1.0,5.0,2.0,,3.0,137.0,,21.0,182.0,36.0,36.0,17.0,4.0,25.0,21.0,,190.0,8.0,361.0,2.0,2.0,19.0,28.0,45.0,4.0,518.0,,0.0,24.0,17.0,19.0,23.0,1.0,809.0,,,10.0,8.0,10.0,0.0
284080,9.0,2009-10-17 15:00:00,3,Arsenal,Home,229.0,17.0,1.0,4.0,3.0,,,333.0,2.0,2.0,4.0,,37.0,27.0,558.0,,2.0,15.0,10.0,14.0,12.0,2.0,,3.0,,,,,,,1.0,,,,1.0,,,2.0,2.0,1.0,,,,78.0,4.0,6.0,3.0,,7.0,19.0,9.0,,14.0,1.0,51.0,60.0,4.0,19.0,14.0,1.0,,,,,,,75.0,9.0,16.0,1.0,,,,,3.0,,2.0,3.0,,1.0,5.0,,,,1.0,,,,,20.0,1.0,28.0,28.0,,,4.0,75.0,59.0,3.0,2.0,6.0,11.0,10.0,,,,,,65.0,93.0,26.0,,,,,,144.0,136.0,2.0,40.0,31.0,63.0,1.0,,,0.0,,,,,1.0,,2.0,3.0,8.0,1.0,,3.0,164.0,,17.0,244.0,31.0,27.0,26.0,5.0,35.0,30.0,,204.0,2.0,419.0,3.0,2.0,7.0,38.0,39.0,2.0,628.0,2.0,0.0,24.0,19.0,5.0,16.0,1.0,935.0,,,11.0,7.0,11.0,0.0
284098,10.0,2009-10-25 16:15:00,3,Arsenal,Away,108.0,12.0,2.0,6.0,4.0,1.0,,221.0,5.0,,5.0,2.0,12.0,29.0,323.0,,2.0,14.0,23.0,9.0,11.0,3.0,2.0,1.0,0.0,,,2.0,,,,13.0,0.0,,,,,,7.0,9.0,11.0,6.0,,61.0,4.0,5.0,9.0,,8.0,12.0,4.0,1.0,10.0,1.0,66.0,69.0,4.0,17.0,7.0,1.0,,1.0822,1.1379,0.09,1.4179,1.4827,76.0,16.0,17.0,1.0,,4.0,2.0,2.0,1.0,1.0,1.0,,1.0,,9.0,,,1.0,1.0,,,,,20.0,,27.0,27.0,,0.0,5.0,78.0,38.0,6.0,0.0,6.0,9.0,6.0,386.0,,,6.0,0.0,70.0,64.0,32.0,1.0,1.0,1.0,,,132.0,132.0,3.0,34.0,18.0,53.1,,2.0,,0.0,,,,,1.0,1.0,1.0,1.0,6.0,,0.0,2.0,101.0,307.0,15.0,118.0,19.0,36.0,24.0,8.0,26.0,18.0,1.0,150.0,8.0,320.0,1.0,,29.0,14.0,62.0,2.0,412.0,2.0,0.0,17.0,27.0,6.0,17.0,2.0,653.0,21.0,0.0,16.0,8.0,16.0,0.0
